gene	iso_a	iso_b	idx_a	idx_b	domain_count	gap	ft_a	ft_b	len_a	len_b	top_go_idx	top_go_gap	len_diff	len_ratio
ENSG00000167632	BambuTx1003	ENST00000438773.4	5	21427	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	5	21428	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	5	21429	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000648948.2	5	32313	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	5	32314	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	5	32315	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	5	32316	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	BambuTx1003	6	7	0	0.0	Type0_NoDomain	Type0_NoDomain	211	211	0	0.0	0	0.9952830188679245
ENSG00000167632	BambuTx1003	ENST00000438773.4	6	21426	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	6	21427	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	6	21428	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	6	21429	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000648948.2	6	32313	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	6	32314	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	6	32315	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	6	32316	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000438773.4	7	21426	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	7	21427	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	7	21428	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000438773.4	7	21429	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
ENSG00000167632	BambuTx1003	ENST00000648948.2	7	32313	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	7	32314	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	7	32315	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	BambuTx1003	ENST00000648948.2	7	32316	0	0.00922	Type0_NoDomain	Type0_NoDomain	211	1251	39	0.22036	1040	0.16853035143769968
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21426	21427	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21426	21428	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21426	21429	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21426	32313	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21426	32314	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21426	32315	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21426	32316	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21427	21428	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21427	21429	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21427	32313	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21427	32314	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21427	32315	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21427	32316	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000438773.4	21428	21429	0	0.0	Type0_NoDomain	Type0_NoDomain	1148	1148	0	0.0	0	0.999129677980853
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21428	32313	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21428	32314	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21428	32315	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21428	32316	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21429	32313	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21429	32314	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21429	32315	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000438773.4	ENST00000648948.2	21429	32316	0	0.02978	Type0_NoDomain	Type0_NoDomain	1148	1251	39	0.29498	103	0.9169329073482428
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32313	32314	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32313	32315	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32313	32316	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32314	32315	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32314	32316	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000167632	ENST00000648948.2	ENST00000648948.2	32315	32316	0	0.0	Type0_NoDomain	Type0_NoDomain	1251	1251	0	0.0	0	0.9992012779552716
ENSG00000130193	BambuTx1005	ENST00000336138.4	8	9968	0	0.00157	Type0_NoDomain	Type0_NoDomain	256	208	39	0.08666	48	0.8093385214007782
ENSG00000160959	BambuTx1007	BambuTx1008	10	11	1	0.0051	Type3_SameDomain	Type3_SameDomain	454	493	80	0.17371	39	0.9190283400809717
ENSG00000160959	BambuTx1007	BambuTx1009	10	12	1	0.0051	Type3_SameDomain	Type3_SameDomain	454	493	80	0.17371	39	0.9190283400809717
ENSG00000160959	BambuTx1007	ENST00000528528.1	10	26315	1	0.03336	Type3_SameDomain	Type3_SameDomain	454	244	60	0.3061	210	0.5362637362637362
ENSG00000160959	BambuTx1008	BambuTx1009	11	12	1	0.0	Type3_SameDomain	Type3_SameDomain	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	BambuTx1008	ENST00000528528.1	11	26315	1	0.03846	Type3_SameDomain	Type3_SameDomain	493	244	80	0.36547	249	0.4939271255060729
ENSG00000160959	BambuTx1009	ENST00000528528.1	12	26315	1	0.03846	Type3_SameDomain	Type3_SameDomain	493	244	80	0.36547	249	0.4939271255060729
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6158	6159	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6158	6160	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6158	6161	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6159	6160	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6159	6161	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000160959	ENST00000292524.6	ENST00000292524.6	6160	6161	0	0.0	Type1_DomainLoss	Type1_DomainLoss	493	493	0	0.0	0	0.9979757085020243
ENSG00000196150	BambuTx1010	BambuTx1010	13	14	2	0.0	Type1_DomainLoss	Type1_DomainLoss	555	555	0	0.0	0	0.9982014388489209
ENSG00000196150	BambuTx1010	ENST00000292579.11	13	6173	2	0.00048	Type1_DomainLoss	Type3_SameDomain	555	560	3	0.00889	5	0.9893048128342246
ENSG00000196150	BambuTx1010	ENST00000417550.7	13	19947	2	0.0	Type1_DomainLoss	Type3_SameDomain	555	555	0	0.0	0	0.9982014388489209
ENSG00000196150	BambuTx1010	ENST00000292579.11	14	6173	2	0.00048	Type1_DomainLoss	Type3_SameDomain	555	560	3	0.00889	5	0.9893048128342246
ENSG00000196150	BambuTx1010	ENST00000417550.7	14	19947	2	0.0	Type1_DomainLoss	Type3_SameDomain	555	555	0	0.0	0	0.9982014388489209
ENSG00000196150	ENST00000292579.11	ENST00000417550.7	6173	19947	2	0.00048	Type3_SameDomain	Type3_SameDomain	560	555	3	0.00889	5	0.9893048128342246
ENSG00000172785	BambuTx1011	ENST00000314367.14	15	8109	1	0.00258	Type0_NoDomain	Type0_NoDomain	361	359	20	0.11112	2	0.9917127071823204
ENSG00000172785	BambuTx1011	ENST00000356521.9	15	11932	1	0.00139	Type0_NoDomain	Type0_NoDomain	361	395	63	0.02448	34	0.9116161616161617
ENSG00000172785	BambuTx1011	ENST00000377400.8	15	15843	1	0.00139	Type0_NoDomain	Type0_NoDomain	361	395	63	0.02448	34	0.9116161616161617
ENSG00000172785	BambuTx1011	ENST00000382447.8	15	16810	1	0.00143	Type0_NoDomain	Type0_NoDomain	361	376	15	0.03447	15	0.9575596816976127
ENSG00000172785	ENST00000314367.14	ENST00000356521.9	8109	11932	1	0.00398	Type0_NoDomain	Type0_NoDomain	359	395	20	0.09842	36	0.9065656565656566
ENSG00000172785	ENST00000314367.14	ENST00000377400.8	8109	15843	1	0.00398	Type0_NoDomain	Type0_NoDomain	359	395	20	0.09842	36	0.9065656565656566
ENSG00000172785	ENST00000314367.14	ENST00000382447.8	8109	16810	1	0.00401	Type0_NoDomain	Type0_NoDomain	359	376	20	0.11008	17	0.9522546419098143
ENSG00000172785	ENST00000356521.9	ENST00000377400.8	11932	15843	1	0.0	Type0_NoDomain	Type0_NoDomain	395	395	0	0.0	0	0.9974747474747475
ENSG00000172785	ENST00000356521.9	ENST00000382447.8	11932	16810	1	4e-05	Type0_NoDomain	Type0_NoDomain	395	376	39	0.0327	19	0.9494949494949495
ENSG00000172785	ENST00000377400.8	ENST00000382447.8	15843	16810	1	4e-05	Type0_NoDomain	Type0_NoDomain	395	376	39	0.0327	19	0.9494949494949495
ENSG00000107020	BambuTx1014	ENST00000223864.7	17	2293	0	0.00223	Type0_NoDomain	Type0_NoDomain	114	147	39	0.07854	33	0.7702702702702703
ENSG00000147872	BambuTx1017	ENST00000276914.7	18	5425	0	0.00358	Type0_NoDomain	Type0_NoDomain	477	469	63	0.05655	8	0.9811715481171548
ENSG00000165269	BambuTx1020	ENST00000297988.6	19	6630	0	0.00531	Type0_NoDomain	Type0_NoDomain	273	342	55	0.08221	69	0.7959183673469388
ENSG00000165269	BambuTx1020	ENST00000377425.8	19	15850	0	0.00329	Type0_NoDomain	Type0_NoDomain	273	216	62	0.14286	57	0.7883211678832117
ENSG00000165269	BambuTx1020	ENST00000447660.3	19	22001	0	0.03259	Type0_NoDomain	Type0_NoDomain	273	241	39	0.3095	32	0.8795620437956204
ENSG00000165269	BambuTx1020	ENST00000537089.5	19	26839	0	0.05658	Type0_NoDomain	Type0_NoDomain	273	311	39	0.31008	38	0.875
ENSG00000165269	ENST00000297988.6	ENST00000377425.8	6630	15850	0	0.0086	Type0_NoDomain	Type0_NoDomain	342	216	62	0.21322	126	0.6297376093294461
ENSG00000165269	ENST00000297988.6	ENST00000447660.3	6630	22001	0	0.02728	Type0_NoDomain	Type0_NoDomain	342	241	39	0.2669	101	0.7026239067055393
ENSG00000165269	ENST00000297988.6	ENST00000537089.5	6630	26839	0	0.05127	Type0_NoDomain	Type0_NoDomain	342	311	39	0.26747	31	0.9067055393586005
ENSG00000165269	ENST00000377425.8	ENST00000447660.3	15850	22001	0	0.03588	Type0_NoDomain	Type0_NoDomain	216	241	39	0.335	25	0.8925619834710744
ENSG00000165269	ENST00000377425.8	ENST00000537089.5	15850	26839	0	0.05987	Type0_NoDomain	Type0_NoDomain	216	311	39	0.33557	95	0.6923076923076923
ENSG00000165269	ENST00000447660.3	ENST00000537089.5	22001	26839	0	0.02399	Type0_NoDomain	Type0_NoDomain	241	311	47	0.10911	70	0.7724358974358975
ENSG00000164978	BambuTx1022	ENST00000346365.9	20	11085	1	0.0	Type3_SameDomain	Type3_SameDomain	147	147	0	0.0	0	0.9932432432432432
ENSG00000137094	BambuTx1024	BambuTx1024	21	22	2	0.0	Type1_DomainLoss	Type1_DomainLoss	348	348	0	0.0	0	0.997134670487106
ENSG00000137094	BambuTx1024	ENST00000312316.9	21	7927	2	0.01769	Type1_DomainLoss	Type3_SameDomain	348	405	15	0.4524	57	0.8571428571428571
ENSG00000137094	BambuTx1024	ENST00000312316.9	21	7928	2	0.01769	Type1_DomainLoss	Type3_SameDomain	348	405	15	0.4524	57	0.8571428571428571
ENSG00000137094	BambuTx1024	ENST00000541010.5	21	27138	2	0.0	Type1_DomainLoss	Type3_SameDomain	348	348	0	0.0	0	0.997134670487106
ENSG00000137094	BambuTx1024	ENST00000541010.5	21	27139	2	0.0	Type1_DomainLoss	Type3_SameDomain	348	348	0	0.0	0	0.997134670487106
ENSG00000137094	BambuTx1024	ENST00000312316.9	22	7927	2	0.01769	Type1_DomainLoss	Type3_SameDomain	348	405	15	0.4524	57	0.8571428571428571
ENSG00000137094	BambuTx1024	ENST00000312316.9	22	7928	2	0.01769	Type1_DomainLoss	Type3_SameDomain	348	405	15	0.4524	57	0.8571428571428571
ENSG00000137094	BambuTx1024	ENST00000541010.5	22	27138	2	0.0	Type1_DomainLoss	Type3_SameDomain	348	348	0	0.0	0	0.997134670487106
ENSG00000137094	BambuTx1024	ENST00000541010.5	22	27139	2	0.0	Type1_DomainLoss	Type3_SameDomain	348	348	0	0.0	0	0.997134670487106
ENSG00000137094	ENST00000312316.9	ENST00000312316.9	7927	7928	2	0.0	Type3_SameDomain	Type3_SameDomain	405	405	0	0.0	0	0.9975369458128078
ENSG00000137094	ENST00000312316.9	ENST00000541010.5	7927	27138	2	0.01769	Type3_SameDomain	Type3_SameDomain	405	348	15	0.4524	57	0.8571428571428571
ENSG00000137094	ENST00000312316.9	ENST00000541010.5	7927	27139	2	0.01769	Type3_SameDomain	Type3_SameDomain	405	348	15	0.4524	57	0.8571428571428571
ENSG00000137094	ENST00000312316.9	ENST00000541010.5	7928	27138	2	0.01769	Type3_SameDomain	Type3_SameDomain	405	348	15	0.4524	57	0.8571428571428571
ENSG00000137094	ENST00000312316.9	ENST00000541010.5	7928	27139	2	0.01769	Type3_SameDomain	Type3_SameDomain	405	348	15	0.4524	57	0.8571428571428571
ENSG00000137094	ENST00000541010.5	ENST00000541010.5	27138	27139	2	0.0	Type3_SameDomain	Type3_SameDomain	348	348	0	0.0	0	0.997134670487106
ENSG00000198722	ENST00000378495.7	ENST00000635942.2	16065	31501	2	0.0289	Type3_SameDomain	Type3_SameDomain	1591	4340	38	0.58191	2749	0.36650541349919374
ENSG00000122707	BambuTx1028	ENST00000479053.1	24	23801	0	0.00144	Type1_DomainLoss	Type1_DomainLoss	220	225	39	0.01327	5	0.9734513274336283
ENSG00000271092	BambuTx103	BambuTx104	25	35	1	0.0001	Type0_NoDomain	Type0_NoDomain	195	226	39	0.04252	31	0.8590308370044053
ENSG00000122741	BambuTx1032	ENST00000377724.8	26	15907	1	0.00404	Type3_SameDomain	Type3_SameDomain	493	559	80	0.12458	66	0.8803571428571428
ENSG00000215126	BambuTx1035	BambuTx1035	27	28	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000215126	BambuTx1035	BambuTx1036	27	29	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000215126	BambuTx1035	BambuTx1036	27	30	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000215126	BambuTx1035	BambuTx1036	28	29	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000215126	BambuTx1035	BambuTx1036	28	30	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000215126	BambuTx1036	BambuTx1036	29	30	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000147996	BambuTx1037	BambuTx1037	31	32	0	0.0	Type0_NoDomain	Type0_NoDomain	180	180	0	0.0	0	0.994475138121547
ENSG00000147996	BambuTx1037	ENST00000377384.5	31	15833	0	0.0075	Type0_NoDomain	Type0_NoDomain	180	113	20	0.11814	67	0.6243093922651933
ENSG00000147996	BambuTx1037	ENST00000377384.5	32	15833	0	0.0075	Type0_NoDomain	Type0_NoDomain	180	113	20	0.11814	67	0.6243093922651933
ENSG00000147996	ENST00000382405.8	ENST00000497250.5	16806	24724	1	0.01365	Type0_NoDomain	Type0_NoDomain	395	180	47	0.33871	215	0.45454545454545453
ENSG00000147996	ENST00000382405.8	ENST00000497250.5	16806	24725	1	0.01365	Type0_NoDomain	Type0_NoDomain	395	180	47	0.33871	215	0.45454545454545453
ENSG00000147996	ENST00000497250.5	ENST00000497250.5	24724	24725	1	0.0	Type0_NoDomain	Type0_NoDomain	180	180	0	0.0	0	0.994475138121547
ENSG00000196873	BambuTx1039	BambuTx1039	33	34	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000196873	BambuTx1039	BambuTx1040	33	36	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000196873	BambuTx1039	BambuTx1040	33	37	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000196873	BambuTx1039	BambuTx1040	34	36	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000196873	BambuTx1039	BambuTx1040	34	37	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000196873	BambuTx1040	BambuTx1040	36	37	1	0.0	Type0_NoDomain	Type0_NoDomain	160	160	0	0.0	0	0.9937888198757764
ENSG00000119139	BambuTx1042	BambuTx1042	38	39	3	0.0	Type1_DomainLoss	Type1_DomainLoss	1153	1153	0	0.0	0	0.9991334488734835
ENSG00000119139	BambuTx1042	ENST00000348208.9	38	11186	3	0.00085	Type1_DomainLoss	Type3_SameDomain	1153	1043	59	0.02184	110	0.9038128249566725
ENSG00000119139	BambuTx1042	ENST00000348208.9	38	11187	3	0.00085	Type1_DomainLoss	Type3_SameDomain	1153	1043	59	0.02184	110	0.9038128249566725
ENSG00000119139	BambuTx1042	ENST00000348208.9	39	11186	3	0.00085	Type1_DomainLoss	Type3_SameDomain	1153	1043	59	0.02184	110	0.9038128249566725
ENSG00000119139	BambuTx1042	ENST00000348208.9	39	11187	3	0.00085	Type1_DomainLoss	Type3_SameDomain	1153	1043	59	0.02184	110	0.9038128249566725
ENSG00000119139	ENST00000348208.9	ENST00000348208.9	11186	11187	3	0.0	Type3_SameDomain	Type3_SameDomain	1043	1043	0	0.0	0	0.9990421455938697
ENSG00000119139	ENST00000377245.9	ENST00000377245.9	15818	15819	0	0.0	Type1_DomainLoss	Type1_DomainLoss	1190	1190	0	0.0	0	0.9991603694374476
ENSG00000119139	ENST00000377245.9	ENST00000636438.1	15818	31531	0	0.00367	Type1_DomainLoss	Type1_DomainLoss	1190	1249	54	0.07292	59	0.952
ENSG00000119139	ENST00000377245.9	ENST00000636438.1	15818	31532	0	0.00367	Type1_DomainLoss	Type1_DomainLoss	1190	1249	54	0.07292	59	0.952
ENSG00000119139	ENST00000377245.9	ENST00000636438.1	15819	31531	0	0.00367	Type1_DomainLoss	Type1_DomainLoss	1190	1249	54	0.07292	59	0.952
ENSG00000119139	ENST00000377245.9	ENST00000636438.1	15819	31532	0	0.00367	Type1_DomainLoss	Type1_DomainLoss	1190	1249	54	0.07292	59	0.952
ENSG00000119139	ENST00000636438.1	ENST00000636438.1	31531	31532	0	0.0	Type1_DomainLoss	Type1_DomainLoss	1249	1249	0	0.0	0	0.9992
ENSG00000148090	BambuTx1047	ENST00000375731.9	40	15540	1	0.00033	Type3_SameDomain	Type3_SameDomain	255	339	19	0.06534	84	0.75
ENSG00000165233	BambuTx1049	ENST00000375464.7	41	15504	0	0.01942	Type0_NoDomain	Type0_NoDomain	111	226	15	0.20899	115	0.4889867841409692
ENSG00000165233	BambuTx1049	ENST00000466409.1	41	23130	0	0.00498	Type0_NoDomain	Type0_NoDomain	111	270	15	0.18409	159	0.4095940959409594
ENSG00000165233	BambuTx1049	ENST00000468781.5	41	23240	0	0.04025	Type0_NoDomain	Type0_NoDomain	111	163	15	0.20822	52	0.676829268292683
ENSG00000165233	ENST00000375464.7	ENST00000466409.1	15504	23130	0	0.01444	Type0_NoDomain	Type0_NoDomain	226	270	77	0.14664	44	0.8339483394833949
ENSG00000165233	ENST00000375464.7	ENST00000468781.5	15504	23240	0	0.02083	Type0_NoDomain	Type0_NoDomain	226	163	62	0.16418	63	0.7180616740088106
ENSG00000165233	ENST00000466409.1	ENST00000468781.5	23130	23240	0	0.03527	Type0_NoDomain	Type0_NoDomain	270	163	62	0.18125	107	0.6014760147601476
ENSG00000296343	BambuTx1051	BambuTx1053	42	44	0	0.0	Type0_NoDomain	Type0_NoDomain	197	197	0	0.0	0	0.9949494949494949
ENSG00000296343	BambuTx1051	BambuTx1053	42	45	0	0.0	Type0_NoDomain	Type0_NoDomain	197	197	0	0.0	0	0.9949494949494949
