tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful
muscle	ENSG00000137094.16	7927	27138	27138	7927	1	376	0	1	0.1212766666666666	1	22.84268569946289	0
muscle	ENSG00000137094.16	7927	27139	27139	7927	1	376	0	1	0.1212766666666666	1	22.84268569946289	0
muscle	ENSG00000198722.15	31501	23	31501	23	0	3955	1	0	0.1464291645044109	1	-0.3623570501804352	1
muscle	ENSG00000198722.15	31501	16065	31501	16065	0	2749	0	0	0.1666144052382684	1	-1.061650633811951	0
muscle	ENSG00000122707.12	15958	24	15958	24	0	752	1	0	0.1244946808510638	1	1.0841724872589111	1
muscle	ENSG00000122707.12	15958	23801	15958	23801	0	746	1	0	0.1284517426273458	1	1.129152536392212	1
muscle	ENSG00000271092.5	35	25	35	25	0	31	0	0	0.0834838709677419	0	-1.020501732826233	0
muscle	ENSG00000122741.16	15907	26	15907	26	0	66	0	0	-0.0426060606060606	0	3.4187254905700684	0
muscle	ENSG00000147996.17	16806	31	16806	31	0	216	0	0	0.0920324074074074	1	-0.959690809249878	0
muscle	ENSG00000147996.17	16806	32	16806	32	0	216	0	0	0.0920324074074074	1	-0.959690809249878	0
muscle	ENSG00000147996.17	16806	15833	16806	15833	0	282	0	0	0.0762482269503546	1	2.5265932083129883	0
muscle	ENSG00000147996.17	16806	24724	16806	24724	0	216	0	0	0.0920324074074074	1	-0.959690809249878	0
muscle	ENSG00000147996.17	16806	24725	16806	24725	0	216	0	0	0.0920324074074074	1	-0.959690809249878	0
muscle	ENSG00000119139.21	15818	38	15818	38	0	37	0	0	0.3805135135135135	0	0.1276178508996963	0
muscle	ENSG00000119139.21	15818	39	15818	39	0	37	0	0	0.3805135135135135	0	0.1276178508996963	0
muscle	ENSG00000119139.21	15818	11186	15818	11186	0	147	1	0	0.2919183673469388	1	0.0556144043803215	1
muscle	ENSG00000119139.21	15818	11187	15818	11187	0	147	1	0	0.2919183673469388	1	0.0556144043803215	1
muscle	ENSG00000119139.21	15818	31531	31531	15818	1	74	0	1	0.1489855072463768	0	-1.4048330783843994	0
muscle	ENSG00000119139.21	15818	31532	31532	15818	1	74	0	1	0.1489855072463768	0	-1.4048330783843994	0
muscle	ENSG00000148090.12	15540	40	15540	40	0	128	0	0	0.1167454545454545	1	0.6330640912055969	0
muscle	ENSG00000165233.18	15504	41	15504	41	0	123	0	1	0.0639098360655737	1	11.87624740600586	0
muscle	ENSG00000165233.18	15504	23130	23130	15504	1	172	0	0	0.1450636363636363	0	-4.09725284576416	0
muscle	ENSG00000165233.18	15504	23240	15504	23240	0	63	0	1	0.166047619047619	1	-1.3301540613174438	0
muscle	ENSG00000148120.19	21821	43	21821	43	0	230	0	1	0.1304451612903225	1	6.882241725921631	0
muscle	ENSG00000148120.19	21821	23434	21821	23434	0	235	0	1	0.1306666666666666	1	7.053591728210449	0
muscle	ENSG00000148120.19	21821	23777	21821	23777	0	4	0	1	0.3512499999999999	0	-0.0229472219944	0
muscle	ENSG00000148120.19	21821	36190	21821	36190	0	262	0	1	0.1088481012658227	1	8.301287651062012	0
muscle	ENSG00000158169.14	5968	47	5968	47	0	547	0	1	0.0433255813953488	1	8.13446044921875	0
muscle	ENSG00000158169.14	5968	48	5968	48	0	547	0	1	0.0433255813953488	1	8.13446044921875	0
muscle	ENSG00000158169.14	5968	49	5968	49	0	547	0	1	0.0433255813953488	1	8.13446044921875	0
muscle	ENSG00000158169.14	5968	50	5968	50	0	547	0	1	0.0433255813953488	1	8.13446044921875	0
muscle	ENSG00000158169.14	5968	51	5968	51	0	572	0	1	0.0481029126213592	1	12.664684295654297	0
muscle	ENSG00000158169.14	5968	52	5968	52	0	572	0	1	0.0481029126213592	1	12.664684295654297	0
muscle	ENSG00000158169.14	5968	21094	5968	21094	0	618	0	1	0.0442767175572519	1	5.487763404846191	0
muscle	ENSG00000158169.14	5968	21095	5968	21095	0	618	0	1	0.0442767175572519	1	5.487763404846191	0
muscle	ENSG00000158122.12	15442	53	15442	53	0	44	0	0	0.1011363636363636	1	4.751478672027588	0
muscle	ENSG00000158122.12	15442	19649	15442	19649	0	117	0	1	0.1152649572649572	1	10.668533325195312	0
muscle	ENSG00000158122.12	15442	21876	15442	21876	0	54	0	1	0.1332777777777777	0	2.117741107940674	0
muscle	ENSG00000251349.3	56	24866	56	24866	0	111	0	1	0.13509009009009	0	2.055731296539306	0
muscle	ENSG00000186051.7	59	60	59	60	0	25	0	1	0.1118	0	0.3637428879737854	0
muscle	ENSG00000106771.13	15294	61	15294	61	0	39	0	0	0.161025641025641	0	-0.222964197397232	0
muscle	ENSG00000106771.13	15294	19751	15294	19751	0	8	0	0	-0.11725	0	-0.0422397926449775	0
muscle	ENSG00000156875.14	14060	62	14060	62	0	38	0	0	-0.0349210526315789	0	1.2821892499923706	0
muscle	ENSG00000070159.14	15283	63	63	15283	1	508	1	1	0.0953160173160173	1	27.259042739868164	1
muscle	ENSG00000070159.14	15283	19666	19666	15283	1	768	1	1	0.0916547455295735	1	26.27356338500977	1
muscle	ENSG00000070159.14	15283	19667	19667	15283	1	768	1	1	0.0916547455295735	1	26.27356338500977	1
muscle	ENSG00000070159.14	15283	21905	21905	15283	1	724	1	1	0.0915212298682283	1	26.344554901123047	1
muscle	ENSG00000070159.14	15283	21906	21906	15283	1	724	1	1	0.0915212298682283	1	26.344554901123047	1
muscle	ENSG00000148153.14	15207	66	15207	66	0	145	0	1	0.1302278481012658	1	1.38661789894104	0
muscle	ENSG00000136933.17	15029	68	15029	68	0	105	0	0	0.1239619047619047	0	1.3190144300460815	0
muscle	ENSG00000136933.17	15029	3708	15029	3708	0	51	0	0	0.0822549019607843	0	0.3323607444763183	0
muscle	ENSG00000167081.18	15012	69	15012	69	0	108	0	1	0.1663148148148148	0	-1.271545171737671	0
muscle	ENSG00000167081.18	15012	70	15012	70	0	108	0	1	0.1663148148148148	0	-1.271545171737671	0
muscle	ENSG00000167081.18	15012	10691	15012	10691	0	94	1	0	0.1114831460674157	1	0.8251134157180786	1
muscle	ENSG00000167081.18	15012	10692	15012	10692	0	94	1	0	0.1114831460674157	1	0.8251134157180786	1
muscle	ENSG00000122435.11	14057	71	14057	71	0	212	0	0	0.1103333333333333	0	-2.1005406379699707	0
muscle	ENSG00000122435.11	14057	23973	14057	23973	0	309	0	1	0.1109093851132686	1	1.5851958990097046	0
muscle	ENSG00000136828.19	72	73	72	73	0	38	0	0	0.2766333333333333	1	-0.2004410326480865	0
muscle	ENSG00000136828.19	72	21421	72	21421	0	714	1	1	0.1387878787878787	1	24.72631072998047	1
muscle	ENSG00000136828.19	72	21422	72	21422	0	714	1	1	0.1387878787878787	1	24.72631072998047	1
muscle	ENSG00000136895.19	14984	74	74	14984	1	84	0	1	0.2051518987341772	0	0.0149928107857704	0
muscle	ENSG00000136877.16	14950	75	14950	75	0	90	0	0	0.1389438202247191	1	-1.2068109512329102	0
muscle	ENSG00000136877.16	14950	14939	14950	14939	0	50	0	1	0.0983799999999999	0	-0.4154075682163238	0
muscle	ENSG00000136877.16	14950	31371	14950	31371	0	297	0	0	0.107211111111111	1	-0.609480619430542	0
muscle	ENSG00000119333.12	14756	79	14756	79	0	32	0	1	0.04909375	1	0.907282829284668	0
muscle	ENSG00000198917.13	12840	80	12840	80	0	460	0	1	0.1978581081081081	1	-9.95819091796875	0
muscle	ENSG00000198917.13	12840	81	12840	81	0	460	0	1	0.1978581081081081	1	-9.95819091796875	0
muscle	ENSG00000136819.15	14671	83	14671	83	0	20	0	1	0.22925	0	-0.1258121281862259	0
muscle	ENSG00000187713.7	10848	86	86	10848	1	219	0	1	0.3088739495798319	1	11.712139129638672	0
muscle	ENSG00000187713.7	10848	87	87	10848	1	219	0	1	0.3088739495798319	1	11.712139129638672	0
muscle	ENSG00000187713.7	10848	88	88	10848	1	219	0	1	0.3088739495798319	1	11.712139129638672	0
muscle	ENSG00000197070.14	14374	89	14374	89	0	464	1	1	0.1514585492227979	1	23.35519027709961	1
muscle	ENSG00000162639.16	32551	90	90	32551	1	12	0	1	0.086	0	0.0810534656047821	0
muscle	ENSG00000015171.21	16679	91	16679	91	0	54	0	0	0.0735	0	1.3339929580688477	0
muscle	ENSG00000015171.21	16679	18918	16679	18918	0	31	0	0	0.152258064516129	0	0.5268027782440186	0
muscle	ENSG00000015171.21	16679	30034	16679	30034	0	85	0	0	0.1022235294117646	0	1.207497477531433	0
muscle	ENSG00000015171.21	16679	35954	16679	35954	0	91	0	0	0.0929780219780219	0	2.6378345489501958	0
muscle	ENSG00000134452.20	13071	93	13071	93	0	66	0	1	0.1163636363636363	0	-0.3035094439983368	0
muscle	ENSG00000134452.20	13071	18330	18330	13071	1	17	0	0	0.2401176470588235	0	-0.0615405440330505	0
muscle	ENSG00000065675.16	4274	94	94	4274	1	34	0	1	0.0919705882352941	0	-0.7871370315551758	0
muscle	ENSG00000065675.16	4274	27054	4274	27054	0	125	0	1	0.0810799999999999	0	-0.5398910641670227	0
muscle	ENSG00000065675.16	4274	27055	4274	27055	0	125	0	1	0.0810799999999999	0	-0.5398910641670227	0
muscle	ENSG00000065665.21	6664	95	6664	95	0	242	0	1	-0.0197479338842975	1	3.8056178092956543	0
muscle	ENSG00000065665.21	6664	96	6664	96	0	242	0	1	-0.0197479338842975	1	3.8056178092956543	0
muscle	ENSG00000148481.14	5443	99	5443	99	0	295	0	1	0.0820508474576271	1	10.603382110595703	0
muscle	ENSG00000148481.14	5443	15980	5443	15980	0	295	0	1	0.0820508474576271	1	10.603382110595703	0
muscle	ENSG00000148481.14	5443	23741	5443	23741	0	173	0	1	0.1231560693641618	0	9.482370376586914	0
muscle	ENSG00000148481.14	5443	23742	5443	23742	0	173	0	1	0.1231560693641618	0	9.482370376586914	0
muscle	ENSG00000150054.19	34529	100	34529	100	0	258	1	0	0.1027674418604651	1	1.7568942308425903	1
muscle	ENSG00000291093.2	34734	101	101	34734	1	220	0	1	0.0432746478873239	1	1.8969991207122805	0
muscle	ENSG00000291093.2	34734	19792	19792	34734	1	160	0	1	0.0373777777777777	1	1.043852686882019	0
muscle	ENSG00000291093.2	34734	20307	20307	34734	1	160	0	1	0.0373777777777777	1	1.043852686882019	0
muscle	ENSG00000291093.2	34734	20638	20638	34734	1	220	0	1	0.0432746478873239	1	1.8969991207122805	0
muscle	ENSG00000291093.2	34734	20639	20639	34734	1	220	0	1	0.0432746478873239	1	1.8969991207122805	0
muscle	ENSG00000291093.2	34734	31176	31176	34734	1	220	0	1	0.0432746478873239	1	1.8969991207122805	0
muscle	ENSG00000291093.2	34734	34830	34830	34734	1	137	0	1	0.0603947368421052	1	6.064127445220947	0
muscle	ENSG00000095794.21	34786	102	34786	102	0	184	0	1	0.1772663043478261	1	-2.171550989151001	0
muscle	ENSG00000095794.21	34786	104	34786	104	0	79	0	1	0.1200253164556961	1	1.3282111883163452	0
muscle	ENSG00000095794.21	34786	15326	34786	15326	0	167	1	1	0.1718132530120481	1	14.154419898986816	1
muscle	ENSG00000095794.21	34786	22825	34786	22825	0	204	0	1	0.1690416666666666	1	0.6988475322723389	0
muscle	ENSG00000095794.21	34786	22914	34786	22914	0	202	0	1	0.1728514851485148	1	-1.5861904621124268	0
muscle	ENSG00000095794.21	34786	23586	34786	23586	0	189	0	1	0.167005291005291	1	-0.8786948919296265	0
muscle	ENSG00000196693.15	12487	105	12487	105	0	112	1	1	0.1243482142857143	0	-2.211271047592163	1
muscle	ENSG00000196693.15	12487	106	12487	106	0	112	1	1	0.1243482142857143	0	-2.211271047592163	1
muscle	ENSG00000198298.13	13005	107	13005	107	0	91	1	1	0.084032967032967	0	-3.092712879180908	1
muscle	ENSG00000198298.13	13005	108	13005	108	0	91	1	1	0.084032967032967	0	-3.092712879180908	1
muscle	ENSG00000156171.15	24063	24676	24063	24676	0	128	0	1	-0.0022016806722689	0	0.9215739965438844	0
muscle	ENSG00000204179.11	113	17987	113	17987	0	51	0	1	0.1988095238095238	0	1.325303316116333	0
muscle	ENSG00000204147.11	32163	114	114	32163	1	234	0	1	0.0517943262411347	1	19.06230354309082	0
muscle	ENSG00000204147.11	32163	115	115	32163	1	234	0	1	0.0517943262411347	1	19.06230354309082	0
muscle	ENSG00000204147.11	32163	15161	15161	32163	1	209	0	1	0.1120152671755725	1	17.354143142700195	0
muscle	ENSG00000204147.11	32163	15162	15162	32163	1	209	0	1	0.1120152671755725	1	17.354143142700195	0
muscle	ENSG00000204147.11	32163	31891	31891	32163	1	212	0	1	0.0805766423357664	1	16.505664825439453	0
muscle	ENSG00000204147.11	32163	31892	31892	32163	1	212	0	1	0.0805766423357664	1	16.505664825439453	0
muscle	ENSG00000165449.12	116	117	116	117	0	406	0	0	0.0074764705882352	1	0.9872478246688844	0
muscle	ENSG00000165476.14	15083	119	15083	119	0	108	0	0	0.2430555555555555	1	-0.6808212399482727	0
muscle	ENSG00000165476.14	15083	120	15083	120	0	108	0	0	0.2430555555555555	1	-0.6808212399482727	0
muscle	ENSG00000138303.19	33146	24168	33146	24168	0	118	0	1	0.0834742268041237	0	-1.2650772333145142	0
muscle	ENSG00000138303.19	33146	33144	33146	33144	0	40	0	0	0.09335	0	0.0948682427406311	0
muscle	ENSG00000148719.16	123	10301	123	10301	0	458	1	1	0.1164972375690607	1	21.10773468017578	1
muscle	ENSG00000148719.16	123	10302	123	10302	0	458	1	1	0.1164972375690607	1	21.10773468017578	1
muscle	ENSG00000148719.16	123	17814	123	17814	0	458	0	1	0.1164972375690607	1	21.10773468017578	0
muscle	ENSG00000148719.16	123	17815	123	17815	0	458	0	1	0.1164972375690607	1	21.10773468017578	0
muscle	ENSG00000134255.16	12054	125	12054	125	0	17	0	0	-0.0909230769230769	0	0.0619315654039382	0
muscle	ENSG00000134255.16	12054	23182	12054	23182	0	245	0	1	0.0078897959183673	1	13.693220138549805	0
muscle	ENSG00000134255.16	12054	23867	12054	23867	0	248	0	0	-0.058	1	-4.654787063598633	0
muscle	ENSG00000188716.6	10258	126	10258	126	0	139	0	1	0.161978417266187	1	-2.7630441188812256	0
muscle	ENSG00000188716.6	10258	127	10258	127	0	139	0	1	0.161978417266187	1	-2.7630441188812256	0
muscle	ENSG00000293542.1	23485	128	23485	128	0	126	0	1	0.2234206349206348	0	-3.041173458099365	0
muscle	ENSG00000293542.1	23485	36207	23485	36207	0	169	0	1	0.1707278106508875	0	-7.109640598297119	0
muscle	ENSG00000156671.15	27240	129	129	27240	1	49	0	1	0.154	0	-1.1139771938323977	0
muscle	ENSG00000156671.15	27240	14744	27240	14744	0	123	0	1	-0.0339532710280373	0	1.9740556478500368	0
muscle	ENSG00000156671.15	27240	33060	33060	27240	1	36	0	1	0.36475	0	-0.5589045286178589	0
muscle	ENSG00000156671.15	27240	33064	33064	27240	1	7	0	1	0.3364285714285714	0	-0.0348918512463569	0
muscle	ENSG00000173267.14	14541	130	14541	130	0	33	0	1	0.246060606060606	0	-0.3622702360153198	0
muscle	ENSG00000148688.14	14448	132	132	14448	1	60	0	0	0.1369285714285714	0	-2.941096782684326	0
muscle	ENSG00000213390.11	12334	133	133	12334	1	36	0	1	0.1706388888888889	0	-0.8072220087051392	0
muscle	ENSG00000014919.13	1622	138	1622	138	0	126	0	1	-0.0061587301587301	0	3.998061656951904	0
muscle	ENSG00000014919.13	1622	14138	1622	14138	0	61	0	1	0.0343191489361702	0	-0.1662310510873794	0
muscle	ENSG00000107566.14	20195	19285	19285	20195	1	27	0	1	0.0881851851851852	0	-0.6385074257850647	0
muscle	ENSG00000095485.18	11492	140	140	11492	1	12	0	1	-0.09125	0	-0.2684369087219238	0
muscle	ENSG00000107821.15	14071	142	14071	142	0	199	1	1	0.1594321608040201	1	-1.175321340560913	1
muscle	ENSG00000107821.15	14071	23750	14071	23750	0	168	1	1	0.1658048780487805	1	-0.8479334115982056	1
muscle	ENSG00000116455.14	2623	143	2623	143	0	50	1	0	0.169625	1	1.3399122953414917	1
muscle	ENSG00000116455.14	2623	144	2623	144	0	50	1	0	0.169625	1	1.3399122953414917	1
muscle	ENSG00000269609.7	149	148	149	148	0	245	0	1	0.2054431818181817	1	-1.6899114847183228	0
muscle	ENSG00000107882.12	13995	150	13995	150	0	515	0	1	0.1327995594713656	1	12.61846923828125	0
muscle	ENSG00000107882.12	13995	151	13995	151	0	515	0	1	0.1327995594713656	1	12.61846923828125	0
muscle	ENSG00000107882.12	13995	152	13995	152	0	515	0	1	0.1327995594713656	1	12.61846923828125	0
muscle	ENSG00000107882.12	13995	153	13995	153	0	515	0	1	0.1327995594713656	1	12.61846923828125	0
muscle	ENSG00000107882.12	13995	13994	13995	13994	0	51	0	0	0.1898431372549019	1	0.8802729845046997	0
muscle	ENSG00000198799.12	12795	155	12795	155	0	944	0	0	0.0715311158798283	1	15.562943458557127	0
muscle	ENSG00000198799.12	12795	24459	12795	24459	0	407	1	1	0.0579140049140049	0	3.0732946395874023	1
muscle	ENSG00000107954.11	13948	156	13948	156	0	25	1	1	0.2744782608695652	0	-0.0760692283511161	1
muscle	ENSG00000151553.16	13810	157	157	13810	1	81	0	1	0.0365	0	-0.4753808379173279	0
muscle	ENSG00000119979.18	12900	158	12900	158	0	57	0	0	0.1055964912280701	1	-0.335480123758316	0
muscle	ENSG00000183605.17	11762	159	11762	159	0	138	0	1	0.1088260869565217	0	-3.749323844909668	0
muscle	ENSG00000107672.15	13755	160	13755	160	0	159	0	1	0.1937924528301886	0	2.365845203399658	0
muscle	ENSG00000171612.7	7054	161	7054	161	0	220	1	1	0.1113590909090909	1	-2.977447509765625	1
muscle	ENSG00000171612.7	7054	162	7054	162	0	220	1	1	0.1113590909090909	1	-2.977447509765625	1
muscle	ENSG00000107679.15	21077	163	21077	163	0	131	0	0	0.1899634146341463	1	0.3264130353927612	0
muscle	ENSG00000107679.15	21077	164	21077	164	0	131	0	0	0.1899634146341463	1	0.3264130353927612	0
muscle	ENSG00000107679.15	21077	13750	21077	13750	0	131	0	0	0.1899634146341463	1	0.3264130353927612	0
muscle	ENSG00000179988.15	19172	13718	19172	13718	0	79	0	0	0.0460999999999999	1	0.6656137704849243	0
muscle	ENSG00000237489.5	31574	170	170	31574	1	12	0	0	0.0755	1	0.1462274193763733	0
muscle	ENSG00000237489.5	31574	172	172	31574	1	12	0	0	0.0755	1	0.1462274193763733	0
muscle	ENSG00000134253.10	3489	171	3489	171	0	104	1	1	0.1279134615384615	0	0.06003088504076	1
muscle	ENSG00000134253.10	3489	192	3489	192	0	104	1	1	0.1279134615384615	0	0.06003088504076	1
muscle	ENSG00000134253.10	3489	1075	3489	1075	0	106	1	1	0.1025930232558139	0	2.052850246429444	1
muscle	ENSG00000175470.20	22544	173	22544	173	0	165	0	1	0.1054181818181818	0	0.6263811588287354	0
muscle	ENSG00000175470.20	22544	174	22544	174	0	165	0	1	0.1054181818181818	0	0.6263811588287354	0
muscle	ENSG00000175470.20	22544	30721	22544	30721	0	227	0	1	0.0807224669603524	1	2.804800033569336	0
muscle	ENSG00000175470.20	22544	30722	22544	30722	0	227	0	1	0.0807224669603524	1	2.804800033569336	0
muscle	ENSG00000171811.14	13633	178	13633	178	0	2482	0	1	0.113346440397351	1	-7.249828338623047	0
muscle	ENSG00000171811.14	13633	179	13633	179	0	2482	0	1	0.113346440397351	1	-7.249828338623047	0
muscle	ENSG00000171811.14	13633	31662	13633	31662	0	212	0	0	0.1617302631578947	1	0.0	0
muscle	ENSG00000171811.14	13633	31663	13633	31663	0	212	0	0	0.1617302631578947	1	0.0	0
muscle	ENSG00000177963.15	26145	180	26145	180	0	110	0	1	0.1364818181818181	0	-0.0930237770080566	0
muscle	ENSG00000177963.15	26145	181	26145	181	0	110	0	1	0.1364818181818181	0	-0.0930237770080566	0
muscle	ENSG00000177963.15	26145	9046	9046	26145	1	6	0	0	0.4268333333333333	0	0.038131084293127	0
muscle	ENSG00000177963.15	26145	9047	9047	26145	1	6	0	0	0.4268333333333333	0	0.0381310880184173	0
muscle	ENSG00000177963.15	26145	26260	26145	26260	0	62	0	1	0.1734054054054054	0	0.674831748008728	0
muscle	ENSG00000177963.15	26145	26261	26145	26261	0	62	0	1	0.1734054054054054	0	0.674831748008728	0
muscle	ENSG00000142082.15	16845	182	182	16845	1	18	0	0	0.3226666666666666	1	-0.4008733034133911	0
muscle	ENSG00000142082.15	16845	26571	16845	26571	0	146	0	1	0.1161712328767123	0	-4.146084785461426	0
muscle	ENSG00000177042.16	18382	184	184	18382	1	241	0	1	-0.0499367088607594	1	18.57344055175781	0
muscle	ENSG00000177042.16	18382	24452	24452	18382	1	245	0	1	-0.0503680981595092	1	17.703346252441406	0
muscle	ENSG00000177830.18	8917	185	8917	185	0	479	0	1	0.0683722826086956	1	13.973274230957031	0
muscle	ENSG00000177830.18	8917	186	8917	186	0	479	0	1	0.0683722826086956	1	13.973274230957031	0
muscle	ENSG00000177830.18	8917	187	8917	187	0	479	0	1	0.0683722826086956	1	13.973274230957031	0
muscle	ENSG00000177830.18	8917	188	8917	188	0	97	0	1	0.0857525773195876	0	-0.8104540109634399	0
muscle	ENSG00000177830.18	8917	189	8917	189	0	97	0	1	0.0857525773195876	0	-0.8104540109634399	0
muscle	ENSG00000177830.18	8917	190	8917	190	0	97	0	1	0.0857525773195876	0	-0.8104540109634399	0
muscle	ENSG00000177830.18	8917	20829	8917	20829	0	39	0	0	0.0409677419354838	0	1.518903732299805	0
muscle	ENSG00000177830.18	8917	21272	8917	21272	0	26	0	1	0.237	0	-1.1274020671844482	0
muscle	ENSG00000167311.14	18279	191	191	18279	1	39	0	0	0.1637931034482758	1	-0.4103675782680511	0
muscle	ENSG00000148985.20	18261	196	18261	196	0	186	0	1	0.0444215686274509	0	2.3895106315612797	0
muscle	ENSG00000148985.20	18261	6865	18261	6865	0	4	0	0	0.3185	0	-0.106013998389244	0
muscle	ENSG00000148985.20	18261	18264	18261	18264	0	186	0	1	0.0374117647058823	0	2.3374805450439453	0
muscle	ENSG00000166387.14	6759	197	197	6759	1	113	0	0	0.1423628318584071	0	-0.2828264832496643	0
muscle	ENSG00000166387.14	6759	34644	6759	34644	0	98	1	1	0.1266395348837209	1	-0.9992242455482484	1
muscle	ENSG00000166387.14	6759	34645	6759	34645	0	98	1	1	0.1266395348837209	1	-0.9992242455482484	1
muscle	ENSG00000166407.14	9929	198	9929	198	0	11	0	1	0.136090909090909	0	-1.004197120666504	0
muscle	ENSG00000175356.14	32390	200	32390	200	0	155	0	0	0.1736451612903225	0	-1.1757605075836182	0
muscle	ENSG00000070081.18	26344	201	26344	201	0	30	1	0	0.1754666666666667	0	1.18437922000885	1
muscle	ENSG00000129158.11	4804	204	4804	204	0	114	0	1	0.0874473684210526	0	2.3622827529907227	0
muscle	ENSG00000129158.11	4804	205	4804	205	0	287	1	1	0.1236271777003484	1	0.3160077929496765	1
muscle	ENSG00000129158.11	4804	26296	4804	26296	0	179	0	0	0.1474682080924855	0	-2.2999653816223145	0
muscle	BambuGene6326	206	209	206	209	0	223	0	1	0.0828319327731092	1	-23.002574920654297	0
muscle	BambuGene6326	206	210	206	210	0	223	0	1	0.0828319327731092	1	-23.002574920654297	0
muscle	ENSG00000109881.17	9324	207	9324	207	0	36	0	0	0.3114166666666667	0	1.2689993381500244	0
muscle	ENSG00000169519.21	19253	208	19253	208	0	202	0	0	0.0857202072538859	1	1.85207200050354	0
muscle	ENSG00000169519.21	19253	19205	19253	19205	0	224	0	0	0.0861189189189189	1	3.920717000961304	0
muscle	ENSG00000121671.12	30696	21720	21720	30696	1	678	0	1	0.0961188455008488	1	27.19739532470703	0
muscle	ENSG00000121671.12	30696	21721	21721	30696	1	678	0	1	0.0961188455008488	1	27.19739532470703	0
muscle	ENSG00000121671.12	30696	30730	30730	30696	1	678	0	1	0.0961188455008488	1	27.19739532470703	0
muscle	ENSG00000121671.12	30696	30731	30731	30696	1	678	0	1	0.0961188455008488	1	27.19739532470703	0
muscle	ENSG00000166900.17	10189	213	10189	213	0	122	0	1	0.086593220338983	0	2.791977405548096	0
muscle	ENSG00000166900.17	10189	26352	10189	26352	0	25	0	0	-0.2061428571428571	1	1.17415189743042	0
