tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful	severity_score_region	severity_score_scram	size_long_region	size_short_region
brain	AAR2	60	55	60	55	0	126	0	0	0.0084545454545454	1	0.721651554107666	1	3.798002243041992	9.548328399658203	121	11
brain	AAR2	60	58	60	58	0	50	0	0	0.10884	1	-0.8646667003631592	1	3.557814598083496	3.9919514656066895	50	1
brain	AARS1	77	63	77	63	0	607	0	1	0.0940887372013651	1	3.232495784759521	1	-0.14926600456237793	7.948934555053711	586	26
brain	AARS1	77	64	77	64	0	242	0	0	0.1265826446280991	1	0.251290500164032	1	-1.8467302322387695	5.053911209106445	242	60
brain	AARS1	77	65	77	65	0	473	0	0	0.112068376068376	1	1.794001579284668	1	12.53836441040039	5.923391342163086	468	6
brain	AARS1	77	66	77	66	0	273	0	0	0.1128836206896551	1	1.2228307723999023	1	9.741674423217773	-2.4853696823120117	232	53
brain	AARS1	77	67	77	67	0	93	0	0	0.111067415730337	1	1.7181415557861328	1	15.82687759399414	6.784529209136963	89	15
brain	AARS1	77	68	77	68	0	62	0	1	0.0556451612903225	0	0.3685087859630584	1	8.094724655151367	0.736807644367218	62	60
brain	AARS1	77	69	77	69	0	450	0	0	0.1045758928571428	1	2.414822578430176	1	17.64659881591797	-0.8671177625656128	448	15
brain	AARS1	77	70	77	70	0	454	0	0	0.1035991189427312	1	2.0560431480407715	1	14.367111206054688	-0.5098189115524292	454	7
brain	AARS1	77	71	71	77	1	9	0	0	-0.2792222222222221	0	-0.3548107147216797	0	4.107861518859863	-3.402416706085205	9	60
brain	AARS1	77	72	77	72	0	315	0	0	0.1283231292517007	1	0.288130909204483	1	-2.0493392944335938	-6.163599967956543	294	26
brain	AARS1	77	73	77	73	0	794	0	1	0.0821813602015113	1	2.035771131515503	1	9.094572067260742	3.1770944595336914	794	1
brain	AARS1	77	74	77	74	0	408	0	0	0.1126642156862745	1	2.661508798599243	1	1.4215868711471558	-0.30504244565963745	408	60
brain	AARS1	77	75	77	75	0	869	0	1	0.0791156069364161	1	16.260379791259766	1	22.830509185791016	21.9895076751709	865	15
brain	AARS1	77	76	76	77	1	16	0	0	0.2159375	0	-0.3429429531097412	1	-6.211587905883789	1.8480137586593628	16	60
brain	AARS1	77	78	77	78	0	338	0	0	0.1241211072664359	1	0.7609949111938477	1	3.4761674404144287	-3.64467716217041	289	55
brain	AARS1	77	79	77	79	0	338	0	0	0.1241211072664359	1	0.7609949111938477	1	3.4761674404144287	-3.9480910301208496	289	55
brain	AARS1	77	80	77	80	0	450	0	0	0.1045758928571428	1	2.414822578430176	1	17.64659881591797	-3.526395797729492	448	15
brain	AARSD1	85	82	85	82	0	108	0	1	0.1350277777777778	0	2.2739362716674805	0	1.690551996231079	2.127603054046631	108	60
brain	AARSD1	85	84	85	84	0	185	0	0	0.1008648648648648	1	-0.6465311646461487	1	2.8305537700653076	0.6643826365470886	185	3
brain	AASDH	86	87	86	87	0	262	0	0	0.0454470588235294	1	1.0337681770324707	1	19.623159408569336	9.383049964904785	179	14
brain	AASDH	86	88	86	88	0	100	0	1	0.0508	0	1.0230265855789185	1	9.167610168457031	5.943829536437988	100	76
brain	AASDH	86	89	86	89	0	258	0	0	0.0431976744186046	1	0.3932531177997589	1	11.626472473144531	-4.9706807136535645	185	4
brain	AASDH	86	90	86	90	0	153	0	1	0.0391437908496731	0	0.8983663320541382	1	6.841770648956299	-0.26662707328796387	153	76
brain	AASDH	86	91	86	91	0	974	0	0	0.0708280123583934	1	-3.829991102218628	1	7.239873886108398	-0.6737060546875	895	7
brain	AASDHPPT	94	92	94	92	0	171	0	0	0.089046783625731	1	21.157604217529297	1	23.2340145111084	20.135963439941406	171	60
brain	AASS	96	97	96	97	0	599	0	1	0.0876881355932203	1	2.525824546813965	1	10.960098266601562	6.585878849029541	590	20
brain	AASS	96	98	96	98	0	681	0	1	0.087071964017991	1	0.2384861707687378	1	7.349921226501465	8.772384643554688	667	20
brain	AASS	96	99	96	99	0	512	0	1	0.0850234375	1	0.248557761311531	1	-3.4093503952026367	5.020285606384277	512	60
brain	AASS	96	100	96	100	0	471	1	0	0.0823311965811965	1	1.277194261550903	1	3.7599565982818604	-4.964944839477539	468	11
brain	AASS	96	101	96	101	0	707	0	1	0.0868797736916548	1	1.877012729644776	1	10.59231948852539	6.594631671905518	707	1
brain	AASS	96	102	96	102	0	472	1	0	0.0841377118644067	1	1.1318541765213013	1	4.012211322784424	1.1674095392227173	472	1
brain	AASS	96	103	96	103	0	629	0	1	0.0867754777070063	1	3.959165573120117	1	11.206066131591797	-7.648530006408691	628	14
brain	AASS	96	105	96	105	0	671	0	1	0.0880223546944858	1	-0.1269150674343109	1	9.493293762207031	-6.80986213684082	671	1
brain	AATF	107	108	107	108	0	71	0	0	0.1084788732394366	1	0.7261680364608765	1	-1.5605852603912354	-6.560525894165039	71	60
brain	AATF	107	110	107	110	0	71	0	0	0.0800757575757575	1	0.7060253620147705	1	1.9791401624679565	-0.6015368103981018	66	9
brain	AATF	107	111	107	111	0	24	0	0	0.0037083333333333	1	-0.0693795382976532	1	-3.2074992656707764	10.87975788116455	24	60
brain	AATF	107	112	107	112	0	20	0	0	0.18235	1	-0.0386722199618816	1	-0.2702605426311493	-7.521661758422852	20	60
brain	AATF	107	113	107	113	0	118	0	0	0.1216779661016949	1	1.1022069454193115	1	0.6487090587615967	-3.496398448944092	118	60
brain	AATF	107	114	107	114	0	163	0	1	0.213159509202454	0	0.2046679854393005	0	-3.662581205368042	4.1556477546691895	163	60
brain	AATF	107	115	107	115	0	278	0	0	0.1466353790613718	1	2.662599802017212	1	11.212615966796875	-3.77746844291687	277	5
brain	AATK	119	116	119	116	0	504	0	0	0.2556107784431137	1	-0.0707920789718627	0	8.705631256103516	1.8805028200149536	155	12
brain	AATK	119	117	119	117	0	1212	1	1	0.1935239273927393	1	5.315174102783203	1	4.993219375610352	6.259940147399902	961	101
brain	AATK	119	118	119	118	0	103	0	1	0.0830388349514563	0	0.5089489221572876	0	4.661435604095459	2.1294753551483154	103	103
brain	ABCA10	127	126	127	126	0	701	0	1	0.0513053278688524	1	-1.342775583267212	1	-2.0885813236236572	2.368655204772949	488	213
brain	ABCA2	131	129	131	129	0	2290	1	1	0.0661495820501539	1	12.119935989379885	1	18.684619903564453	9.123394966125488	860	17
brain	ABCA2	131	130	131	130	0	2006	1	1	0.0633698903290129	1	7.824146270751953	1	10.179685592651367	5.9785308837890625	593	60
brain	ABCA2	131	132	131	132	0	1954	1	1	0.0605197132616487	1	5.540722846984863	1	10.658061981201172	11.190863609313965	541	3
brain	ABCA2	131	133	131	133	0	1563	1	1	0.076926538716082	1	0.8962998986244202	1	3.561687469482422	7.947051525115967	111	78
brain	ABCA2	131	134	131	134	0	1045	0	1	0.0852067961165048	0	-6.245771408081055	1	-8.056966781616211	-8.514225959777832	664	664
brain	ABCA2	131	135	131	135	0	500	0	1	0.0686030368763557	0	0.992562770843506	1	5.075336456298828	-16.38015365600586	45	45
brain	ABCA3	137	136	137	136	0	934	0	0	0.0369635974304068	1	-2.081437587738037	1	-2.3623716831207275	1.1556370258331299	674	422
brain	ABCA3	137	138	137	138	0	58	0	0	-0.0839827586206897	0	1.3037625551223757	1	9.592660903930664	-11.964067459106445	58	58
brain	ABCA5	145	140	145	140	0	777	0	1	0.0144903474903474	0	-0.0386663824319839	1	0.6205013394355774	-0.288348913192749	777	620
brain	ABCA5	145	146	145	146	0	1392	1	0	0.022673132183908	1	6.762430191040039	1	6.855288028717041	7.354269027709961	772	60
brain	ABCA5	145	147	145	147	0	725	0	0	0.0322124137931034	1	-0.6566976308822632	1	-1.9352426528930664	-7.023017883300781	105	60
brain	ABCA5	145	148	145	148	0	1569	1	1	0.0222879177377892	1	24.349958419799805	1	25.360279083251953	26.74817657470703	964	43
brain	ABCA5	145	149	145	149	0	1108	0	1	0.0270685920577617	1	-1.8723533153533936	1	-1.8874201774597168	-0.8062679767608643	937	449
brain	ABCA5	145	150	145	150	0	1392	1	0	0.022673132183908	1	6.762430191040039	1	6.855288028717041	12.236387252807617	772	60
brain	ABCA6	154	152	154	152	0	1442	1	0	0.0234325452016689	1	9.997926712036133	1	16.403724670410156	14.507551193237305	847	10
brain	ABCA6	154	153	154	153	0	1533	0	1	0.0189788778877887	1	8.175759315490723	1	8.688943862915039	9.928543090820312	920	25
brain	ABCA7	158	155	158	155	0	1961	1	0	0.0787026194144838	1	9.01323413848877	1	17.539474487304688	2.1143031120300293	826	28
brain	ABCA7	158	156	158	156	0	1055	0	1	0.0792497625830959	0	0.2814810574054718	1	-4.99053955078125	-8.257054328918457	149	149
brain	ABCA7	158	157	158	157	0	1895	0	1	0.0797820580474934	1	-5.473800659179688	1	-5.249466896057129	-7.57719612121582	917	147
brain	ABCA8	164	159	164	159	0	40	0	0	0.0546749999999999	0	0.2247001826763153	1	7.672658920288086	-5.993185043334961	40	40
brain	ABCA8	164	160	164	160	0	530	0	1	0.0828041825095057	0	-1.195063829421997	1	-8.480716705322266	-4.6266770362854	61	61
brain	ABCA8	164	162	164	162	0	1355	1	0	0.039340221402214	1	3.3678669929504395	1	5.402897834777832	3.939605712890625	756	60
brain	ABCA8	164	165	164	165	0	1355	1	0	0.039340221402214	1	3.3678669929504395	1	5.402897834777832	4.144492149353027	756	60
brain	ABCB6	176	173	176	173	0	541	1	1	-0.0156654343807763	1	-5.037174224853516	1	-5.632222652435303	-4.294531345367432	541	60
brain	ABCB6	176	174	176	174	0	46	0	0	0.039891304347826	0	-0.4399453103542328	1	7.295539855957031	20.54557228088379	46	60
brain	ABCB6	176	175	176	175	0	745	1	1	0.0050203527815468	1	4.066455841064453	1	1.4221141338348389	6.023728370666504	737	16
brain	ABCB7	178	177	177	178	1	1	0	1	0.318	0	0.14360873401165	0	3.4598259925842285	7.661025047302246	1	60
brain	ABCB7	178	179	178	179	0	53	0	1	0.1844199999999999	0	-1.2808988094329834	0	-6.008908271789551	-5.973544120788574	50	3
brain	ABCB7	178	180	178	180	0	103	0	0	0.1437254901960784	0	-0.4740305840969085	0	10.067376136779785	-0.8184252977371216	102	1
brain	ABCB7	178	181	178	181	0	79	0	1	0.0562151898734177	0	-2.022888660430908	0	-3.043938159942627	0.3710160255432129	79	1
brain	ABCB7	178	182	178	182	0	147	0	1	0.1139183673469387	0	-4.060643672943115	0	-11.301661491394043	4.255926609039307	147	60
brain	ABCB8	191	183	191	183	0	205	0	1	0.034970731707317	0	-4.319540977478027	1	-19.267330169677734	-2.4093925952911377	205	60
brain	ABCB8	191	184	191	184	0	183	0	1	0.0128918918918918	0	-0.5659072399139404	1	0.12566447257995605	-0.7369483709335327	111	77
brain	ABCB8	191	185	191	185	0	514	1	1	0.039204280155642	1	2.7454047203063965	1	5.512415885925293	4.215978622436523	514	60
brain	ABCB8	191	186	191	186	0	133	0	1	0.0132105263157894	0	-2.2070674896240234	1	-1.3542704582214355	13.46343994140625	114	26
brain	ABCB8	191	187	191	187	0	25	0	0	-0.00712	0	0.031446635723114	0	20.709341049194336	-0.8366031646728516	25	60
brain	ABCB8	191	188	188	191	1	17	0	1	0.1720588235294117	0	-0.5879111289978027	0	-2.396883964538574	-18.44346046447754	17	60
brain	ABCB8	191	189	191	189	0	840	1	1	0.0614591104734576	1	26.68920135498047	1	27.080280303955078	27.214557647705078	697	145
brain	ABCB8	191	190	191	190	0	300	1	0	0.100006734006734	1	3.69888687133789	1	11.865405082702637	0.13067340850830078	297	10
brain	ABCB9	196	192	196	192	0	43	0	0	-0.1017209302325581	0	0.7855307459831238	1	23.67310905456543	-2.6421470642089844	43	60
brain	ABCB9	196	193	196	193	0	84	0	0	0.0796309523809523	1	-0.1091613322496414	0	-3.8400778770446777	7.435792922973633	84	1
brain	ABCB9	196	194	196	194	0	174	0	0	0.0992586206896551	1	0.7841873168945312	1	7.004866123199463	25.255332946777344	174	4
brain	ABCB9	196	197	196	197	0	85	0	0	0.0870705882352941	1	-0.157180905342102	0	15.859357833862305	19.255599975585938	85	60
brain	ABCB9	196	198	196	198	0	476	0	1	-0.0072371794871794	1	-2.9061670303344727	1	3.890359878540039	2.083216428756714	468	13
brain	ABCB9	196	199	196	199	0	391	0	1	0.0077425474254742	1	-4.037987232208252	1	1.0779314041137695	-2.474623680114746	369	29
brain	ABCB9	196	200	196	200	0	63	0	0	0.0895555555555555	0	0.8645418882369995	1	21.07453727722168	17.36237144470215	63	60
brain	ABCC1	206	201	206	201	0	987	1	1	0.053579650565262	1	2.060189247131348	1	16.222261428833008	1.3872580528259277	464	19
brain	ABCC1	206	202	206	202	0	629	0	0	0.0363069466882067	1	-0.3914579749107361	1	2.164525032043457	-1.5636305809020996	110	10
brain	ABCC1	206	203	206	203	0	688	0	0	0.0417772861356932	1	0.0688412562012672	1	5.456576347351074	-18.247220993041992	169	10
brain	ABCC1	206	204	206	204	0	665	0	0	0.0383954887218045	1	1.3772152662277222	1	16.249122619628906	18.087318420410156	163	7
brain	ABCC1	206	205	206	205	0	661	0	0	0.0243600605143721	0	-0.7931737899780273	1	6.98318338394165	-17.270822525024414	152	60
brain	ABCC1	206	207	207	206	1	10	0	0	0.2508	0	0.026245966553688	0	4.567023277282715	-4.295889854431152	10	10
brain	ABCC10	210	208	210	208	0	894	0	1	0.052479865771812	1	-4.850399971008301	1	-7.2129130363464355	-4.32759952545166	894	470
brain	ABCC10	210	211	210	211	0	1380	1	1	0.0553471014492753	1	1.5103323459625244	1	7.223753929138184	-0.8728432655334473	910	7
brain	ABCC12	214	212	214	212	0	1204	1	1	0.0376478405315614	1	-0.9153704643249512	1	1.1237307786941528	-2.6467113494873047	968	102
brain	ABCC12	214	213	214	213	0	1157	1	1	0.0375237683664649	1	-3.0397651195526123	1	-1.496335744857788	-5.403151512145996	961	141
brain	ABCC3	217	216	217	216	0	642	1	1	-0.005762836185819	1	-9.82099437713623	1	-10.194971084594727	-11.297338485717773	409	243
brain	ABCC3	217	218	217	218	0	225	0	1	-0.0278222222222222	0	-6.695179462432861	0	-4.166532516479492	-15.890661239624023	225	60
brain	ABCC4	220	221	220	221	0	547	0	0	0.0396222222222222	1	2.02562952041626	1	17.70488739013672	15.1069974899292	244	22
brain	ABCC4	220	222	220	222	0	439	0	1	0.0658738317757009	0	-0.3684844076633453	1	-6.5853986740112305	1.83482027053833	125	14
brain	ABCC5	228	223	228	223	0	472	0	1	0.0363305084745762	0	-3.0197882652282715	1	-6.992650985717773	-2.9795703887939453	472	415
brain	ABCC5	228	224	228	224	0	1230	1	0	0.0462699186991869	1	21.714269638061523	1	19.979745864868164	21.74653434753418	815	1
brain	ABCC5	228	225	228	225	0	1237	1	0	0.0480122249388752	1	26.84687614440918	1	28.794767379760742	28.13941764831543	812	15
brain	ABCC5	228	226	228	226	0	1226	1	0	0.0475986949429037	1	25.67548370361328	1	30.270427703857422	27.24884033203125	813	3
brain	ABCC5	228	229	228	229	0	1226	1	0	0.0461680327868852	1	24.785289764404297	1	26.9545841217041	24.180404663085938	812	21
brain	ABCC8	256	230	256	230	0	1121	1	0	0.0478498659517426	1	4.443824291229248	1	4.0608086585998535	14.647346496582031	562	7
brain	ABCC8	256	231	256	231	0	1136	1	0	0.0493600352112676	1	4.854523658752441	1	16.344158172607422	5.033126354217529	577	60
brain	ABCC8	256	233	256	233	0	928	0	1	0.0044684095860566	1	-5.289333820343018	1	-8.879864692687988	0.8492408394813538	681	342
brain	ABCC8	256	234	256	234	0	975	1	0	0.0623702564102564	1	1.4281895160675049	1	14.381769180297852	16.378934860229492	416	60
brain	ABCC8	256	235	256	235	0	682	0	1	-0.0076813509544787	0	-6.69120979309082	1	-10.154890060424805	-4.067192554473877	681	560
brain	ABCC8	256	236	256	236	0	1371	1	1	0.031852662290299	1	17.272476196289062	1	18.190933227539062	16.240154266357422	812	60
brain	ABCC8	256	237	256	237	0	1012	1	0	0.0559782608695652	1	1.8629536628723145	1	1.9962928295135498	19.96446418762207	456	4
brain	ABCC8	256	238	256	238	0	1169	1	1	-0.0038679409209383	1	0.5257886648178101	1	12.117043495178223	0.6530356407165527	612	53
brain	ABCC8	256	239	256	239	0	1033	1	0	0.0569593417231364	1	2.356501579284668	1	-5.235337257385254	-2.0358099937438965	476	2
brain	ABCC8	256	240	256	240	0	307	0	0	0.0384	1	0.1371420472860336	1	-5.137058258056641	13.89085578918457	1	1
brain	ABCC8	256	241	241	256	1	1	0	0	0.341	0	-0.1083626374602317	1	13.153459548950195	1.2710833549499512	1	1
brain	ABCC8	256	242	256	242	0	1031	1	0	0.0555491723466407	1	2.2422447204589844	1	-3.7279200553894043	-0.6931014060974121	471	10
brain	ABCC8	256	243	243	256	1	22	0	0	0.4264545454545454	0	-0.3701261579990387	0	3.442704439163208	8.514982223510742	22	22
brain	ABCC8	256	244	256	244	0	306	0	0	0.0384	0	0.0361011698842048	1	8.737102508544922	1.0809533596038818	1	1
brain	ABCC8	256	245	256	245	0	248	0	0	0.0387058823529411	1	0.1371420472860336	1	-5.137058258056641	3.8309130668640137	1	1
brain	ABCC8	256	246	256	246	0	682	0	1	-0.0076813509544787	0	-6.69120979309082	1	-10.154890060424805	-3.3270821571350098	681	560
brain	ABCC8	256	247	256	247	0	1024	1	0	0.058990234375	1	1.709619164466858	1	14.863107681274414	12.041862487792969	465	60
brain	ABCC8	256	248	256	248	0	1206	1	1	0.0175632478632478	1	-1.6884835958480835	1	-4.864312648773193	-2.9488413333892822	901	335
brain	ABCC8	256	249	256	249	0	1475	1	1	0.0293850847457627	1	18.433937072753903	1	19.982284545898438	19.730745315551758	916	60
brain	ABCC8	256	250	256	250	0	976	1	0	0.0621823770491803	1	1.416426181793213	1	14.411251068115234	9.714705467224121	417	60
brain	ABCC8	256	251	256	251	0	1292	1	0	0.0361540247678018	1	16.439552307128906	1	18.849388122558594	17.14589500427246	733	60
brain	ABCC8	256	252	256	252	0	39	0	0	-0.0342051282051282	0	0.0361011698842048	1	8.737102508544922	4.734614372253418	1	1
brain	ABCC8	256	253	256	253	0	1292	1	0	0.0361540247678018	1	16.439552307128906	1	18.849388122558594	22.26877212524414	733	60
brain	ABCC8	256	254	256	254	0	987	0	1	0.0305572441742654	1	-7.602382659912109	1	-7.946626663208008	-7.89058780670166	987	559
brain	ABCC8	256	255	256	255	0	501	0	1	-0.0367584830339321	0	-6.691895484924316	1	-12.899934768676758	-8.64140796661377	501	501
brain	ABCC8	256	257	256	257	0	1025	1	0	0.058635282457879	1	1.819175720214844	1	3.376919746398926	-10.137982368469238	450	25
brain	ABCC8	256	258	256	258	0	791	0	1	-0.0144961636828644	1	-4.366650104522705	1	-9.623562812805176	-1.2324256896972656	545	341
brain	ABCC8	256	259	256	259	0	730	0	1	-0.0057407407407407	1	-5.650650501251221	1	-8.689291000366211	-5.461944580078125	681	512
brain	ABCC8	256	260	256	260	0	927	0	1	0.0044684095860566	1	-5.443141937255859	1	-8.906994819641113	-1.0914413928985596	681	341
brain	ABCC8	256	261	256	261	0	876	0	1	-0.0059088811995386	1	-4.451642990112305	1	-8.655672073364258	-1.9031915664672852	630	342
brain	ABCC9	265	263	265	263	0	1152	1	1	0.0182180052956751	1	-4.950979232788086	1	-8.984848022460938	-7.036896228790283	850	264
brain	ABCC9	265	266	265	266	0	717	0	0	0.033648951048951	1	0.7740338444709778	1	2.1844632625579834	15.728872299194336	189	5
brain	ABCD3	269	272	269	272	0	312	0	1	0.0114935897435897	0	1.528850555419922	1	10.701653480529785	-3.489551544189453	312	60
brain	ABCD4	276	273	276	273	0	177	0	1	-0.0087909604519774	0	-0.0126446485519409	1	3.969214677810669	-1.5959382057189941	177	4
brain	ABCE1	279	280	279	280	0	389	0	0	0.0694704370179948	1	5.224148750305176	1	1.1565712690353394	0.2286146879196167	389	60
brain	ABCF1	283	281	283	281	0	38	0	0	0.4295526315789473	0	0.1825939416885376	0	4.309435844421387	-0.6874657869338989	38	60
brain	ABCF1	283	282	283	282	0	740	1	1	0.1717513513513513	1	3.622007369995117	1	4.05403995513916	4.408283233642578	740	60
brain	ABCF1	283	284	284	283	1	1	0	0	0.318	0	0.0063638295978307	0	4.525223731994629	0.9000709056854248	1	60
brain	ABCF3	288	286	288	286	0	268	0	1	0.139922480620155	0	-3.082097291946411	1	0.040615975856781006	3.5200178623199463	258	15
brain	ABCF3	288	287	288	287	0	582	1	0	0.0961996527777777	1	17.158184051513672	1	20.779455184936523	23.04494857788086	576	17
brain	ABCF3	288	289	288	289	0	601	1	0	0.0976239600665557	1	16.95531463623047	1	17.345277786254883	18.850330352783203	601	60
brain	ABCF3	288	290	288	290	0	477	0	1	0.1109601677148846	1	-4.488722801208496	1	-8.942686080932617	-8.757686614990234	477	60
brain	ABCG1	293	291	291	293	1	12	0	0	0.2061666666666666	0	-0.463835746049881	0	7.0775885581970215	-1.605520248413086	12	60
brain	ABCG1	293	292	293	292	0	453	1	1	0.0655452538631346	1	-2.911579370498657	1	5.8631815910339355	-7.809447765350342	453	60
brain	ABCG1	293	294	294	293	1	27	0	1	0.1573181818181818	0	0.0425326526165008	0	7.675528526306152	8.406490325927734	22	11
brain	ABCG1	293	295	293	295	0	207	0	1	0.0876564102564102	1	-1.6141819953918457	1	5.443192481994629	17.21459197998047	195	12
brain	ABCG2	297	296	297	296	0	684	1	0	0.0095802469135802	1	18.67458915710449	1	25.82217788696289	25.7313232421875	567	117
brain	ABCG4	299	300	299	300	0	361	0	1	0.0041114457831325	1	3.4269707202911377	1	15.836629867553711	5.912434101104736	332	44
brain	ABCG8	301	302	301	302	0	585	1	1	0.0118942652329749	1	11.669845581054688	1	14.76618766784668	21.475322723388672	558	37
brain	ABHD10	305	304	305	304	0	157	1	1	0.0613757961783439	1	1.5604875087738037	1	5.4313178062438965	1.6376819610595703	157	60
brain	ABHD11	309	306	309	306	0	183	0	1	0.1057486338797814	1	1.3471009731292725	1	7.675461292266846	-5.239200592041016	183	60
brain	ABHD11	309	307	309	307	0	57	0	0	0.1064736842105263	0	0.9443230032920836	1	6.750894546508789	-0.06261920928955078	57	60
brain	ABHD11	309	308	309	308	0	113	0	1	0.130433628318584	0	-0.4379884600639343	1	-3.5267128944396973	-1.05794095993042	113	60
brain	ABHD12	311	310	310	311	1	18	0	0	0.2824666666666667	1	-0.7942763566970825	0	-9.814858436584473	-7.877195835113525	15	9
brain	ABHD12B	312	313	312	313	0	77	0	1	0.0038961038961038	0	-0.9676300287246704	0	1.85121488571167	10.929666519165039	77	60
brain	ABHD14A	315	316	315	316	0	133	1	0	0.0807518796992481	1	4.007061958312988	1	4.913440227508545	9.432917594909668	133	2
