gene	cell_type	n_ad_with_reads	n_ct_with_reads	n_ad_total	n_ct_total	jackknife_max_change_ratio	jackknife_worst_donor	direction_consistency	dominant_isoform	verdict	note
ABI1	Excitatory_neuron	10	7	13	8	0.4432	SMC049	0.6	ABI1-213	PASS	
ABI2	Excitatory_neuron	10	8	13	8	1.1157	PO11	0.7	ABI2-204	FAIL	Jackknife 1.12 ≥ 0.5
ABLIM1	Excitatory_neuron	9	8	13	8	1.1795	SMC049	0.5556	transcript195209.chr10.nic	FAIL	Jackknife 1.18 ≥ 0.5; Direction 0.56 < 0.6
ABLIM3	Excitatory_neuron	7	5	13	8	1.5248	SMC049	0.4286	transcript204042.chr5.nic	FAIL	Jackknife 1.52 ≥ 0.5; Direction 0.43 < 0.6
ABR	Excitatory_neuron	10	7	13	8	0.2102	SMC049	0.5	ABR-202	FAIL	Direction 0.50 < 0.6
ABTB1	Excitatory_neuron	11	7	13	8	1.0	SMC049	0.8182	ABTB1-203	FAIL	Jackknife 1.00 ≥ 0.5
ACAA1	Excitatory_neuron	12	8	13	8	0.6726	SMC049	0.4167	ACAA1-203	FAIL	Jackknife 0.67 ≥ 0.5; Direction 0.42 < 0.6
ACAD11	Excitatory_neuron	11	8	13	8	0.2256	SMC038	0.7273	ACAD11-201	PASS	
ACAD8	Excitatory_neuron	11	8	13	8	0.6039	SMC049	0.3636	ACAD8-201	FAIL	Jackknife 0.60 ≥ 0.5; Direction 0.36 < 0.6
ACAD9	Excitatory_neuron	10	7	13	8	0.1216	SMC049	0.9	ACAD9-214	PASS	
ACADM	Excitatory_neuron	10	7	13	8	0.8752	SMC049	0.3	ACADM-220	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.30 < 0.6
ACADVL	Excitatory_neuron	13	8	13	8	0.1057	SMC049	0.7692	ACADVL-203	PASS	
ACAP3	Excitatory_neuron	12	8	13	8	0.73	SMC041	0.5	ACAP3-212	FAIL	Jackknife 0.73 ≥ 0.5; Direction 0.50 < 0.6
ACBD5	Excitatory_neuron	10	7	13	8	0.6938	SMC038	0.5	ACBD5-205	FAIL	Jackknife 0.69 ≥ 0.5; Direction 0.50 < 0.6
ACBD6	Excitatory_neuron	7	6	13	8	0.4956	SMC049	0.5714	ACBD6-201	FAIL	Direction 0.57 < 0.6
ACD	Excitatory_neuron	10	8	13	8	0.1291	SMC041	0.1	ACD-210	FAIL	Direction 0.10 < 0.6
ACIN1	Excitatory_neuron	12	6	13	8	0.0		1.0	ACIN1-213	PASS	
ACO2	Excitatory_neuron	12	7	13	8	0.4069	SMC049	0.1667	ACO2-201	FAIL	Direction 0.17 < 0.6
ACOT11	Excitatory_neuron	12	8	13	8	0.1946	SMC049	0.0	ACOT11-202	FAIL	Direction 0.00 < 0.6
ACOT7	Excitatory_neuron	12	6	13	8	0.6705	SMC049	0.0833	ACOT7-201	FAIL	Jackknife 0.67 ≥ 0.5; Direction 0.08 < 0.6
ACOT8	Excitatory_neuron	10	6	13	8	0.8978	SMC049	0.3	transcript59248.chr20.nnic	FAIL	Jackknife 0.90 ≥ 0.5; Direction 0.30 < 0.6
ACOT9	Excitatory_neuron	7	6	13	8	0.5767	SMC049	0.4286	ACOT9-201	FAIL	Jackknife 0.58 ≥ 0.5; Direction 0.43 < 0.6
ACOX1	Excitatory_neuron	9	8	13	8	0.6269	SMC049	0.2222	ACOX1-201	FAIL	Jackknife 0.63 ≥ 0.5; Direction 0.22 < 0.6
ACOX3	Excitatory_neuron	9	6	13	8	0.5542	SMC049	0.3333	ACOX3-201	FAIL	Jackknife 0.55 ≥ 0.5; Direction 0.33 < 0.6
ACSF3	Excitatory_neuron	12	8	13	8	1.0838	SMC049	0.0833	ACSF3-201	FAIL	Jackknife 1.08 ≥ 0.5; Direction 0.08 < 0.6
ACSL3	Excitatory_neuron	12	7	13	8	0.2335	SMC038	0.8333	ACSL3-201	PASS	
ACSL4	Excitatory_neuron	9	8	13	8	0.1162	SMC049	0.3333	ACSL4-211	FAIL	Direction 0.33 < 0.6
ACTB	Excitatory_neuron	13	8	13	8	0.6791	SMC049	0.6154	ACTB-206	FAIL	Jackknife 0.68 ≥ 0.5
ACTG1	Excitatory_neuron	13	8	13	8	0.4194	SMC039	0.3846	ACTG1-205	FAIL	Direction 0.38 < 0.6
ACTL6B	Excitatory_neuron	10	6	13	8	0.0		0.0	ACTL6B-201	FAIL	Direction 0.00 < 0.6
ACTN1	Excitatory_neuron	13	8	13	8	0.2702	SMC049	0.9231	ACTN1-203	PASS	
ACTN2	Excitatory_neuron	11	7	13	8	0.1126	SMC032	0.7273	ACTN2-202	PASS	
ACTN4	Excitatory_neuron	10	7	13	8	1.3718	SMC038	0.1	ACTN4-203	FAIL	Jackknife 1.37 ≥ 0.5; Direction 0.10 < 0.6
ACTR10	Excitatory_neuron	11	7	13	8	0.9788	SMC049	0.1818	ACTR10-201	FAIL	Jackknife 0.98 ≥ 0.5; Direction 0.18 < 0.6
ACTR1B	Excitatory_neuron	11	7	13	8	0.0233	PO41	0.8182	transcript216375.chr2.nnic	PASS	
ACTR2	Excitatory_neuron	12	8	13	8	0.893	SMC038	0.3333	ACTR2-201	FAIL	Jackknife 0.89 ≥ 0.5; Direction 0.33 < 0.6
ACTR3	Excitatory_neuron	12	7	13	8	0.0743	PO41	0.9167	ACTR3-201	PASS	
ACVR2B	Excitatory_neuron	6	6	13	8	0.9395	SMC038	0.3333	ACVR2B-203	FAIL	Jackknife 0.94 ≥ 0.5; Direction 0.33 < 0.6
ACYP2	Excitatory_neuron	7	8	13	8	1.0499	PO05	0.2857	transcript68261.chr2.nnic	FAIL	Jackknife 1.05 ≥ 0.5; Direction 0.29 < 0.6
ADAM11	Excitatory_neuron	9	8	13	8	0.527	PO28	0.6667	ADAM11-202	FAIL	Jackknife 0.53 ≥ 0.5
ADAM15	Excitatory_neuron	9	5	13	8	0.1497	PO28	0.7778	ADAM15-203	PASS	
ADAM17	Excitatory_neuron	11	7	13	8	0.794	SMC032	0.4545	ADAM17-210	FAIL	Jackknife 0.79 ≥ 0.5; Direction 0.45 < 0.6
ADAM22	Excitatory_neuron	11	6	13	8	0.3475	SMC049	0.8182	ADAM22-209	PASS	
ADAM9	Excitatory_neuron	11	7	13	8	0.0773	SMC049	0.9091	ADAM9-214	PASS	
ADAMTS10	Excitatory_neuron	9	7	13	8	0.3518	SMC038	0.6667	transcript17744.chr19.nnic	PASS	
ADAMTS13	Excitatory_neuron	10	7	13	8	0.2478	SMC049	0.8	transcript222311.chr9.nnic	PASS	
ADAMTS2	Excitatory_neuron	6	5	13	8	0.6506	SMC041	0.1667	ADAMTS2-203	FAIL	Jackknife 0.65 ≥ 0.5; Direction 0.17 < 0.6
ADAP1	Excitatory_neuron	11	6	13	8	0.1901	SMC049	0.7273	ADAP1-219	PASS	
ADCK5	Excitatory_neuron	9	5	13	8	1.0329	SMC049	0.4444	ADCK5-201	FAIL	Jackknife 1.03 ≥ 0.5; Direction 0.44 < 0.6
ADCY2	Excitatory_neuron	12	8	13	8	0.4267	SMC049	0.5	ADCY2-201	FAIL	Direction 0.50 < 0.6
ADCY5	Excitatory_neuron	6	5	13	8	0.0		1.0	ADCY5-205	PASS	
ADCY9	Excitatory_neuron	12	8	13	8	0.4108	SMC049	0.5	ADCY9-201	FAIL	Direction 0.50 < 0.6
ADD1	Excitatory_neuron	12	8	13	8	0.2268	SMC041	0.6667	ADD1-206	PASS	
ADD2	Excitatory_neuron	10	8	13	8	0.4294	PO28	0.5	ADD2-203	FAIL	Direction 0.50 < 0.6
ADGRB2	Excitatory_neuron	13	8	13	8	0.3454	SMC041	0.6923	ADGRB2-202	PASS	
ADGRB3	Excitatory_neuron	10	8	13	8	0.5145	SMC038	0.7	ADGRB3-206	FAIL	Jackknife 0.51 ≥ 0.5
ADGRL2	Excitatory_neuron	12	8	13	8	0.7673	SMC049	0.8333	transcript142791.chr1.nic	FAIL	Jackknife 0.77 ≥ 0.5
ADGRL3	Excitatory_neuron	11	7	13	8	0.1411	SMC041	0.9091	ADGRL3-219	PASS	
ADGRV1	Excitatory_neuron	11	8	13	8	0.0315	PO42	0.8182	ADGRV1-232	PASS	
ADH5	Excitatory_neuron	13	8	13	8	0.5805	SMC049	0.1538	ADH5-210	FAIL	Jackknife 0.58 ≥ 0.5; Direction 0.15 < 0.6
ADIPOR1	Excitatory_neuron	11	8	13	8	0.0398	PO28	1.0	ADIPOR1-201	PASS	
ADNP	Excitatory_neuron	10	7	13	8	0.9632	PO28	0.2	transcript66788.chr20.nnic	FAIL	Jackknife 0.96 ≥ 0.5; Direction 0.20 < 0.6
ADORA1	Excitatory_neuron	6	5	13	8	0.3613	SMC038	0.6667	ADORA1-202	PASS	
ADPGK	Excitatory_neuron	9	6	13	8	2.6566	SMC049	0.6667	ADPGK-204	FAIL	Jackknife 2.66 ≥ 0.5
AEBP2	Excitatory_neuron	12	7	13	8	0.0		1.0	AEBP2-202	PASS	
AFAP1	Excitatory_neuron	6	5	13	8	0.3138	SMC038	1.0	AFAP1-203	PASS	
AFAP1L2	Excitatory_neuron	11	7	13	8	0.2505	SMC049	0.4545	AFAP1L2-201	FAIL	Direction 0.45 < 0.6
AFG3L2	Excitatory_neuron	11	6	13	8	0.6078	SMC049	0.4545	AFG3L2-201	FAIL	Jackknife 0.61 ≥ 0.5; Direction 0.45 < 0.6
AGAP3	Excitatory_neuron	13	8	13	8	1.0	SMC038	0.0769	transcript231322.chr7.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.08 < 0.6
AGAP6	Excitatory_neuron	11	7	13	8	1.0074	SMC038	0.7273	AGAP6-205	FAIL	Jackknife 1.01 ≥ 0.5
AGBL4	Excitatory_neuron	9	7	13	8	1.8699	SMC038	0.7778	AGBL4-203	FAIL	Jackknife 1.87 ≥ 0.5
AGBL5	Excitatory_neuron	9	6	13	8	0.0488	PO05	0.8889	AGBL5-209	PASS	
AGO2	Excitatory_neuron	11	8	13	8	0.4622	PO28	0.1818	AGO2-209	FAIL	Direction 0.18 < 0.6
AGPS	Excitatory_neuron	8	6	13	8	2.2157	SMC036	0.5	AGPS-201	FAIL	Jackknife 2.22 ≥ 0.5; Direction 0.50 < 0.6
AGTPBP1	Excitatory_neuron	11	8	13	8	0.9914	SMC049	0.1818	AGTPBP1-205	FAIL	Jackknife 0.99 ≥ 0.5; Direction 0.18 < 0.6
AHCTF1	Excitatory_neuron	12	7	13	8	0.7533	SMC049	0.6667	AHCTF1-205	FAIL	Jackknife 0.75 ≥ 0.5
AHCYL1	Excitatory_neuron	12	8	13	8	0.4851	SMC041	0.6667	AHCYL1-202	PASS	
AHI1	Excitatory_neuron	13	8	13	8	0.2355	PO05	0.4615	AHI1-204	FAIL	Direction 0.46 < 0.6
AIFM1	Excitatory_neuron	8	7	13	8	0.3339	SMC049	0.625	AIFM1-201	PASS	
AIG1	Excitatory_neuron	9	8	13	8	0.1157	PO41	0.8889	AIG1-210	PASS	
AIMP1	Excitatory_neuron	9	8	13	8	0.5107	PO11	0.3333	AIMP1-214	FAIL	Jackknife 0.51 ≥ 0.5; Direction 0.33 < 0.6
AK2	Excitatory_neuron	12	8	13	8	1.7406	PO28	0.1667	AK2-214	FAIL	Jackknife 1.74 ≥ 0.5; Direction 0.17 < 0.6
AK9	Excitatory_neuron	8	6	13	8	0.5385	PO42	0.5	AK9-204	FAIL	Jackknife 0.54 ≥ 0.5; Direction 0.50 < 0.6
AKAP1	Excitatory_neuron	7	5	13	8	1.6075	SMC049	0.7143	AKAP1-202	FAIL	Jackknife 1.61 ≥ 0.5
AKAP13	Excitatory_neuron	7	6	13	8	0.7106	PO42	0.5714	AKAP13-203	FAIL	Jackknife 0.71 ≥ 0.5; Direction 0.57 < 0.6
AKAP17A	Excitatory_neuron	11	7	13	8	0.7246	SMC038	0.1818	AKAP17A-201	FAIL	Jackknife 0.72 ≥ 0.5; Direction 0.18 < 0.6
AKAP5	Excitatory_neuron	13	8	13	8	1.4229	SMC049	0.5385	AKAP5-201	FAIL	Jackknife 1.42 ≥ 0.5; Direction 0.54 < 0.6
AKAP6	Excitatory_neuron	13	8	13	8	1.0037	SMC049	0.4615	AKAP6-201	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.46 < 0.6
AKAP7	Excitatory_neuron	10	6	13	8	1.5381	SMC049	0.3	transcript183870.chr6.nic	FAIL	Jackknife 1.54 ≥ 0.5; Direction 0.30 < 0.6
AKAP8L	Excitatory_neuron	11	8	13	8	0.84	SMC049	0.2727	AKAP8L-201	FAIL	Jackknife 0.84 ≥ 0.5; Direction 0.27 < 0.6
AKAP9	Excitatory_neuron	13	8	13	8	0.2946	SMC029	0.0	AKAP9-217	FAIL	Direction 0.00 < 0.6
AKR1B1	Excitatory_neuron	12	8	13	8	0.1309	SMC049	0.5833	AKR1B1-201	FAIL	Direction 0.58 < 0.6
AKTIP	Excitatory_neuron	12	8	13	8	0.5874	SMC049	0.6667	AKTIP-202	FAIL	Jackknife 0.59 ≥ 0.5
ALAS1	Excitatory_neuron	9	8	13	8	1.0612	SMC038	0.1111	ALAS1-202	FAIL	Jackknife 1.06 ≥ 0.5; Direction 0.11 < 0.6
ALCAM	Excitatory_neuron	12	8	13	8	0.7078	SMC049	0.1667	ALCAM-201	FAIL	Jackknife 0.71 ≥ 0.5; Direction 0.17 < 0.6
ALDH18A1	Excitatory_neuron	7	6	13	8	0.6328	PO11	0.4286	ALDH18A1-202	FAIL	Jackknife 0.63 ≥ 0.5; Direction 0.43 < 0.6
ALDH3A2	Excitatory_neuron	10	8	13	8	0.3772	SMC049	0.6	ALDH3A2-210	PASS	
ALDOA	Excitatory_neuron	13	8	13	8	0.412	SMC049	0.3846	ALDOA-219	FAIL	Direction 0.38 < 0.6
ALDOC	Excitatory_neuron	13	7	13	8	1.8883	SMC049	0.1538	ALDOC-201	FAIL	Jackknife 1.89 ≥ 0.5; Direction 0.15 < 0.6
ALG1	Excitatory_neuron	10	7	13	8	0.2429	SMC049	0.6	ALG1-201	PASS	
ALG11	Excitatory_neuron	11	8	13	8	0.0855	PO11	0.8182	ALG11-216	PASS	
ALG9	Excitatory_neuron	8	6	13	8	0.106	SMC049	0.75	transcript166719.chr11.nnic	PASS	
ALMS1	Excitatory_neuron	13	8	13	8	0.1081	PO41	0.7692	ALMS1-222	PASS	
ALOX12-AS1	Excitatory_neuron	12	7	13	8	0.9658	SMC038	0.1667	transcript16065.chr17.nnic	FAIL	Jackknife 0.97 ≥ 0.5; Direction 0.17 < 0.6
ALS2	Excitatory_neuron	12	8	13	8	0.385	PO28	0.8333	ALS2-206	PASS	
AMD1	Excitatory_neuron	9	7	13	8	0.1725	PO11	0.8889	AMD1-209	PASS	
AMDHD2	Excitatory_neuron	10	8	13	8	0.5853	SMC038	0.3	AMDHD2-202	FAIL	Jackknife 0.59 ≥ 0.5; Direction 0.30 < 0.6
AMER2	Excitatory_neuron	12	8	13	8	1.0	SMC039	0.0833	transcript10140.chr13.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.08 < 0.6
AMIGO1	Excitatory_neuron	6	6	13	8	1.5419	SMC049	0.5	AMIGO1-202	FAIL	Jackknife 1.54 ≥ 0.5; Direction 0.50 < 0.6
AMOT	Excitatory_neuron	10	6	13	8	0.2	SMC049	0.4	transcript130800.chrX.nnic	FAIL	Direction 0.40 < 0.6
AMOTL2	Excitatory_neuron	11	7	13	8	0.0258	PO42	1.0	transcript235126.chr3.nnic	PASS	
AMPD2	Excitatory_neuron	9	7	13	8	0.2471	SMC032	0.6667	AMPD2-236	PASS	
AMT	Excitatory_neuron	9	6	13	8	0.0		1.0	AMT-227	PASS	
AMY2B	Excitatory_neuron	8	6	13	8	0.6194	PO11	0.625	AMY2B-205	FAIL	Jackknife 0.62 ≥ 0.5
AMZ1	Excitatory_neuron	7	4	13	8	0.1875	SMC038	0.7143	AMZ1-207	PASS	
AMZ2	Excitatory_neuron	10	8	13	8	0.0639	SMC049	0.9	AMZ2-206	PASS	
AMZ2P1	Excitatory_neuron	9	6	13	8	0.6575	SMC049	0.4444	AMZ2P1-205	FAIL	Jackknife 0.66 ≥ 0.5; Direction 0.44 < 0.6
ANAPC5	Excitatory_neuron	12	8	13	8	0.7664	SMC049	0.5	ANAPC5-201	FAIL	Jackknife 0.77 ≥ 0.5; Direction 0.50 < 0.6
ANGEL1	Excitatory_neuron	8	7	13	8	1.23	SMC038	0.25	transcript86084.chr14.nic	FAIL	Jackknife 1.23 ≥ 0.5; Direction 0.25 < 0.6
ANGPTL4	Excitatory_neuron	8	4	13	8	0.0339	PO41	0.875	ANGPTL4-201	PASS	
ANK2	Excitatory_neuron	12	8	13	8	0.3611	SMC032	0.75	ANK2-296	PASS	
ANK3	Excitatory_neuron	13	8	13	8	0.2142	PO28	0.5385	ANK3-209	FAIL	Direction 0.54 < 0.6
ANKFY1	Excitatory_neuron	9	7	13	8	0.0669	PO42	0.8889	ANKFY1-201	PASS	
ANKH	Excitatory_neuron	12	8	13	8	0.2414	PO28	0.75	ANKH-209	PASS	
ANKHD1	Excitatory_neuron	9	7	13	8	0.2447	PO05	0.5556	ANKHD1-207	FAIL	Direction 0.56 < 0.6
ANKLE2	Excitatory_neuron	11	7	13	8	0.7351	SMC038	0.3636	ANKLE2-207	FAIL	Jackknife 0.74 ≥ 0.5; Direction 0.36 < 0.6
ANKRD11	Excitatory_neuron	13	8	13	8	0.375	SMC041	0.6154	ANKRD11-229	PASS	
ANKRD12	Excitatory_neuron	13	8	13	8	0.407	SMC049	0.8462	ANKRD12-201	PASS	
ANKRD13A	Excitatory_neuron	7	7	13	8	0.2362	SMC049	0.8571	ANKRD13A-210	PASS	
ANKRD13D	Excitatory_neuron	9	7	13	8	0.4829	SMC049	0.6667	transcript100227.chr11.nnic	PASS	
ANKRD17	Excitatory_neuron	11	7	13	8	0.2957	SMC049	0.7273	ANKRD17-203	PASS	
ANKRD18B	Excitatory_neuron	13	7	13	8	0.1751	PO42	0.9231	ANKRD18B-201	PASS	
ANKRD26	Excitatory_neuron	13	8	13	8	0.5396	PO05	0.6923	ANKRD26-201	FAIL	Jackknife 0.54 ≥ 0.5
ANKRD33B	Excitatory_neuron	9	6	13	8	0.1913	SMC049	0.7778	transcript16944.chr5.nic	PASS	
ANKRD34C-AS1	Excitatory_neuron	12	8	13	8	0.3593	SMC049	0.5833	ANKRD34C-AS1-214	FAIL	Direction 0.58 < 0.6
ANKRD36C	Excitatory_neuron	13	8	13	8	0.834	PO41	0.6923	ANKRD36C-201	FAIL	Jackknife 0.83 ≥ 0.5
ANKRD42	Excitatory_neuron	11	7	13	8	0.5196	SMC038	0.7273	ANKRD42-209	FAIL	Jackknife 0.52 ≥ 0.5
ANKRD46	Excitatory_neuron	11	7	13	8	0.1625	SMC038	0.7273	ANKRD46-201	PASS	
ANKRD49	Excitatory_neuron	9	6	13	8	0.2259	PO41	0.6667	ANKRD49-208	PASS	
ANKRD50	Excitatory_neuron	8	7	13	8	0.4367	PO11	0.5	ANKRD50-202	FAIL	Direction 0.50 < 0.6
ANKRD6	Excitatory_neuron	9	4	13	8	0.3214	SMC049	0.4444	ANKRD6-211	FAIL	Direction 0.44 < 0.6
ANKS1B	Excitatory_neuron	11	8	13	8	0.3519	SMC049	0.5455	ANKS1B-234	FAIL	Direction 0.55 < 0.6
ANKS3	Excitatory_neuron	12	8	13	8	0.0741	SMC032	0.75	ANKS3-216	PASS	
ANLN	Excitatory_neuron	12	7	13	8	0.1655	SMC049	0.6667	ANLN-201	PASS	
ANO3	Excitatory_neuron	11	8	13	8	0.9541	SMC049	0.6364	ANO3-205	FAIL	Jackknife 0.95 ≥ 0.5
ANO5	Excitatory_neuron	9	6	13	8	0.0947	PO11	0.7778	ANO5-215	PASS	
ANTXR1	Excitatory_neuron	7	6	13	8	0.2595	PO28	0.7143	ANTXR1-210	PASS	
AOPEP	Excitatory_neuron	11	7	13	8	0.695	PO05	0.5455	transcript164612.chr9.nnic	FAIL	Jackknife 0.69 ≥ 0.5; Direction 0.55 < 0.6
AP1G2	Excitatory_neuron	11	7	13	8	0.2615	SMC049	0.6364	AP1G2-204	PASS	
AP1M1	Excitatory_neuron	11	6	13	8	1.9782	SMC049	0.3636	AP1M1-203	FAIL	Jackknife 1.98 ≥ 0.5; Direction 0.36 < 0.6
AP2A2	Excitatory_neuron	10	8	13	8	0.315	SMC049	0.7	transcript3042.chr11.nic	PASS	
AP2B1	Excitatory_neuron	9	7	13	8	1.25	SMC038	0.1111	AP2B1-213	FAIL	Jackknife 1.25 ≥ 0.5; Direction 0.11 < 0.6
AP2M1	Excitatory_neuron	13	8	13	8	3.0956	SMC049	0.3846	AP2M1-202	FAIL	Jackknife 3.10 ≥ 0.5; Direction 0.38 < 0.6
AP3B2	Excitatory_neuron	10	8	13	8	0.4794	PO28	0.5	AP3B2-204	FAIL	Direction 0.50 < 0.6
AP3D1	Excitatory_neuron	10	8	13	8	0.0278	SMC049	0.9	AP3D1-213	PASS	
AP3M1	Excitatory_neuron	12	7	13	8	0.6431	SMC043	0.6667	AP3M1-201	FAIL	Jackknife 0.64 ≥ 0.5
AP4B1	Excitatory_neuron	7	4	13	8	1.4479	SMC049	0.2857	AP4B1-210	FAIL	Jackknife 1.45 ≥ 0.5; Direction 0.29 < 0.6
AP4E1	Excitatory_neuron	9	7	13	8	0.2191	PO05	0.8889	AP4E1-201	PASS	
AP5S1	Excitatory_neuron	9	8	13	8	0.8828	SMC038	0.4444	AP5S1-202	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.44 < 0.6
AP5Z1	Excitatory_neuron	8	6	13	8	0.3779	SMC039	0.75	AP5Z1-213	PASS	
APBA1	Excitatory_neuron	10	7	13	8	0.2394	SMC049	0.8	APBA1-203	PASS	
APBB1	Excitatory_neuron	13	6	13	8	0.296	PO28	0.5385	APBB1-218	FAIL	Direction 0.54 < 0.6
APBB2	Excitatory_neuron	10	5	13	8	0.0		1.0	APBB2-227	PASS	
APBB3	Excitatory_neuron	8	5	13	8	0.322	SMC049	0.875	APBB3-203	PASS	
APC	Excitatory_neuron	12	7	13	8	0.2297	SMC038	0.5833	APC-201	FAIL	Direction 0.58 < 0.6
APEX1	Excitatory_neuron	12	8	13	8	0.5191	SMC049	0.8333	APEX1-201	FAIL	Jackknife 0.52 ≥ 0.5
API5	Excitatory_neuron	11	7	13	8	0.9618	SMC032	0.2727	API5-208	FAIL	Jackknife 0.96 ≥ 0.5; Direction 0.27 < 0.6
APLP1	Excitatory_neuron	13	8	13	8	1.123	SMC049	0.7692	APLP1-212	FAIL	Jackknife 1.12 ≥ 0.5
APLP2	Excitatory_neuron	11	8	13	8	0.3475	SMC032	0.6364	APLP2-201	PASS	
APOOL	Excitatory_neuron	11	4	13	8	0.0642	SMC049	1.0	APOOL-201	PASS	
APP	Excitatory_neuron	13	8	13	8	0.4266	SMC049	0.5385	APP-204	FAIL	Direction 0.54 < 0.6
APPL1	Excitatory_neuron	8	6	13	8	1.0605	SMC039	0.375	APPL1-205	FAIL	Jackknife 1.06 ≥ 0.5; Direction 0.38 < 0.6
APTX	Excitatory_neuron	6	8	13	8	2.8559	SMC049	0.5	APTX-203	FAIL	Jackknife 2.86 ≥ 0.5; Direction 0.50 < 0.6
ARAP1	Excitatory_neuron	8	7	13	8	0.1169	PO11	0.75	ARAP1-201	PASS	
ARCN1	Excitatory_neuron	10	6	13	8	0.5622	SMC049	0.2	ARCN1-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.20 < 0.6
AREL1	Excitatory_neuron	5	6	13	8	0.4407	SMC049	0.8	AREL1-201	PASS	
ARFGAP1	Excitatory_neuron	11	7	13	8	0.8132	SMC039	0.4545	ARFGAP1-204	FAIL	Jackknife 0.81 ≥ 0.5; Direction 0.45 < 0.6
ARFGEF2	Excitatory_neuron	9	6	13	8	0.3218	SMC049	0.7778	ARFGEF2-201	PASS	
