gene	cell_type	prism_tier	dtu_p	dtu_note	delta	mechanism_type	domains_lost	domains_gained	ct_transcript_id	ad_transcript_id	prism_ct_max_score	prism_ad_max_score	prism_delta_max	af_ct_plddt_mean	af_ad_plddt_mean	ppi_verdict	cons_ad_class	cons_ad_phylop	tss_class	apa_class	nat
KIF21B	Excitatory	tier2_functional_loss	3.81e-06	dtu_tested	-0.855	alternative_splicing	DUF5082;Kinesin;Microtub_bd	ANAPC4_WD40;NBCH_WD40;Nup160;WD40	transcript293004.chr1.nic	transcript292978.chr1.nnic	0.9753	0.1913	0.1625	NA	NA	SUPPORTED	highly_conserved	1.954	same_promoter	major_apa	No
LETMD1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.7967	alternative_promoter	LETM1_RBD		LETMD1-201	LETMD1-238	0.8548	0.1206	0.1116	81.26	81.26	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
LETMD1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.7967	alternative_promoter	LETM1_RBD		LETMD1-201	LETMD1-238	0.8548	0.1206	0.1116	81.26	81.26	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
MAEA	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6094	alternative_promoter	zf-RING_UBOX		MAEA-202	MAEA-220	0.8261	0.2485	0.2455	91.46	91.46	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
MAPRE2	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5174	transcriptional	EB1		MAPRE2-202	MAPRE2-213	0.6558	0.2902	0.0311	74.21	74.21	UNSUPPORTED		NA	same_promoter	major_apa	No
NDFIP1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5083	transcriptional	DUF2370		NDFIP1-201	NDFIP1-204	0.5884	0.1206	0.1035	62.57	62.57	UNSUPPORTED	low	0.338	same_promoter	major_apa	No
NDFIP1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5083	transcriptional	DUF2370		NDFIP1-201	NDFIP1-204	0.5884	0.1206	0.1035	62.57	62.57	UNSUPPORTED	low	0.338	same_promoter	major_apa	No
NIN	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5247	transcriptional	EF-hand_1;EF-hand_6;EF-hand_7;TSC22		NIN-215	NIN-231	0.7154	0.1206	0.1024	63.97	63.97	UNSUPPORTED		NA	tss_shift	major_apa	No
NIN	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5247	transcriptional	EF-hand_1;EF-hand_6;EF-hand_7;TSC22		NIN-215	NIN-231	0.7154	0.1206	0.1024	63.97	63.97	UNSUPPORTED		NA	tss_shift	major_apa	No
PSMA3	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5813	alternative_promoter	Proteasome;Proteasome_A_N		PSMA3-201	PSMA3-212	0.4675	0.1491	0.1165	94.49	94.49	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
PSMC6	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6786	alternative_promoter	AAA_15;AAA_21;AAA_23;SMC_N;TPR_MLP1_2		PSMC6-201	PSMC6-217	0.7441	0.1206	0.076	86.88	86.88	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
PTPRA	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5657	transcriptional	DSPc;PTPlike_phytase;Y_phosphatase;Y_phosphatase3		PTPRA-201	PTPRA-207	0.8953	0.2788	0.0409	81.52	81.52	UNSUPPORTED		NA	same_promoter	major_apa	No
PTPRG	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6222	transcriptional	Carb_anhydrase;DSPc;PTPlike_phytase;Pur_ac_phosph_N;Y_phosphatase;Y_phosphatase3;fn3		PTPRG-203	PTPRG-207	0.7724	0.1939	0.11	71.62	71.62	UNSUPPORTED	low	-0.088	same_promoter	major_apa	No
RBCK1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5586	alternative_promoter	IBR;zf-C3HC4;zf-C3HC4_2;zf-C3HC4_4;zf-RING_11;zf-RING_2;zf-RING_5;zf-RING_UBOX;zf-RanBP		RBCK1-202	RBCK1-220	0.8913	0.1206	0.104	84.03	84.03	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
RBCK1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5586	alternative_promoter	IBR;zf-C3HC4;zf-C3HC4_2;zf-C3HC4_4;zf-RING_11;zf-RING_2;zf-RING_5;zf-RING_UBOX;zf-RanBP		RBCK1-202	RBCK1-220	0.8913	0.1206	0.104	84.03	84.03	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
RHOT2	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6253	transcriptional	AAA_14;AAA_16;AAA_22;Arf;Dynamin_N;MMR_HSR1;Ras;Roc;RsgA_GTPase		RHOT2-201	RHOT2-227	0.7138	0.1364	0.0342	88.74	88.74	UNSUPPORTED		NA	same_promoter	moderate_apa	No
RHOT2	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6253	transcriptional	AAA_14;AAA_16;AAA_22;Arf;Dynamin_N;MMR_HSR1;Ras;Roc;RsgA_GTPase		RHOT2-201	RHOT2-227	0.7138	0.1364	0.0342	88.74	88.74	UNSUPPORTED		NA	same_promoter	moderate_apa	No
RPL23	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5756	transcriptional	Ribosomal_L23		RPL23-206	RPL23-211	0.8375	0.1206	0.116	92.61	92.61	UNSUPPORTED		NA	same_promoter	moderate_apa	No
RPL23	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5756	transcriptional	Ribosomal_L23		RPL23-203	RPL23-211	0.8375	0.1206	0.116	92.61	92.61	UNSUPPORTED		NA	same_promoter	moderate_apa	No
RPL7	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6218	alternative_promoter	Ribosomal_L30;Ribosomal_L30_N		RPL7-201	RPL7-208	0.7889	0.1206	0.1086	93.92	93.92	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
RPL8	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6433	alternative_promoter	Ribosomal_L2;Ribosomal_L2_C		RPL8-201	RPL8-214	0.8471	0.1206	0.1195	95.3	95.3	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
RPL8	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6433	alternative_promoter	Ribosomal_L2;Ribosomal_L2_C		RPL8-201	RPL8-214	0.8471	0.1206	0.1195	95.3	95.3	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
RTN4	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.7756	alternative_promoter	DUF639;Reticulon		RTN4-205	RTN4-214	0.7823	0.1206	0.1051	40.84	40.84	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
RTN4	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6812	alternative_promoter	Reticulon		RTN4-201	RTN4-214	0.751	0.1206	0.1015	40.84	40.84	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
SAMM50	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6167	alternative_promoter	Omp85		SAMM50-201	SAMM50-206	0.6915	0.1206	0.1087	85.8	85.8	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
SAMM50	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6167	alternative_promoter	Omp85		SAMM50-201	SAMM50-206	0.6915	0.1206	0.1087	85.8	85.8	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
SH3BGRL	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6015	transcriptional	Glutaredoxin;SH3BGR		SH3BGRL-201	SH3BGRL-204	0.4832	0.1206	0.1043	95.1	95.1	UNSUPPORTED	low	0.402	same_promoter	moderate_apa	No
SPTBN1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.7006	alternative_promoter	CAMSAP_CH;CH;SLATT_6;Spectrin		SPTBN1-201	SPTBN1-206	0.858	0.1206	0.0975	75.97	75.97	UNSUPPORTED	low	0.027	alt_promoter_candidate	major_apa	No
SPTBN1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6763	alternative_promoter	CAMSAP_CH;CH;PH;PH_9;SLATT_6;Spectrin		SPTBN1-202	SPTBN1-206	0.8535	0.1206	0.0955	75.97	75.97	UNSUPPORTED	low	0.027	alt_promoter_candidate	major_apa	No
TIMM17A	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5276	transcriptional	Tim17		TIMM17A-201	TIMM17A-204	0.6694	0.1206	0.1055	81.24	81.24	UNSUPPORTED		NA	same_promoter	major_apa	No
TIMM17A	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5276	transcriptional	Tim17		TIMM17A-201	TIMM17A-204	0.6694	0.1206	0.1055	81.24	81.24	UNSUPPORTED		NA	same_promoter	major_apa	No
TMOD1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5416	alternative_promoter	Tropomodulin		TMOD1-201	TMOD1-202	0.7463	0.3586	0.0626	84.58	84.58	UNSUPPORTED	low	0.102	alt_promoter_candidate	minor_apa	No
TNIK	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.512	alternative_promoter	ABC1;PK_Tyr_Ser-Thr;Pkinase		TNIK-204	TNIK-215	0.9049	0.2778	0.2507	63.58	63.58	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
TRAF3IP1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5136	alternative_promoter	MIP-T3;MIP-T3_C		TRAF3IP1-202	TRAF3IP1-205	0.5535	0.1206	0.09	61.93	61.93	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
UBE2D1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5297	alternative_promoter	RWD;UQ_con		UBE2D1-201	UBE2D1-203	0.9246	0.1206	0.1098	96.37	96.37	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
ZNHIT1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6276	transcriptional	zf-HIT		ZNHIT1-201	ZNHIT1-204	0.4588	0.1206	0.1059	74.26	74.26	UNSUPPORTED	low	-0.06	same_promoter	minor_apa	No
ZNHIT1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6276	transcriptional	zf-HIT		ZNHIT1-201	ZNHIT1-204	0.4588	0.1206	0.1059	74.26	74.26	UNSUPPORTED	low	-0.06	same_promoter	minor_apa	No
GAS6	Skeletal_muscle	tier2_partial_change	NA	single_condition_no_comparison	-0.5349	alternative_promoter	DL-JAG_EGF-like;EGF;EGF_3;EGF_CA;FXa_inhibition;Gla;cEGF;hEGF		GAS6-201	GAS6-205	0.5022	0.5674	0.2964	85.57	85.57	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
SON	Skeletal_muscle	tier2_partial_change	NA	single_condition_no_comparison	0.6267	transcriptional		DND1_DSRM;DUF6204;G-patch;G-patch_2;RSRP;dsrm	SON-202	SON-222	0.5857	0.4667	0.1198	36.13	36.13	UNSUPPORTED		NA	same_promoter	same_apa	No
ADGRB2	Inhibitory	tier3_gene_median	1.923e-12	dtu_tested	0.8005	alternative_promoter		HRM	ENST00000373655	ENST00000398556	0.6683	0.6683	0	61.39	61.39	SUPPORTED	low	0.075	alt_promoter_candidate	same_apa	No
ANKRD44	Oligodendrocyte	tier3_gene_median	3.186e-23	dtu_tested	0.7088	alternative_promoter		GATase_7	ENST00000409919	ENST00000424317	0.1434	0.1434	0	90.58	90.58	UNSUPPORTED	low	0.002	alt_promoter_candidate	major_apa	No
ASXL3	Excitatory	tier3_gene_median	1.36e-07	dtu_tested	0.7494	alternative_promoter	HARE-HTH;PHD_3		ENST00000269197	ENST00000642541	0.2462	0.2462	0	39.37	39.37	UNSUPPORTED	conserved	1.265	alt_promoter_candidate	major_apa	No
BSG	Oligodendrocyte	tier3_gene_median	2.501e-06	dtu_tested	0.7999	alternative_promoter	Ig_5;V-set		ENST00000680326	ENST00000576984	0.7112	0.7112	0	86.11	86.11	SUPPORTED	low	-0.473	alt_promoter_candidate	same_apa	No
CCAR1	Inhibitory	tier3_gene_median	6.254e-08	dtu_tested	0.8494	transcriptional		S1-like	ENST00000536012	ENST00000543719	0.6567	0.6567	0	69.22	69.22	UNSUPPORTED	highly_conserved	3.428	same_promoter	major_apa	No
DMD	Inhibitory	tier3_gene_median	3.044e-22	dtu_tested	0.9189	alternative_promoter	Spectrin;WW	SOGA	ENST00000541735	ENST00000682600	0.5392	0.5392	0	76.35	76.35	SUPPORTED	highly_conserved	5.625	alt_promoter_candidate	same_apa	No
DOCK11	Inhibitory	tier3_gene_median	4.45e-23	dtu_tested	0.7172	alternative_promoter	DHR-2_Lobe_A;DHR-2_Lobe_B;DHR-2_Lobe_C;DOCK-C2;DOCK_C-D_N;PH		ENST00000276204	ENST00000632573	0.1488	0.1488	0	78.94	78.94	UNSUPPORTED	highly_conserved	3.25	alt_promoter_candidate	same_apa	No
FANCA	Excitatory	tier3_gene_median	2.224e-12	dtu_tested	0.9457	transcriptional	Fanconi_A		ENST00000389301	ENST00000389302	0.1876	0.1876	0	74.86	74.86	SUPPORTED	low	-0.493	same_promoter	major_apa	No
FRMD4A	Excitatory	tier3_gene_median	4.389e-06	dtu_tested	0.7875	alternative_promoter	CUPID;FERM_C;FERM_M		ENST00000264546	ENST00000640906	0.1688	0.1688	0	61.72	61.72	UNSUPPORTED	highly_conserved	1.834	alt_promoter_candidate	major_apa	No
GOLGB1	Astrocyte	tier3_gene_median	1.376e-76	dtu_tested	0.7347	alternative_promoter	ATG16;Crescentin;HALZ;Metal_resist;Tup_N		ENST00000695008	ENST00000695110	0.4188	0.4188	0	NA	NA	UNSUPPORTED	low	0.428	alt_promoter_candidate	major_apa	No
IFI16	Oligodendrocyte	tier3_gene_median	5.329e-06	dtu_tested	0.7566	alternative_promoter	HIN;tRNA_anti-codon		ENST00000368131	ENST00000566111	0.1535	0.1535	0	68.25	68.25	UNSUPPORTED	low	-0.089	alt_promoter_candidate	major_apa	No
IFT122	Excitatory	tier3_gene_median	9.561e-06	dtu_tested	0.9538	alternative_promoter	ANAPC4_WD40;NBCH_WD40;WD40;eIF2A	Clathrin;TPR_14;TPR_19	ENST00000691964	ENST00000688527	0.4792	0.4792	0	82.86	82.86	SUPPORTED	highly_conserved	4.826	alt_promoter_candidate	minor_apa	No
LRPPRC	Oligodendrocyte	tier3_gene_median	1.203e-42	dtu_tested	0.7583	transcriptional	MA3;RPN7		ENST00000447246	ENST00000683213	0.4284	0.4284	0	77.05	77.05	UNSUPPORTED	low	-0.004	same_promoter	major_apa	No
MTHFD1	OPC	tier3_gene_median	5.756e-16	dtu_tested	0.8214	alternative_promoter		THF_DHG_CYH;THF_DHG_CYH_C	ENST00000652509	ENST00000557370	0.4556	0.4556	0	94.57	94.57	UNSUPPORTED	conserved	1.013	alt_promoter_candidate	moderate_apa	No
PML	Excitatory	tier3_gene_median	3.611e-25	dtu_tested	0.85	transcriptional	zf-RING_UBOX		ENST00000435786	ENST00000395135	0.698	0.698	0	70.12	70.12	UNSUPPORTED	conserved	0.508	same_promoter	major_apa	No
PTPRF	Inhibitory	tier3_gene_median	3.893e-17	dtu_tested	0.7288	alternative_promoter	Arylsulfotran_N;DSPc;Interfer-bind;NDNF;PTPlike_phytase;Pur_ac_phosph_N;Y_phosphatase;Y_phosphatase3;fn3;fn3_2	C2-set_2;I-set;Ig_2;Ig_3;Ig_5;Ig_C17orf99;V-set;ig	ENST00000414879	ENST00000617451	0.8794	0.8794	0	81.99	81.99	SUPPORTED	low	0.499	alt_promoter_candidate	major_apa	No
PTPRS	Astrocyte	tier3_gene_median	1.355e-29	dtu_tested	0.7885	transcriptional	SusE	Ig_C17orf99	ENST00000588012	ENST00000592099	0.7826	0.7826	0	81.49	81.49	SUPPORTED		NA	same_promoter	same_apa	No
RGS3	Astrocyte	tier3_gene_median	1.079e-10	dtu_tested	0.8065	alternative_promoter	C2;CEP76-C2;PDZ;PDZ_2;PDZ_6		ENST00000695401	ENST00000462143	0.6741	0.6741	0	54.97	54.97	SUPPORTED		NA	alt_promoter_candidate	same_apa	No
SNTG1	Inhibitory	tier3_gene_median	3.571e-13	dtu_tested	0.7019	transcriptional		PH	ENST00000644093	ENST00000642720	0.1587	0.1587	0	82.34	82.34	SUPPORTED	highly_conserved	4.257	tss_shift	moderate_apa	No
SYNE1	Inhibitory	tier3_gene_median	3.086e-29	dtu_tested	0.8389	alternative_promoter	Spectrin		ENST00000537033	ENST00000495090	0.4588	0.4588	0	76.6	76.6	SUPPORTED	highly_conserved	2.097	alt_promoter_candidate	major_apa	No
ZCCHC17	Oligodendrocyte	tier3_gene_median	7.281e-08	dtu_tested	0.9653	transcriptional	S1		ENST00000615916	ENST00000616393	0.5117	0.5117	0	70.8	70.8	UNSUPPORTED	highly_conserved	2.201	same_promoter	same_apa	No
ZNF268	Microglia	tier3_gene_median	2.602e-24	dtu_tested	0.7954	transcriptional	DsrE	KRAB	ENST00000536899	ENST00000228289	0.5071	0.5071	0	68.61	68.61	UNSUPPORTED	low	0.113	same_promoter	same_apa	No
ZNF623	Oligodendrocyte	tier3_gene_median	1.669e-09	dtu_tested	0.7778	alternative_promoter		zf_C2H2_13	ENST00000458270	ENST00000501748	0.8257	0.8257	0	71.12	71.12	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
PSMC4	Skeletal_muscle	tier3_structural_only	NA	single_condition_no_comparison	0.5113	transcriptional	ATG17_like;SMC_hinge	AAA_15	PSMC4-201	PSMC4-206	0.5914	0.3902	0.0001	80.11	80.11	UNSUPPORTED		NA	same_promoter	minor_apa	No
