#ELM_Instance_Download_Version: 1.4
#ELM_Instance_Download_Date: 2026-07-24 10:12:46.962794
#Origin: asimov
#Type: tsv
#NumInstances: 27
"Accession"	"ELMType"	"ELMIdentifier"	"ProteinName"	"Primary_Acc"	"Accessions"	"Start"	"End"	"References"	"Methods"	"InstanceLogic"	"PDB"	"Organism"
"ELMI002066"	"TRG"	"TRG_ER_diArg_1"	"IRK8_HUMAN"	"Q15842"	"Q15842 O00657"	"380"	"383"	"10197533"	"fluorescence-activated cell sorting; mass detection of residue modification; mutation analysis; mutation disrupting interaction; over expressed level"	"true positive"	""	"Homo sapiens"
"ELMI002083"	"TRG"	"TRG_ER_diArg_1"	"MSHR_HUMAN"	"Q01726"	"Q01726 Q66K38 Q8WWX6 Q8WWX7 Q96I33 Q96RU4 Q9UBF7 Q9UN58 Q9UN59 Q9UN60 Q9UN61 Q9UN62"	"160"	"163"	"19452503"	"colocalization; mutation analysis; over expressed level; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002450"	"TRG"	"TRG_ER_diArg_1"	"NMDZ1_HUMAN"	"Q05586-4"	"Q05586 A6NLK7 A6NLR1 C9K0X1 P35437 Q12867 Q12868 Q5VSF3 Q5VSF4 Q5VSF5 Q5VSF6 Q5VSF7 Q5VSF8 Q9UPF8 Q9UPF9"	"893"	"895"	"11163274"	"fluorescence microscopy; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002064"	"TRG"	"TRG_ER_diArg_1"	"NMDZ1_HUMAN"	"Q05586"	"Q05586 A6NLK7 A6NLR1 C9K0X1 P35437 Q12867 Q12868 Q5VSF3 Q5VSF6 Q5VSF7 Q5VSF8"	"893"	"895"	"11312291"	"colocalization; confocal microscopy; mutation analysis; mutation disrupting interaction; sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI002085"	"TRG"	"TRG_ER_diArg_1"	"P2RX7_HUMAN"	"Q99572"	"Q99572 O14991 Q96EV7"	"575"	"578"	"19263245"	"fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002073"	"TRG"	"TRG_ER_diArg_1"	"PAR4_HUMAN"	"Q96RI0"	"Q96RI0 O76067 Q6DK42"	"182"	"185"	"22411985"	"alanine scanning; colocalization; fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002079"	"TRG"	"TRG_ER_diArg_1"	"PPLA_HUMAN"	"P26678"	"P26678"	"12"	"14"	"20634894"	"alanine scanning; coimmunoprecipitation; colocalization; mutation analysis; subcellular preparation"	"true positive"	""	"Homo sapiens"
"ELMI002069"	"TRG"	"TRG_ER_diArg_1"	"Q58F09_HUMAN"	"Q58F09"	"Q58F09"	"7"	"9"	"12626409"	"fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002088"	"TRG"	"TRG_ER_diArg_1"	"S12A5_RAT"	"Q63633"	"Q63633 A7Y821"	"1101"	"1104"	"19679663"	"inferred by author; mutation analysis"	"true positive"	""	"Rattus norvegicus"
"ELMI002068"	"TRG"	"TRG_ER_diArg_1"	"SCNAA_RAT"	"Q62968"	"Q62968 Q63554 Q6EWG6"	"495"	"497"	"18782866"	"alanine scanning; anti tag coimmunoprecipitation; colocalization; mutation analysis"	"true positive"	""	"Rattus norvegicus"
"ELMI002080"	"TRG"	"TRG_ER_diArg_1"	"SGMR1_HUMAN"	"Q99720"	"Q99720 D3DRM7 O00673 O00725 Q0Z9W6 Q153Z1 Q2TSD1 Q53GN2 Q7Z653 Q8N7H3 Q9NYX0"	"7"	"9"	"20634894"	"coimmunoprecipitation; mutation analysis; subcellular preparation"	"true positive"	""	"Homo sapiens"
"ELMI002087"	"TRG"	"TRG_ER_diArg_1"	"SIAT9_MOUSE"	"O88829"	"O88829 B2RRS1 Q3TMT6 Q3TY01 Q91YF2 Q91YF3 Q9CZ65 Q9QWF8 Q9QWF9"	"11"	"13"	"19420140"	"colocalization; confocal microscopy; mass detection of residue modification; mutation analysis; western blot"	"true positive"	""	"Mus musculus"
"ELMI002082"	"TRG"	"TRG_ER_diArg_1"	"SOAT1_HUMAN"	"P35610"	"P35610 A6NC40 A9Z1V7 Q5T0X4 Q8N1E4"	"10"	"13"	"20634894"	"coimmunoprecipitation; mutation analysis; subcellular preparation"	"true positive"	""	"Homo sapiens"
"ELMI002081"	"TRG"	"TRG_ER_diArg_1"	"SRPRB_HUMAN"	"Q9Y5M8"	"Q9Y5M8 Q6P595 Q8N2D8"	"7"	"9"	"20634894"	"coimmunoprecipitation; mutation analysis; subcellular preparation"	"true positive"	""	"Homo sapiens"
"ELMI002075"	"TRG"	"TRG_ER_diArg_1"	"V2R_HUMAN"	"P30518"	"P30518 C5HF20 O43192 Q3MJD3 Q9UCV9"	"247"	"249"	"11641431"	"green fluorescent protein tag; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
