gene	iso_a	iso_b	gap	slim	hits_a	hits_b	diff	top_go	top_go_name
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000305887	BambuTx129	ENST00000813743.1	0.06441	PXXP_SH3_binding	0	1	-1	GO:0005515	protein binding
ENSG00000305887	BambuTx129	ENST00000813743.1	0.06441	RGD_integrin	1	0	1	GO:0005515	protein binding
ENSG00000305887	BambuTx129	ENST00000813743.1	0.06441	phospho_CK2	2	3	-1	GO:0005515	protein binding
ENSG00000305887	BambuTx129	ENST00000813743.1	0.06441	phospho_PKA	2	3	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	PXXP_SH3_binding	1	0	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	RGD_integrin	0	1	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	phospho_CK2	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	phospho_PKA	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	PXXP_SH3_binding	1	0	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	RGD_integrin	0	1	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	phospho_CK2	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813744.1	0.0638	phospho_PKA	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813751.1	0.07052	PXXP_SH3_binding	1	0	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813751.1	0.07052	RGD_integrin	0	1	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813751.1	0.07052	phospho_CK2	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813751.1	0.07052	phospho_PKA	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813753.1	0.05459	PXXP_SH3_binding	1	0	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813753.1	0.05459	RGD_integrin	0	1	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813753.1	0.05459	phospho_PKA	3	4	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813755.1	0.0737	PXXP_SH3_binding	1	0	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813755.1	0.0737	RGD_integrin	0	1	-1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813755.1	0.0737	phospho_CK2	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813755.1	0.0737	phospho_PKA	3	2	1	GO:0005515	protein binding
ENSG00000305887	ENST00000813743.1	ENST00000813765.1	0.05746	PXXP_SH3_binding	1	0	1	GO:0060090	molecular adaptor activity
ENSG00000305887	ENST00000813743.1	ENST00000813765.1	0.05746	RGD_integrin	0	2	-2	GO:0060090	molecular adaptor activity
ENSG00000305887	ENST00000813743.1	ENST00000813765.1	0.05746	phospho_CK2	3	1	2	GO:0060090	molecular adaptor activity
ENSG00000305887	ENST00000813743.1	ENST00000813765.1	0.05746	phospho_PKA	3	1	2	GO:0060090	molecular adaptor activity
ENSG00000176834	BambuTx1394	ENST00000542195.1	0.0701	NLS_basic_cluster	1	0	1	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	BambuTx1394	ENST00000542195.1	0.0701	phospho_CK2	2	0	2	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	BambuTx1394	ENST00000542195.1	0.0701	phospho_PKA	2	1	1	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	BambuTx1394	ENST00000542195.1	0.0701	phospho_CDK	0	1	-1	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	ENST00000542195.1	ENST00000612851.1	0.06684	PXXP_SH3_binding	3	1	2	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	ENST00000542195.1	ENST00000612851.1	0.06684	phospho_CK2	0	1	-1	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000176834	ENST00000542195.1	ENST00000612851.1	0.06684	phospho_CDK	1	0	1	GO:0000978	RNA polymerase II cis-regulatory region 
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	PXXP_SH3_binding	3	1	2	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	KFERQ_autophagy	0	1	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_CK2	1	2	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_PKA	1	3	-2	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	PXXP_SH3_binding	3	1	2	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	KFERQ_autophagy	0	1	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_CK2	1	2	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_PKA	1	3	-2	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	PXXP_SH3_binding	3	1	2	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	KFERQ_autophagy	0	1	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_CK2	1	2	-1	GO:0005525	GTP binding
ENSG00000197562	BambuTx1597	ENST00000569575.5	0.06712	phospho_PKA	1	3	-2	GO:0005525	GTP binding
ENSG00000289228	BambuTx2616	ENST00000838017.1	0.07188	NES_leucine_rich	1	0	1	GO:0005515	protein binding
ENSG00000289228	BambuTx2616	ENST00000838017.1	0.07188	PXXP_SH3_binding	0	2	-2	GO:0005515	protein binding
ENSG00000289228	BambuTx2616	ENST00000838017.1	0.07188	KFERQ_autophagy	0	1	-1	GO:0005515	protein binding
ENSG00000289228	BambuTx2616	ENST00000838017.1	0.07188	phospho_CK2	0	1	-1	GO:0005515	protein binding
ENSG00000289228	BambuTx2616	ENST00000838017.1	0.07188	phospho_PKA	0	2	-2	GO:0005515	protein binding
ENSG00000289228	BambuTx2617	ENST00000838017.1	0.07188	NES_leucine_rich	1	0	1	GO:0005515	protein binding
ENSG00000289228	BambuTx2617	ENST00000838017.1	0.07188	PXXP_SH3_binding	0	2	-2	GO:0005515	protein binding
ENSG00000289228	BambuTx2617	ENST00000838017.1	0.07188	KFERQ_autophagy	0	1	-1	GO:0005515	protein binding
ENSG00000289228	BambuTx2617	ENST00000838017.1	0.07188	phospho_CK2	0	1	-1	GO:0005515	protein binding
ENSG00000289228	BambuTx2617	ENST00000838017.1	0.07188	phospho_PKA	0	2	-2	GO:0005515	protein binding
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	NLS_basic_cluster	0	1	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	RGD_integrin	0	1	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	phospho_CK2	3	2	1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	phospho_PKA	1	2	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	NLS_basic_cluster	0	1	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	RGD_integrin	0	1	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	phospho_CK2	3	2	1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx518	ENST00000621127.4	0.06371	phospho_PKA	1	2	-1	GO:0003924	GTPase activity
ENSG00000158186	BambuTx519	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	BambuTx519	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	BambuTx519	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	BambuTx519	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	ENST00000289104.8	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	ENST00000289104.8	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	ENST00000289104.8	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000158186	ENST00000289104.8	ENST00000621127.4	0.06719	phospho_CK2	4	2	2	GO:0003924	GTPase activity
ENSG00000174928	BambuTx533	ENST00000482061.6	0.07075	NLS_basic_cluster	2	3	-1	GO:0003690	double-stranded DNA binding
ENSG00000174928	BambuTx533	ENST00000482061.6	0.07075	PXXP_SH3_binding	2	0	2	GO:0003690	double-stranded DNA binding
ENSG00000174928	BambuTx533	ENST00000482061.6	0.07075	phospho_PKA	6	8	-2	GO:0003690	double-stranded DNA binding
ENSG00000174928	BambuTx533	ENST00000534941.2	0.06716	NLS_basic_cluster	2	3	-1	GO:0003690	double-stranded DNA binding
ENSG00000174928	BambuTx533	ENST00000534941.2	0.06716	PXXP_SH3_binding	2	0	2	GO:0003690	double-stranded DNA binding
ENSG00000174928	BambuTx533	ENST00000534941.2	0.06716	phospho_PKA	6	9	-3	GO:0003690	double-stranded DNA binding
ENSG00000168785	BambuTx622	ENST00000508798.5	0.05188	NES_leucine_rich	1	0	1	GO:0042802	identical protein binding
ENSG00000168785	BambuTx622	ENST00000508798.5	0.05188	phospho_PKA	0	4	-4	GO:0042802	identical protein binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	NLS_basic_cluster	0	2	-2	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	NES_leucine_rich	0	1	-1	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	phospho_CK2	6	2	4	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	phospho_PKA	4	5	-1	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	NLS_basic_cluster	0	2	-2	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	NES_leucine_rich	0	1	-1	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	phospho_CK2	6	2	4	GO:0003677	DNA binding
ENSG00000070501	BambuTx960	ENST00000522610.5	0.05115	phospho_PKA	4	5	-1	GO:0003677	DNA binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	NLS_basic_cluster	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	PXXP_SH3_binding	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_PKA	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_CDK	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	NLS_basic_cluster	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	PXXP_SH3_binding	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_PKA	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_CDK	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	NLS_basic_cluster	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	PXXP_SH3_binding	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_PKA	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_CDK	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	NLS_basic_cluster	1	2	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	PXXP_SH3_binding	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_PKA	3	4	-1	GO:0019901	protein kinase binding
ENSG00000184436	ENST00000471073.1	ENST00000476667.5	0.05577	phospho_CDK	1	2	-1	GO:0019901	protein kinase binding
ENSG00000103266	ENST00000219548.9	ENST00000563505.5	0.05964	NLS_basic_cluster	2	1	1	GO:0061630	ubiquitin protein ligase activity
ENSG00000103266	ENST00000219548.9	ENST00000563505.5	0.05964	phospho_CK2	4	3	1	GO:0061630	ubiquitin protein ligase activity
ENSG00000103266	ENST00000219548.9	ENST00000563505.5	0.05964	phospho_PKA	4	5	-1	GO:0061630	ubiquitin protein ligase activity
ENSG00000103266	ENST00000219548.9	ENST00000563505.5	0.05964	phospho_CDK	0	1	-1	GO:0061630	ubiquitin protein ligase activity
ENSG00000112335	ENST00000349379.5	ENST00000426155.6	0.07595	NLS_basic_cluster	1	0	1	GO:0035091	phosphatidylinositol binding
ENSG00000112335	ENST00000349379.5	ENST00000426155.6	0.07595	phospho_CK2	3	2	1	GO:0035091	phosphatidylinositol binding
ENSG00000112335	ENST00000349379.5	ENST00000426155.6	0.07595	phospho_PKA	4	3	1	GO:0035091	phosphatidylinositol binding
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	NLS_basic_cluster	2	5	-3	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	phospho_PKA	1	3	-2	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	NLS_basic_cluster	2	5	-3	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	phospho_PKA	1	3	-2	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	NLS_basic_cluster	2	5	-3	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	phospho_PKA	1	3	-2	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	NLS_basic_cluster	2	5	-3	GO:0003924	GTPase activity
ENSG00000133703	ENST00000311936.8	ENST00000692768.1	0.09561	phospho_PKA	1	3	-2	GO:0003924	GTPase activity
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000075426	ENST00000264716.9	ENST00000379619.5	0.0851	PXXP_SH3_binding	3	4	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	RGD_integrin	0	1	-1	GO:0000981	DNA-binding transcription factor activit
ENSG00000101216	ENST00000266068.5	ENST00000370069.5	0.05013	phospho_CK2	10	8	2	GO:0000981	DNA-binding transcription factor activit
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_CK2	3	4	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_PKA	5	6	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_CK2	3	4	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_PKA	5	6	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_CK2	3	4	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_PKA	5	6	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_CK2	3	4	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000300249.10	ENST00000413393.5	0.0683	phospho_PKA	5	6	-1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000413393.5	ENST00000436190.6	0.0568	phospho_CK2	4	3	1	GO:0008017	microtubule binding
ENSG00000166974	ENST00000413393.5	ENST00000436190.6	0.0568	phospho_PKA	6	4	2	GO:0008017	microtubule binding
ENSG00000166974	ENST00000413393.5	ENST00000436190.6	0.0568	phospho_CK2	4	3	1	GO:0008017	microtubule binding
