gene	go_name	score_top	score_bot	score_gap	score_ratio	dtu_top	frac_brain_top	brain_tpm_top	dtu_concordant	top_iso	bot_iso
RNF220	Ca2+ homeostasis	0.7621	0.0185	0.7436	41.14	0.5145	0.5574	16.201	True	ENST00000355387	ENST00000440132
BBOF1	Neuron projection	0.9954	0.011	0.9844	90.3	0.2666	0.4751	2.545	True	ENST00000463558	ENST00000394009
PTPRN	Synaptic transmission	0.9721	0.0	0.9721	123766.77	0.2784	0.8205	82.64	True	ENST00000295718	ENST00000443981
CDH18	Synaptic transmission	0.8492	0.0	0.8492	17525.71	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000274170
PTPRN	Synapse assembly	0.9777	0.0093	0.9684	104.75	0.2784	0.8205	82.64	True	ENST00000295718	ENST00000443981
BBOF1	Synaptic transmission	0.986	0.0062	0.9798	158.25	0.2666	0.4751	2.545	True	ENST00000463558	ENST00000394009
PCDH11Y	Synaptic transmission	0.6785	0.0205	0.658	33.09	0.5799	0.8876	3.507	True	ENST00000698851	ENST00000622698
COX6C	Axon guidance	0.8078	0.0008	0.807	1000.22	0.4229	0.6007	22.574	True	ENST00000520468	ENST00000297564
RGS3	MT cytoskeleton org	0.8227	0.0162	0.8064	50.66	0.4119	0.974	4.407	True	ENST00000462143	ENST00000695401
COX6C	Neuron dev	0.8072	0.0135	0.7937	59.7	0.4229	0.6007	22.574	True	ENST00000520468	ENST00000522940
TSPOAP1	MT cytoskeleton org	0.7138	0.0241	0.6897	29.58	0.5141	0.5977	25.843	True	ENST00000343736	ENST00000580669
TMEM255A	Neuron diff	0.444	0.1098	0.3342	4.04	0.8682	0.9326	4.445	True	ENST00000309720	ENST00000440464
CDH18	Neuron projection	0.8072	0.0083	0.7989	97.44	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000507958
KCNT2	Neuron dev	0.6475	0.0708	0.5767	9.15	0.6186	0.9588	2.799	True	ENST00000294725	ENST00000367433
CTNNA2	Neuron dev	0.6056	0.0135	0.592	44.79	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000629316
TNFRSF25	Neuron diff	0.7153	0.0328	0.6825	21.79	0.5085	1.0	0.208	True	ENST00000647810	ENST00000356876
PLD5	Neuron projection	0.9936	0.0791	0.9144	12.56	0.2735	0.8263	1.813	True	ENST00000427495	ENST00000442594
PTPRN	Neuron projection	0.9858	0.0776	0.9082	12.7	0.2784	0.8205	82.64	True	ENST00000295718	ENST00000409251
TMEM235	Mitochondrion org	0.3417	0.0339	0.3079	10.09	0.875	1.0	2.017	True	ENST00000586400	ENST00000421688
KTN1	Neuron projection	0.7634	0.0046	0.7588	166.91	0.4124	0.6917	10.9	True	ENST00000395311	ENST00000395308
ZNF43	MT cytoskeleton org	0.7618	0.0054	0.7564	142.09	0.4145	0.6475	0.621	True	ENST00000357491	ENST00000595461
COX6C	Neuron diff	0.754	0.012	0.742	62.99	0.4229	0.6007	22.574	True	ENST00000520468	ENST00000297564
WLS	Ca2+ homeostasis	0.6425	0.0675	0.575	9.52	0.5897	0.6126	1.884	True	ENST00000370976	ENST00000370971
PLD5	Synaptic transmission	0.978	0.0883	0.8897	11.08	0.2735	0.8263	1.813	True	ENST00000427495	ENST00000442594
KCNT2	Neuron projection	0.5735	0.0315	0.542	18.2	0.6186	0.9588	2.799	True	ENST00000294725	ENST00000367433
WLS	Ca2+ signaling	0.5955	0.0283	0.5672	21.05	0.5897	0.6126	1.884	True	ENST00000370976	ENST00000370971
PPFIA4	MT-based movement	0.8128	0.0085	0.8044	95.84	0.3523	0.925	8.37	True	ENST00000692772	ENST00000447715
NF1	Oxidative stress resp	0.7005	0.0489	0.6516	14.33	0.5043	0.5226	4.748	True	ENST00000691014	ENST00000431387
CTNNA2	Neuron diff	0.5939	0.0376	0.5563	15.79	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000540488
CTNNA2	Autophagy	0.5532	0.0027	0.5505	205.52	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000629316
DOCK11	Synaptic transmission	0.7196	0.0024	0.7172	299.3	0.4322	0.7482	1.262	True	ENST00000632573	ENST00000276204
AGO3	Synaptic transmission	0.776	0.0012	0.7748	624.0	0.3742	0.8849	0.512	True	ENST00000324350	ENST00000246314
SLC3A1	Modulation of syn.trans	0.8791	0.0003	0.8789	3242.24	0.2684	0.7103	0.65	True	ENST00000260649	ENST00000409740
FANCA	Synaptic transmission	0.9457	0.0	0.9457	179405.42	0.2016	0.5513	0.636	True	ENST00000389302	ENST00000389301
MOK	Neuron dev	0.318	0.006	0.3121	53.31	0.8346	0.9997	0.212	True	ENST00000517966	ENST00000522867
CTNNA2	Mitochondrion org	0.5488	0.0013	0.5475	433.7	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000629316
MSI2	Synaptic transmission	0.5667	0.0173	0.5494	32.81	0.5942	0.8956	6.91	True	ENST00000675656	ENST00000674964
ARPP19	Ca2+ signaling	0.7422	0.0079	0.7343	94.08	0.409	0.9711	191.836	True	ENST00000568196	ENST00000561650
DMD	Neuron projection	0.927	0.0081	0.9189	114.93	0.2236	0.4794	7.496	True	ENST00000682600	ENST00000541735
ATXN2	Neuron projection	0.9982	0.0039	0.9942	255.2	0.1467	0.1583	1.05	True	ENST00000673557	ENST00000673283
SGIP1	Neuron projection	0.9944	0.0053	0.9891	186.79	0.1512	0.1878	4.127	True	ENST00000237247	ENST00000682293
KCNT2	Neuron diff	0.6215	0.1001	0.5214	6.21	0.6186	0.9588	2.799	True	ENST00000294725	ENST00000367433
NGDN	Neuron diff	0.4365	0.0013	0.4352	330.44	0.704	0.9012	0.508	True	ENST00000703256	ENST00000397154
LRRC37A2	Axon guidance	0.7014	0.0229	0.6785	30.69	0.4606	0.5338	0.05	True	ENST00000706058	ENST00000705813
FANCA	Modulation of syn.trans	0.9354	0.0	0.9353	18839.84	0.2016	0.5513	0.636	True	ENST00000389302	ENST00000389301
ATXN2	Synaptic transmission	0.9905	0.0013	0.9892	760.41	0.1467	0.1583	1.05	True	ENST00000673557	ENST00000644883
SGIP1	Synapse assembly	0.9875	0.0043	0.9832	229.14	0.1512	0.1878	4.127	True	ENST00000237247	ENST00000684751
SGIP1	Synaptic transmission	0.9841	0.0009	0.9832	1146.71	0.1512	0.1878	4.127	True	ENST00000237247	ENST00000682293
ATXN2	Synapse assembly	0.9982	0.0121	0.9862	82.78	0.1467	0.1583	1.05	True	ENST00000673557	ENST00000644883
PCGF3	Neuron projection	0.6682	0.0346	0.6336	19.29	0.4989	0.6915	3.396	True	ENST00000470161	ENST00000400151
NEDD4L	Neuron projection	0.5721	0.0027	0.5694	209.54	0.5624	0.9694	5.547	True	ENST00000456173	ENST00000676024
IFT122	Synaptic transmission	0.9544	0.0006	0.9538	1616.25	0.1766	0.2322	0.667	True	ENST00000688527	ENST00000691964
NEDD4L	Axon guidance	0.5677	0.0004	0.5672	1348.77	0.5624	0.9694	5.547	True	ENST00000456173	ENST00000676223
FANCA	Synapse assembly	0.929	0.0011	0.9279	848.27	0.2016	0.5513	0.636	True	ENST00000389302	ENST00000389301
SRCIN1	Axon guidance	0.6784	0.0168	0.6616	40.35	0.4673	0.7936	4.283	True	ENST00000617146	ENST00000621492
SLA	Mitochondrion org	0.3997	0.0149	0.3847	26.74	0.7433	0.7619	1.351	True	ENST00000395352	ENST00000427060
IFT122	Modulation of syn.trans	0.9491	0.0002	0.949	5661.19	0.1766	0.2322	0.667	True	ENST00000688527	ENST00000691583
IFT122	Synapse assembly	0.9459	0.0009	0.945	1039.69	0.1766	0.2322	0.667	True	ENST00000688527	ENST00000691583
PML	Synapse assembly	0.8748	0.0248	0.8499	35.26	0.27	0.3452	0.833	True	ENST00000395135	ENST00000435786
ZCCHC17	Synaptic transmission	0.9701	0.0048	0.9653	201.44	0.1544	0.92	4.636	True	ENST00000616393	ENST00000615916
CDH18	Synapse assembly	0.7215	0.0027	0.7188	266.21	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000506372
DOCK11	Neurotrans. transport	0.7144	0.0294	0.685	24.28	0.4322	0.7482	1.262	True	ENST00000632573	ENST00000276204
GPAT2	Ca2+ signaling	0.3329	0.0122	0.3206	27.24	0.795	1.0	0.69	True	ENST00000359548	ENST00000434632
RGS7	MT cytoskeleton org	0.4766	0.0043	0.4723	111.53	0.6432	0.7665	27.23	True	ENST00000366563	ENST00000690539
RALYL	Autophagy	0.6825	0.0407	0.6417	16.75	0.4736	0.608	13.153	True	ENST00000523850	ENST00000522455
FBXL20	Synapse assembly	0.9971	0.0054	0.9916	184.01	0.1219	0.231	0.572	True	ENST00000581781	ENST00000394294
ST7	Synaptic transmission	0.4631	0.0008	0.4623	560.13	0.6494	0.9809	3.249	True	ENST00000393444	ENST00000465133
SGTA	Neuron diff	0.4661	0.0435	0.4226	10.72	0.6888	1.0	0.812	True	ENST00000676943	ENST00000677754
HDAC5	Synapse assembly	0.9958	0.0272	0.9686	36.64	0.142	0.26	8.451	True	ENST00000225983	ENST00000336057
HDAC5	Synaptic transmission	0.9879	0.0229	0.9651	43.2	0.142	0.26	8.451	True	ENST00000225983	ENST00000586802
SGTA	Neuron dev	0.4528	0.035	0.4178	12.95	0.6888	1.0	0.812	True	ENST00000676943	ENST00000677754
UNC79	Synaptic transmission	0.5076	0.0036	0.504	139.37	0.6023	0.7682	6.388	True	ENST00000695012	ENST00000256339
CACNB4	Neuron diff	0.6949	0.0025	0.6924	282.26	0.4103	0.4105	5.766	True	ENST00000534999	ENST00000636129
FBXL20	Synaptic transmission	0.9907	0.0112	0.9795	88.41	0.1219	0.231	0.572	True	ENST00000581781	ENST00000583610
AGO3	Modulation of syn.trans	0.7951	0.0686	0.7265	11.59	0.3742	0.8849	0.512	True	ENST00000324350	ENST00000246314
LRPPRC	Synapse assembly	0.7607	0.0024	0.7583	311.37	0.342	0.5006	2.325	True	ENST00000683213	ENST00000447246
TNFRSF4	Oxidative stress resp	0.4804	0.0299	0.4505	16.06	0.6496	1.0	0.067	True	ENST00000699974	ENST00000379236
FBXL20	Neuron projection	0.9978	0.0233	0.9745	42.86	0.1219	0.231	0.572	True	ENST00000581781	ENST00000583610
RGS3	Neuron projection	0.7063	0.0228	0.6835	31.01	0.4119	0.974	4.407	True	ENST00000462143	ENST00000317613
MYEF2	MT-based movement	0.8709	0.001	0.8698	842.64	0.2228	0.5394	16.518	True	ENST00000558395	ENST00000560172
TBCCD1	Synaptic transmission	0.7553	0.0187	0.7366	40.41	0.3547	0.4088	0.101	True	ENST00000424280	ENST00000446782
ZCCHC17	Neuron projection	0.944	0.008	0.9361	118.65	0.1544	0.92	4.636	True	ENST00000616393	ENST00000615916
ARPP19	Ca2+ homeostasis	0.6934	0.0129	0.6805	53.75	0.409	0.9711	191.836	True	ENST00000568196	ENST00000561650
IFT122	Neurotrans. transport	0.9127	0.0013	0.9115	721.46	0.1766	0.2322	0.667	True	ENST00000688527	ENST00000693233
FANCA	Neurotrans. transport	0.8868	0.0015	0.8853	575.3	0.2016	0.5513	0.636	True	ENST00000389302	ENST00000389301
ANKRD6	Synapse assembly	0.5016	0.0073	0.4943	68.75	0.5891	0.6449	5.785	True	ENST00000522441	ENST00000485637
L3MBTL1	MT cytoskeleton org	0.4838	0.0038	0.48	127.71	0.6027	0.8051	0.742	True	ENST00000649917	ENST00000418998
EXD2	Synapse assembly	0.9941	0.0156	0.9785	63.75	0.102	0.7622	1.876	True	ENST00000409014	ENST00000409949
NGDN	Neuron dev	0.3786	0.0027	0.376	142.36	0.704	0.9012	0.508	True	ENST00000703256	ENST00000397154
EXD2	Synaptic transmission	0.9845	0.0075	0.977	130.62	0.102	0.7622	1.876	True	ENST00000409014	ENST00000409242
EXD2	Neuron projection	0.9959	0.0199	0.976	49.99	0.102	0.7622	1.876	True	ENST00000409014	ENST00000409242
YJEFN3	Synapse assembly	0.4625	0.0574	0.4052	8.07	0.6691	0.671	10.47	True	ENST00000436027	ENST00000514277
FRMD4A	Synapse assembly	0.8398	0.0523	0.7876	16.07	0.2862	0.8429	0.439	True	ENST00000640906	ENST00000264546
MGAT4C	Synapse assembly	0.6911	0.0156	0.6755	44.32	0.3968	0.6177	1.452	True	ENST00000611864	ENST00000620241
CDH4	Synaptic transmission	0.9578	0.0901	0.8677	10.63	0.2041	0.6699	3.724	True	ENST00000614565	ENST00000543233
NPHP1	Inflammatory response	0.5815	0.0113	0.5701	51.32	0.5006	0.7929	0.17	True	ENST00000675067	ENST00000674677
RNF220	Modulation of syn.trans	0.6041	0.0497	0.5544	12.16	0.5145	0.5574	16.201	True	ENST00000355387	ENST00000440132
KCNAB2	Oxidative stress resp	0.5451	0.0676	0.4775	8.06	0.591	0.9516	28.371	True	ENST00000341524	ENST00000602612
KDM5B	Synapse assembly	0.9958	0.006	0.9898	166.38	0.0787	0.2455	0.823	False	ENST00000650569	ENST00000649770
RGS3	Neuron diff	0.6662	0.0103	0.6559	64.62	0.4119	0.974	4.407	True	ENST00000462143	ENST00000695401
DOCK11	Synapse assembly	0.6492	0.0142	0.635	45.8	0.4322	0.7482	1.262	True	ENST00000632573	ENST00000276204
CDH20	Synaptic transmission	0.7759	0.0014	0.7745	550.37	0.2922	0.9985	23.228	True	ENST00000262717	ENST00000536675
KDM5B	Synaptic transmission	0.9879	0.0008	0.9871	1206.49	0.0787	0.2455	0.823	False	ENST00000650569	ENST00000235790
CGREF1	Neuron projection	0.9828	0.0255	0.9574	38.6	0.1025	0.3617	8.491	True	ENST00000402550	ENST00000402394
SLC7A7	Neuron projection	0.8801	0.1799	0.7002	4.89	0.3593	0.767	0.803	True	ENST00000397532	ENST00000555702
AGO3	Neuron projection	0.7107	0.0257	0.6851	27.69	0.3742	0.8849	0.512	True	ENST00000324350	ENST00000246314
MGAT4C	Neuron projection	0.6998	0.0373	0.6625	18.76	0.3968	0.6177	1.452	True	ENST00000611864	ENST00000547225
EMC9	Synapse assembly	0.9862	0.0015	0.9847	651.16	0.0742	0.2299	1.31	False	ENST00000560403	ENST00000419198
AGO3	Synapse assembly	0.6938	0.0094	0.6844	73.95	0.3742	0.8849	0.512	True	ENST00000324350	ENST00000246314
ATXN3	MT cytoskeleton org	0.587	0.0043	0.5827	137.38	0.4752	1.0	0.143	True	ENST00000532032	ENST00000393287
CIBAR1	Neuron dev	0.4891	0.0135	0.4756	36.18	0.5816	0.6143	7.954	True	ENST00000522803	ENST00000522324
SLC3A1	Synaptic transmission	0.7944	0.0057	0.7887	139.89	0.2684	0.7103	0.65	True	ENST00000260649	ENST00000409740
ASXL3	Synaptic transmission	0.7553	0.0059	0.7493	127.11	0.3077	0.388	0.214	True	ENST00000642541	ENST00000269197
CEMIP2	Neuron projection	0.4499	0.0096	0.4403	46.71	0.6158	1.0	0.748	True	ENST00000377066	ENST00000396272
KTN1	Synapse assembly	0.6494	0.0069	0.6424	93.65	0.4124	0.6917	10.9	True	ENST00000395311	ENST00000395308
HSPA12A	Synaptic transmission	0.84	0.003	0.837	277.72	0.2166	0.3196	14.32	True	ENST00000635765	ENST00000674205
IRF9	Synapse assembly	0.9958	0.0028	0.9929	354.57	0.0586	0.8064	15.207	False	ENST00000396864	ENST00000699067
KDM5B	Neuron projection	0.9965	0.0245	0.9721	40.72	0.0787	0.2455	0.823	False	ENST00000650569	ENST00000649770
SCN2A	Neuron dev	0.5683	0.0599	0.5084	9.49	0.5419	0.5667	28.033	True	ENST00000375437	ENST00000631182
PPFIA4	Mitochondrion org	0.7134	0.0156	0.6978	45.87	0.3523	0.925	8.37	True	ENST00000692772	ENST00000367240
RGS3	Neuron dev	0.6812	0.0435	0.6377	15.66	0.4119	0.974	4.407	True	ENST00000462143	ENST00000317613
CACNB4	Neuron dev	0.6416	0.0036	0.638	178.73	0.4103	0.4105	5.766	True	ENST00000534999	ENST00000636129
CDH4	Neurotrans. transport	0.8529	0.0103	0.8426	83.13	0.2041	0.6699	3.724	True	ENST00000614565	ENST00000543233
EMC9	Neuron projection	0.9891	0.0174	0.9717	57.0	0.0742	0.2299	1.31	False	ENST00000560403	ENST00000419198
CGREF1	Synaptic transmission	0.96	0.0188	0.9412	51.06	0.1025	0.3617	8.491	True	ENST00000402550	ENST00000402394
UNC79	Neurotrans. transport	0.4462	0.0051	0.4411	87.45	0.6023	0.7682	6.388	True	ENST00000695012	ENST00000256339
IRF9	Synaptic transmission	0.9907	0.0069	0.9838	142.86	0.0586	0.8064	15.207	False	ENST00000396864	ENST00000699067
PLD5	Synapse assembly	0.9906	0.2218	0.7688	4.47	0.2735	0.8263	1.813	True	ENST00000427495	ENST00000442594
UBE3B	Axon guidance	0.5585	0.0042	0.5543	134.06	0.4868	0.7169	0.606	True	ENST00000537063	ENST00000539599
AFF2	Axon guidance	0.912	0.0062	0.9058	147.25	0.1351	0.4995	1.675	True	ENST00000342251	ENST00000370460
IRF9	Neuron projection	0.9951	0.0131	0.982	75.93	0.0586	0.8064	15.207	False	ENST00000396864	ENST00000698997
AMPD2	Synapse assembly	0.8653	0.0099	0.8554	87.34	0.1842	0.6144	3.245	True	ENST00000667949	ENST00000528454
FRYL	Autophagy	0.6939	0.0001	0.6938	6142.88	0.3429	0.891	4.154	True	ENST00000641795	ENST00000507711
ST7	Ca2+ signaling	0.3903	0.0036	0.3867	108.86	0.6494	0.9809	3.249	True	ENST00000393444	ENST00000465133
SLC3A1	Neurotrans. transport	0.7791	0.0131	0.766	59.44	0.2684	0.7103	0.65	True	ENST00000260649	ENST00000409740
ADGRB2	Neuron projection	0.8956	0.0951	0.8006	9.42	0.2301	0.5531	23.505	True	ENST00000398556	ENST00000373655
EMC9	Synaptic transmission	0.9717	0.0153	0.9563	63.38	0.0742	0.2299	1.31	False	ENST00000560403	ENST00000419198
AFF2	Neuron diff	0.9005	0.0078	0.8927	116.01	0.1351	0.4995	1.675	True	ENST00000342251	ENST00000370460
CIBAR1	Neuron diff	0.4634	0.0191	0.4443	24.24	0.5816	0.6143	7.954	True	ENST00000522803	ENST00000517718
PIGF	Axon guidance	0.912	0.0035	0.9085	262.02	0.1167	0.8847	20.465	True	ENST00000281382	ENST00000306465
CIBAR1	Neuron projection	0.4499	0.0084	0.4415	53.25	0.5816	0.6143	7.954	True	ENST00000522803	ENST00000517718
AMPD2	Modulation of syn.trans	0.8434	0.0047	0.8387	178.8	0.1842	0.6144	3.245	True	ENST00000667949	ENST00000528454
CGREF1	Synapse assembly	0.9819	0.0624	0.9195	15.73	0.1025	0.3617	8.491	True	ENST00000402550	ENST00000402394
ASXL3	Neuron projection	0.7222	0.0125	0.7097	57.74	0.3077	0.388	0.214	True	ENST00000642541	ENST00000269197
PIGF	Neuron diff	0.9005	0.0006	0.8999	1414.81	0.1167	0.8847	20.465	True	ENST00000281382	ENST00000306465
PARP2	Synaptic transmission	0.9761	0.002	0.9741	488.75	0.0412	0.1879	8.273	False	ENST00000250416	ENST00000527915
MSI2	Modulation of syn.trans	0.4448	0.0245	0.4203	18.17	0.5942	0.8956	6.91	True	ENST00000675656	ENST00000674964
IQCA1	Synapse assembly	0.9905	0.0075	0.983	131.63	0.0312	0.3644	3.484	False	ENST00000409907	ENST00000431676
CDKN2A	Neuron projection	0.5412	0.0224	0.5189	24.2	0.4952	0.9134	0.553	True	ENST00000579755	ENST00000304494
ST3GAL3	Ca2+ signaling	0.5284	0.0031	0.5253	167.8	0.4886	0.6139	0.202	True	ENST00000647148	ENST00000642331
RELN	Synaptic transmission	0.9679	0.0045	0.9635	215.88	0.0481	0.0516	0.124	False	ENST00000424685	ENST00000428762
NEDD4L	Neuron dev	0.4539	0.0065	0.4474	70.05	0.5624	0.9694	5.547	True	ENST00000456173	ENST00000676223
SGK2	Ca2+ homeostasis	0.6399	0.1391	0.5008	4.6	0.5089	0.9897	8.885	True	ENST00000423407	ENST00000341458
ST3GAL3	Ca2+ homeostasis	0.537	0.016	0.5209	33.47	0.4886	0.6139	0.202	True	ENST00000647148	ENST00000642331
SCN2A	Neuron diff	0.5631	0.0965	0.4665	5.83	0.5419	0.5667	28.033	True	ENST00000375437	ENST00000631182
PARP2	Synapse assembly	0.9824	0.0156	0.9668	63.01	0.0412	0.1879	8.273	False	ENST00000250416	ENST00000429687
ST7	Ca2+ homeostasis	0.3883	0.0307	0.3576	12.64	0.6494	0.9809	3.249	True	ENST00000393444	ENST00000465133
ITGAV	Synapse assembly	0.8758	0.0273	0.8485	32.06	0.1584	0.5764	1.233	True	ENST00000696911	ENST00000696913
IQCA1	Synaptic transmission	0.9766	0.0009	0.9757	1037.23	0.0312	0.3644	3.484	False	ENST00000409907	ENST00000431676
ARL17A	Neuron projection	0.8394	0.0268	0.8126	31.28	0.1936	0.2916	1.211	True	ENST00000706259	ENST00000706255
GOSR1	Neuron projection	0.8849	0.0021	0.8827	413.06	0.1188	0.4055	3.311	True	ENST00000467337	ENST00000414833
ASIC3	Synapse assembly	0.6773	0.0351	0.6422	19.3	0.3591	0.8801	2.396	True	ENST00000357922	ENST00000349064
RELN	Synapse assembly	0.9865	0.0341	0.9524	28.9	0.0481	0.0516	0.124	False	ENST00000424685	ENST00000428762
MAG	MT cytoskeleton org	0.6105	0.0898	0.5207	6.8	0.4785	0.9515	142.432	True	ENST00000392213	ENST00000537831
CEP78	Neuron projection	0.7733	0.0042	0.7691	185.8	0.2301	0.2301	0.469	True	ENST00000643499	ENST00000643347
ARHGEF7	Synaptic transmission	0.8917	0.0016	0.8901	560.64	0.1072	0.1096	3.379	True	ENST00000646102	ENST00000544132
MTMR3	Synapse assembly	0.9063	0.0156	0.8908	58.13	0.1062	0.2181	3.405	True	ENST00000351488	ENST00000323630
CFAP36	Modulation of syn.trans	0.8263	0.0012	0.8251	701.17	0.1712	0.4276	5.978	True	ENST00000403007	ENST00000406691
RGS7	Neuron projection	0.3711	0.0184	0.3527	20.12	0.6432	0.7665	27.23	True	ENST00000366563	ENST00000440928
YJEFN3	Synaptic transmission	0.3305	0.0048	0.3258	69.38	0.6691	0.671	10.47	True	ENST00000436027	ENST00000514277
PRKACB	Neuron projection	0.6993	0.0094	0.6898	74.33	0.3042	0.3331	68.76	True	ENST00000614872	ENST00000446538
UBE3B	Neuron diff	0.5499	0.0428	0.5071	12.86	0.4868	0.7169	0.606	True	ENST00000537063	ENST00000539599
TMEM130	Axon guidance	0.6994	0.0011	0.6984	659.17	0.2944	0.5785	100.606	True	ENST00000339375	ENST00000416379
CEP78	Neuron diff	0.7893	0.0269	0.7624	29.29	0.2301	0.2301	0.469	True	ENST00000643499	ENST00000643847
CCAR1	Axon guidance	0.8506	0.0012	0.8494	735.93	0.1421	0.9683	2.478	True	ENST00000543719	ENST00000536012
ZCCHC17	Synapse assembly	0.9557	0.119	0.8367	8.03	0.1544	0.92	4.636	True	ENST00000616393	ENST00000615916
NEDD4L	Neuron diff	0.4291	0.0006	0.4285	727.47	0.5624	0.9694	5.547	True	ENST00000456173	ENST00000676223
PRR19	Neuron projection	0.696	0.0087	0.6873	79.95	0.3033	0.7589	1.232	True	ENST00000341747	ENST00000598490
SGCE	Synaptic transmission	0.9843	0.0001	0.9842	8104.75	0.0046	0.0061	0.079	False	ENST00000643903	ENST00000642933
MPPE1	Neuron dev	0.4283	0.0357	0.3926	11.99	0.5951	1.0	0.676	True	ENST00000309976	ENST00000317235
ARHGAP39	Modulation of syn.trans	0.7446	0.0855	0.6591	8.71	0.3283	0.4632	3.23	True	ENST00000276826	ENST00000377307
MFSD8	MT cytoskeleton org	0.3101	0.0043	0.3058	72.57	0.6813	0.8074	0.752	True	ENST00000641178	ENST00000641509
SGCE	Synapse assembly	0.9849	0.0044	0.9805	226.18	0.0046	0.0061	0.079	False	ENST00000643903	ENST00000642933
MTMR3	Modulation of syn.trans	0.9004	0.0244	0.876	36.96	0.1062	0.2181	3.405	True	ENST00000351488	ENST00000323630
LRRTM1	Synaptic transmission	0.6564	0.0112	0.6452	58.82	0.3364	0.5615	5.632	True	ENST00000295057	ENST00000409148
KCNT2	Axon guidance	0.3885	0.0285	0.36	13.63	0.6186	0.9588	2.799	True	ENST00000294725	ENST00000367433
MTHFD1	Neuron projection	0.8559	0.0345	0.8214	24.82	0.1565	0.5416	0.764	True	ENST00000557370	ENST00000652509
DOCK11	Neuron projection	0.6127	0.067	0.5457	9.15	0.4322	0.7482	1.262	True	ENST00000632573	ENST00000276204
