isoform_id	gene	type	primary_module	module_score	max_score
EIF6-201	EIF6	known	7	0.4218933284282684	0.49909267
CORO2A-201	CORO2A	known	41	0.2378668785095214	0.33220688
CIRBP-201	CIRBP	known	8	0.4651713371276855	0.50171435
CRHR1-218	CRHR1	known	14	0.5139424800872803	0.77202857
KIDINS220-217	KIDINS220	known	31	0.3660816550254822	0.50094444
HDX-202	HDX	known	2	0.1934090852737426	0.4721753
AP4S1-202	AP4S1	known	43	0.4092799425125122	0.5826652
CC2D1A-215	CC2D1A	known	43	0.2775700688362121	0.4249774
MYLK-203	MYLK	known	36	0.3079722225666046	0.5994231
transcript136954.chr17.nic	CBX8	nic	2	0.2795875668525696	0.37664238
CNOT4-205	CNOT4	known	4	0.3620153069496155	0.5311316
SP140L-208	SP140L	known	2	0.3178441524505615	0.4860173
MOGS-220	MOGS	known	20	0.3196624517440796	0.38288045
EPB41L3-236	EPB41L3	known	43	0.2432474046945572	0.32309723
ARL6IP4-201	ARL6IP4	known	8	0.256249725818634	0.30464134
CRELD1-245	CRELD1	known	30	0.2264202535152435	0.38763577
IDH3B-202	IDH3B	known	15	0.3040099740028381	0.45778003
POLR3E-202	POLR3E	known	2	0.2256238758563995	0.40069693
GBAP1-234	GBAP1	known	25	0.4144721031188965	0.42201996
UNC119-202	UNC119	known	31	0.2608312368392944	0.35502878
REPIN1-201	REPIN1	known	2	0.1447484791278839	0.50364774
VGLL4-214	VGLL4	known	34	0.1506393253803253	0.31811905
MAP1LC3A-204	MAP1LC3A	known	29	0.2982897162437439	0.4144675
RYR3-229	RYR3	known	12	0.4134582579135895	0.69932216
PRKAR1A-211	PRKAR1A	known	15	0.2586287558078766	0.34296077
CPNE1-202	CPNE1	known	25	0.3720698058605194	0.38917664
LZTFL1-217	LZTFL1	known	44	0.2930156290531158	0.40490183
transcript7414.chrY.nic	NLGN4Y	nic	38	0.2278957217931747	0.373627
DDX56-203	DDX56	known	9	0.260578840970993	0.40015537
COG1-202	COG1	known	43	0.2152460217475891	0.32238945
KLHL29-201	KLHL29	known	29	0.1884765475988388	0.349922
MTMR2-254	MTMR2	known	32	0.3007312417030334	0.66600883
MEX3C-203	MEX3C	known	6	0.4094824492931366	0.4672243
METTL17-216	METTL17	known	9	0.2965337932109833	0.41228288
PCED1A-202	PCED1A	known	20	0.2819580733776092	0.31975192
P4HA2-201	P4HA2	known	16	0.2748735547065735	0.46212402
GTPBP3-202	GTPBP3	known	9	0.3880073130130768	0.4440425
ZNF410-211	ZNF410	known	2	0.2197026014328003	0.54885155
ALOX5-201	ALOX5	known	17	0.2842729091644287	0.3208647
PCGF5-201	PCGF5	known	29	0.4056954979896545	0.5807412
SGIP1-234	SGIP1	known	28	0.2781897485256195	0.4149142
ILF3-201	ILF3	known	8	0.2477267235517501	0.3193866
RBPJ-244	RBPJ	known	37	0.4251754879951477	0.55980825
SARM1-208	SARM1	known	29	0.1943823397159576	0.31031087
MAP4K4-203	MAP4K4	known	31	0.5924705862998962	0.7498961
LCOR-225	LCOR	known	2	0.2104304134845733	0.5017276
SRSF7-209	SRSF7	known	8	0.668717622756958	0.73409075
ZNF334-201	ZNF334	known	2	0.1784289926290512	0.5635049
FAM120AOS-201	FAM120AOS	known	41	0.1807657182216644	0.30135095
TRPV6-205	TRPV6	known	12	0.4001891613006592	0.6360337
FCSK-201	FCSK	known	15	0.2318969666957855	0.37637618
CENPK-202	CENPK	known	3	0.2813704907894134	0.37344676
SSBP4-202	SSBP4	known	2	0.1735884547233581	0.3286793
MAPK10-204	MAPK10	known	31	0.3813371658325195	0.69555724
SAP30BP-204	SAP30BP	known	8	0.2164255380630493	0.31412
NDUFS2-215	NDUFS2	known	16	0.2775793373584747	0.40644485
PRKAR2A-210	PRKAR2A	known	12	0.2795522212982178	0.3419528
EPPK1-202	EPPK1	known	40	0.2425036132335662	0.32139677
SLC6A15-229	SLC6A15	known	11	0.4980131387710571	0.79488975
CARD8-201	CARD8	known	23	0.2272184789180755	0.34535646
MCTS2-201	MCTS2	known	9	0.2798443734645843	0.36038217
MAPK10-277	MAPK10	known	31	0.3238226771354675	0.5794594
HDAC8-234	HDAC8	known	1	0.3108681738376617	0.47696376
CSPP1-210	CSPP1	known	44	0.2058796137571334	0.31925076
DAP3-214	DAP3	known	6	0.3869408667087555	0.40969104
ZNF385A-201	ZNF385A	known	4	0.3580089509487152	0.5402627
MICAL2-208	MICAL2	known	39	0.3372581601142883	0.48602685
MAPK1-202	MAPK1	known	31	0.4876184165477752	0.746292
ZNF662-201	ZNF662	known	2	0.1728231459856033	0.55500096
NSD2-209	NSD2	known	2	0.3649066984653473	0.62093073
IL1B-201	IL1B	known	23	0.4974275231361389	0.62062114
DENND5A-205	DENND5A	known	44	0.2631655037403106	0.43226606
EPHA7-209	EPHA7	known	36	0.4096167683601379	0.5635621
NCL-220	NCL	known	8	0.4251033961772918	0.5703721
ZNF93-201	ZNF93	known	2	0.188222661614418	0.5753872
SP2-201	SP2	known	2	0.2584494054317474	0.50630194
METTL9-201	METTL9	known	9	0.2716751098632812	0.32515007
ZNF532-223	ZNF532	known	2	0.2755090296268463	0.4718136
PNKP-203	PNKP	known	9	0.3490952551364898	0.51037216
EIF4G3-218	EIF4G3	known	6	0.3969041407108307	0.52973336
WEE1-202	WEE1	known	4	0.4381802976131439	0.6115639
transcript99256.chr19.nnic	ZNF566	nnic	2	0.170394092798233	0.5485505
TRADD-201	TRADD	known	30	0.3823232650756836	0.51126325
PRMT7-235	PRMT7	known	9	0.3761050999164581	0.42454553
ZNF41-201	ZNF41	known	2	0.1649096757173538	0.5685633
STAT3-218	STAT3	known	29	0.2592125833034515	0.40599027
NEK7-202	NEK7	known	4	0.3327851593494415	0.7857996
TRDMT1-203	TRDMT1	known	9	0.5574967265129089	0.617237
MFSD3-201	MFSD3	known	11	0.31150883436203	0.49444428
FAS-221	FAS	known	30	0.4705860316753387	0.5965871
SCN8A-219	SCN8A	known	11	0.3227662146091461	0.58500886
FLNA-201	FLNA	known	41	0.3627912402153015	0.5044429
ATP7A-218	ATP7A	known	11	0.3042899668216705	0.5220511
RAP1GDS1-203	RAP1GDS1	known	42	0.220416635274887	0.40237284
ZWINT-209	ZWINT	known	44	0.4382001459598541	0.5453889
MMAA-203	MMAA	known	6	0.2872771322727203	0.32133812
BCR-215	BCR	known	36	0.2787421643733978	0.3512622
NPEPPSP1-205	NPEPPSP1	known	25	0.2687524855136871	0.31191486
TRMT61B-203	TRMT61B	known	9	0.3533722162246704	0.44359452
PFKFB3-203	PFKFB3	known	15	0.2869558036327362	0.57581854
VAPA-201	VAPA	known	25	0.4690553247928619	0.48075706
DYNC1I2-223	DYNC1I2	known	7	0.2848700881004333	0.4542213
PRDM2-204	PRDM2	known	2	0.321340948343277	0.5297225
SLC12A9-209	SLC12A9	known	11	0.4812670052051544	0.7380099
RAB3GAP1-221	RAB3GAP1	known	9	0.2899075448513031	0.34267062
FANCL-226	FANCL	known	1	0.2473905384540558	0.37051836
AK3-204	AK3	known	15	0.4400390088558197	0.70375574
GRIN2A-203	GRIN2A	known	11	0.3961467146873474	0.6924186
CLUAP1-202	CLUAP1	known	44	0.41794553399086	0.524731
transcript85509.chr5.nnic	ZSWIM6	nnic	2	0.1906074285507202	0.36625546
PCGF6-202	PCGF6	known	29	0.2848384976387024	0.460236
CLK3-201	CLK3	known	8	0.2946677803993225	0.41131124
GPBP1-202	GPBP1	known	44	0.2458308339118957	0.3315991
MSH6-222	MSH6	known	3	0.2866709530353546	0.32877582
CSNK2A1-217	CSNK2A1	known	2	0.3252079784870147	0.63635236
BICDL1-209	BICDL1	known	43	0.258254736661911	0.31097934
HSPA9-221	HSPA9	known	25	0.4556674361228943	0.49203047
PROC-201	PROC	known	19	0.4980782568454742	0.66909105
EIF4G1-204	EIF4G1	known	10	0.4411676824092865	0.5834157
KIF26B-202	KIF26B	known	44	0.2426688969135284	0.3432341
TYK2-220	TYK2	known	24	0.3196223676204681	0.523072
NAPG-207	NAPG	known	5	0.2859135270118713	0.4923579
CACNB1-202	CACNB1	known	12	0.3878542482852936	0.6636239
PRMT5-202	PRMT5	known	8	0.4516594111919403	0.56196004
PSD3-201	PSD3	known	42	0.302163302898407	0.41381994
CDH9-201	CDH9	known	35	0.6065316200256348	0.7656925
TBC1D20-206	TBC1D20	known	42	0.3011198043823242	0.47774735
DGKG-202	DGKG	known	39	0.6899831891059875	0.74769
ZNF654-201	ZNF654	known	29	0.2441257238388061	0.3666654
HNRNPA2B1-247	HNRNPA2B1	known	8	0.3816665709018707	0.4304603
ZEB2-218	ZEB2	known	3	0.2091101855039596	0.3035641
PCBP2-215	PCBP2	known	8	0.4106046259403229	0.5203758
NCAPD3-214	NCAPD3	known	1	0.2578511238098144	0.34672803
PSMD6-208	PSMD6	known	1	0.2093689292669296	0.39494357
MAN2B1-206	MAN2B1	known	25	0.3309251070022583	0.38062838
ST8SIA1-201	ST8SIA1	known	20	0.6162071228027344	0.700578
SCN1A-203	SCN1A	known	11	0.4256380498409271	0.832701
SP7-202	SP7	known	37	0.2786372005939483	0.5079877
ANKRD28-202	ANKRD28	known	43	0.3662857413291931	0.5497712
HCST-201	HCST	known	24	0.1565625071525573	0.3558984
CHD3-220	CHD3	known	2	0.3923479318618774	0.65867966
MTX3-202	MTX3	known	16	0.1924917250871658	0.31123927
MRPS25-224	MRPS25	known	6	0.3048523664474487	0.34837872
transcript239600.chr1.nnic	DAP3	nnic	6	0.2103129178285598	0.4154117
IFT52-201	IFT52	known	44	0.3078915774822235	0.45208955
GLRA3-202	GLRA3	known	11	0.3761986792087555	0.7191633
ZNF207-206	ZNF207	known	2	0.2538544535636902	0.35061237
DDX39B-215	DDX39B	known	10	0.343469887971878	0.5180439
transcript163685.chr12.nic	SDSL	nic	16	0.3420595526695251	0.5264881
CNTNAP4-202	CNTNAP4	known	13	0.225346565246582	0.36982837
DYNC1H1-228	DYNC1H1	known	44	0.4602034986019134	0.5508755
SERAC1-210	SERAC1	known	17	0.2919259071350097	0.42044598
MCCC2-236	MCCC2	known	15	0.440437763929367	0.58423615
FBXO31-208	FBXO31	known	29	0.3142892718315124	0.4351594
PLXNA4-201	PLXNA4	known	36	0.6471661329269409	0.77783763
MYCBP2-211	MYCBP2	known	36	0.2837423384189605	0.37513357
transcript295030.chr3.nnic	B3GNT5	nnic	20	0.6806838512420654	0.7521582
B4GALT7-203	B4GALT7	known	20	0.6057841181755066	0.6553578
ZNF229-205	ZNF229	known	2	0.1510041058063507	0.56100327
PMS2-206	PMS2	known	9	0.2364174127578735	0.35064396
BRAF-215	BRAF	known	31	0.460159569978714	0.70636445
SPECC1-227	SPECC1	known	44	0.2565426528453827	0.40144363
MYO7A-204	MYO7A	known	42	0.4252074658870697	0.51136005
EIF4G3-205	EIF4G3	known	6	0.3994911015033722	0.5362766
ENST00000687639	ENSG00000291142	known	44	0.247518315911293	0.30419585
LMNA-240	LMNA	known	28	0.2524687647819519	0.31504112
NTRK2-258	NTRK2	known	36	0.430009514093399	0.6307074
LIG1-228	LIG1	known	1	0.4714239537715912	0.7100075
transcript141280.chr8.nnic	RBM12B	nnic	8	0.2995993494987488	0.3407208
transcript192727.chr8.nnic	TSNARE1	nnic	2	0.1698824167251587	0.49033847
transcript70801.chr3.nnic	LIMD1	nnic	41	0.1703151315450668	0.30914572
ERAP2-208	ERAP2	known	19	0.3351682722568512	0.42863455
PSRC1-207	PSRC1	known	44	0.2670594453811645	0.40860644
transcript212774.chr10.nnic	FANK1	nnic	29	0.2193089723587036	0.30700082
DXO-203	DXO	known	10	0.2879138588905334	0.38699463
MRTO4-201	MRTO4	known	10	0.4307642877101898	0.5549792
KLC1-225	KLC1	known	43	0.3108102083206177	0.42708033
CNOT4-201	CNOT4	known	4	0.366854727268219	0.5374603
transcript71492.chr4.nnic	PCDH7	nnic	35	0.4247255325317383	0.6154273
SLC2A11-202	SLC2A11	known	11	0.3163456320762634	0.55692756
SPAG16-201	SPAG16	known	44	0.2623288631439209	0.36771527
IFIT1-201	IFIT1	known	23	0.3291312754154205	0.48157772
NAP1L4-222	NAP1L4	known	6	0.2580303251743316	0.32310915
SOX12-201	SOX12	known	2	0.2952128946781158	0.431985
CRLS1-201	CRLS1	known	17	0.4599571824073791	0.6448507
VPS54-201	VPS54	known	43	0.3031928539276123	0.5013375
VASP-201	VASP	known	41	0.569659411907196	0.6887708
CRYL1-205	CRYL1	known	16	0.3034050464630127	0.4730692
USP38-207	USP38	known	29	0.2753923535346985	0.4173588
GDAP1-243	GDAP1	known	16	0.2262763530015945	0.36300537
transcript219253.chr3.nnic	ENSG00000251448	nnic	2	0.2232162654399871	0.5070759
MAT2A-205	MAT2A	known	8	0.2748877108097076	0.3277563
RAPGEF5-202	RAPGEF5	known	42	0.4374857544898987	0.5631504
GLUD2-201	GLUD2	known	15	0.3241262137889862	0.48855263
CHP1-201	CHP1	known	27	0.3971829414367676	0.46455115
transcript371646.chr2.nic	CPS1	nic	16	0.4153774380683899	0.57373685
FERMT2-201	FERMT2	known	35	0.3038040101528168	0.48244858
TSEN2-219	TSEN2	known	9	0.2850992977619171	0.35417357
transcript3840.chr1.nnic	LINC01786	nnic	2	0.1628845334053039	0.31247157
BCAT1-201	BCAT1	known	16	0.3774446845054626	0.5155653
THAP7-202	THAP7	known	2	0.1780131608247757	0.349234
MIS12-202	MIS12	known	44	0.3042382597923279	0.41184464
PPHLN1-207	PPHLN1	known	8	0.3418296873569488	0.36568087
OSBPL9-215	OSBPL9	known	16	0.3369866907596588	0.58693105
RGL2-243	RGL2	known	42	0.3078250288963318	0.5268927
DCAKD-203	DCAKD	known	15	0.4402985870838165	0.6090923
DEK-211	DEK	known	2	0.3229406774044037	0.492397
PSMD13-212	PSMD13	known	25	0.5431060194969177	0.5929481
TMEM41B-202	TMEM41B	known	18	0.2801853120326996	0.36106184
HPS4-204	HPS4	known	27	0.4293562173843384	0.5137149
PDZD7-201	PDZD7	known	13	0.2174460440874099	0.35978
DDX20-209	DDX20	known	1	0.3442282378673553	0.48121387
SPG7-274	SPG7	known	19	0.3341266810894012	0.42469472
ADAM9-203	ADAM9	known	38	0.2339999973773956	0.40259203
LUC7L3-213	LUC7L3	known	8	0.3687865436077118	0.47600985
MAPKAP1-206	MAPKAP1	known	42	0.3179895281791687	0.42246285
TCP11L1-201	TCP11L1	known	43	0.2537598609924316	0.3237719
GRIK2-237	GRIK2	known	11	0.2839430570602417	0.45089155
SRSF6-201	SRSF6	known	8	0.7987580895423889	0.85521287
RNF168-201	RNF168	known	1	0.3473633527755737	0.5024292
BROX-208	BROX	known	43	0.2767079174518585	0.4461829
ASIC3-203	ASIC3	known	11	0.3754925429821014	0.71842885
PPP1R1C-213	PPP1R1C	known	44	0.1843220591545105	0.3077748
transcript361087.chr2.nnic	BMPR2	nnic	34	0.2548734843730926	0.35916653
DUSP11-202	DUSP11	known	9	0.2010628581047058	0.5171964
PDLIM5-204	PDLIM5	known	36	0.2694671750068664	0.42256206
transcript37441.chr1.nnic	ARHGEF10L	nnic	42	0.4252682626247406	0.6983403
NFKBIA-210	NFKBIA	known	24	0.2947327494621277	0.40645188
ETFA-233	ETFA	known	15	0.4193712174892425	0.54530066
CHEK1-211	CHEK1	known	4	0.4341763257980346	0.55629194
AGK-217	AGK	known	17	0.4096259772777557	0.5764114
OSTM1-201	OSTM1	known	17	0.2169364839792251	0.3214601
NPRL2-212	NPRL2	known	22	0.3332805633544922	0.49640426
TRMT6-203	TRMT6	known	9	0.3654762506484985	0.56675327
GAS6-205	GAS6	known	13	0.4450222551822662	0.5149559
MGA-213	MGA	known	2	0.3576568961143493	0.468283
BCORL1-202	BCORL1	known	2	0.2833521366119385	0.43363428
SYT11-201	SYT11	known	13	0.3975907564163208	0.63163584
LCMT1-204	LCMT1	known	9	0.30816850066185	0.3707313
SNX5-202	SNX5	known	22	0.2603384554386139	0.3876219
ABCC8-202	ABCC8	known	11	0.4214203059673309	0.6175435
FBXW9-201	FBXW9	known	29	0.2465623170137405	0.4306972
DCLRE1C-227	DCLRE1C	known	1	0.3933843970298767	0.6483911
TPD52L1-213	TPD52L1	known	31	0.4032440185546875	0.539721
TALDO1-201	TALDO1	known	15	0.4143231809139251	0.62412214
transcript94407.chr4.nic	DCUN1D4	nic	29	0.1946800202131271	0.30470842
MED24-202	MED24	known	2	0.2710951268672943	0.45357972
GALNT1-204	GALNT1	known	20	0.5732757449150085	0.658726
GLA-214	GLA	known	20	0.3423461616039276	0.4870287
PRRT2-201	PRRT2	known	13	0.3087484240531921	0.4420708
ACOT8-201	ACOT8	known	15	0.4465144574642181	0.5865773
STXBP5-226	STXBP5	known	43	0.3074877858161926	0.41735744
PIGO-217	PIGO	known	20	0.3765570223331451	0.45998725
BLTP1-241	BLTP1	known	22	0.2651609182357788	0.3665332
PHLPP2-206	PHLPP2	known	32	0.221293032169342	0.4377672
ACAD9-204	ACAD9	known	16	0.4369243085384369	0.5844264
transcript225699.chr2.nic	TGFBRAP1	nic	43	0.280788242816925	0.45248598
SKP2-226	SKP2	known	29	0.2722859978675842	0.46289188
PSMD9-201	PSMD9	known	27	0.3281364738941192	0.41165203
PIP5K1C-210	PIP5K1C	known	17	0.6202865242958069	0.6655696
MRPS22-206	MRPS22	known	6	0.5458123087882996	0.6551291
SMARCE1-233	SMARCE1	known	2	0.2519152462482452	0.37125665
CDC42BPA-209	CDC42BPA	known	41	0.3218776881694793	0.41047412
NOL11-201	NOL11	known	10	0.2766360640525818	0.4142775
LRRC49-201	LRRC49	known	44	0.3549184799194336	0.56599873
MTCH1-211	MTCH1	known	11	0.294754147529602	0.4470636
AKAP8-204	AKAP8	known	8	0.2436117380857467	0.32653803
DMPK-223	DMPK	known	12	0.2972967028617859	0.417329
ATP6AP1-212	ATP6AP1	known	20	0.3842310011386871	0.42894888
LGALS8-206	LGALS8	known	19	0.1762477606534958	0.315032
CELF1-214	CELF1	known	8	0.6900213360786438	0.72930866
RAD21-201	RAD21	known	1	0.3421110510826111	0.5248909
PAPOLA-202	PAPOLA	known	8	0.479430228471756	0.65797997
PASK-210	PASK	known	31	0.2186362594366073	0.4231719
PMPCB-213	PMPCB	known	6	0.1908551007509231	0.33141872
FRY-211	FRY	known	42	0.2436461895704269	0.30812663
SACM1L-226	SACM1L	known	41	0.29925537109375	0.36487755
CDH8-211	CDH8	known	35	0.5146052837371826	0.7353016
PLPPR2-201	PLPPR2	known	17	0.1908465027809143	0.43311134
ZNF513-201	ZNF513	known	2	0.2374328374862671	0.5235997
DLG1-243	DLG1	known	32	0.4096164405345917	0.5295397
UHMK1-201	UHMK1	known	42	0.2700238823890686	0.3833115
SCARF1-201	SCARF1	known	36	0.2124976962804794	0.31796345
STXBP6-201	STXBP6	known	43	0.3237131237983703	0.43323907
ZC3H14-216	ZC3H14	known	8	0.3204263150691986	0.40604344
MMP28-203	MMP28	known	38	0.2465837001800537	0.3238385
ZDHHC4-203	ZDHHC4	known	5	0.260062575340271	0.35000232
THUMPD3-206	THUMPD3	known	9	0.6112411022186279	0.65844643
GON4L-207	GON4L	known	8	0.285196989774704	0.36938277
NDRG2-214	NDRG2	known	37	0.3006950318813324	0.41499156
ZNF135-204	ZNF135	known	2	0.1830335408449173	0.5709363
KCNA3-202	KCNA3	known	11	0.4325971603393554	0.7667216
RAB26-201	RAB26	known	25	0.3720539808273315	0.5247632
ITGB3-201	ITGB3	known	40	0.4616833627223968	0.5807177
USP11-205	USP11	known	29	0.2179795056581497	0.41960397
HNRNPM-213	HNRNPM	known	8	0.4417822360992431	0.5133358
NECTIN3-206	NECTIN3	known	35	0.3551784455776214	0.5342082
CPNE3-208	CPNE3	known	25	0.3601440191268921	0.3725973
SMDT1-201	SMDT1	known	15	0.428487628698349	0.6698915
ACP3-202	ACP3	known	25	0.4051032960414886	0.42636412
ADGRL2-202	ADGRL2	known	14	0.472598671913147	0.70329094
TMEM128-202	TMEM128	known	18	0.2849687039852142	0.36529234
MIOS-201	MIOS	known	29	0.3014090657234192	0.46622124
RIMS2-222	RIMS2	known	13	0.49666827917099	0.89579284
FASTKD1-205	FASTKD1	known	6	0.3491462171077728	0.46020007
HSPA12A-201	HSPA12A	known	21	0.2020928859710693	0.30736548
SNX9-215	SNX9	known	28	0.3064173758029938	0.47411704
MTARC2-202	MTARC2	known	16	0.2878295481204986	0.37738594
transcript166032.chr8.nic	TRPS1	nic	2	0.2723305523395538	0.40731162
IFIT5-201	IFIT5	known	23	0.2497017830610275	0.41427866
CDH8-214	CDH8	known	35	0.5157247185707092	0.7141123
THADA-205	THADA	known	9	0.2917588949203491	0.36209008
FLT1-201	FLT1	known	31	0.4877495467662811	0.70109665
GIGYF1-207	GIGYF1	known	10	0.249348759651184	0.37534982
GPS2-202	GPS2	known	31	0.3245872855186462	0.42619675
ZNF680-202	ZNF680	known	2	0.1588176488876342	0.32163468
TKT-203	TKT	known	15	0.4988952577114105	0.6679803
FNTA-201	FNTA	known	8	0.2837872207164764	0.3614555
ARL6IP5-201	ARL6IP5	known	30	0.3532827198505401	0.4671018
NFRKB-209	NFRKB	known	2	0.3749774396419525	0.5747198
RTCB-201	RTCB	known	16	0.3044541776180267	0.49825734
PHF3-208	PHF3	known	2	0.2736604213714599	0.47147417
H2BC18-201	H2BC18	known	3	0.3132677972316742	0.5803719
GRIN2A-201	GRIN2A	known	11	0.3895074129104614	0.6832936
DTNA-246	DTNA	known	13	0.1864978075027465	0.364795
ALG1-212	ALG1	known	20	0.4465369284152984	0.5207476
GDF7-201	GDF7	known	40	0.2134456187486648	0.3412858
CIRBP-222	CIRBP	known	8	0.4518679678440094	0.48355561
SYMPK-201	SYMPK	known	7	0.3724998831748962	0.4461321
GJA9-202	GJA9	known	11	0.2473485171794891	0.3790346
ZNF746-201	ZNF746	known	2	0.2547504901885986	0.5301739
NUCB2-201	NUCB2	known	20	0.2110736221075058	0.31831187
KCTD13-208	KCTD13	known	29	0.3684768676757812	0.5635768
SYT5-207	SYT5	known	13	0.3238592147827148	0.53826606
MSR1-201	MSR1	known	40	0.2391732484102249	0.32105768
HDAC6-241	HDAC6	known	2	0.2940639853477478	0.46069258
GOLGA4-205	GOLGA4	known	44	0.3136172890663147	0.47533312
SMYD2-203	SMYD2	known	9	0.2477961033582687	0.43264693
TRRAP-205	TRRAP	known	2	0.2885520458221435	0.39299363
CDK5RAP2-239	CDK5RAP2	known	44	0.3496412932872772	0.49338418
CORO2B-201	CORO2B	known	41	0.2832838594913482	0.40088743
DST-212	DST	known	44	0.2699036598205566	0.40949932
HPCAL1-207	HPCAL1	known	12	0.2554347217082977	0.41547585
RPL26-208	RPL26	known	5	0.7703713178634644	0.8970542
RFNG-207	RFNG	known	20	0.4463110864162445	0.4974196
DCX-210	DCX	known	44	0.3245040476322174	0.5487994
transcript70273.chr17.nnic	NT5C3B	nnic	9	0.3142776191234588	0.3884337
transcript65855.chr17.nic	SOCS7	nic	32	0.248362123966217	0.33358532
PHKG1-205	PHKG1	known	3	0.1894985288381576	0.5120602
