gene	cluster	donor	condition	n_cells	ct_transcript	ad_transcript	ct_count	ad_count	total_count	ct_ratio	ad_ratio	ad_minus_ct_ratio
NDUFS7	C18	SMC053	Active control	128	NDUFS7-202	NDUFS7-210	22.198202	0.0	22.198202	1.0	0.0	-1.0
NDUFS7	C10	PO05	AD	125	NDUFS7-202	NDUFS7-210	4.0136375	0.0	4.0136375	1.0	0.0	-1.0
NDUFS7	C10	PO11	AD	186	NDUFS7-202	NDUFS7-210	4.1822963	0.0	4.1822963	1.0	0.0	-1.0
NDUFS7	C10	PO15	Control	98	NDUFS7-202	NDUFS7-210	12.7217865	0.0	12.7217865	1.0	0.0	-1.0
NDUFS7	C10	PO28	AD	321	NDUFS7-202	NDUFS7-210	4.5154195	0.0	4.5154195	1.0	0.0	-1.0
NDUFS7	C10	SMC030	Control	66	NDUFS7-202	NDUFS7-210	14.193699	0.0	14.193699	1.0	0.0	-1.0
NDUFS7	C10	SMC032	AD	60	NDUFS7-202	NDUFS7-210	3.5280604	0.0	3.5280604	1.0	0.0	-1.0
NDUFS7	C10	SMC033	Control	290	NDUFS7-202	NDUFS7-210	52.48825	0.0	52.48825	1.0	0.0	-1.0
NDUFS7	C10	SMC035	Active control	157	NDUFS7-202	NDUFS7-210	9.516533	0.0	9.516533	1.0	0.0	-1.0
NDUFS7	C10	SMC037	Active control	251	NDUFS7-202	NDUFS7-210	7.4977226	0.0	7.4977226	1.0	0.0	-1.0
NDUFS7	C10	SMC038	AD	282	NDUFS7-202	NDUFS7-210	8.644659	2.133695	10.778354	0.8020389	0.1979611	-0.6040778
NDUFS7	C10	SMC039	AD	86	NDUFS7-202	NDUFS7-210	4.2015457	0.0	4.2015457	1.0	0.0	-1.0
NDUFS7	C10	SMC041	AD	312	NDUFS7-202	NDUFS7-210	28.172752	0.0	28.172752	1.0	0.0	-1.0
NDUFS7	C10	SMC049	AD	447	NDUFS7-202	NDUFS7-210	8.496766	0.0	8.496766	1.0	0.0	-1.0
NDUFS7	C10	SMC053	Active control	385	NDUFS7-202	NDUFS7-210	14.56941	3.1558044	17.725214	0.8219596	0.17804042	-0.6439192
NDUFS7	C11	PO05	AD	176	NDUFS7-202	NDUFS7-210	9.956154	0.0	9.956154	1.0	0.0	-1.0
NDUFS7	C11	PO20	Control	211	NDUFS7-202	NDUFS7-210	2.9891067	0.0	2.9891067	1.0	0.0	-1.0
NDUFS7	C11	PO23	Control	185	NDUFS7-202	NDUFS7-210	7.5495133	0.0	7.5495133	1.0	0.0	-1.0
NDUFS7	C11	PO28	AD	356	NDUFS7-202	NDUFS7-210	25.895988	7.2229767	33.118965	0.78190815	0.21809186	-0.5638163
NDUFS7	C11	PO41	AD	155	NDUFS7-202	NDUFS7-210	3.971863	0.0	3.971863	1.0	0.0	-1.0
NDUFS7	C11	PO42	AD	119	NDUFS7-202	NDUFS7-210	4.2616944	0.0	4.2616944	1.0	0.0	-1.0
NDUFS7	C11	SMC027	Control	6	NDUFS7-202	NDUFS7-210	2.6725674	0.0	2.6725674	1.0	0.0	-1.0
NDUFS7	C11	SMC030	Control	66	NDUFS7-202	NDUFS7-210	2.4719892	0.0	2.4719892	1.0	0.0	-1.0
NDUFS7	C11	SMC031	Active control	13	NDUFS7-202	NDUFS7-210	2.7163024	0.0	2.7163024	1.0	0.0	-1.0
NDUFS7	C11	SMC032	AD	80	NDUFS7-202	NDUFS7-210	6.980834	0.0	6.980834	1.0	0.0	-1.0
NDUFS7	C11	SMC033	Control	336	NDUFS7-202	NDUFS7-210	34.866726	0.0	34.866726	1.0	0.0	-1.0
NDUFS7	C11	SMC035	Active control	157	NDUFS7-202	NDUFS7-210	34.85769	0.0	34.85769	1.0	0.0	-1.0
NDUFS7	C11	SMC037	Active control	204	NDUFS7-202	NDUFS7-210	14.4730215	0.0	14.4730215	1.0	0.0	-1.0
NDUFS7	C11	SMC038	AD	213	NDUFS7-202	NDUFS7-210	12.420099	8.140578	20.560677	0.60407054	0.3959295	-0.20814106
NDUFS7	C11	SMC039	AD	69	NDUFS7-202	NDUFS7-210	9.388083	0.0	9.388083	1.0	0.0	-1.0
NDUFS7	C11	SMC041	AD	377	NDUFS7-202	NDUFS7-210	30.229269	5.4008207	35.63009	0.84841967	0.15158033	-0.69683933
NDUFS7	C11	SMC049	AD	484	NDUFS7-202	NDUFS7-210	22.332928	2.3754728	24.7084	0.9038597	0.09614029	-0.8077194
NDUFS7	C11	SMC053	Active control	434	NDUFS7-202	NDUFS7-210	14.886642	0.0	14.886642	1.0	0.0	-1.0
NDUFS7	C19	PO05	AD	41	NDUFS7-202	NDUFS7-210	3.4049265	0.0	3.4049265	1.0	0.0	-1.0
NDUFS7	C19	PO13	Control	114	NDUFS7-202	NDUFS7-210	6.2055783	0.0	6.2055783	1.0	0.0	-1.0
NDUFS7	C19	PO20	Control	172	NDUFS7-202	NDUFS7-210	18.147236	0.0	18.147236	1.0	0.0	-1.0
NDUFS7	C19	PO23	Control	61	NDUFS7-202	NDUFS7-210	2.9626215	0.0	2.9626215	1.0	0.0	-1.0
NDUFS7	C19	PO28	AD	64	NDUFS7-202	NDUFS7-210	13.944418	0.0	13.944418	1.0	0.0	-1.0
NDUFS7	C19	PO41	AD	65	NDUFS7-202	NDUFS7-210	5.073486	0.0	5.073486	1.0	0.0	-1.0
NDUFS7	C19	SMC030	Control	36	NDUFS7-202	NDUFS7-210	3.021948	0.0	3.021948	1.0	0.0	-1.0
NDUFS7	C19	SMC033	Control	326	NDUFS7-202	NDUFS7-210	51.980274	0.0	51.980274	1.0	0.0	-1.0
NDUFS7	C19	SMC035	Active control	47	NDUFS7-202	NDUFS7-210	13.116455	0.0	13.116455	1.0	0.0	-1.0
NDUFS7	C19	SMC052	Control	122	NDUFS7-202	NDUFS7-210	5.763498	0.0	5.763498	1.0	0.0	-1.0
NDUFS7	C19	SMC053	Active control	125	NDUFS7-202	NDUFS7-210	5.985448	0.0	5.985448	1.0	0.0	-1.0
NDUFS8	C18	PO11	AD	75	transcript100761.chr11.nic	transcript100759.chr11.nic	2.5708776	0.0	2.5708776	1.0	0.0	-1.0
NDUFS8	C18	SMC030	Control	45	transcript100761.chr11.nic	transcript100759.chr11.nic	3.0502548	0.0	3.0502548	1.0	0.0	-1.0
NDUFS8	C18	SMC033	Control	93	transcript100761.chr11.nic	transcript100759.chr11.nic	8.822689	0.0	8.822689	1.0	0.0	-1.0
NDUFS8	C18	SMC049	AD	238	transcript100761.chr11.nic	transcript100759.chr11.nic	0.0	3.473518	3.473518	0.0	1.0	1.0
NDUFS8	C10	PO20	Control	220	transcript100761.chr11.nic	transcript100759.chr11.nic	0.0	4.4023824	4.4023824	0.0	1.0	1.0
NDUFS8	C10	SMC033	Control	290	transcript100761.chr11.nic	transcript100759.chr11.nic	15.946343	0.0	15.946343	1.0	0.0	-1.0
NDUFS8	C10	SMC035	Active control	157	transcript100761.chr11.nic	transcript100759.chr11.nic	5.9173355	2.8685405	8.785876	0.6735054	0.32649451	-0.3470109
NDUFS8	C10	SMC038	AD	282	transcript100761.chr11.nic	transcript100759.chr11.nic	8.750863	4.214594	12.965457	0.6749367	0.3250633	-0.34987342
NDUFS8	C10	SMC049	AD	447	transcript100761.chr11.nic	transcript100759.chr11.nic	16.120815	0.0	16.120815	1.0	0.0	-1.0
NDUFS8	C10	SMC053	Active control	385	transcript100761.chr11.nic	transcript100759.chr11.nic	2.5946257	3.7760642	6.37069	0.40727547	0.5927245	0.18544903
NDUFS8	C11	PO28	AD	356	transcript100761.chr11.nic	transcript100759.chr11.nic	12.624356	0.0	12.624356	1.0	0.0	-1.0
NDUFS8	C11	PO42	AD	119	transcript100761.chr11.nic	transcript100759.chr11.nic	4.961753	0.0	4.961753	1.0	0.0	-1.0
NDUFS8	C11	SMC030	Control	66	transcript100761.chr11.nic	transcript100759.chr11.nic	3.1515117	0.0	3.1515117	1.0	0.0	-1.0
NDUFS8	C11	SMC033	Control	336	transcript100761.chr11.nic	transcript100759.chr11.nic	16.084986	4.15104	20.236027	0.79486877	0.20513119	-0.5897376
NDUFS8	C11	SMC049	AD	484	transcript100761.chr11.nic	transcript100759.chr11.nic	12.708062	0.0	12.708062	1.0	0.0	-1.0
NDUFS8	C19	SMC030	Control	36	transcript100761.chr11.nic	transcript100759.chr11.nic	3.4918644	0.0	3.4918644	1.0	0.0	-1.0
NDUFS8	C19	SMC033	Control	326	transcript100761.chr11.nic	transcript100759.chr11.nic	5.771441	0.0	5.771441	1.0	0.0	-1.0
NDUFS8	C19	SMC035	Active control	47	transcript100761.chr11.nic	transcript100759.chr11.nic	4.7380176	0.0	4.7380176	1.0	0.0	-1.0
NDUFAF5	C18	PO41	AD	70	NDUFAF5-202	NDUFAF5-201	0.0	3.2973788	3.2973788	0.0	1.0	1.0
NDUFAF5	C18	SMC031	Active control	15	NDUFAF5-202	NDUFAF5-201	2.526327	0.0	2.526327	1.0	0.0	-1.0
NDUFAF5	C18	SMC037	Active control	55	NDUFAF5-202	NDUFAF5-201	0.0	2.028235	2.028235	0.0	1.0	1.0
NDUFAF5	C18	SMC049	AD	238	NDUFAF5-202	NDUFAF5-201	0.0	7.273055	7.273055	0.0	1.0	1.0
NDUFAF5	C18	SMC053	Active control	128	NDUFAF5-202	NDUFAF5-201	3.7907598	4.0083156	7.799075	0.48605248	0.51394755	0.027895063
NDUFAF5	C10	PO15	Control	98	NDUFAF5-202	NDUFAF5-201	8.547528	0.0	8.547528	1.0	0.0	-1.0
NDUFAF5	C10	PO23	Control	62	NDUFAF5-202	NDUFAF5-201	3.1886563	0.0	3.1886563	1.0	0.0	-1.0
NDUFAF5	C10	SMC030	Control	66	NDUFAF5-202	NDUFAF5-201	0.0	2.4749737	2.4749737	0.0	1.0	1.0
NDUFAF5	C10	SMC033	Control	290	NDUFAF5-202	NDUFAF5-201	4.1950865	0.0	4.1950865	1.0	0.0	-1.0
NDUFAF5	C10	SMC037	Active control	251	NDUFAF5-202	NDUFAF5-201	0.0	1.9135356	1.9135356	0.0	1.0	1.0
NDUFAF5	C10	SMC038	AD	282	NDUFAF5-202	NDUFAF5-201	8.20631	3.5729647	11.779275	0.69667363	0.30332637	-0.39334726
NDUFAF5	C10	SMC049	AD	447	NDUFAF5-202	NDUFAF5-201	0.0	7.996172	7.996172	0.0	1.0	1.0
NDUFAF5	C10	SMC052	Control	361	NDUFAF5-202	NDUFAF5-201	0.0	4.2015457	4.2015457	0.0	1.0	1.0
NDUFAF5	C10	SMC053	Active control	385	NDUFAF5-202	NDUFAF5-201	9.753073	0.0	9.753073	1.0	0.0	-1.0
NDUFAF5	C11	PO05	AD	176	NDUFAF5-202	NDUFAF5-201	0.0	2.7862883	2.7862883	0.0	1.0	1.0
NDUFAF5	C11	PO15	Control	82	NDUFAF5-202	NDUFAF5-201	3.669099	0.0	3.669099	1.0	0.0	-1.0
NDUFAF5	C11	PO23	Control	185	NDUFAF5-202	NDUFAF5-201	3.3176615	7.7474127	11.065074	0.29983184	0.7001682	0.40033635
NDUFAF5	C11	SMC033	Control	336	NDUFAF5-202	NDUFAF5-201	6.637133	3.204398	9.841531	0.6744005	0.32559955	-0.34880096
NDUFAF5	C11	SMC049	AD	484	NDUFAF5-202	NDUFAF5-201	0.0	3.6530964	3.6530964	0.0	1.0	1.0
NDUFAF5	C11	SMC053	Active control	434	NDUFAF5-202	NDUFAF5-201	7.5827913	4.340652	11.923443	0.6359565	0.3640435	-0.27191302
NDUFAF5	C19	PO41	AD	65	NDUFAF5-202	NDUFAF5-201	3.0163913	3.9821382	6.9985294	0.43100357	0.5689964	0.13799286
ZNF736	C18	PO42	AD	68	ZNF736-202	transcript76787.chr7.nnic	4.5029793	0.0	4.5029793	1.0	0.0	-1.0
ZNF736	C18	SMC030	Control	45	ZNF736-202	transcript76787.chr7.nnic	3.7306345	0.0	3.7306345	1.0	0.0	-1.0
ZNF736	C18	SMC037	Active control	55	ZNF736-202	transcript76787.chr7.nnic	4.5508003	0.0	4.5508003	1.0	0.0	-1.0
ZNF736	C18	SMC039	AD	102	ZNF736-202	transcript76787.chr7.nnic	0.0	3.7856958	3.7856958	0.0	1.0	1.0
ZNF736	C10	SMC038	AD	282	ZNF736-202	transcript76787.chr7.nnic	0.0	9.112558	9.112558	0.0	1.0	1.0
ZNF736	C10	SMC049	AD	447	ZNF736-202	transcript76787.chr7.nnic	2.9352024	0.0	2.9352024	1.0	0.0	-1.0
ZNF736	C10	SMC052	Control	361	ZNF736-202	transcript76787.chr7.nnic	4.1822963	0.0	4.1822963	1.0	0.0	-1.0
ZNF736	C11	PO41	AD	155	ZNF736-202	transcript76787.chr7.nnic	0.0	4.091399	4.091399	0.0	1.0	1.0
ZNF736	C11	SMC033	Control	336	ZNF736-202	transcript76787.chr7.nnic	3.7399502	0.0	3.7399502	1.0	0.0	-1.0
ZNF736	C11	SMC038	AD	213	ZNF736-202	transcript76787.chr7.nnic	0.0	2.7609472	2.7609472	0.0	1.0	1.0
ZNF736	C19	PO41	AD	65	ZNF736-202	transcript76787.chr7.nnic	0.0	3.229691	3.229691	0.0	1.0	1.0
ZNF582	C18	PO11	AD	75	transcript145765.chr19.nnic	ZNF582-202	0.0	3.575773	3.575773	0.0	1.0	1.0
ZNF582	C18	PO28	AD	127	transcript145765.chr19.nnic	ZNF582-202	0.0	3.8474112	3.8474112	0.0	1.0	1.0
ZNF582	C10	PO11	AD	186	transcript145765.chr19.nnic	ZNF582-202	0.0	3.2621117	3.2621117	0.0	1.0	1.0
ZNF582	C10	PO28	AD	321	transcript145765.chr19.nnic	ZNF582-202	0.0	2.8227344	2.8227344	0.0	1.0	1.0
ZNF582	C10	SMC035	Active control	157	transcript145765.chr19.nnic	ZNF582-202	0.0	4.8117876	4.8117876	0.0	1.0	1.0
ZNF582	C10	SMC049	AD	447	transcript145765.chr19.nnic	ZNF582-202	0.0	7.5011234	7.5011234	0.0	1.0	1.0
ZNF582	C11	PO05	AD	176	transcript145765.chr19.nnic	ZNF582-202	0.0	5.0523076	5.0523076	0.0	1.0	1.0
ZNF582	C11	PO28	AD	356	transcript145765.chr19.nnic	ZNF582-202	0.0	3.7253518	3.7253518	0.0	1.0	1.0
ZNF582	C11	SMC030	Control	66	transcript145765.chr19.nnic	ZNF582-202	2.4719892	0.0	2.4719892	1.0	0.0	-1.0
ZNF582	C11	SMC033	Control	336	transcript145765.chr19.nnic	ZNF582-202	0.0	4.3997307	4.3997307	0.0	1.0	1.0
ZNF582	C11	SMC038	AD	213	transcript145765.chr19.nnic	ZNF582-202	0.0	6.5768867	6.5768867	0.0	1.0	1.0
ZNF582	C11	SMC041	AD	377	transcript145765.chr19.nnic	ZNF582-202	3.8078365	0.0	3.8078365	1.0	0.0	-1.0
ZNF582	C11	SMC049	AD	484	transcript145765.chr19.nnic	ZNF582-202	0.0	3.7698343	3.7698343	0.0	1.0	1.0
ZNF582	C19	PO41	AD	65	transcript145765.chr19.nnic	ZNF582-202	0.0	3.0256717	3.0256717	0.0	1.0	1.0
DCAF5	C18	PO15	Control	34	DCAF5-201	DCAF5-209	2.4116445	0.0	2.4116445	1.0	0.0	-1.0
DCAF5	C18	SMC030	Control	45	DCAF5-201	DCAF5-209	5.48482	0.0	5.48482	1.0	0.0	-1.0
DCAF5	C18	SMC033	Control	93	DCAF5-201	DCAF5-209	9.175171	0.0	9.175171	1.0	0.0	-1.0
DCAF5	C18	SMC035	Active control	55	DCAF5-201	DCAF5-209	5.384797	0.0	5.384797	1.0	0.0	-1.0
DCAF5	C18	SMC037	Active control	55	DCAF5-201	DCAF5-209	0.0	3.8035388	3.8035388	0.0	1.0	1.0
DCAF5	C18	SMC038	AD	36	DCAF5-201	DCAF5-209	0.0	6.955626	6.955626	0.0	1.0	1.0
DCAF5	C10	PO15	Control	98	DCAF5-201	DCAF5-209	13.924715	0.0	13.924715	1.0	0.0	-1.0
DCAF5	C10	PO28	AD	321	DCAF5-201	DCAF5-209	2.115526	4.8292403	6.944766	0.30462164	0.6953784	0.3907568
DCAF5	C10	PO41	AD	130	DCAF5-201	DCAF5-209	0.0	4.0617805	4.0617805	0.0	1.0	1.0
DCAF5	C10	SMC030	Control	66	DCAF5-201	DCAF5-209	2.4870176	0.0	2.4870176	1.0	0.0	-1.0
DCAF5	C10	SMC033	Control	290	DCAF5-201	DCAF5-209	12.595369	0.0	12.595369	1.0	0.0	-1.0
DCAF5	C10	SMC035	Active control	157	DCAF5-201	DCAF5-209	5.2948127	2.601533	7.8963456	0.6705396	0.32946038	-0.34107924
DCAF5	C10	SMC037	Active control	251	DCAF5-201	DCAF5-209	4.5208	6.3450127	10.865812	0.41605726	0.5839428	0.16788551
DCAF5	C10	SMC049	AD	447	DCAF5-201	DCAF5-209	3.7106497	4.95253	8.663179	0.42832425	0.5716758	0.14335153
DCAF5	C10	SMC052	Control	361	DCAF5-201	DCAF5-209	4.5029793	0.0	4.5029793	1.0	0.0	-1.0
DCAF5	C11	PO23	Control	185	DCAF5-201	DCAF5-209	4.116299	3.834037	7.9503365	0.5177516	0.4822484	-0.03550318
DCAF5	C11	PO28	AD	356	DCAF5-201	DCAF5-209	3.6421735	4.8742056	8.516379	0.4276669	0.5723331	0.1446662
DCAF5	C11	PO41	AD	155	DCAF5-201	DCAF5-209	0.0	4.0742006	4.0742006	0.0	1.0	1.0
DCAF5	C11	PO42	AD	119	DCAF5-201	DCAF5-209	0.0	10.376312	10.376312	0.0	1.0	1.0
DCAF5	C11	SMC030	Control	66	DCAF5-201	DCAF5-209	2.8499343	0.0	2.8499343	1.0	0.0	-1.0
DCAF5	C11	SMC033	Control	336	DCAF5-201	DCAF5-209	10.454079	3.773983	14.228062	0.73475075	0.26524928	-0.46950147
DCAF5	C11	SMC037	Active control	204	DCAF5-201	DCAF5-209	4.1634216	0.0	4.1634216	1.0	0.0	-1.0
DCAF5	C11	SMC053	Active control	434	DCAF5-201	DCAF5-209	20.969433	3.8296204	24.799053	0.8455739	0.15442607	-0.6911478
DCAF5	C19	SMC033	Control	326	DCAF5-201	DCAF5-209	13.199809	0.0	13.199809	1.0	0.0	-1.0
DCAF5	C19	SMC035	Active control	47	DCAF5-201	DCAF5-209	6.319359	3.9318256	10.251184	0.61645156	0.3835484	-0.23290315
RPS3	C18	SMC030	Control	45	RPS3-217	RPS3-209	2.5620005	0.0	2.5620005	1.0	0.0	-1.0
RPS3	C18	SMC031	Active control	15	RPS3-217	RPS3-209	2.0634203	0.0	2.0634203	1.0	0.0	-1.0
RPS3	C18	SMC032	AD	32	RPS3-217	RPS3-209	8.053721	2.9251318	10.978853	0.7335667	0.26643327	-0.46713343
RPS3	C18	SMC033	Control	93	RPS3-217	RPS3-209	3.085428	0.0	3.085428	1.0	0.0	-1.0
RPS3	C18	SMC035	Active control	55	RPS3-217	RPS3-209	2.6405444	0.0	2.6405444	1.0	0.0	-1.0
RPS3	C18	SMC036	AD	23	RPS3-217	RPS3-209	4.051736	0.0	4.051736	1.0	0.0	-1.0
RPS3	C18	SMC037	Active control	55	RPS3-217	RPS3-209	2.4350743	0.0	2.4350743	1.0	0.0	-1.0
RPS3	C18	SMC039	AD	102	RPS3-217	RPS3-209	5.264283	0.0	5.264283	1.0	0.0	-1.0
RPS3	C18	SMC041	AD	174	RPS3-217	RPS3-209	4.7305646	6.4254537	11.156018	0.424037	0.575963	0.15192601
RPS3	C18	SMC049	AD	238	RPS3-217	RPS3-209	0.0	15.6488285	15.6488285	0.0	1.0	1.0
RPS3	C18	SMC052	Control	130	RPS3-217	RPS3-209	9.662403	4.5389514	14.201355	0.680386	0.31961396	-0.36077204
RPS3	C18	SMC053	Active control	128	RPS3-217	RPS3-209	4.289671	0.0	4.289671	1.0	0.0	-1.0
RPS3	C10	PO11	AD	186	RPS3-217	RPS3-209	0.0	4.741765	4.741765	0.0	1.0	1.0
RPS3	C10	PO13	Control	109	RPS3-217	RPS3-209	3.166625	0.0	3.166625	1.0	0.0	-1.0
RPS3	C10	PO15	Control	98	RPS3-217	RPS3-209	4.9980536	2.7215946	7.7196484	0.64744574	0.3525542	-0.29489154
RPS3	C10	PO23	Control	62	RPS3-217	RPS3-209	6.1102915	0.0	6.1102915	1.0	0.0	-1.0
RPS3	C10	PO28	AD	321	RPS3-217	RPS3-209	4.2211843	0.0	4.2211843	1.0	0.0	-1.0
RPS3	C10	PO41	AD	130	RPS3-217	RPS3-209	2.6980278	5.507677	8.205705	0.32879904	0.671201	0.34240195
RPS3	C10	SMC030	Control	66	RPS3-217	RPS3-209	8.943723	2.5653186	11.509041	0.7771041	0.22289595	-0.55420816
RPS3	C10	SMC031	Active control	24	RPS3-217	RPS3-209	11.565252	2.497187	14.062439	0.8224215	0.17757851	-0.644843
RPS3	C10	SMC032	AD	60	RPS3-217	RPS3-209	5.408168	0.0	5.408168	1.0	0.0	-1.0
RPS3	C10	SMC033	Control	290	RPS3-217	RPS3-209	10.935352	0.0	10.935352	1.0	0.0	-1.0
RPS3	C10	SMC035	Active control	157	RPS3-217	RPS3-209	7.0470448	0.0	7.0470448	1.0	0.0	-1.0
RPS3	C10	SMC036	AD	19	RPS3-217	RPS3-209	6.4393506	0.0	6.4393506	1.0	0.0	-1.0
RPS3	C10	SMC037	Active control	251	RPS3-217	RPS3-209	12.994747	7.439178	20.433926	0.63593984	0.36406013	-0.2718797
RPS3	C10	SMC038	AD	282	RPS3-217	RPS3-209	11.608171	8.312375	19.920547	0.5827235	0.41727644	-0.16544706
RPS3	C10	SMC039	AD	86	RPS3-217	RPS3-209	0.0	3.8655386	3.8655386	0.0	1.0	1.0
RPS3	C10	SMC041	AD	312	RPS3-217	RPS3-209	5.2084923	6.9568563	12.165348	0.42814165	0.5718584	0.14371675
RPS3	C10	SMC049	AD	447	RPS3-217	RPS3-209	27.046385	2.254699	29.301085	0.92305064	0.076949336	-0.8461013
RPS3	C10	SMC052	Control	361	RPS3-217	RPS3-209	25.357376	0.0	25.357376	1.0	0.0	-1.0
RPS3	C10	SMC053	Active control	385	RPS3-217	RPS3-209	5.042432	0.0	5.042432	1.0	0.0	-1.0
RPS3	C11	PO41	AD	155	RPS3-217	RPS3-209	0.0	2.8732533	2.8732533	0.0	1.0	1.0
RPS3	C11	SMC027	Control	6	RPS3-217	RPS3-209	2.0676317	0.0	2.0676317	1.0	0.0	-1.0
RPS3	C11	SMC029	AD	9	RPS3-217	RPS3-209	4.468283	0.0	4.468283	1.0	0.0	-1.0
RPS3	C11	SMC030	Control	66	RPS3-217	RPS3-209	8.076344	0.0	8.076344	1.0	0.0	-1.0
RPS3	C11	SMC032	AD	80	RPS3-217	RPS3-209	3.620698	0.0	3.620698	1.0	0.0	-1.0
RPS3	C11	SMC033	Control	336	RPS3-217	RPS3-209	7.137877	0.0	7.137877	1.0	0.0	-1.0
RPS3	C11	SMC035	Active control	157	RPS3-217	RPS3-209	14.228569	4.048964	18.277533	0.7784732	0.22152685	-0.55694634
RPS3	C11	SMC037	Active control	204	RPS3-217	RPS3-209	5.2084923	6.5365415	11.745033	0.4434634	0.5565367	0.11307329
RPS3	C11	SMC038	AD	213	RPS3-217	RPS3-209	14.701099	4.834748	19.535847	0.7525192	0.24748084	-0.5050384
RPS3	C11	SMC041	AD	377	RPS3-217	RPS3-209	7.8732166	0.0	7.8732166	1.0	0.0	-1.0
RPS3	C11	SMC049	AD	484	RPS3-217	RPS3-209	23.662586	0.0	23.662586	1.0	0.0	-1.0
RPS3	C11	SMC052	Control	272	RPS3-217	RPS3-209	23.462898	0.0	23.462898	1.0	0.0	-1.0
RPS3	C11	SMC053	Active control	434	RPS3-217	RPS3-209	0.0	2.9419792	2.9419792	0.0	1.0	1.0
RPS3	C19	PO23	Control	61	RPS3-217	RPS3-209	5.453431	0.0	5.453431	1.0	0.0	-1.0
RPS3	C19	SMC030	Control	36	RPS3-217	RPS3-209	2.9505227	0.0	2.9505227	1.0	0.0	-1.0
RPS3	C19	SMC031	Active control	9	RPS3-217	RPS3-209	2.0000975	0.0	2.0000975	1.0	0.0	-1.0
RPS3	C19	SMC033	Control	326	RPS3-217	RPS3-209	8.670236	0.0	8.670236	1.0	0.0	-1.0
RPS3	C19	SMC035	Active control	47	RPS3-217	RPS3-209	0.0	2.9891067	2.9891067	0.0	1.0	1.0
RPS3	C19	SMC049	AD	18	RPS3-217	RPS3-209	0.0	3.7574956	3.7574956	0.0	1.0	1.0
RPS3	C19	SMC053	Active control	125	RPS3-217	RPS3-209	10.464319	0.0	10.464319	1.0	0.0	-1.0
