enst_id	gene_name
ENST00000203556	GMIP
ENST00000203629	LAG3
ENST00000203630	MLF2
ENST00000203664	OTUB2
ENST00000204517	TFAP4
ENST00000204549	PDCD7
ENST00000204566	SPG21
ENST00000204604	CHRD
ENST00000204679	GNPTG
ENST00000204961	EFNB1
ENST00000205061	GLG1
ENST00000205143	DLL3
ENST00000205194	NAT14
ENST00000205214	AASDH
ENST00000205402	DLD
ENST00000205636	CMTM6
ENST00000206020	SPAG7
ENST00000206262	RGS17
ENST00000206423	CCDC80
ENST00000206451	PSME1
ENST00000206474	HAUS4
ENST00000206542	OSGEP
ENST00000206544	SLC22A17
ENST00000206595	G2E3
ENST00000206765	TGM1
ENST00000207457	TEKT2
ENST00000207549	UNC13D
ENST00000207636	COMT
ENST00000207870	XYLB
ENST00000209728	CDC6
ENST00000209873	AAAS
ENST00000209875	CBX5
ENST00000209884	KLHL20
ENST00000209929	FMO2
ENST00000210060	DHPS
ENST00000210187	RAB26
ENST00000210313	PSMD5
ENST00000210444	NANS
ENST00000210633	SEMA4G
ENST00000211287	MAPK13
ENST00000211314	TMEM14A
ENST00000211413	PRRT1
ENST00000211936	ZNF184
ENST00000212015	SIRT1
ENST00000212355	TGFBR3
ENST00000214869	TMED1
ENST00000215057	MZF1
ENST00000215061	OCEL1
ENST00000215071	PSMD8
ENST00000215095	STX1B
ENST00000215115	BCL7C
ENST00000215375	ATP5F1D
ENST00000215473	PCDH11Y
ENST00000215531	SMIM24
ENST00000215555	MARCHF2
ENST00000215565	NDUFB7
ENST00000215567	TECR
ENST00000215570	TIMM13
ENST00000215574	CDC34
ENST00000215587	POLR2E
ENST00000215631	GADD45B
ENST00000215637	MADCAM1
ENST00000215659	MAPK12
ENST00000215727	SERPIND1
ENST00000215730	SNAP29
ENST00000215742	THAP7
ENST00000215743	MMP11
ENST00000215754	MIF
ENST00000215770	DDTL
ENST00000215781	OSM
ENST00000215790	TBC1D10A
ENST00000215793	SF3A1
ENST00000215794	USP18
ENST00000215798	RNF215
ENST00000215829	SNRPD3
ENST00000215832	MAPK1
ENST00000215838	TCN2
ENST00000215882	SLC25A1
ENST00000215904	PDXP
ENST00000215906	ASPHD2
ENST00000215909	LGALS1
ENST00000215912	PIK3IP1
ENST00000215917	SRRD
ENST00000215919	PATZ1
ENST00000215941	ANKRD54
ENST00000215957	MICALL1
ENST00000216014	KDELR3
ENST00000216019	DDX17
ENST00000216027	HSCB
ENST00000216029	CBY1
ENST00000216034	TOMM22
ENST00000216037	XBP1
ENST00000216038	RTCB
ENST00000216039	JOSD1
ENST00000216044	GTPBP1
ENST00000216061	PPP6R2
ENST00000216068	DNAL4
ENST00000216080	LMF2
ENST00000216085	RHBDD3
ENST00000216101	RASL10A
ENST00000216106	HMGXB4
ENST00000216117	HMOX1
ENST00000216121	NIPSNAP1
ENST00000216122	MCM5
ENST00000216124	ARSA
ENST00000216127	RASD2
ENST00000216129	TTLL12
ENST00000216133	CBX7
ENST00000216144	CABP7
ENST00000216146	RPL3
ENST00000216160	TAB1
ENST00000216177	PNPLA5
ENST00000216180	PNPLA3
ENST00000216181	MYH9
ENST00000216185	TXN2
ENST00000216187	FOXRED2
ENST00000216190	EIF3D
ENST00000216200	PVALB
ENST00000216214	FAM118A
ENST00000216218	ST13
ENST00000216225	RBX1
ENST00000216237	L3MBTL2
ENST00000216241	CHADL
ENST00000216252	PHF5A
ENST00000216254	ACO2
ENST00000216259	PMM1
ENST00000216264	CERK
ENST00000216268	ZBED4
ENST00000216277	PAPOLA
ENST00000216281	HSP90AA1
ENST00000216286	NID2
ENST00000216288	MARK3
ENST00000216294	SNAPC1
ENST00000216297	SUPT16H
ENST00000216330	FKBP3
ENST00000216338	GZMH
ENST00000216341	GZMB
ENST00000216361	COCH
ENST00000216373	SOS2
ENST00000216378	CDKL1
ENST00000216392	PYGL
ENST00000216410	GNPNAT1
ENST00000216416	CNIH1
ENST00000216420	CGRRF1
ENST00000216442	ATP6V1D
ENST00000216452	PIGH
ENST00000216455	PSMA3
ENST00000216463	TIMM9
ENST00000216465	GSTZ1
ENST00000216468	TMED8
ENST00000216471	SAMD15
ENST00000216479	AHSA1
ENST00000216484	SPTLC2
ENST00000216487	RIN3
ENST00000216489	ALKBH1
ENST00000216492	CHGA
ENST00000216500	DHRS7
ENST00000216513	SIX4
ENST00000216554	EIF5
ENST00000216568	SLC8A3
ENST00000216602	ZFYVE21
ENST00000216639	VRK1
ENST00000216714	APEX1
ENST00000216727	PABPN1
ENST00000216733	EFS
ENST00000216743	ARHGAP5
ENST00000216756	CINP
ENST00000216774	SRP54
ENST00000216780	PCK2
ENST00000216797	NFKBIA
ENST00000216799	EMC9
ENST00000216802	PSME2
ENST00000216807	BRMS1L
ENST00000216832	PNN
ENST00000216840	RABGGTA
ENST00000216862	CYP24A1
ENST00000216877	PTPRA
ENST00000216879	NSFL1C
ENST00000216923	ZFP64
ENST00000216962	PYGB
ENST00000216968	PROCR
ENST00000217086	SALL4
ENST00000217109	CSTF1
ENST00000217121	TPD52L2
ENST00000217131	CTSZ
ENST00000217159	SLCO4A1
ENST00000217173	UBOX5
ENST00000217182	EEF1A2
ENST00000217195	ADISSP
ENST00000217233	TRIB3
ENST00000217244	CSNK2A1
ENST00000217246	MACROD2
ENST00000217270	PROKR2
ENST00000217289	FERMT1
ENST00000217305	PDYN
ENST00000217315	TM9SF4
ENST00000217381	SNTA1
ENST00000217402	CHMP4B
ENST00000217420	SLC32A1
ENST00000217426	AHCY
ENST00000217446	PIGU
ENST00000217455	ACOT8
ENST00000217456	APMAP
ENST00000217515	TXNL1
ENST00000217652	MYL12A
ENST00000217740	RNF125
ENST00000217890	ARSD
ENST00000217893	TAF9
ENST00000217901	IDH3G
ENST00000217909	SLC25A43
ENST00000217939	MXRA5
ENST00000217958	PSMD10
ENST00000217961	STS
ENST00000217971	PGRMC1
ENST00000218032	TLR8
ENST00000218056	WDR13
ENST00000218075	GLRA2
ENST00000218089	STAG2
ENST00000218104	ABCD1
ENST00000218176	KCND1
ENST00000218200	FMR1
ENST00000218224	PQBP1
ENST00000218230	PCSK1N
ENST00000218249	RAB40AL
ENST00000218328	HUWE1
ENST00000218340	RP2
ENST00000218348	USP11
ENST00000218364	HTATSF1
ENST00000218388	TIMP1
ENST00000218432	PIN4
ENST00000218439	MAGED2
ENST00000218516	GLA
ENST00000218652	NDFIP2
ENST00000218789	ARHGEF7
ENST00000218867	SGCG
ENST00000218981	DHRS12
ENST00000219022	OLFM4
ENST00000219066	NTHL1
ENST00000219069	ZNF263
ENST00000219070	MMP2
ENST00000219091	ZNF205
ENST00000219097	ORC6
ENST00000219139	PHAF1
ENST00000219150	CORO1A
ENST00000219168	LYRM1
ENST00000219169	NUTF2
ENST00000219197	CBLN1
ENST00000219204	ARL2BP
ENST00000219207	PLLP
ENST00000219240	DHODH
ENST00000219251	ACD
ENST00000219252	POLR2C
ENST00000219255	PARD6A
ENST00000219271	MMP15
ENST00000219281	USB1
ENST00000219299	CCDC113
ENST00000219302	NME3
ENST00000219313	PSMD7
ENST00000219315	SETD6
ENST00000219320	SLC38A7
ENST00000219334	SMPD3
ENST00000219343	SLC7A6
ENST00000219345	PLA2G15
ENST00000219368	FA2H
ENST00000219400	CMC2
ENST00000219406	PDIA2
ENST00000219409	ARHGDIG
ENST00000219431	MPG
ENST00000219439	HSDL1
ENST00000219454	WFDC1
ENST00000219473	USP10
ENST00000219476	TSC2
ENST00000219478	ZNF500
ENST00000219479	NME4
ENST00000219481	DECR2
ENST00000219535	ANTKMT
ENST00000219548	STUB1
ENST00000219599	CRYM
ENST00000219611	CAPN15
ENST00000219689	USP31
ENST00000219746	TOX3
ENST00000219782	MAZ
ENST00000219789	CDIPT
ENST00000219794	BCKDK
ENST00000219837	KNOP1
ENST00000219905	MGA
ENST00000219919	AQP9
ENST00000220003	CSK
ENST00000220058	MTFMT
ENST00000220062	RASL12
ENST00000220166	CTSH
ENST00000220244	CEMIP
ENST00000220325	EHD4
ENST00000220429	GABPB1
ENST00000220478	SCG3
ENST00000220496	DNAJC17
ENST00000220507	RHOV
ENST00000220509	VPS18
ENST00000220514	OIP5
ENST00000220531	BLOC1S6
ENST00000220562	EXTL3
ENST00000220584	FDFT1
ENST00000220592	AGO2
ENST00000220597	PAG1
ENST00000220659	BRF2
ENST00000220669	ZFAND1
ENST00000220751	RIPK2
ENST00000220763	CPQ
ENST00000220764	DECR1
ENST00000220772	SFRP1
ENST00000220809	PLAT
ENST00000220822	GDAP1
ENST00000220847	PHF20L1
ENST00000220849	EIF3E
ENST00000220853	EMC2
ENST00000220876	STMN2
ENST00000220888	TRPS1
ENST00000220913	CHRAC1
ENST00000220931	NCALD
ENST00000220959	UBR5
ENST00000220966	PYCR3
ENST00000221086	MTMR9
ENST00000221114	DCTN6
ENST00000221130	GSR
ENST00000221132	TNFRSF10A
ENST00000221138	PPP2CB
ENST00000221166	NEFM
ENST00000221233	EXOSC5
ENST00000221249	PNPLA6
ENST00000221265	PAF1
ENST00000221283	STXBP2
ENST00000221315	ZNF432
ENST00000221327	ZNF180
ENST00000221363	MAN2B1
ENST00000221403	DHDH
ENST00000221413	RUVBL2
ENST00000221418	ECH1
ENST00000221419	HNRNPL
ENST00000221431	SARS2
ENST00000221448	SNRNP70
ENST00000221452	RELB
ENST00000221455	CLASRP
ENST00000221459	LIN7B
ENST00000221462	PPP1R37
ENST00000221466	FCGRT
ENST00000221480	PEX11G
ENST00000221485	SLC17A7
ENST00000221486	RNASEH2A
ENST00000221494	SF3A2
ENST00000221496	AMH
ENST00000221504	TRMT1
ENST00000221543	TBC1D17
ENST00000221554	YJU2B
ENST00000221561	TLE5
ENST00000221566	SGTA
ENST00000221573	SNAPC2
ENST00000221665	FIZ1
ENST00000221671	C19orf44
ENST00000221735	ZNF419
ENST00000221784	PDCD5
ENST00000221801	FBL
ENST00000221818	CCNP
ENST00000221847	EBI3
ENST00000221855	TBCB
ENST00000221856	FSD1
ENST00000221859	POLR2I
ENST00000221891	APLP1
ENST00000221930	TGFB1
ENST00000221943	DMAC2
ENST00000221957	PLIN3
ENST00000221978	NKG7
ENST00000221980	ICAM5
ENST00000222005	CDC37
ENST00000222008	RABAC1
ENST00000222120	RAB3D
ENST00000222122	DBP
ENST00000222139	EPOR
ENST00000222145	RASIP1
ENST00000222214	GCDH
ENST00000222219	DNASE2
ENST00000222224	LENG1
ENST00000222247	RPL18A
ENST00000222250	ARRDC2
ENST00000222254	PIK3R2
ENST00000222256	RAB3A
ENST00000222284	TMEM147
ENST00000222304	HAMP
ENST00000222305	USF2
ENST00000222307	KXD1
ENST00000222308	FKBP8
ENST00000222329	ERF
ENST00000222345	SIPA1L3
ENST00000222374	CADM4
ENST00000222390	HGF
ENST00000222402	UBE2D4
ENST00000222462	WNT16
ENST00000222511	GTPBP10
ENST00000222547	BET1
ENST00000222553	NAMPT
ENST00000222567	POLR1F
ENST00000222572	PON2
ENST00000222573	ITGB8
ENST00000222574	HBP1
ENST00000222584	SP4
ENST00000222597	CBLL1
ENST00000222644	PALS2
ENST00000222673	OGDH
ENST00000222690	H2AZ2
ENST00000222693	CAV2
ENST00000222725	LFNG
ENST00000222747	TSPAN12
ENST00000222792	CHN2
ENST00000222800	ABHD11
ENST00000222803	FKBP14
ENST00000222812	STX1A
ENST00000222823	NOD1
ENST00000222969	BUD31
ENST00000222982	CYP3A5
ENST00000222990	SNX8
ENST00000223023	WASL
ENST00000223029	AIMP2
ENST00000223054	MOSPD3
ENST00000223061	PCOLCE
ENST00000223073	RBM28
ENST00000223095	SERPINE1
ENST00000223122	C1GALT1
ENST00000223127	PLOD3
ENST00000223129	RPA3
ENST00000223136	FIS1
ENST00000223145	GLCCI1
ENST00000223190	NRF1
ENST00000223208	CEP41
ENST00000223210	ZNF862
ENST00000223215	MEST
ENST00000223271	RARRES2
ENST00000223273	YAE1
ENST00000223293	GIMAP2
ENST00000223321	PSMA2
ENST00000223324	MRPL32
ENST00000223336	COA1
ENST00000223357	AEBP1
ENST00000223368	BCL7B
ENST00000223369	YKT6
ENST00000223398	CLIP2
ENST00000223428	ZNF510
ENST00000223459	ZNF688
ENST00000223500	CHMP5
ENST00000223528	FKTN
ENST00000223641	SEC61B
ENST00000223642	C5
ENST00000223795	TNFSF8
ENST00000223864	PLGRKT
ENST00000223951	ELAVL2
ENST00000224073	EDF1
ENST00000224140	SETX
ENST00000224237	VIM
ENST00000224337	BLNK
ENST00000224356	CYP26A1
ENST00000224652	ATE1
ENST00000224721	CDH23
ENST00000224756	CCSER2
ENST00000224784	ACTA2
ENST00000224949	PITRM1
ENST00000224950	STN1
ENST00000225171	DNAJC12
ENST00000225174	PPIF
ENST00000225235	TBC1D12
ENST00000225275	MPO
ENST00000225296	DHX33
ENST00000225298	UTP18
ENST00000225308	SLC25A39
ENST00000225328	P2RX5
ENST00000225388	NUFIP2
ENST00000225394	GIT1
ENST00000225430	RPL19
ENST00000225441	RUNDC3A
ENST00000225504	SUPT4H1
ENST00000225512	WNT3
ENST00000225519	SHPK
ENST00000225525	TAX1BP3
ENST00000225538	P2RX1
ENST00000225573	PNPO
ENST00000225576	TVP23C
ENST00000225577	RPS6KB1
ENST00000225603	CBX1
ENST00000225609	PIGL
ENST00000225655	PFN1
ENST00000225665	SLC25A11
ENST00000225688	RASD1
ENST00000225698	C1QBP
ENST00000225719	CPD
ENST00000225724	GOSR1
ENST00000225726	CCDC47
ENST00000225728	MED31
ENST00000225729	DRG2
ENST00000225737	AKAP10
ENST00000225777	SYNGR2
ENST00000225792	DDX5
ENST00000225823	ASIC2
ENST00000225831	CCL2
ENST00000225873	PEX12
ENST00000225916	KAT2A
ENST00000225927	NAGLU
ENST00000225941	ABI3
ENST00000225964	COL1A1
ENST00000225969	MRPL27
ENST00000225972	LRRC59
ENST00000225983	HDAC5
ENST00000226004	DUSP3
ENST00000226067	HLF
ENST00000226105	RANGRF
ENST00000226218	VTN
ENST00000226225	TNFAIP1
ENST00000226230	TMEM97
ENST00000226253	ALDOC
ENST00000226279	CD38
ENST00000226284	IBSP
ENST00000226299	LAP3
ENST00000226319	JADE1
ENST00000226328	RUFY3
ENST00000226522	LAMTOR3
ENST00000226574	NFKB1
ENST00000226725	KLHL2
ENST00000226760	WFS1
ENST00000226796	GAR1
ENST00000226798	FRG1
ENST00000227065	FAM149A
ENST00000227135	SPA17
ENST00000227155	CD82
ENST00000227214	PLEKHB1
ENST00000227266	CTSC
ENST00000227322	ZPR1
ENST00000227349	JHY
ENST00000227378	HSPA8
ENST00000227451	DTX4
ENST00000227471	UNC93B1
ENST00000227474	PUS3
ENST00000227495	ST3GAL4
ENST00000227503	SF1
ENST00000227507	CCND1
ENST00000227520	CCDC86
ENST00000227524	PRPF19
ENST00000227525	TMEM109
ENST00000227618	ANAPC15
ENST00000227638	PANX1
ENST00000227752	IL10RA
ENST00000227756	GALNT18
ENST00000227758	BIRC2
ENST00000227868	PDHX
ENST00000228027	DGAT2
ENST00000228136	C11orf58
ENST00000228251	YBX3
ENST00000228284	SART3
ENST00000228289	ZNF268
ENST00000228306	RPLP0
ENST00000228307	PXN
ENST00000228347	POLR3B
ENST00000228425	PPFIBP1
ENST00000228434	CD69
ENST00000228437	PRDM4
ENST00000228438	CLEC2B
ENST00000228468	ASIC1
ENST00000228495	KCTD10
ENST00000228506	MLEC
ENST00000228510	MVK
ENST00000228515	CSRNP2
ENST00000228567	SYT10
ENST00000228682	GLI1
ENST00000228705	PPM1H
ENST00000228740	LTA4H
ENST00000228741	ELK3
ENST00000228799	ITFG2
ENST00000228820	PARP11
ENST00000228825	ARPC3
ENST00000228827	GPN3
ENST00000228862	DUSP16
ENST00000228865	CREBL2
ENST00000228872	CDKN1B
ENST00000228918	LTBR
ENST00000228922	OGFOD2
ENST00000228928	OAS3
ENST00000228945	ARHGDIB
ENST00000228955	GTF2H3
ENST00000229003	ENDOU
ENST00000229179	NUP107
ENST00000229201	TIMELESS
ENST00000229214	KRR1
ENST00000229238	MRPL51
ENST00000229239	GAPDH
ENST00000229243	ACRBP
ENST00000229251	COPS7A
ENST00000229264	GNB3
ENST00000229266	CHPT1
ENST00000229268	USP5
ENST00000229277	ENO2
ENST00000229281	C12orf57
ENST00000229314	GOLT1B
ENST00000229328	PRKAB1
ENST00000229329	CMAS
ENST00000229330	HCFC2
ENST00000229340	RAB35
ENST00000229379	COX6A1
ENST00000229390	SRSF9
ENST00000229395	FGFR1OP2
ENST00000229405	ZNF76
ENST00000229554	RSPH4A
ENST00000229563	TMEM14C
ENST00000229570	SMIM8
ENST00000229595	ASF1A
ENST00000229633	HINT3
ENST00000229634	NCOA7
ENST00000229769	FANCE
ENST00000229794	MAPK14
ENST00000229795	MAPK14
ENST00000229812	STK38
ENST00000229829	HLA-DOA
ENST00000229866	RNF8
ENST00000229903	SAYSD1
ENST00000229922	CAP2
ENST00000229955	GPR63
ENST00000229971	FBXL4
ENST00000230036	GPLD1
ENST00000230048	ACOT13
ENST00000230050	RPS12
ENST00000230053	B3GAT2
ENST00000230056	GMNN
ENST00000230085	SNX3
ENST00000230122	ZBTB24
ENST00000230124	FIG4
ENST00000230301	C6orf118
ENST00000230321	MDFI
ENST00000230340	BYSL
ENST00000230354	TBP
ENST00000230361	GUCA1B
ENST00000230381	PRPH2
ENST00000230419	PTK7
ENST00000230431	DNPH1
ENST00000230449	EXOC2
ENST00000230461	TMEM30A
ENST00000230538	LAMA4
ENST00000230565	ENPP5
ENST00000230568	LY86
ENST00000230640	MTREX
ENST00000230671	SLC6A7
ENST00000230771	HARS2
ENST00000230792	NUDT12
ENST00000230859	TENT4A
ENST00000230882	GHR
ENST00000230895	DAP
ENST00000230901	BRD8
ENST00000230914	MRPS30
ENST00000230990	HBEGF
ENST00000231004	LOX
ENST00000231021	CDH9
ENST00000231061	SPARC
ENST00000231130	PCDHB3
ENST00000231134	PCDHB5
ENST00000231136	PCDHB6
ENST00000231137	PCDHB7
ENST00000231173	PCDHB15
ENST00000231198	THG1L
ENST00000231238	TTC1
ENST00000231338	C1QTNF3
ENST00000231368	LNPEP
ENST00000231461	ST8SIA4
ENST00000231484	PCDH12
ENST00000231498	NUP155
ENST00000231509	NR3C1
ENST00000231512	C5orf15
ENST00000231524	TRIM23
ENST00000231526	TRAPPC13
ENST00000231572	RARS1
ENST00000231668	BNIP1
ENST00000231706	SLC7A14
ENST00000231749	ZMYND10
ENST00000231751	LTF
ENST00000231790	MLH1
ENST00000231887	EHHADH
ENST00000231948	CRBN
ENST00000232014	BCL6
ENST00000232219	RBP1
ENST00000232375	PFKFB4
ENST00000232424	HES1
ENST00000232458	ECT2
ENST00000232496	TUSC2
ENST00000232501	NPRL2
ENST00000232508	CYB561D2
ENST00000232564	GNB4
ENST00000232607	UMPS
ENST00000232744	ABTB1
ENST00000232766	KLHL18
ENST00000232854	HEMK1
ENST00000232888	RRP9
ENST00000232905	EIF1B
ENST00000232974	ZBTB47
ENST00000232978	NKTR
ENST00000233025	SPCS1
ENST00000233027	NEK4
ENST00000233047	LDAF1
ENST00000233055	WDFY1
ENST00000233057	EIF2AK2
ENST00000233072	CPS1
ENST00000233099	HEATR5B
ENST00000233121	MAPRE3
ENST00000233143	TMSB10
ENST00000233146	MSH2
ENST00000233154	NCK2
ENST00000233156	TFPI
ENST00000233190	NDUFS1
ENST00000233202	SLC11A1
ENST00000233242	APOB
ENST00000233330	RTKN
ENST00000233336	TTL
ENST00000233379	FAHD2A
ENST00000233468	SF3B6
ENST00000233535	SLC30A3
ENST00000233557	NRBP1
ENST00000233573	ITGA4
ENST00000233575	SNX17
ENST00000233596	REEP6
ENST00000233609	RPS15
ENST00000233612	GCA
ENST00000233615	WBP1
ENST00000233623	TTC31
ENST00000233627	NDUFS7
ENST00000233630	PCGF1
ENST00000233638	TLX2
ENST00000233668	DOK1
ENST00000233710	ACADL
ENST00000233714	LANCL1
ENST00000233741	FANCL
ENST00000233809	IGFBP2
ENST00000233813	IGFBP5
ENST00000233826	KCNJ13
ENST00000233838	GGCX
ENST00000233893	HSPE1
ENST00000233969	SLC9A2
ENST00000234038	PPP1R7
ENST00000234040	PASK
ENST00000234071	PROC
ENST00000234091	ID2
ENST00000234111	ODC1
ENST00000234115	PLEKHB2
ENST00000234142	GREB1
ENST00000234160	GORASP2
ENST00000234170	CEBPZ
ENST00000234179	PRKD3
ENST00000234198	DLX2
ENST00000234256	SLC1A4
ENST00000234296	ORC2
ENST00000234310	PPP3R1
ENST00000234313	PLEK
ENST00000234392	VAX2
ENST00000234420	MSH6
ENST00000234453	PLEKHA3
ENST00000234454	SPR
ENST00000234590	ENO1
ENST00000234626	CDC7
ENST00000234668	SYDE2
ENST00000234677	SARS1
ENST00000234739	BCL9
