gene_name	canonical_iso_idx	canonical_iso_id	canonical_source
ABCD3	269	ABCD3-202	MANE
ABCD4	276	ABCD4-201	MANE
ABCE1	279	ABCE1-201	MANE
ABCF1	283	ABCF1-201	MANE
ABCF2	285	ABCF2-201	MANE
ABCF3	288	ABCF3-203	MANE
ABCG1	293	ABCG1-205	MANE
ABCG2	297	ABCG2-201	MANE
ABCG4	299	ABCG4-205	MANE
ABCG8	301	ABCG8-201	MANE
ABHD1	303	ABHD1-208	longest_CDS
ABHD10	305	ABHD10-201	MANE
ABHD11	309	ABHD11-201	MANE
ABHD12	311	ABHD12-201	MANE
ABHD12B	312	ABHD12B-201	MANE
ABHD13	314	ABHD13-201	MANE
ABHD14A	315	ABHD14A-201	MANE
ABHD14B	319	ABHD14B-202	MANE
ABHD15	322	ABHD15-201	MANE
ABHD16A	324	ABHD16A-201	MANE
ABHD17A	325	ABHD17A-202	MANE
ABHD17B	327	ABHD17B-201	MANE
ABHD17C	328	ABHD17C-201	MANE
ABHD18	331	ABHD18-206	MANE
ABHD2	333	ABHD2-201	MANE
ABHD3	336	ABHD3-201	MANE
ABHD4	338	ABHD4-203	MANE
ABHD5	342	ABHD5-213	MANE
ABHD6	347	ABHD6-205	MANE
ABHD8	348	ABHD8-201	MANE
ABI1	351	ABI1-206	MANE
ABI2	365	ABI2-203	MANE
ABI3	366	ABI3-201	MANE
ABI3BP	368	ABI3BP-201	longest_CDS
ABITRAM	371	ABITRAM-201	MANE
ABL1	372	ABL1-201	MANE
ABL2	378	ABL2-203	MANE
ABLIM1	379	ABLIM1-213	longest_CDS
ABLIM2	383	ABLIM2-216	longest_CDS
ABLIM3	388	ABLIM3-201	MANE
ABR	399	ABR-202	MANE
ABRA	403	ABRA-201	MANE
ABRACL	404	ABRACL-201	MANE
ABRAXAS1	407	ABRAXAS1-201	MANE
ABRAXAS2	409	ABRAXAS2-201	MANE
ABT1	410	ABT1-201	MANE
ABTB1	415	ABTB1-201	MANE
ABTB2	416	ABTB2-201	MANE
ABTB3	418	ABTB3-201	MANE
ACAA1	422	ACAA1-202	MANE
ACAA2	428	ACAA2-201	MANE
ACACA	434	ACACA-237	MANE
ACACB	438	ACACB-207	longest_CDS
ACAD10	441	ACAD10-201	MANE
ACAD11	444	ACAD11-201	MANE
ACAD8	453	ACAD8-201	MANE
ACAD9	457	ACAD9-201	MANE
ACADL	467	ACADL-201	MANE
ACADM	473	ACADM-202	MANE
ACADS	489	ACADS-201	MANE
ACADSB	490	ACADSB-201	MANE
ACADVL	492	ACADVL-203	MANE
ACAN	507	ACAN-208	longest_CDS
ACAP1	510	ACAP1-201	MANE
ACAP2	515	ACAP2-201	MANE
ACAP3	518	ACAP3-202	MANE
ACAT1	524	ACAT1-201	MANE
ACAT2	526	ACAT2-201	MANE
ACBD3	527	ACBD3-201	MANE
ACBD4	529	ACBD4-201	MANE
ACBD5	548	ACBD5-205	MANE
ACBD6	551	ACBD6-201	MANE
ACBD7	552	ACBD7-201	MANE
ACCS	555	ACCS-201	MANE
ACD	564	ACD-212	MANE
ACE	567	ACE-202	MANE
ACER2	569	ACER2-201	MANE
ACER3	578	ACER3-212	MANE
ACHE	589	ACHE-201	MANE
ACIN1	592	ACIN1-201	longest_CDS
ACKR1	596	ACKR1-202	MANE
ACKR3	599	ACKR3-201	MANE
ACLY	601	ACLY-201	MANE
ACO1	606	ACO1-201	MANE
ACO2	613	ACO2-201	MANE
ACOT1	625	ACOT1-201	MANE
ACOT11	627	ACOT11-201	MANE
ACOT13	630	ACOT13-201	MANE
ACOT2	632	ACOT2-201	MANE
ACOT4	634	ACOT4-201	MANE
ACOT7	640	ACOT7-201	MANE
ACOT8	645	ACOT8-201	MANE
ACOT9	650	ACOT9-204	MANE
ACOX1	654	ACOX1-201	MANE
ACOX2	656	ACOX2-201	MANE
ACOX3	660	ACOX3-201	MANE
ACP1	662	ACP1-201	MANE
ACP2	666	ACP2-201	longest_CDS
ACP3	667	ACP3-202	APPRIS
ACP6	669	ACP6-205	MANE
ACP7	673	ACP7-201	MANE
ACRBP	674	ACRBP-201	MANE
ACSBG1	675	ACSBG1-201	MANE
ACSF2	677	ACSF2-201	MANE
ACSF3	684	ACSF3-218	MANE
ACSL1	691	ACSL1-201	MANE
ACSL3	703	ACSL3-201	MANE
ACSL4	719	ACSL4-213	MANE
ACSL5	730	ACSL5-203	longest_CDS
ACSL6	738	ACSL6-231	MANE
ACSL6-AS1	744	ACSL6-AS1-201	Ensembl
ACSM5	746	ACSM5-201	MANE
ACSS1	750	ACSS1-201	MANE
ACSS2	753	ACSS2-202	MANE
ACSS3	754	ACSS3-203	MANE
ACTA1	757	ACTA1-202	MANE
ACTA2	763	ACTA2-201	MANE
ACTB	773	ACTB-217	MANE
ACTC1	776	ACTC1-201	MANE
ACTG1	781	ACTG1-205	MANE
ACTL10	795	ACTL10-201	MANE
ACTL6A	796	ACTL6A-202	MANE
ACTL6B	800	ACTL6B-201	MANE
ACTMAP	801	ACTMAP-201	MANE
ACTN1	805	ACTN1-203	MANE
ACTN2	825	ACTN2-201	MANE
ACTN4	836	ACTN4-201	MANE
ACTR10	837	ACTR10-201	MANE
ACTR1A	840	ACTR1A-201	MANE
ACTR1B	845	ACTR1B-201	MANE
ACTR2	847	ACTR2-201	MANE
ACTR3	851	ACTR3-201	MANE
ACTR3-AS1			no_CDS
ACTR3B	853	ACTR3B-201	MANE
ACTR3C	856	ACTR3C-206	MANE
ACTR5	858	ACTR5-201	MANE
ACTR6	863	ACTR6-201	MANE
ACTR8	867	ACTR8-201	MANE
ACTRT3	869	ACTRT3-201	MANE
ACVR1	874	ACVR1-207	MANE
ACVR1B	877	ACVR1B-201	MANE
ACVR1C	878	ACVR1C-201	MANE
ACVR2A	879	ACVR2A-201	MANE
ACVR2B	884	ACVR2B-201	MANE
ACVR2B-AS1	885	ACVR2B-AS1-201	Ensembl
ACY1	886	ACY1-215	MANE
ACYP1	890	ACYP1-201	MANE
ACYP2	903	ACYP2-209	MANE
ADA	910	ADA-201	MANE
ADA2	913	transcript1290.chr22.nic	longest_CDS
ADAL	917	ADAL-204	MANE
ADAM10	919	ADAM10-201	MANE
ADAM11	925	ADAM11-201	MANE
ADAM12	926	ADAM12-203	MANE
ADAM15	933	ADAM15-203	MANE
ADAM17	940	ADAM17-201	MANE
ADAM19	953	ADAM19-201	MANE
ADAM21	957	ADAM21-202	APPRIS
ADAM22	961	ADAM22-207	MANE
ADAM23	968	ADAM23-201	MANE
ADAM28	970	ADAM28-201	MANE
ADAM32	971	ADAM32-205	longest_CDS
ADAM33	974	ADAM33-202	MANE
ADAM8	978	ADAM8-202	MANE
ADAM9	998	ADAM9-209	MANE
ADAMTS1	1000	ADAMTS1-201	MANE
ADAMTS10	1010	ADAMTS10-211	MANE
ADAMTS13	1014	ADAMTS13-206	longest_CDS
ADAMTS14	1017	ADAMTS14-201	MANE
ADAMTS15	1018	transcript200334.chr11.nic	longest_CDS
ADAMTS16	1020	ADAMTS16-201	MANE
ADAMTS16-DT	1025	ADAMTS16-DT-201	Ensembl
ADAMTS17	1028	ADAMTS17-201	MANE
ADAMTS18	1031	ADAMTS18-201	MANE
ADAMTS19	1032	ADAMTS19-201	MANE
ADAMTS19-AS1	1033	ADAMTS19-AS1-202	Ensembl
ADAMTS2	1034	ADAMTS2-201	MANE
ADAMTS20	1038	ADAMTS20-201	MANE
ADAMTS3	1039	ADAMTS3-201	MANE
ADAMTS4	1041	ADAMTS4-202	MANE
ADAMTS5	1042	ADAMTS5-201	MANE
ADAMTS6	1045	ADAMTS6-203	MANE
ADAMTS7	1046	ADAMTS7-201	MANE
ADAMTS8	1047	ADAMTS8-201	MANE
ADAMTS9	1050	ADAMTS9-210	MANE
ADAMTS9-AS2	1054	ADAMTS9-AS2-201	longest_CDS
ADAMTSL1	1057	transcript25319.chr9.nic	longest_CDS
ADAMTSL3	1060	ADAMTSL3-201	MANE
ADAMTSL4			no_CDS
ADAMTSL4-AS1	1064	ADAMTSL4-AS1-201	Ensembl
ADAMTSL5	1065	ADAMTSL5-201	MANE
ADAP1	1068	ADAP1-201	MANE
ADAP2	1071	ADAP2-201	MANE
ADAR	1076	ADAR-212	longest_CDS
ADARB1	1094	ADARB1-203	longest_CDS
ADARB2	1098	ADARB2-203	MANE
ADAT1	1103	ADAT1-203	MANE
ADAT2	1105	ADAT2-201	MANE
ADAT3	1108	ADAT3-201	MANE
ADCK1	1109	ADCK1-201	MANE
ADCK2	1113	ADCK2-201	MANE
ADCK5	1114	ADCK5-201	MANE
ADCY1	1117	ADCY1-201	MANE
ADCY10P1	1118	ADCY10P1-203	Ensembl
ADCY2	1120	ADCY2-201	MANE
ADCY3	1124	ADCY3-213	MANE
ADCY4	1127	transcript4647.chr14.nic	longest_CDS
ADCY5	1129	ADCY5-202	MANE
ADCY6	1135	ADCY6-201	longest_CDS
ADCY7	1136	ADCY7-215	MANE
ADCY8	1139	ADCY8-201	MANE
ADCY9	1140	ADCY9-201	MANE
ADCYAP1	1143	ADCYAP1-202	MANE
ADCYAP1R1	1145	ADCYAP1R1-201	MANE
ADD1	1148	ADD1-229	MANE
ADD2	1167	ADD2-201	MANE
ADD3	1171	ADD3-202	MANE
ADD3-AS1			no_CDS
ADGRA1	1174	ADGRA1-202	MANE
ADGRA1-AS1	1176	ADGRA1-AS1-203	Ensembl
ADGRA2	1179	ADGRA2-202	MANE
ADGRA3	1181	ADGRA3-202	MANE
ADGRB1	1183	ADGRB1-205	longest_CDS
ADGRB2	1184	ADGRB2-202	MANE
ADGRB3	1195	ADGRB3-202	MANE
ADGRB3-DT	1199	ADGRB3-DT-209	Ensembl
ADGRD1	1204	transcript194351.chr12.nnic	longest_CDS
ADGRE2	1207	ADGRE2-201	MANE
ADGRE5	1211	ADGRE5-201	MANE
ADGRF5	1212	ADGRF5-202	MANE
ADGRG1	1221	ADGRG1-216	MANE
ADGRG6	1224	ADGRG6-203	APPRIS
ADGRL1	1226	ADGRL1-202	MANE
ADGRL1-AS1	1227	transcript32620.chr19.nnic	longest_CDS
ADGRL2	1245	ADGRL2-242	MANE
ADGRL3	1251	ADGRL3-219	MANE
ADGRL4	1257	ADGRL4-201	MANE
ADGRV1	1271	ADGRV1-201	MANE
ADH1B	1278	ADH1B-201	MANE
ADH5	1279	ADH5-201	MANE
ADHFE1	1282	ADHFE1-203	MANE
ADI1	1286	ADI1-201	MANE
ADIPOR1	1289	ADIPOR1-201	MANE
ADIPOR2	1291	ADIPOR2-201	MANE
ADIRF	1292	ADIRF-201	MANE
ADIRF-AS1			no_CDS
ADISSP	1294	ADISSP-202	MANE
ADK	1299	ADK-205	MANE
ADM	1301	ADM-201	MANE
ADM5	1305	ADM5-201	MANE
ADNP	1308	ADNP-202	APPRIS
ADNP-AS1			no_CDS
ADNP2	1313	ADNP2-201	MANE
ADORA1	1314	ADORA1-202	MANE
ADORA2A	1317	ADORA2A-214	APPRIS
ADORA2B	1318	ADORA2B-201	MANE
ADORA3	1321	ADORA3-201	MANE
ADPGK	1322	ADPGK-202	MANE
ADPRH	1331	ADPRH-201	MANE
ADPRHL1	1332	ADPRHL1-202	APPRIS
ADPRM	1333	ADPRM-201	MANE
ADPRS	1336	ADPRS-201	MANE
ADRA1A	1339	ADRA1A-204	MANE
ADRA2A	1341	ADRA2A-201	MANE
ADRA2B	1342	ADRA2B-201	MANE
ADRA2C	1343	ADRA2C-201	MANE
ADRB1	1344	ADRB1-201	MANE
ADRB2	1345	ADRB2-201	MANE
ADRB3	1346	ADRB3-201	MANE
ADRM1	1349	ADRM1-201	MANE
ADSL	1360	ADSL-208	MANE
ADSS1	1365	ADSS1-213	APPRIS
ADSS2	1367	ADSS2-201	MANE
AEBP1	1369	AEBP1-201	MANE
AEBP2	1371	AEBP2-201	MANE
AEN	1374	AEN-201	MANE
AFAP1	1377	AFAP1-204	MANE
AFAP1-AS1	1380	AFAP1-AS1-201	Ensembl
AFAP1L1	1381	AFAP1L1-201	MANE
AFAP1L2	1386	AFAP1L2-201	MANE
AFDN	1397	AFDN-223	MANE
AFDN-DT	1401	AFDN-DT-204	Ensembl
AFF1	1406	AFF1-202	MANE
AFF2	1411	AFF2-205	MANE
AFF3	1415	AFF3-203	longest_CDS
AFF4	1422	AFF4-201	MANE
AFG1L	1423	AFG1L-201	MANE
AFG3L2	1427	AFG3L2-201	MANE
AFMID	1432	transcript131576.chr17.nic	longest_CDS
AFTPH	1435	AFTPH-203	MANE
AFTPH-DT	1443	AFTPH-DT-201	Ensembl
AGA	1444	AGA-201	MANE
AGAP1	1445	AGAP1-201	MANE
AGAP12P	1451	AGAP12P-204	Ensembl
AGAP2	1452	AGAP2-203	MANE
AGAP2-AS1	1454	AGAP2-AS1-201	Ensembl
AGAP3	1456	transcript231322.chr7.nnic	longest_CDS
AGAP4	1463	AGAP4-205	MANE
AGAP5	1464	AGAP5-201	MANE
AGAP6	1470	AGAP6-203	MANE
AGAP9	1471	AGAP9-201	MANE
AGBL1	1472	transcript130614.chr15.nnic	longest_CDS
AGBL2	1473	transcript56043.chr11.nic	longest_CDS
AGBL3	1474	AGBL3-206	longest_CDS
AGBL4	1478	AGBL4-203	MANE
AGBL5	1488	AGBL5-202	MANE
AGER	1492	AGER-211	longest_CDS
AGFG1	1494	AGFG1-201	MANE
AGFG2	1496	AGFG2-201	MANE
AGGF1	1497	AGGF1-201	MANE
AGK	1500	AGK-218	MANE
AGL	1504	AGL-203	MANE
AGMAT	1505	AGMAT-201	MANE
AGMO	1506	AGMO-201	MANE
AGO1	1513	AGO1-203	longest_CDS
AGO2	1514	AGO2-201	MANE
AGO3	1518	AGO3-203	MANE
AGO4	1522	AGO4-201	MANE
AGPAT1	1523	AGPAT1-203	MANE
AGPAT2	1527	AGPAT2-202	MANE
AGPAT3	1528	AGPAT3-201	MANE
AGPAT4	1533	AGPAT4-201	MANE
AGPAT5	1537	AGPAT5-201	MANE
AGPS	1541	AGPS-201	MANE
AGRN	1545	AGRN-201	MANE
AGT	1553	AGT-201	MANE
AGTPBP1	1555	AGTPBP1-202	MANE
AGTRAP	1559	AGTRAP-201	MANE
AHCTF1	1563	AHCTF1-207	MANE
AHCY	1565	AHCY-201	MANE
AHCYL1	1567	AHCYL1-202	MANE
AHCYL2	1569	AHCYL2-201	MANE
AHDC1			no_CDS
AHI1	1608	AHI1-201	MANE
AHI1-DT	1612	transcript187366.chr6.nic	longest_CDS
AHNAK	1615	AHNAK-202	MANE
AHNAK2	1617	AHNAK2-201	MANE
AHR	1620	AHR-201	MANE
AHSA1	1621	AHSA1-201	MANE
AIDA	1626	AIDA-201	MANE
AIF1	1628	AIF1-203	MANE
AIF1L	1631	AIF1L-201	MANE
AIFM1	1637	AIFM1-201	MANE
AIFM2	1641	AIFM2-201	MANE
AIFM3	1647	AIFM3-202	longest_CDS
AIG1	1652	AIG1-202	MANE
AIM2	1653	AIM2-202	MANE
AIMP1	1659	AIMP1-211	MANE
AIMP2	1666	AIMP2-201	MANE
AIP	1669	AIP-201	MANE
AIRN	1670	AIRN-201	Ensembl
AJAP1	1672	AJAP1-202	MANE
AJUBA	1673	AJUBA-201	MANE
AK1	1674	AK1-206	MANE
AK2	1675	AK2-214	MANE
AK3	1686	AK3-202	MANE
AK4	1689	AK4-201	MANE
AK5	1692	AK5-203	MANE
AK6	1696	AK6-202	MANE
AK7	1698	AK7-201	MANE
AK8	1700	AK8-201	MANE
AK9	1703	AK9-204	MANE
AKAIN1	1706	AKAIN1-201	MANE
AKAP1	1709	AKAP1-202	MANE
AKAP1-DT	1710	AKAP1-DT-201	longest_CDS
AKAP10	1712	AKAP10-201	MANE
AKAP11	1713	AKAP11-201	MANE
AKAP12	1715	AKAP12-204	MANE
AKAP13	1722	AKAP13-203	MANE
AKAP17A	1727	AKAP17A-201	MANE
AKAP5	1731	AKAP5-202	MANE
AKAP6	1733	AKAP6-201	MANE
AKAP7	1741	AKAP7-210	longest_CDS
AKAP8	1742	AKAP8-201	MANE
AKAP8L	1763	AKAP8L-201	MANE
AKAP9	1771	AKAP9-202	longest_CDS
AKIP1	1790	AKIP1-203	MANE
AKIRIN1	1794	AKIRIN1-202	MANE
AKIRIN2	1796	AKIRIN2-201	MANE
AKNA	1799	AKNA-202	longest_CDS
AKR1A1	1801	AKR1A1-201	MANE
AKR1B1	1806	AKR1B1-201	MANE
AKR1C1	1808	AKR1C1-202	MANE
AKR1C2	1812	AKR1C2-201	MANE
AKR1C3	1814	AKR1C3-201	MANE
AKR1E2	1820	transcript16024.chr10.nnic	longest_CDS
AKR7A2	1821	AKR7A2-201	MANE
AKR7L	1822	AKR7L-202	longest_CDS
AKT1	1828	AKT1-218	MANE
AKT1S1	1832	AKT1S1-207	longest_CDS
AKT2	1834	AKT2-206	MANE
AKT3	1844	AKT3-217	MANE
AKTIP	1846	AKTIP-202	MANE
ALAD	1851	ALAD-201	MANE
ALAS1	1855	ALAS1-205	MANE
ALCAM	1856	ALCAM-201	MANE
ALDH16A1	1861	ALDH16A1-201	MANE
ALDH18A1	1863	ALDH18A1-202	MANE
ALDH1A1	1867	ALDH1A1-201	MANE
ALDH1A2	1869	ALDH1A2-221	longest_CDS
ALDH1A3	1870	ALDH1A3-201	MANE
ALDH1A3-AS1	1873	ALDH1A3-AS1-204	Ensembl
ALDH1B1	1875	ALDH1B1-201	MANE
ALDH1L1	1879	ALDH1L1-203	MANE
ALDH1L2	1887	ALDH1L2-201	MANE
ALDH2	1888	ALDH2-201	MANE
ALDH3A1	1891	ALDH3A1-206	longest_CDS
ALDH3A2	1893	ALDH3A2-201	MANE
ALDH3B1	1910	ALDH3B1-201	MANE
ALDH4A1	1913	ALDH4A1-202	MANE
ALDH5A1	1917	ALDH5A1-202	MANE
ALDH6A1	1919	ALDH6A1-202	MANE
ALDH7A1	1922	ALDH7A1-201	MANE
ALDH8A1	1929	ALDH8A1-201	MANE
ALDH9A1	1931	ALDH9A1-201	MANE
ALDOA	1936	ALDOA-201	longest_CDS
ALDOC	1940	ALDOC-201	MANE
ALG1	1945	ALG1-201	MANE
ALG10	1955	ALG10-201	MANE
ALG10B	1956	ALG10B-201	MANE
ALG11	1962	ALG11-202	MANE
ALG12	1969	ALG12-201	MANE
ALG13	1973	ALG13-202	MANE
ALG14	1976	ALG14-201	MANE
ALG1L9P			no_CDS
ALG2	1979	ALG2-203	MANE
ALG3	1981	ALG3-201	MANE
ALG5	1985	ALG5-201	MANE
ALG6	1991	ALG6-201	MANE
ALG8	1998	ALG8-201	MANE
ALG9	2004	ALG9-215	MANE
ALK	2008	ALK-201	MANE
ALKAL2	2009	ALKAL2-204	MANE
ALKBH1	2010	ALKBH1-201	MANE
ALKBH2	2012	ALKBH2-202	MANE
ALKBH3	2018	ALKBH3-201	MANE
ALKBH4	2020	ALKBH4-201	MANE
ALKBH5	2021	ALKBH5-201	MANE
ALKBH6	2027	ALKBH6-202	MANE
ALKBH7	2028	ALKBH7-201	MANE
ALKBH8	2031	ALKBH8-205	MANE
ALMS1	2039	ALMS1-205	MANE
ALMS1P1	2048	ALMS1P1-203	Ensembl
ALOX12-AS1	2051	transcript15279.chr17.nnic	longest_CDS
ALOX12B	2057	ALOX12B-204	MANE
ALOX12P2	2060	ALOX12P2-213	longest_CDS
ALOX15B	2064	ALOX15B-202	MANE
ALOX5	2066	ALOX5-201	MANE
ALOX5AP	2068	ALOX5AP-201	MANE
ALPK1	2069	ALPK1-219	MANE
ALPK2	2076	ALPK2-201	MANE
ALPK3	2077	ALPK3-201	MANE
ALPL	2078	ALPL-204	MANE
ALS2	2080	ALS2-201	MANE
ALS2CL	2110	ALS2CL-201	MANE
ALX3	2112	ALX3-201	MANE
ALYREF	2113	ALYREF-202	MANE
AMACR	2114	AMACR-201	MANE
AMBRA1	2116	AMBRA1-213	MANE
AMD1	2120	AMD1-204	MANE
AMDHD2	2131	AMDHD2-201	MANE
AMER1	2135	AMER1-201	MANE
AMER2	2141	AMER2-202	MANE
AMER3	2143	AMER3-201	MANE
AMFR	2145	AMFR-201	MANE
AMH	2146	AMH-201	MANE
AMIGO1	2148	AMIGO1-202	MANE
AMIGO2	2152	AMIGO2-203	MANE
AMIGO3	2153	AMIGO3-201	MANE
AMMECR1	2157	AMMECR1-201	MANE
AMMECR1L	2160	AMMECR1L-201	MANE
AMN1	2161	AMN1-201	MANE
AMOT	2163	AMOT-203	MANE
AMOTL1	2171	AMOTL1-203	MANE
AMOTL2	2174	AMOTL2-201	MANE
AMPD2	2180	AMPD2-201	longest_CDS
AMPD3	2204	AMPD3-202	MANE
AMPH	2207	AMPH-202	MANE
AMT	2209	AMT-201	MANE
AMY2A	2227	AMY2A-201	MANE
AMY2B	2231	AMY2B-208	MANE
AMZ1	2234	AMZ1-207	MANE
AMZ2	2240	AMZ2-202	MANE
AMZ2P1	2249	AMZ2P1-203	Ensembl
ANAPC1	2258	ANAPC1-201	MANE
ANAPC10	2264	ANAPC10-209	MANE
ANAPC11	2270	ANAPC11-201	MANE
ANAPC13	2275	ANAPC13-201	MANE
ANAPC15	2277	ANAPC15-201	MANE
ANAPC16	2282	ANAPC16-201	MANE
ANAPC2	2285	ANAPC2-201	MANE
ANAPC4	2287	ANAPC4-201	MANE
ANAPC5	2293	ANAPC5-201	MANE
ANAPC7	2303	ANAPC7-203	MANE
ANG	2305	ANG-201	APPRIS
ANGEL1	2306	ANGEL1-201	MANE
ANGEL2	2309	ANGEL2-202	MANE
ANGPT1	2320	ANGPT1-202	MANE
ANGPT2	2324	ANGPT2-204	MANE
ANGPTL1	2326	ANGPTL1-201	MANE
ANGPTL2	2327	ANGPTL2-202	MANE
ANGPTL4	2328	ANGPTL4-201	MANE
ANGPTL5	2330	ANGPTL5-201	MANE
ANGPTL7	2331	ANGPTL7-201	MANE
ANK1	2333	ANK1-202	MANE
ANK2	2364	ANK2-202	MANE
ANK2-AS1			no_CDS
ANK3	2405	ANK3-201	MANE
ANKAR	2415	ANKAR-203	longest_CDS
ANKDD1A	2417	ANKDD1A-201	MANE
ANKEF1	2421	ANKEF1-202	MANE
ANKFN1	2425	ANKFN1-211	MANE
ANKFY1	2427	ANKFY1-201	MANE
ANKH	2437	ANKH-201	MANE
ANKHD1	2447	ANKHD1-203	MANE
ANKHD1-DT			no_CDS
ANKIB1	2454	ANKIB1-201	MANE
ANKK1	2455	ANKK1-201	MANE
ANKLE1	2456	ANKLE1-210	longest_CDS
ANKLE2	2460	ANKLE2-201	MANE
ANKMY1	2465	transcript408895.chr2.nnic	longest_CDS
ANKMY2	2470	ANKMY2-201	MANE
ANKRA2	2474	ANKRA2-201	MANE
ANKRD10	2477	ANKRD10-201	MANE
ANKRD10-IT1			no_CDS
ANKRD11	2489	ANKRD11-201	MANE
ANKRD12	2494	ANKRD12-201	MANE
ANKRD13A	2498	ANKRD13A-201	MANE
ANKRD13B	2501	ANKRD13B-201	MANE
ANKRD13C	2502	ANKRD13C-202	MANE
ANKRD13D	2509	ANKRD13D-211	MANE
ANKRD16	2510	ANKRD16-203	MANE
ANKRD17	2517	ANKRD17-202	MANE
ANKRD17-DT			no_CDS
ANKRD18A	2525	ANKRD18A-201	MANE
ANKRD18B	2527	ANKRD18B-206	MANE
ANKRD18DP	2530	ANKRD18DP-206	longest_CDS
ANKRD20A1	2532	ANKRD20A1-201	MANE
ANKRD20A11P			no_CDS
ANKRD20A5P	2538	ANKRD20A5P-202	Ensembl
ANKRD22	2540	ANKRD22-201	MANE
ANKRD23	2542	ANKRD23-201	MANE
ANKRD24	2545	ANKRD24-201	longest_CDS
ANKRD26	2553	ANKRD26-201	MANE
ANKRD27	2558	ANKRD27-201	MANE
ANKRD28	2560	ANKRD28-216	MANE
ANKRD29	2567	ANKRD29-208	MANE
ANKRD30A	2571	ANKRD30A-202	longest_CDS
ANKRD30B	2572	ANKRD30B-206	MANE
ANKRD30BL			no_CDS
ANKRD31	2576	ANKRD31-203	MANE
ANKRD33B	2580	ANKRD33B-201	MANE
ANKRD34A	2581	ANKRD34A-201	MANE
ANKRD34B	2582	ANKRD34B-201	MANE
ANKRD34C	2584	ANKRD34C-201	MANE
ANKRD34C-AS1	2590	transcript118407.chr15.nnic	longest_CDS
ANKRD35	2593	ANKRD35-201	MANE
ANKRD36	2596	ANKRD36-201	MANE
ANKRD36B	2601	ANKRD36B-202	MANE
ANKRD36BP2	2608	ANKRD36BP2-207	longest_CDS
ANKRD36C	2611	ANKRD36C-201	MANE
ANKRD37	2618	ANKRD37-201	MANE
ANKRD39	2620	ANKRD39-201	MANE
ANKRD40	2622	ANKRD40-201	MANE
ANKRD42	2626	ANKRD42-209	MANE
ANKRD42-DT			no_CDS
ANKRD44	2634	ANKRD44-201	MANE
ANKRD45	2640	ANKRD45-201	MANE
ANKRD46	2642	ANKRD46-201	MANE
ANKRD49	2651	ANKRD49-210	MANE
ANKRD50	2653	ANKRD50-201	MANE
ANKRD52	2657	ANKRD52-201	MANE
ANKRD53	2659	ANKRD53-201	longest_CDS
ANKRD54	2661	ANKRD54-201	MANE
ANKRD55	2663	ANKRD55-201	MANE
ANKRD6	2667	ANKRD6-201	MANE
ANKRD62	2672	ANKRD62-202	MANE
ANKRD63	2673	ANKRD63-201	MANE
ANKRD65	2675	ANKRD65-205	MANE
ANKRD9	2679	ANKRD9-201	MANE
ANKS1A	2684	ANKS1A-201	MANE
ANKS1B	2687	ANKS1B-234	MANE
ANKS3	2711	ANKS3-201	MANE
ANKS4B	2712	ANKS4B-201	MANE
ANKS6	2714	ANKS6-201	MANE
ANKZF1	2723	ANKZF1-201	MANE
