gene_base	gene_versioned	canonical_enst_base	canonical_iso_idx	canonical_source	canonical_iso_id
BambuGene9400	BambuGene9400	BambuTx3946	1126	longest_CDS	BambuTx3946
BambuGene9484	BambuGene9484	BambuTx314	1026	longest_CDS	BambuTx314
ENSG00000000003	ENSG00000000003.16	ENST00000373020	14855	MANE	ENST00000373020.9
ENSG00000000005	ENSG00000000005.6	ENST00000373031	14858	MANE	ENST00000373031.5
ENSG00000000419	ENSG00000000419.14	ENST00000371588	14409	MANE	ENST00000371588.10
ENSG00000000457	ENSG00000000457.14	ENST00000367771	13442	MANE	ENST00000367771.11
ENSG00000000938	ENSG00000000938.13	ENST00000374005	15160	MANE	ENST00000374005.8
ENSG00000000971	ENSG00000000971.17	ENST00000367429	13341	MANE	ENST00000367429.9
ENSG00000001036	ENSG00000001036.14	ENST00000002165	1558	MANE	ENST00000002165.11
ENSG00000001084	ENSG00000001084.13	ENST00000650454	32462	MANE	ENST00000650454.1
ENSG00000001167	ENSG00000001167.15	ENST00000341376	10587	MANE	ENST00000341376.11
ENSG00000001460	ENSG00000001460.18	ENST00000337248	10096	MANE	ENST00000337248.9
ENSG00000001461	ENSG00000001461.18	ENST00000374399	15254	MANE	ENST00000374399.9
ENSG00000001497	ENSG00000001497.18	ENST00000374811	15354	MANE	ENST00000374811.8
ENSG00000001561	ENSG00000001561.7	ENST00000321037	8693	MANE	ENST00000321037.5
ENSG00000001629	ENSG00000001629.10	ENST00000265742	4780	MANE	ENST00000265742.8
ENSG00000001630	ENSG00000001630.18	ENST00000003100	1563	MANE	ENST00000003100.13
ENSG00000001631	ENSG00000001631.17	ENST00000394505	17704	MANE	ENST00000394505.7
ENSG00000002016	ENSG00000002016.18	ENST00000358495	12324	MANE	ENST00000358495.8
ENSG00000002330	ENSG00000002330.14	ENST00000309032	7620	MANE	ENST00000309032.8
ENSG00000002549	ENSG00000002549.13	ENST00000226299	2366	MANE	ENST00000226299.9
ENSG00000002587	ENSG00000002587.10	ENST00000002596	1561	MANE	ENST00000002596.6
ENSG00000002822	ENSG00000002822.16	ENST00000265854	4796	MANE	ENST00000265854.12
ENSG00000002834	ENSG00000002834.19	ENST00000318008	8424	MANE	ENST00000318008.11
ENSG00000002919	ENSG00000002919.15	ENST00000359238	12444	MANE	ENST00000359238.7
ENSG00000002933	ENSG00000002933.9	ENST00000004103	1571	MANE	ENST00000004103.8
ENSG00000003056	ENSG00000003056.8	ENST00000000412	1552	MANE	ENST00000000412.8
ENSG00000003096	ENSG00000003096.15	ENST00000371882	14513	longest_CDS	ENST00000371882.5
ENSG00000003137	ENSG00000003137.9	ENST00000001146	1556	MANE	ENST00000001146.7
ENSG00000003147	ENSG00000003147.19	ENST00000402384	18887	MANE	ENST00000402384.8
ENSG00000003249	ENSG00000003249.15	ENST00000002501	1559	MANE	ENST00000002501.11
ENSG00000003393	ENSG00000003393.16	ENST00000264276	4509	MANE	ENST00000264276.11
ENSG00000003400	ENSG00000003400.16	ENST00000286186	5826	MANE	ENST00000286186.11
ENSG00000003402	ENSG00000003402.21	ENST00000309955	7707	MANE	ENST00000309955.8
ENSG00000003436	ENSG00000003436.16	ENST00000233156	2563	MANE	ENST00000233156.9
ENSG00000003509	ENSG00000003509.16	ENST00000002125	1557	MANE	ENST00000002125.9
ENSG00000003756	ENSG00000003756.17	ENST00000347869	11164	MANE	ENST00000347869.8
ENSG00000003987	ENSG00000003987.14	ENST00000180173	1769	MANE	ENST00000180173.10
ENSG00000003989	ENSG00000003989.18	ENST00000004531	1572	longest_CDS	ENST00000004531.14
ENSG00000004059	ENSG00000004059.11	ENST00000000233	1550	MANE	ENST00000000233.10
ENSG00000004139	ENSG00000004139.14	ENST00000585482	29249	MANE	ENST00000585482.6
ENSG00000004142	ENSG00000004142.12	ENST00000540200	27082	MANE	ENST00000540200.6
ENSG00000004399	ENSG00000004399.13	ENST00000324093	8955	MANE	ENST00000324093.9
ENSG00000004455	ENSG00000004455.18	ENST00000672715	33114	MANE	ENST00000672715.1
ENSG00000004468	ENSG00000004468.13	ENST00000226279	2365	MANE	ENST00000226279.8
ENSG00000004478	ENSG00000004478.8	ENST00000001008	1555	MANE	ENST00000001008.6
ENSG00000004487	ENSG00000004487.18	ENST00000400181	18763	MANE	ENST00000400181.9
ENSG00000004534	ENSG00000004534.15	ENST00000266022	4816	MANE	ENST00000266022.9
ENSG00000004660	ENSG00000004660.15	ENST00000348335	11196	MANE	ENST00000348335.7
ENSG00000004700	ENSG00000004700.16	ENST00000444129	21756	MANE	ENST00000444129.7
ENSG00000004766	ENSG00000004766.17	ENST00000305866	7296	MANE	ENST00000305866.10
ENSG00000004776	ENSG00000004776.13	ENST00000004982	1574	MANE	ENST00000004982.6
ENSG00000004779	ENSG00000004779.10	ENST00000007516	1593	MANE	ENST00000007516.8
ENSG00000004799	ENSG00000004799.8	ENST00000005178	1576	MANE	ENST00000005178.6
ENSG00000004848	ENSG00000004848.8	ENST00000379044	16167	MANE	ENST00000379044.5
ENSG00000004864	ENSG00000004864.14	ENST00000265631	4758	MANE	ENST00000265631.10
ENSG00000004866	ENSG00000004866.22	ENST00000323984	8948	MANE	ENST00000323984.8
ENSG00000004897	ENSG00000004897.12	ENST00000066544	1675	MANE	ENST00000066544.8
ENSG00000004939	ENSG00000004939.16	ENST00000262418	4136	MANE	ENST00000262418.12
ENSG00000004948	ENSG00000004948.16	ENST00000426151	20561	MANE	ENST00000426151.7
ENSG00000004961	ENSG00000004961.15	ENST00000380762	16526	MANE	ENST00000380762.5
ENSG00000004975	ENSG00000004975.12	ENST00000005340	1580	MANE	ENST00000005340.10
ENSG00000005007	ENSG00000005007.14	ENST00000262803	4200	MANE	ENST00000262803.10
ENSG00000005020	ENSG00000005020.13	ENST00000345317	11029	MANE	ENST00000345317.7
ENSG00000005022	ENSG00000005022.6	ENST00000317881	8413	MANE	ENST00000317881.9
ENSG00000005059	ENSG00000005059.16	ENST00000394650	17738	MANE	ENST00000394650.7
ENSG00000005075	ENSG00000005075.16	ENST00000292614	6175	MANE	ENST00000292614.10
ENSG00000005100	ENSG00000005100.13	ENST00000225296	2308	MANE	ENST00000225296.8
ENSG00000005102	ENSG00000005102.14	ENST00000318579	8480	MANE	ENST00000318579.9
ENSG00000005108	ENSG00000005108.17	ENST00000423059	20296	MANE	ENST00000423059.9
ENSG00000005156	ENSG00000005156.12	ENST00000378526	16073	MANE	ENST00000378526.9
ENSG00000005175	ENSG00000005175.10	ENST00000005386	1581	MANE	ENST00000005386.8
ENSG00000005187	ENSG00000005187.12	ENST00000289416	5981	MANE	ENST00000289416.10
ENSG00000005189	ENSG00000005189.20	ENST00000261377	3859	MANE	ENST00000261377.11
ENSG00000005194	ENSG00000005194.15	ENST00000394391	17673	MANE	ENST00000394391.9
ENSG00000005206	ENSG00000005206.17	ENST00000613503	30533	MANE	ENST00000613503.5
ENSG00000005238	ENSG00000005238.20	ENST00000322813	8855	MANE	ENST00000322813.10
ENSG00000005243	ENSG00000005243.10	ENST00000621465	31070	MANE	ENST00000621465.5
ENSG00000005249	ENSG00000005249.14	ENST00000265717	4772	MANE	ENST00000265717.5
ENSG00000005302	ENSG00000005302.19	ENST00000312196	7918	MANE	ENST00000312196.10
ENSG00000005339	ENSG00000005339.15	ENST00000262367	4119	MANE	ENST00000262367.10
ENSG00000005381	ENSG00000005381.9	ENST00000225275	2306	MANE	ENST00000225275.4
ENSG00000005436	ENSG00000005436.14	ENST00000321027	8692	MANE	ENST00000321027.8
ENSG00000005448	ENSG00000005448.17	ENST00000348227	11190	MANE	ENST00000348227.4
ENSG00000005469	ENSG00000005469.12	ENST00000331536	9562	MANE	ENST00000331536.8
ENSG00000005471	ENSG00000005471.19	ENST00000649586	32366	MANE	ENST00000649586.2
ENSG00000005483	ENSG00000005483.23	ENST00000311117	7823	MANE	ENST00000311117.8
ENSG00000005486	ENSG00000005486.17	ENST00000006777	1587	MANE	ENST00000006777.11
ENSG00000005801	ENSG00000005801.18	ENST00000399602	18700	MANE	ENST00000399602.9
ENSG00000005810	ENSG00000005810.20	ENST00000544440	27362	MANE	ENST00000544440.7
ENSG00000005812	ENSG00000005812.11	ENST00000355619	11738	MANE	ENST00000355619.10
ENSG00000005882	ENSG00000005882.12	ENST00000503176	24878	MANE	ENST00000503176.6
ENSG00000005884	ENSG00000005884.18	ENST00000320031	8600	MANE	ENST00000320031.13
ENSG00000005889	ENSG00000005889.16	ENST00000304543	7204	MANE	ENST00000304543.10
ENSG00000005893	ENSG00000005893.17	ENST00000200639	1816	MANE	ENST00000200639.9
ENSG00000005981	ENSG00000005981.13	ENST00000325885	9107	MANE	ENST00000325885.6
ENSG00000006007	ENSG00000006007.12	ENST00000353258	11454	MANE	ENST00000353258.8
ENSG00000006015	ENSG00000006015.18	ENST00000358607	12347	MANE	ENST00000358607.11
ENSG00000006016	ENSG00000006016.12	ENST00000392386	17211	MANE	ENST00000392386.8
ENSG00000006025	ENSG00000006025.13	ENST00000007414	1592	MANE	ENST00000007414.8
ENSG00000006042	ENSG00000006042.12	ENST00000579849	29065	MANE	ENST00000579849.6
ENSG00000006062	ENSG00000006062.18	ENST00000344686	10959	MANE	ENST00000344686.8
ENSG00000006125	ENSG00000006125.18	ENST00000610402	30297	MANE	ENST00000610402.5
ENSG00000006194	ENSG00000006194.11	ENST00000219069	2068	MANE	ENST00000219069.6
ENSG00000006210	ENSG00000006210.7	ENST00000006053	1583	MANE	ENST00000006053.7
ENSG00000006282	ENSG00000006282.22	ENST00000006658	1586	MANE	ENST00000006658.11
ENSG00000006327	ENSG00000006327.14	ENST00000326577	9156	MANE	ENST00000326577.9
ENSG00000006432	ENSG00000006432.16	ENST00000554752	27950	MANE	ENST00000554752.7
ENSG00000006451	ENSG00000006451.8	ENST00000005257	1577	MANE	ENST00000005257.7
ENSG00000006453	ENSG00000006453.14	ENST00000005260	1578	MANE	ENST00000005260.9
ENSG00000006459	ENSG00000006459.11	ENST00000397560	18395	MANE	ENST00000397560.7
ENSG00000006468	ENSG00000006468.15	ENST00000430479	20881	MANE	ENST00000430479.6
ENSG00000006530	ENSG00000006530.18	ENST00000649286	32348	MANE	ENST00000649286.2
ENSG00000006534	ENSG00000006534.17	ENST00000342456	10710	MANE	ENST00000342456.11
ENSG00000006576	ENSG00000006576.17	ENST00000416283	19897	Ensembl	ENST00000416283.6
ENSG00000006607	ENSG00000006607.14	ENST00000264042	4453	MANE	ENST00000264042.8
ENSG00000006625	ENSG00000006625.18	ENST00000275428	5377	MANE	ENST00000275428.9
ENSG00000006634	ENSG00000006634.8	ENST00000265728	4774	MANE	ENST00000265728.6
ENSG00000006638	ENSG00000006638.13	ENST00000375190	15435	MANE	ENST00000375190.10
ENSG00000006652	ENSG00000006652.15	ENST00000403825	18998	MANE	ENST00000403825.8
ENSG00000006695	ENSG00000006695.12	ENST00000261643	3926	MANE	ENST00000261643.8
ENSG00000006704	ENSG00000006704.11	ENST00000424337	20393	MANE	ENST00000424337.7
ENSG00000006712	ENSG00000006712.15	ENST00000221265	2167	MANE	ENST00000221265.8
ENSG00000006715	ENSG00000006715.16	ENST00000310301	7741	MANE	ENST00000310301.9
ENSG00000006740	ENSG00000006740.18	ENST00000580768	29095	longest_CDS	ENST00000580768.5
ENSG00000006744	ENSG00000006744.19	ENST00000338034	10193	MANE	ENST00000338034.9
ENSG00000006747	ENSG00000006747.15	ENST00000297029	6541	MANE	ENST00000297029.10
ENSG00000006756	ENSG00000006756.16	ENST00000381154	16600	MANE	ENST00000381154.6
ENSG00000006757	ENSG00000006757.12	ENST00000381042	16586	MANE	ENST00000381042.9
ENSG00000006837	ENSG00000006837.12	BambuTx704	1357	longest_CDS	BambuTx704
ENSG00000007047	ENSG00000007047.16	ENST00000262891	4215	MANE	ENST00000262891.9
ENSG00000007080	ENSG00000007080.11	ENST00000445755	21858	MANE	ENST00000445755.7
ENSG00000007168	ENSG00000007168.15	ENST00000397195	18319	MANE	ENST00000397195.10
ENSG00000007202	ENSG00000007202.16	ENST00000580882	29097	longest_CDS	ENST00000580882.5
ENSG00000007237	ENSG00000007237.19	ENST00000432992	21046	MANE	ENST00000432992.7
ENSG00000007255	ENSG00000007255.10	ENST00000585934	29279	MANE	ENST00000585934.1
ENSG00000007264	ENSG00000007264.15	ENST00000310132	7732	MANE	ENST00000310132.11
ENSG00000007312	ENSG00000007312.14	ENST00000559358	28249	longest_CDS	ENST00000559358.1
ENSG00000007314	ENSG00000007314.12	ENST00000435607	21223	MANE	ENST00000435607.3
ENSG00000007341	ENSG00000007341.19	ENST00000358039	12245	MANE	ENST00000358039.9
ENSG00000007376	ENSG00000007376.8	ENST00000007264	1589	MANE	ENST00000007264.7
ENSG00000007384	ENSG00000007384.15	ENST00000262316	4112	MANE	ENST00000262316.10
ENSG00000007392	ENSG00000007392.17	ENST00000293872	6220	MANE	ENST00000293872.13
ENSG00000007516	ENSG00000007516.15	ENST00000711106	36204	longest_CDS	ENST00000711106.1
ENSG00000007520	ENSG00000007520.4	ENST00000007390	1591	MANE	ENST00000007390.3
ENSG00000007541	ENSG00000007541.17	ENST00000321878	8766	MANE	ENST00000321878.10
ENSG00000007545	ENSG00000007545.16	ENST00000293925	6223	longest_CDS	ENST00000293925.9
ENSG00000007866	ENSG00000007866.22	ENST00000338863	10307	MANE	ENST00000338863.13
ENSG00000007923	ENSG00000007923.17	ENST00000377577	15869	MANE	ENST00000377577.10
ENSG00000007933	ENSG00000007933.13	ENST00000367755	13437	MANE	ENST00000367755.9
ENSG00000007944	ENSG00000007944.16	ENST00000356840	11986	MANE	ENST00000356840.8
ENSG00000008018	ENSG00000008018.9	ENST00000262193	4086	MANE	ENST00000262193.7
ENSG00000008056	ENSG00000008056.14	ENST00000340666	10505	longest_CDS	ENST00000340666.5
ENSG00000008083	ENSG00000008083.14	ENST00000341776	10641	MANE	ENST00000341776.7
ENSG00000008086	ENSG00000008086.13	ENST00000623535	31194	MANE	ENST00000623535.2
ENSG00000008118	ENSG00000008118.10	ENST00000361322	12864	MANE	ENST00000361322.3
ENSG00000008128	ENSG00000008128.23	ENST00000404249	19028	MANE	ENST00000404249.8
ENSG00000008130	ENSG00000008130.15	ENST00000341426	10593	MANE	ENST00000341426.9
ENSG00000008256	ENSG00000008256.17	ENST00000350796	11339	MANE	ENST00000350796.8
ENSG00000008277	ENSG00000008277.15	ENST00000398204	18520	longest_CDS	ENST00000398204.8
ENSG00000008282	ENSG00000008282.10	ENST00000455385	22536	MANE	ENST00000455385.7
ENSG00000008283	ENSG00000008283.16	ENST00000360793	12721	MANE	ENST00000360793.8
ENSG00000008294	ENSG00000008294.22	ENST00000262013	4023	MANE	ENST00000262013.12
ENSG00000008311	ENSG00000008311.16	ENST00000417368	19940	MANE	ENST00000417368.7
ENSG00000008382	ENSG00000008382.16	ENST00000599840	29923	MANE	ENST00000599840.6
ENSG00000008394	ENSG00000008394.13	ENST00000396210	18103	MANE	ENST00000396210.8
ENSG00000008405	ENSG00000008405.12	ENST00000008527	1597	MANE	ENST00000008527.10
ENSG00000008441	ENSG00000008441.19	ENST00000592199	29644	MANE	ENST00000592199.6
ENSG00000008513	ENSG00000008513.17	ENST00000522652	25950	MANE	ENST00000522652.6
ENSG00000008517	ENSG00000008517.19	ENST00000525643	26114	MANE	ENST00000525643.7
ENSG00000008710	ENSG00000008710.20	ENST00000262304	4109	MANE	ENST00000262304.9
ENSG00000008838	ENSG00000008838.21	ENST00000394128	17609	MANE	ENST00000394128.7
ENSG00000008853	ENSG00000008853.18	ENST00000251822	3165	MANE	ENST00000251822.7
ENSG00000008869	ENSG00000008869.12	ENST00000233099	2557	MANE	ENST00000233099.6
ENSG00000008952	ENSG00000008952.17	ENST00000337002	10063	MANE	ENST00000337002.9
ENSG00000008988	ENSG00000008988.11	ENST00000009589	1602	MANE	ENST00000009589.8
ENSG00000009307	ENSG00000009307.17	ENST00000358528	12333	MANE	ENST00000358528.9
ENSG00000009335	ENSG00000009335.19	ENST00000348165	11184	MANE	ENST00000348165.10
ENSG00000009413	ENSG00000009413.17	ENST00000368802	13675	MANE	ENST00000368802.8
ENSG00000009694	ENSG00000009694.14	ENST00000422452	20257	longest_CDS	ENST00000422452.4
ENSG00000009709	ENSG00000009709.13	ENST00000420770	20144	MANE	ENST00000420770.7
ENSG00000009724	ENSG00000009724.18	ENST00000700095	35753	longest_CDS	ENST00000700095.1
ENSG00000009780	ENSG00000009780.16	ENST00000373954	15150	MANE	ENST00000373954.11
ENSG00000009830	ENSG00000009830.13	ENST00000261534	3898	MANE	ENST00000261534.9
ENSG00000009844	ENSG00000009844.16	ENST00000367630	13412	MANE	ENST00000367630.9
ENSG00000009950	ENSG00000009950.16	ENST00000313375	8021	MANE	ENST00000313375.8
ENSG00000009954	ENSG00000009954.11	ENST00000339594	10379	MANE	ENST00000339594.9
ENSG00000010017	ENSG00000010017.13	ENST00000011619	1606	MANE	ENST00000011619.6
ENSG00000010072	ENSG00000010072.16	ENST00000295050	6287	MANE	ENST00000295050.12
ENSG00000010165	ENSG00000010165.20	ENST00000361735	12988	MANE	ENST00000361735.4
ENSG00000010219	ENSG00000010219.14	ENST00000010132	1603	longest_CDS	ENST00000010132.6
ENSG00000010244	ENSG00000010244.19	ENST00000394670	17745	MANE	ENST00000394670.9
ENSG00000010256	ENSG00000010256.12	ENST00000203407	1832	MANE	ENST00000203407.6
ENSG00000010270	ENSG00000010270.14	ENST00000009041	1598	MANE	ENST00000009041.12
ENSG00000010278	ENSG00000010278.15	ENST00000009180	1600	MANE	ENST00000009180.10
ENSG00000010282	ENSG00000010282.15	ENST00000441594	21585	MANE	ENST00000441594.6
ENSG00000010292	ENSG00000010292.13	ENST00000315579	8208	MANE	ENST00000315579.10
ENSG00000010295	ENSG00000010295.20	ENST00000619571	30934	MANE	ENST00000619571.5
ENSG00000010319	ENSG00000010319.7	ENST00000231721	2521	MANE	ENST00000231721.7
ENSG00000010322	ENSG00000010322.16	ENST00000345716	11044	MANE	ENST00000345716.9
ENSG00000010327	ENSG00000010327.10	ENST00000321725	8748	MANE	ENST00000321725.10
ENSG00000010361	ENSG00000010361.14	ENST00000313777	8061	MANE	ENST00000313777.9
ENSG00000010404	ENSG00000010404.18	ENST00000340855	10520	MANE	ENST00000340855.11
ENSG00000010539	ENSG00000010539.12	ENST00000414144	19776	MANE	ENST00000414144.7
ENSG00000010610	ENSG00000010610.10	ENST00000011653	1608	MANE	ENST00000011653.9
ENSG00000010626	ENSG00000010626.15	ENST00000007969	1595	APPRIS	ENST00000007969.12
ENSG00000010671	ENSG00000010671.18	ENST00000308731	7598	MANE	ENST00000308731.8
ENSG00000010704	ENSG00000010704.20	ENST00000357618	12157	MANE	ENST00000357618.10
ENSG00000010803	ENSG00000010803.17	ENST00000695335	35373	MANE	ENST00000695335.1
ENSG00000010810	ENSG00000010810.18	ENST00000354650	11580	MANE	ENST00000354650.7
ENSG00000010818	ENSG00000010818.11	ENST00000367603	13403	MANE	ENST00000367603.8
ENSG00000011007	ENSG00000011007.13	ENST00000613537	30539	MANE	ENST00000613537.5
ENSG00000011009	ENSG00000011009.12	ENST00000374514	15277	MANE	ENST00000374514.8
ENSG00000011021	ENSG00000011021.23	ENST00000346436	11088	MANE	ENST00000346436.11
ENSG00000011028	ENSG00000011028.14	ENST00000303375	7110	MANE	ENST00000303375.10
ENSG00000011052	ENSG00000011052.21	ENST00000393193	17396	longest_CDS	ENST00000393193.6
ENSG00000011105	ENSG00000011105.14	ENST00000011898	1609	MANE	ENST00000011898.10
ENSG00000011132	ENSG00000011132.12	ENST00000316757	8309	MANE	ENST00000316757.4
ENSG00000011143	ENSG00000011143.19	ENST00000393119	17386	MANE	ENST00000393119.7
ENSG00000011198	ENSG00000011198.10	ENST00000644371	31933	MANE	ENST00000644371.2
ENSG00000011201	ENSG00000011201.12	ENST00000262648	4183	MANE	ENST00000262648.8
ENSG00000011243	ENSG00000011243.19	ENST00000397410	18370	MANE	ENST00000397410.10
ENSG00000011258	ENSG00000011258.16	ENST00000586178	29291	MANE	ENST00000586178.6
ENSG00000011260	ENSG00000011260.14	ENST00000225298	2309	MANE	ENST00000225298.12
ENSG00000011275	ENSG00000011275.19	ENST00000389902	17044	MANE	ENST00000389902.8
ENSG00000011295	ENSG00000011295.16	ENST00000261647	3929	MANE	ENST00000261647.10
ENSG00000011304	ENSG00000011304.22	ENST00000356948	12005	MANE	ENST00000356948.11
ENSG00000011347	ENSG00000011347.10	ENST00000539008	26993	MANE	ENST00000539008.6
ENSG00000011376	ENSG00000011376.12	ENST00000645846	32050	MANE	ENST00000645846.2
ENSG00000011405	ENSG00000011405.14	ENST00000691414	35186	MANE	ENST00000691414.1
ENSG00000011422	ENSG00000011422.12	ENST00000340093	10428	MANE	ENST00000340093.8
ENSG00000011451	ENSG00000011451.21	ENST00000545156	27397	longest_CDS	ENST00000545156.5
ENSG00000011454	ENSG00000011454.18	ENST00000373647	15055	MANE	ENST00000373647.9
ENSG00000011465	ENSG00000011465.18	ENST00000052754	1656	MANE	ENST00000052754.10
ENSG00000011485	ENSG00000011485.15	ENST00000012443	1614	MANE	ENST00000012443.9
ENSG00000011523	ENSG00000011523.15	ENST00000377990	15963	MANE	ENST00000377990.7
ENSG00000011566	ENSG00000011566.15	ENST00000263881	4412	MANE	ENST00000263881.8
ENSG00000011638	ENSG00000011638.11	ENST00000233047	2551	MANE	ENST00000233047.9
ENSG00000012048	ENSG00000012048.26	ENST00000471181	23383	longest_CDS	ENST00000471181.7
ENSG00000012061	ENSG00000012061.17	ENST00000300853	6878	MANE	ENST00000300853.8
ENSG00000012171	ENSG00000012171.20	ENST00000616701	30736	MANE	ENST00000616701.5
ENSG00000012174	ENSG00000012174.12	ENST00000379484	16259	MANE	ENST00000379484.10
ENSG00000012211	ENSG00000012211.13	ENST00000599218	29897	MANE	ENST00000599218.6
ENSG00000012223	ENSG00000012223.13	ENST00000231751	2523	MANE	ENST00000231751.9
ENSG00000012232	ENSG00000012232.10	ENST00000220562	2138	MANE	ENST00000220562.9
ENSG00000012660	ENSG00000012660.14	ENST00000304434	7198	MANE	ENST00000304434.11
ENSG00000012817	ENSG00000012817.16	ENST00000317961	8418	MANE	ENST00000317961.9
ENSG00000012822	ENSG00000012822.16	ENST00000550804	27739	MANE	ENST00000550804.6
ENSG00000012983	ENSG00000012983.12	ENST00000682126	34303	MANE	ENST00000682126.1
ENSG00000013016	ENSG00000013016.16	ENST00000322054	8791	MANE	ENST00000322054.10
ENSG00000013288	ENSG00000013288.9	ENST00000285599	5799	MANE	ENST00000285599.8
ENSG00000013306	ENSG00000013306.16	ENST00000377095	15796	MANE	ENST00000377095.10
ENSG00000013364	ENSG00000013364.19	ENST00000357402	12103	MANE	ENST00000357402.10
ENSG00000013374	ENSG00000013374.17	ENST00000568733	28686	MANE	ENST00000568733.6
ENSG00000013375	ENSG00000013375.17	ENST00000513973	25482	MANE	ENST00000513973.6
ENSG00000013392	ENSG00000013392.8	ENST00000369724	13928	MANE	ENST00000369724.5
ENSG00000013441	ENSG00000013441.17	ENST00000321356	8719	MANE	ENST00000321356.9
ENSG00000013503	ENSG00000013503.10	ENST00000228347	2414	MANE	ENST00000228347.9
ENSG00000013523	ENSG00000013523.12	ENST00000251089	3128	MANE	ENST00000251089.8
ENSG00000013561	ENSG00000013561.18	ENST00000394520	17711	MANE	ENST00000394520.7
ENSG00000013563	ENSG00000013563.14	ENST00000369807	13964	MANE	ENST00000369807.6
ENSG00000013573	ENSG00000013573.17	ENST00000542838	27263	MANE	ENST00000542838.6
ENSG00000013583	ENSG00000013583.10	ENST00000014930	1619	MANE	ENST00000014930.9
ENSG00000013588	ENSG00000013588.10	ENST00000014914	1618	MANE	ENST00000014914.6
ENSG00000013619	ENSG00000013619.15	ENST00000370401	14117	MANE	ENST00000370401.7
ENSG00000013810	ENSG00000013810.21	ENST00000313288	8011	MANE	ENST00000313288.9
ENSG00000014123	ENSG00000014123.10	ENST00000369278	13815	MANE	ENST00000369278.5
ENSG00000014138	ENSG00000014138.10	ENST00000265465	4740	MANE	ENST00000265465.8
ENSG00000014164	ENSG00000014164.7	ENST00000262577	4164	MANE	ENST00000262577.6
ENSG00000014216	ENSG00000014216.16	ENST00000279247	5520	MANE	ENST00000279247.11
ENSG00000014641	ENSG00000014641.21	ENST00000233114	2558	MANE	ENST00000233114.13
ENSG00000014824	ENSG00000014824.14	ENST00000264451	4539	MANE	ENST00000264451.12
ENSG00000014914	ENSG00000014914.21	ENST00000439741	21492	MANE	ENST00000439741.4
ENSG00000014919	ENSG00000014919.13	ENST00000016171	1622	MANE	ENST00000016171.6
ENSG00000015133	ENSG00000015133.20	ENST00000389857	17033	MANE	ENST00000389857.11
ENSG00000015153	ENSG00000015153.15	ENST00000534854	26705	MANE	ENST00000534854.7
ENSG00000015171	ENSG00000015171.21	ENST00000381604	16679	MANE	ENST00000381604.9
ENSG00000015285	ENSG00000015285.12	ENST00000376701	15705	MANE	ENST00000376701.5
ENSG00000015475	ENSG00000015475.19	ENST00000622694	31148	MANE	ENST00000622694.5
ENSG00000015479	ENSG00000015479.20	ENST00000394805	17775	MANE	ENST00000394805.8
ENSG00000015532	ENSG00000015532.10	ENST00000017003	1623	MANE	ENST00000017003.7
ENSG00000015676	ENSG00000015676.18	ENST00000355451	11708	MANE	ENST00000355451.8
