nm_id	enst_id	gene_name	source
NM_000288	ENST00000318471	PEX7	MANE
NM_000289	ENST00000359794	PFKM	MANE
NM_000290	ENST00000297283	PGAM2	MANE
NM_000291	ENST00000373316	PGK1	MANE
NM_000292	ENST00000379942	PHKA2	MANE
NM_000293	ENST00000323584	PHKB	MANE
NM_000294	ENST00000563588	PHKG2	MANE
NM_000296	ENST00000423118	PKD1	biomart
NM_000298	ENST00000342741	PKLR	MANE
NM_000299	ENST00000263946	PKP1	biomart
NM_000300	ENST00000375111	PLA2G2A	biomart
NM_000302	ENST00000196061	PLOD1	MANE
NM_000304	ENST00000312280	PMP22	MANE
NM_000305	ENST00000222572	PON2	MANE
NM_000306	ENST00000350375	POU1F1	MANE
NM_000307	ENST00000644024	POU3F4	MANE
NM_000308	ENST00000646241	CTSA	MANE
NM_000309	ENST00000352210	PPOX	biomart
NM_000311	ENST00000379440	PRNP	MANE
NM_000313	ENST00000394236	PROS1	MANE
NM_000314	ENST00000371953	PTEN	MANE
NM_000315	ENST00000282091	PTH	MANE
NM_000316	ENST00000449590	PTH1R	MANE
NM_000317	ENST00000280362	PTS	MANE
NM_000318	ENST00000357039	PEX2	MANE
NM_000319	ENST00000672776	PEX5	biomart
NM_000321	ENST00000267163	RB1	MANE
NM_000322	ENST00000230381	PRPH2	MANE
NM_000325	ENST00000644743	PITX2	MANE
NM_000326	ENST00000268125	RLBP1	MANE
NM_000327	ENST00000278833	ROM1	MANE
NM_000328	ENST00000642395	RPGR	biomart
NM_000329	ENST00000262340	RPE65	MANE
NM_000331	ENST00000672712	SAA1	biomart
NM_000332	ENST00000244769	ATXN1	biomart
NM_000333	ENST00000295900	ATXN7	biomart
NM_000334	ENST00000435607	SCN4A	MANE
NM_000335	ENST00000423572	SCN5A	MANE
NM_000336	ENST00000343070	SCNN1B	MANE
NM_000337	ENST00000337851	SGCD	MANE
NM_000338	ENST00000380993	SLC12A1	MANE
NM_000339	ENST00000438926	SLC12A3	biomart
NM_000341	ENST00000260649	SLC3A1	MANE
NM_000342	ENST00000262418	SLC4A1	MANE
NM_000343	ENST00000266088	SLC5A1	MANE
NM_000344	ENST00000380707	SMN1	MANE
NM_000345	ENST00000394991	SNCA	MANE
NM_000346	ENST00000245479	SOX9	MANE
NM_000349	ENST00000276449	STAR	MANE
NM_000350	ENST00000370225	ABCA4	MANE
NM_000352	ENST00000389817	ABCC8	MANE
NM_000355	ENST00000215838	TCN2	MANE
NM_000356	ENST00000323668	TCOF1	biomart
NM_000358	ENST00000442011	TGFBI	MANE
NM_000359	ENST00000206765	TGM1	MANE
NM_000360	ENST00000352909	TH	MANE
NM_000361	ENST00000377103	THBD	MANE
NM_000362	ENST00000266085	TIMP3	MANE
NM_000363	ENST00000344887	TNNI3	MANE
NM_000364	ENST00000422165	TNNT2	biomart
NM_000365	ENST00000396705	TPI1	MANE
NM_000366	ENST00000288398	TPM1	biomart
NM_000368	ENST00000298552	TSC1	MANE
NM_000370	ENST00000260116	TTPA	MANE
NM_000371	ENST00000237014	TTR	MANE
NM_000372	ENST00000263321	TYR	MANE
NM_000373	ENST00000232607	UMPS	MANE
NM_000374	ENST00000246337	UROD	MANE
NM_000375	ENST00000368797	UROS	MANE
NM_000376	ENST00000549336	VDR	MANE
NM_000377	ENST00000376701	WAS	MANE
NM_000378	ENST00000332351	WT1	biomart
NM_000379	ENST00000379416	XDH	MANE
NM_000381	ENST00000317552	MID1	MANE
NM_000382	ENST00000176643	ALDH3A2	MANE
NM_000383	ENST00000291582	AIRE	MANE
NM_000384	ENST00000233242	APOB	MANE
NM_000387	ENST00000319017	SLC25A20	MANE
NM_000388	ENST00000639785	CASR	MANE
NM_000389	ENST00000244741	CDKN1A	MANE
NM_000390	ENST00000357749	CHM	MANE
NM_000391	ENST00000299427	TPP1	MANE
NM_000392	ENST00000647814	ABCC2	MANE
NM_000393	ENST00000374866	COL5A2	MANE
NM_000394	ENST00000291554	CRYAA	MANE
NM_000395	ENST00000403662	CSF2RB	MANE
NM_000397	ENST00000378588	CYBB	MANE
NM_000398	ENST00000352397	CYB5R3	MANE
NM_000399	ENST00000242480	EGR2	MANE
NM_000401	ENST00000860016	EXT2	biomart
NM_000402	ENST00000393562	G6PD	biomart
NM_000403	ENST00000958001	GALE	biomart
NM_000404	ENST00000307363	GLB1	MANE
NM_000405	ENST00000357164	GM2A	MANE
NM_000408	ENST00000438166	GPD2	MANE
NM_000409	ENST00000654459	GUCA1ANB-GUCA1A	biomart
NM_000410	ENST00000357618	HFE	MANE
NM_000412	ENST00000232003	HRG	MANE
NM_000415	ENST00000240652	IAPP	MANE
NM_000416	ENST00000367739	IFNGR1	MANE
NM_000421	ENST00000269576	KRT10	MANE
NM_000422	ENST00000311208	KRT17	MANE
NM_000425	ENST00000370060	L1CAM	biomart
NM_000426	ENST00000421865	LAMA2	MANE
NM_000428	ENST00000261978	LTBP2	MANE
NM_000429	ENST00000372213	MAT1A	MANE
NM_000430	ENST00000397195	PAFAH1B1	MANE
NM_000431	ENST00000228510	MVK	MANE
NM_000432	ENST00000228841	MYL2	MANE
NM_000433	ENST00000367535	NCF2	MANE
NM_000434	ENST00000375631	NEU1	MANE
NM_000435	ENST00000263388	NOTCH3	MANE
NM_000436	ENST00000196371	OXCT1	MANE
NM_000438	ENST00000409828	PAX3	biomart
NM_000439	ENST00000311106	PCSK1	MANE
NM_000440	ENST00000255266	PDE6A	MANE
NM_000441	ENST00000644269	SLC26A4	MANE
NM_000442	ENST00000563924	PECAM1	MANE
NM_000443	ENST00000649586	ABCB4	MANE
NM_000445	ENST00000436759	PLEC	biomart
NM_000446	ENST00000222381	PON1	MANE
NM_000447	ENST00000366783	PSEN2	MANE
NM_000448	ENST00000299440	RAG1	MANE
NM_000450	ENST00000333360	SELE	MANE
NM_000452	ENST00000245312	SLC10A2	MANE
NM_000454	ENST00000270142	SOD1	MANE
NM_000455	ENST00000326873	STK11	MANE
NM_000456	ENST00000394115	SUOX	biomart
NM_000457	ENST00000316099	HNF4A	biomart
NM_000458	ENST00000617811	HNF1B	MANE
NM_000459	ENST00000380036	TEK	MANE
NM_000460	ENST00000647395	THPO	MANE
NM_000461	ENST00000396671	THRB	biomart
NM_000462	ENST00000650110	UBE3A	biomart
NM_000463	ENST00000305208	UGT1A1	MANE
NM_000465	ENST00000260947	BARD1	MANE
NM_000474	ENST00000242261	TWIST1	MANE
NM_000475	ENST00000378970	NR0B1	MANE
NM_000476	ENST00000644144	AK1	MANE
NM_000477	ENST00000295897	ALB	MANE
NM_000479	ENST00000221496	AMH	MANE
NM_000480	ENST00000396554	AMPD3	biomart
NM_000481	ENST00000273588	AMT	MANE
NM_000482	ENST00000357780	APOA4	MANE
NM_000483	ENST00000252490	APOC2	MANE
NM_000484	ENST00000346798	APP	MANE
NM_000485	ENST00000378364	APRT	MANE
NM_000486	ENST00000199280	AQP2	MANE
NM_000489	ENST00000373344	ATRX	MANE
NM_000491	ENST00000509305	C1QB	biomart
NM_000492	ENST00000003084	CFTR	MANE
NM_000493	ENST00000651968	COL10A1	MANE
NM_000495	ENST00000361603	COL4A5	biomart
NM_000496	ENST00000398215	CRYBB2	MANE
NM_000501	ENST00000252034	ELN	MANE
NM_000503	ENST00000340726	EYA1	MANE
NM_000507	ENST00000375326	FBP1	MANE
NM_000508	ENST00000651975	FGA	biomart
NM_000509	ENST00000404648	FGG	biomart
NM_000510	ENST00000254122	FSHB	biomart
NM_000511	ENST00000425340	FUT2	MANE
NM_000513	ENST00000595290	OPN1MW	MANE
NM_000514	ENST00000326524	GDNF	MANE
NM_000520	ENST00000268097	HEXA	MANE
NM_000521	ENST00000261416	HEXB	MANE
NM_000523	ENST00000392539	HOXD13	MANE
NM_000525	ENST00000339994	KCNJ11	MANE
NM_000526	ENST00000167586	KRT14	MANE
NM_000528	ENST00000456935	MAN2B1	MANE
NM_000529	ENST00000327606	MC2R	MANE
NM_000532	ENST00000251654	PCCB	MANE
NM_000533	ENST00000621218	PLP1	MANE
NM_000536	ENST00000311485	RAG2	MANE
NM_000538	ENST00000255476	RFXAP	MANE
NM_000540	ENST00000359596	RYR1	MANE
NM_000541	ENST00000409110	SAG	MANE
NM_000542	ENST00000519937	SFTPB	MANE
NM_000544	ENST00000455842	TAP2	biomart
NM_000545	ENST00000257555	HNF1A	MANE
NM_000546	ENST00000269305	TP53	MANE
NM_000548	ENST00000219476	TSC2	MANE
NM_000549	ENST00000256592	TSHB	MANE
NM_000550	ENST00000388918	TYRP1	MANE
NM_000552	ENST00000261405	VWF	MANE
NM_000554	ENST00000221996	CRX	MANE
NM_000555	ENST00000358070	DCX	biomart
NM_000557	ENST00000374369	GDF5	MANE
NM_000559	ENST00000330597	HBG1	MANE
NM_000560	ENST00000271324	CD53	MANE
NM_000561	ENST00000309851	GSTM1	MANE
NM_000564	ENST00000446632	IL5RA	biomart
NM_000566	ENST00000369168	FCGR1A	MANE
NM_000567	ENST00000255030	CRP	MANE
NM_000569	ENST00000443193	FCGR3A	MANE
NM_000570	ENST00000367964	FCGR3B	biomart
NM_000572	ENST00000423557	IL10	MANE
NM_000573	ENST00000400960	CR1	biomart
NM_000574	ENST00000367064	CD55	MANE
NM_000575	ENST00000263339	IL1A	MANE
NM_000576	ENST00000263341	IL1B	MANE
NM_000577	ENST00000354115	IL1RN	biomart
NM_000578	ENST00000233202	SLC11A1	MANE
NM_000579	ENST00000292303	CCR5	biomart
NM_000581	ENST00000419783	GPX1	MANE
NM_000582	ENST00000237623	SPP1	biomart
NM_000583	ENST00000273951	GC	MANE
NM_000584	ENST00000307407	CXCL8	MANE
NM_000585	ENST00000320650	IL15	MANE
NM_000586	ENST00000226730	IL2	MANE
NM_000587	ENST00000313164	C7	MANE
NM_000588	ENST00000296870	IL3	MANE
NM_000589	ENST00000231449	IL4	MANE
NM_000590	ENST00000274520	IL9	MANE
NM_000591	ENST00000302014	CD14	MANE
NM_000593	ENST00000354258	TAP1	MANE
NM_000594	ENST00000449264	TNF	MANE
NM_000595	ENST00000418386	LTA	MANE
NM_000596	ENST00000275525	IGFBP1	MANE
NM_000600	ENST00000258743	IL6	MANE
NM_000605	ENST00000380206	IFNA2	MANE
NM_000606	ENST00000371634	C8G	MANE
NM_000607	ENST00000259396	ORM1	MANE
NM_000608	ENST00000431067	ORM2	MANE
NM_000609	ENST00000374429	CXCL12	biomart
NM_000610	ENST00000428726	CD44	MANE
NM_000611	ENST00000642928	CD59	MANE
NM_000613	ENST00000265983	HPX	MANE
NM_000614	ENST00000361987	CNTF	MANE
NM_000615	ENST00000531044	NCAM1	biomart
NM_000616	ENST00000011653	CD4	MANE
NM_000617	ENST00000262052	SLC11A2	MANE
NM_000618	ENST00000337514	IGF1	MANE
NM_000619	ENST00000229135	IFNG	MANE
NM_000621	ENST00000542664	HTR2A	MANE
NM_000623	ENST00000554311	BDKRB2	biomart
NM_000626	ENST00000006750	CD79B	MANE
NM_000627	ENST00000407925	LTBP1	biomart
NM_000628	ENST00000290200	IL10RB	MANE
NM_000629	ENST00000270139	IFNAR1	MANE
NM_000631	ENST00000248899	NCF4	MANE
NM_000633	ENST00000333681	BCL2	MANE
NM_000634	ENST00000295683	CXCR1	MANE
NM_000636	ENST00000538183	SOD2	MANE
NM_000637	ENST00000221130	GSR	MANE
NM_000638	ENST00000226218	VTN	MANE
NM_000639	ENST00000367721	FASLG	MANE
NM_000640	ENST00000243213	IL13RA2	MANE
NM_000641	ENST00000264563	IL11	MANE
NM_000642	ENST00000361915	AGL	MANE
NM_000643	ENST00000370163	AGL	biomart
NM_000644	ENST00000370165	AGL	biomart
NM_000646	ENST00000370161	AGL	biomart
NM_000651	ENST00000367049	CR1	MANE
NM_000655	ENST00000236147	SELL	MANE
NM_000657	ENST00000589955	BCL2	biomart
NM_000660	ENST00000221930	TGFB1	MANE
NM_000661	ENST00000295955	RPL9	MANE
NM_000662	ENST00000307719	NAT1	MANE
NM_000665	ENST00000241069	ACHE	MANE
NM_000666	ENST00000636358	ACY1	MANE
NM_000669	ENST00000515683	ADH1C	MANE
NM_000674	ENST00000337894	ADORA1	MANE
NM_000675	ENST00000337539	ADORA2A	MANE
NM_000676	ENST00000304222	ADORA2B	MANE
NM_000677	ENST00000241356	ADORA3	MANE
NM_000678	ENST00000379453	ADRA1D	MANE
NM_000679	ENST00000306675	ADRA1B	MANE
NM_000680	ENST00000380573	ADRA1A	MANE
NM_000684	ENST00000369295	ADRB1	MANE
NM_000685	ENST00000349243	AGTR1	MANE
NM_000686	ENST00000371906	AGTR2	MANE
NM_000687	ENST00000217426	AHCY	MANE
NM_000689	ENST00000297785	ALDH1A1	MANE
NM_000690	ENST00000261733	ALDH2	MANE
NM_000691	ENST00000225740	ALDH3A1	MANE
NM_000692	ENST00000377698	ALDH1B1	MANE
NM_000693	ENST00000329841	ALDH1A3	MANE
NM_000694	ENST00000342456	ALDH3B1	MANE
NM_000696	ENST00000354775	ALDH9A1	MANE
NM_000699	ENST00000414303	AMY2A	MANE
NM_000700	ENST00000257497	ANXA1	MANE
NM_000705	ENST00000335288	ATP4B	MANE
NM_000709	ENST00000269980	BCKDHA	MANE
NM_000710	ENST00000216629	BDKRB1	MANE
NM_000712	ENST00000265523	BLVRA	MANE
NM_000713	ENST00000263368	BLVRB	MANE
NM_000714	ENST00000337554	TSPO	MANE
NM_000715	ENST00000367070	C4BPA	MANE
NM_000716	ENST00000243611	C4BPB	biomart
NM_000717	ENST00000300900	CA4	MANE
NM_000718	ENST00000371372	CACNA1B	MANE
NM_000719	ENST00000399655	CACNA1C	MANE
NM_000720	ENST00000288139	CACNA1D	MANE
NM_000721	ENST00000367570	CACNA1E	biomart
NM_000722	ENST00000356860	CACNA2D1	MANE
NM_000723	ENST00000394303	CACNB1	MANE
NM_000724	ENST00000396576	CACNB2	biomart
NM_000725	ENST00000301050	CACNB3	MANE
NM_000726	ENST00000539935	CACNB4	MANE
NM_000727	ENST00000226021	CACNG1	MANE
NM_000728	ENST00000324229	CALCB	MANE
NM_000729	ENST00000396169	CCK	MANE
NM_000730	ENST00000295589	CCKAR	MANE
NM_000732	ENST00000300692	CD3D	MANE
NM_000733	ENST00000361763	CD3E	MANE
NM_000734	ENST00000392122	CD247	biomart
NM_000737	ENST00000357383	CGB3	MANE
NM_000738	ENST00000306960	CHRM1	MANE
NM_000739	ENST00000903441	CHRM2	biomart
NM_000740	ENST00000255380	CHRM3	biomart
NM_000741	ENST00000682254	CHRM4	MANE
NM_000742	ENST00000407991	CHRNA2	MANE
NM_000743	ENST00000326828	CHRNA3	MANE
NM_000744	ENST00000370263	CHRNA4	MANE
NM_000745	ENST00000299565	CHRNA5	MANE
NM_000746	ENST00000306901	CHRNA7	MANE
NM_000747	ENST00000306071	CHRNB1	MANE
NM_000748	ENST00000368476	CHRNB2	MANE
NM_000749	ENST00000289957	CHRNB3	MANE
NM_000750	ENST00000261751	CHRNB4	MANE
NM_000751	ENST00000258385	CHRND	MANE
NM_000754	ENST00000361682	COMT	MANE
NM_000756	ENST00000276571	CRH	MANE
NM_000757	ENST00000329608	CSF1	MANE
NM_000758	ENST00000296871	CSF2	MANE
NM_000759	ENST00000225474	CSF3	biomart
NM_000760	ENST00000373106	CSF3R	MANE
NM_000764	ENST00000301146	CYP2A7	MANE
NM_000787	ENST00000393056	DBH	MANE
NM_000788	ENST00000286648	DCK	MANE
NM_000789	ENST00000290866	ACE	MANE
NM_000791	ENST00000439211	DHFR	MANE
NM_000793	ENST00000557010	DIO2	biomart
NM_000794	ENST00000393752	DRD1	MANE
NM_000795	ENST00000362072	DRD2	MANE
NM_000796	ENST00000383673	DRD3	MANE
NM_000797	ENST00000176183	DRD4	MANE
NM_000798	ENST00000304374	DRD5	MANE
NM_000799	ENST00000252723	EPO	MANE
NM_000800	ENST00000337706	FGF1	MANE
NM_000802	ENST00000675784	FOLR1	biomart
NM_000803	ENST00000298223	FOLR2	MANE
NM_000804	ENST00000611028	FOLR3	MANE
NM_000805	ENST00000329402	GAST	MANE
NM_000806	ENST00000023897	GABRA1	biomart
NM_000807	ENST00000381620	GABRA2	MANE
NM_000808	ENST00000370314	GABRA3	MANE
NM_000809	ENST00000264318	GABRA4	MANE
NM_000810	ENST00000335625	GABRA5	MANE
NM_000811	ENST00000274545	GABRA6	MANE
NM_000812	ENST00000295454	GABRB1	MANE
NM_000813	ENST00000353437	GABRB2	biomart
NM_000814	ENST00000311550	GABRB3	MANE
NM_000815	ENST00000378585	GABRD	MANE
NM_000816	ENST00000639111	GABRG2	biomart
NM_000819	ENST00000381815	GART	MANE
NM_000820	ENST00000327773	GAS6	MANE
NM_000821	ENST00000233838	GGCX	MANE
NM_000823	ENST00000326139	GHRHR	MANE
NM_000824	ENST00000264428	GLRB	MANE
NM_000828	ENST00000622768	GRIA3	MANE
NM_000839	ENST00000395052	GRM2	MANE
NM_000840	ENST00000361669	GRM3	MANE
NM_000841	ENST00000538487	GRM4	MANE
NM_000842	ENST00000455756	GRM5	biomart
NM_000843	ENST00000517717	GRM6	MANE
NM_000844	ENST00000357716	GRM7	MANE
NM_000845	ENST00000339582	GRM8	MANE
NM_000848	ENST00000241337	GSTM2	MANE
NM_000849	ENST00000361066	GSTM3	MANE
NM_000850	ENST00000369836	GSTM4	MANE
NM_000851	ENST00000256593	GSTM5	MANE
NM_000852	ENST00000398606	GSTP1	MANE
NM_000853	ENST00000612885	GSTT1	MANE
NM_000854	ENST00000618279	GSTT2	MANE
NM_000855	ENST00000526355	GUCY1A2	MANE
NM_000856	ENST00000506455	GUCY1A1	biomart
NM_000857	ENST00000264424	GUCY1B1	MANE
NM_000858	ENST00000366730	GUK1	biomart
NM_000859	ENST00000287936	HMGCR	MANE
NM_000867	ENST00000258400	HTR2B	MANE
NM_000868	ENST00000276198	HTR2C	MANE
NM_000869	ENST00000504030	HTR3A	MANE
NM_000870	ENST00000377888	HTR4	MANE
NM_000871	ENST00000289753	HTR6	MANE
NM_000873	ENST00000449662	ICAM2	biomart
NM_000874	ENST00000404220	IFNAR2	biomart
NM_000875	ENST00000650285	IGF1R	MANE
NM_000876	ENST00000356956	IGF2R	MANE
NM_000877	ENST00000410023	IL1R1	MANE
NM_000879	ENST00000231454	IL5	MANE
NM_000880	ENST00000263851	IL7	MANE
NM_000882	ENST00000305579	IL12A	biomart
NM_000888	ENST00000283249	ITGB6	MANE
NM_000890	ENST00000529694	KCNJ5	MANE
NM_000891	ENST00000243457	KCNJ2	MANE
NM_000893	ENST00000287611	KNG1	biomart
NM_000894	ENST00000649238	LHB	MANE
NM_000899	ENST00000644744	KITLG	MANE
NM_000900	ENST00000539261	MGP	MANE
NM_000901	ENST00000358102	NR3C2	MANE
NM_000903	ENST00000320623	NQO1	MANE
