cls	gene	long_idx	short_idx	canonical_idx	other_idx	size	len_long	n_intervals
slim	ENSG00000173641.18	19179	7891	7891	19179	4	174	1
slim	ENSG00000135930.15	3618	19472	3618	19472	24	245	3
slim	ENSG00000114098.18	23248	23938	23248	23938	14	673	1
slim	ENSG00000172493.23	17879	27344	17879	27344	9	1022	3
slim	ENSG00000197858.12	35911	11656	11656	35911	5	626	1
slim	ENSG00000214046.9	24210	23939	24210	23939	5	104	1
slim	ENSG00000173681.17	16310	16313	16310	16313	29	711	1
slim	ENSG00000108559.13	2331	28869	28869	2331	20	757	3
slim	ENSG00000198668.14	12013	27355	12013	27355	36	149	1
slim	ENSG00000143740.15	13150	30796	30796	13150	9	464	1
slim	ENSG00000196428.13	13021	34989	34989	13021	24	780	1
slim	ENSG00000140983.15	8156	458	8156	458	18	618	1
slim	ENSG00000143252.17	13489	20999	13489	20999	34	169	1
slim	ENSG00000127054.22	21178	27423	21178	27423	29	600	1
slim	ENSG00000100311.17	9524	16668	9524	16668	19	241	2
slim	ENSG00000213639.11	17913	22547	17913	22547	28	327	1
slim	ENSG00000051108.15	21503	16337	21503	16337	25	391	1
slim	ENSG00000081189.17	24975	20376	24975	20376	40	473	16
slim	ENSG00000160808.13	6142	20921	6142	20921	18	213	1
slim	ENSG00000120725.13	17781	4700	17781	4700	36	497	1
slim	ENSG00000107223.13	2294	14429	2294	14429	22	148	4
slim	ENSG00000154719.14	7449	11441	11441	7449	27	348	6
slim	ENSG00000198721.13	16397	12932	16397	12932	28	392	1
slim	ENSG00000142453.13	9198	10907	9198	10907	23	608	1
slim	ENSG00000084234.18	4352	10221	10221	4352	12	763	1
slim	ENSG00000107669.19	2298	13763	2298	13763	39	518	11
slim	ENSG00000131652.14	9131	28894	9131	28894	24	341	1
slim	ENSG00000151532.15	36041	17368	17368	36041	7	224	1
slim	ENSG00000198836.11	12921	13026	12921	13026	18	1015	1
slim	ENSG00000172943.21	12227	10219	10219	12227	36	1022	2
slim	ENSG00000143537.14	12007	11820	12007	11820	24	863	1
slim	ENSG00000100991.12	3178	22314	3178	22314	8	797	1
slim	ENSG00000103145.11	3015	28878	3015	28878	25	138	3
slim	ENSG00000125970.12	2955	15416	2955	15416	16	306	1
slim	ENSG00000143570.19	11864	31037	11864	31037	25	349	1
slim	ENSG00000047634.15	16381	16382	16381	16382	28	329	1
slim	ENSG00000084234.18	32414	10221	10221	32414	12	763	1
slim	ENSG00000106608.17	22418	18881	22418	18881	9	931	1
slim	ENSG00000123684.13	848	13227	13227	848	33	403	1
slim	ENSG00000189157.14	1289	20426	20426	1289	15	408	1
slim	ENSG00000205309.14	30758	16962	16962	30758	19	306	2
slim	ENSG00000115738.10	18120	2593	18120	2593	36	170	1
slim	ENSG00000140463.15	28370	4951	4951	28370	22	522	3
slim	ENSG00000141698.17	21210	559	21210	559	8	300	1
slim	ENSG00000162688.17	13030	31582	13030	31582	27	1022	5
slim	ENSG00000148634.16	17889	15066	15066	17889	8	1022	2
slim	ENSG00000143379.13	35233	13745	35233	13745	21	1022	3
slim	ENSG00000122490.19	18434	12144	18434	12144	18	271	1
slim	ENSG00000160094.15	27052	1227	27052	1227	13	420	1
slim	ENSG00000164924.18	18048	18045	18048	18045	34	279	1
slim	ENSG00000166436.18	32061	36034	32061	36034	37	1022	2
slim	ENSG00000109113.20	17894	17893	17894	17893	8	259	1
slim	ENSG00000143889.16	22122	12302	22122	12302	9	542	2
slim	ENSG00000151726.16	5605	36067	5605	36067	16	698	6
slim	ENSG00000146282.19	35207	13880	13880	35207	16	588	2
slim	ENSG00000104763.20	31596	25827	31596	25827	25	395	1
slim	ENSG00000170471.15	4212	18273	4212	18273	5	1022	2
slim	ENSG00000124356.17	10375	17586	17586	10375	31	455	1
slim	ENSG00000033327.13	12918	10438	12918	10438	38	676	1
slim	ENSG00000071242.13	4766	36307	4766	36307	32	733	6
slim	ENSG00000136161.13	10938	27387	10938	27387	24	551	1
slim	ENSG00000127463.16	23739	15436	23739	15436	6	998	2
slim	ENSG00000114346.14	17274	2529	17274	2529	31	914	1
slim	ENSG00000051009.11	4807	22142	22142	4807	14	986	1
slim	ENSG00000157554.20	5935	18607	5935	18607	24	479	1
slim	ENSG00000109016.18	17939	29046	17939	29046	17	327	1
slim	ENSG00000165119.22	15642	35943	15642	35943	11	464	4
slim	ENSG00000175575.13	7768	26779	7768	26779	33	392	4
slim	ENSG00000122779.18	10834	19853	10834	19853	34	1022	2
slim	ENSG00000055955.17	4823	19192	4823	19192	30	930	1
slim	ENSG00000128609.16	11769	23322	11769	23322	39	116	4
slim	ENSG00000171867.18	16249	20404	16249	20404	15	275	4
slim	ENSG00000022267.19	14189	17618	14189	17618	16	296	1
slim	ENSG00000135046.15	3535	15751	3535	15751	24	370	1
slim	ENSG00000136270.14	3650	24561	3650	24561	22	631	1
slim	ENSG00000124570.21	16482	31796	16482	31796	13	337	3
slim	ENSG00000144747.17	32129	18565	18565	32129	3	1022	2
slim	ENSG00000165219.23	6626	23319	6626	23319	27	1022	2
slim	ENSG00000112769.20	2496	17000	2496	17000	7	1022	2
slim	ENSG00000042493.16	19527	4411	4411	19527	28	382	7
slim	ENSG00000082805.21	12753	27277	12753	27277	28	1022	2
slim	ENSG00000188343.14	25661	20362	25661	20362	38	289	1
slim	ENSG00000112419.15	21548	20687	21548	20687	14	645	1
slim	ENSG00000108433.17	31708	31721	31708	31721	16	212	4
slim	ENSG00000147421.18	26036	5899	5899	26036	26	444	3
slim	ENSG00000163629.13	19637	20655	19637	20655	19	1022	0
slim	ENSG00000198771.11	13460	26860	13460	26860	30	416	1
slim	ENSG00000139684.15	16113	23430	16113	23430	21	282	5
slim	ENSG00000142973.16	14518	14517	14518	14517	15	512	1
slim	ENSG00000147256.12	14261	31674	14261	31674	36	535	1
slim	ENSG00000122545.22	11320	21195	11320	21195	36	437	1
slim	ENSG00000120333.4	23668	13422	23668	13422	20	133	1
slim	ENSG00000071889.17	21994	20063	21994	20063	17	230	1
slim	ENSG00000087191.14	7735	35906	7735	35906	24	406	3
slim	ENSG00000100902.11	27890	3883	3883	27890	7	252	1
slim	ENSG00000170776.22	12837	17709	17709	12837	25	1022	0
slim	ENSG00000125968.10	15624	15623	15624	15623	13	155	3
slim	ENSG00000198399.16	11663	13049	11663	13049	27	1022	2
slim	ENSG00000079308.21	32102	34335	34335	32102	32	1022	4
slim	ENSG00000168769.14	27109	16377	16377	27109	21	1022	2
slim	ENSG00000095321.18	8435	22748	8435	22748	21	626	1
slim	ENSG00000075415.15	27787	27850	27850	27787	13	362	7
slim	ENSG00000009307.17	12333	35111	12333	35111	38	798	2
slim	ENSG00000181830.9	8084	21654	8084	21654	13	364	1
slim	ENSG00000178252.19	17932	30212	30212	17932	30	1022	2
slim	ENSG00000111142.14	8923	27504	8923	27504	24	478	1
slim	ENSG00000177830.18	8917	21272	8917	21272	26	419	1
slim	ENSG00000197576.15	30335	12606	12606	30335	7	335	1
slim	ENSG00000144677.15	5261	21718	5261	21718	37	382	2
slim	ENSG00000168769.14	25427	16377	16377	25427	21	1022	2
slim	ENSG00000168803.16	28371	20704	28371	20704	27	355	1
slim	ENSG00000104856.15	2176	24986	2176	24986	3	562	1
slim	ENSG00000184014.9	9287	34182	9287	34182	24	1022	2
slim	ENSG00000141367.14	5027	36292	5027	36292	37	1022	2
slim	ENSG00000120963.12	1543	7835	7835	1543	8	164	1
slim	ENSG00000136111.14	15879	20947	15879	20947	8	1022	2
slim	ENSG00000103274.11	5686	21086	5686	21086	14	320	2
slim	ENSG00000104164.12	28505	2137	2137	28505	33	177	6
slim	ENSG00000149090.13	31110	30963	30963	31110	17	737	1
slim	ENSG00000143933.20	22599	5211	5211	22599	40	188	1
slim	ENSG00000151233.11	18578	5574	18578	5574	31	440	1
slim	ENSG00000137133.11	3719	22880	3719	22880	29	163	2
slim	ENSG00000141577.14	5058	22241	22241	5058	3	1022	2
slim	ENSG00000243943.10	16319	11712	11712	16319	5	593	2
slim	ENSG00000101337.16	18494	2031	18494	2031	17	642	1
slim	ENSG00000089597.18	11070	11950	11950	11070	23	971	2
slim	ENSG00000164011.18	32508	14692	32508	14692	31	315	1
slim	ENSG00000131844.17	10530	34569	10530	34569	38	563	1
slim	ENSG00000132155.14	21647	3167	3167	21647	20	668	1
slim	ENSG00000173267.14	14541	130	14541	130	33	160	1
slim	ENSG00000107829.15	32932	9535	9535	32932	26	593	1
slim	ENSG00000182718.18	22267	9644	22267	9644	14	357	5
slim	ENSG00000125846.17	31336	31141	31336	31141	3	657	1
slim	ENSG00000136682.16	3687	1070	3687	1070	34	395	1
slim	ENSG00000125846.17	31336	15889	31336	15889	4	657	2
slim	ENSG00000111328.7	30823	3938	3938	30823	28	125	4
slim	ENSG00000075945.13	12949	636	12949	636	30	792	5
slim	ENSG00000184432.11	9687	25380	9687	25380	37	906	5
slim	ENSG00000122203.15	6673	17511	6673	17511	19	305	1
slim	ENSG00000148700.15	11844	12617	11844	12617	32	706	1
slim	ENSG00000149187.19	34911	12341	34911	12341	28	514	2
slim	ENSG00000114739.14	1180	11423	11423	1180	40	533	6
slim	ENSG00000178568.16	10756	21299	10756	21299	16	1022	0
slim	ENSG00000129084.19	18138	26429	18138	26429	25	263	1
slim	ENSG00000115365.13	22117	22216	22216	22117	12	411	1
slim	ENSG00000012048.26	23383	24564	23383	24564	22	1022	0
slim	ENSG00000164051.14	17980	1184	17980	1184	9	411	1
slim	ENSG00000187239.19	35723	21883	21883	35723	28	645	1
slim	ENSG00000112562.20	11553	11878	11878	11553	11	457	1
slim	ENSG00000196218.15	12517	36257	12517	36257	5	1022	0
slim	ENSG00000205423.12	22712	20672	20672	22712	17	142	1
slim	ENSG00000239900.14	31165	31593	31165	31593	6	484	2
slim	ENSG00000105576.16	20497	11991	20497	11991	10	897	1
slim	ENSG00000248333.9	19244	10645	10645	19244	14	795	1
slim	ENSG00000158864.13	33549	33805	33549	33805	32	469	2
slim	ENSG00000107758.16	12702	17783	12702	17783	11	524	2
slim	ENSG00000135902.10	3609	27291	3609	27291	15	517	1
slim	ENSG00000064886.14	21817	13933	13933	21817	5	390	1
slim	ENSG00000197535.16	18655	18653	18655	18653	25	1022	0
slim	ENSG00000186501.15	15177	30215	15177	30215	24	188	1
slim	ENSG00000170802.17	10484	966	10484	966	8	431	1
slim	ENSG00000112855.17	2499	31810	2499	31810	33	506	1
slim	ENSG00000139636.16	4892	27548	4892	27548	20	489	1
slim	ENSG00000143537.14	12007	12454	12007	12454	25	863	1
slim	ENSG00000052723.12	13876	1667	1667	13876	4	211	1
slim	ENSG00000151576.10	24101	5597	5597	24101	12	427	1
slim	ENSG00000100749.9	27885	33940	27885	33940	26	420	2
slim	ENSG00000170290.4	7308	26132	7308	26132	38	120	3
slim	ENSG00000157554.20	5935	18608	5935	18608	24	479	1
slim	ENSG00000141504.12	5043	28868	5043	28868	40	232	2
slim	ENSG00000063601.17	24344	21833	21833	24344	16	682	3
slim	ENSG00000140553.18	20012	17653	20012	17653	15	944	1
slim	ENSG00000141179.14	5020	28958	5020	28958	21	214	5
slim	ENSG00000165533.19	31136	11083	31136	11083	30	505	1
slim	ENSG00000138674.17	22060	25164	22060	25164	15	1022	2
slim	ENSG00000151623.15	31266	12250	12250	31266	4	988	1
slim	ENSG00000143603.19	30818	5178	5178	30818	16	746	1
slim	ENSG00000157540.22	32153	32183	32153	32183	29	754	1
slim	ENSG00000142864.15	14278	12828	12828	14278	21	402	2
slim	ENSG00000108883.13	20575	18891	20575	18891	35	972	1
slim	ENSG00000128609.16	11769	30379	11769	30379	15	116	1
slim	ENSG00000126012.14	15482	15478	15482	15478	3	1022	0
slim	ENSG00000185359.14	9359	33500	9359	33500	9	777	1
slim	ENSG00000109381.21	34841	17640	34841	17640	12	593	1
slim	ENSG00000273253.3	825	30199	30199	825	7	147	1
slim	ENSG00000143727.16	5181	5182	5181	5182	28	164	12
slim	ENSG00000144061.14	19956	21846	21846	19956	36	711	2
slim	ENSG00000063245.15	5112	1692	5112	1692	26	576	2
slim	ENSG00000106771.13	15294	19751	15294	19751	8	879	1
slim	ENSG00000141499.18	18153	8244	18153	8244	28	576	1
slim	ENSG00000085998.15	14530	34790	14530	34790	33	660	1
slim	ENSG00000184634.17	15181	35231	15181	35231	4	1022	0
slim	ENSG00000138326.21	30548	14640	14640	30548	3	133	1
slim	ENSG00000128654.14	3069	20153	3069	20153	11	263	2
slim	ENSG00000138434.17	20967	19336	20967	19336	22	1022	0
slim	ENSG00000177426.22	10865	19120	10865	19120	20	272	1
slim	ENSG00000105854.13	31416	21059	31416	21059	12	375	1
slim	ENSG00000163513.20	12407	6357	6357	12407	25	592	2
slim	ENSG00000129187.15	12038	21393	21393	12038	11	189	1
slim	ENSG00000134321.13	16737	34092	16737	34092	8	369	1
slim	ENSG00000009844.16	13412	31036	13412	31036	27	307	1
slim	ENSG00000082641.16	13062	12962	13062	12962	11	772	1
slim	ENSG00000121073.15	2757	32405	2757	32405	4	365	1
slim	ENSG00000196935.10	11654	31386	11654	31386	36	1022	6
slim	ENSG00000162946.24	21487	13117	21487	13117	22	854	1
slim	ENSG00000163517.15	1166	6358	6358	1166	34	380	1
slim	ENSG00000080815.20	8996	28103	8996	28103	4	467	1
slim	ENSG00000160299.19	35406	12508	12508	35406	11	1022	0
slim	ENSG00000162639.16	90	32551	32551	90	12	401	4
slim	ENSG00000132664.13	35554	15873	15873	35554	7	362	1
slim	ENSG00000239900.14	1960	31165	31165	1960	28	498	5
slim	ENSG00000152422.16	25355	18057	18057	25355	3	336	1
slim	ENSG00000119977.22	4812	30595	4812	30595	23	625	2
slim	ENSG00000107862.7	33174	33583	33174	33583	38	1022	3
slim	ENSG00000116191.19	13414	13413	13414	13413	26	583	1
slim	ENSG00000135655.16	5554	11468	5554	11468	32	984	2
slim	ENSG00000103978.17	28545	17032	17032	28545	28	556	6
slim	ENSG00000104299.15	25840	19923	25840	19923	21	658	1
slim	ENSG00000115216.14	16348	2572	16348	2572	8	543	1
slim	ENSG00000116001.17	21090	19858	21090	19858	12	386	1
slim	ENSG00000157450.16	28231	11201	11201	28231	9	995	1
slim	ENSG00000102054.18	16393	19008	16393	19008	9	425	1
slim	ENSG00000143437.21	12340	25557	12340	25557	14	789	2
slim	ENSG00000059758.8	3832	27281	3832	27281	13	523	4
slim	ENSG00000072121.17	11119	33514	11119	33514	26	1022	0
slim	ENSG00000100644.17	27004	10078	10078	27004	32	850	5
slim	ENSG00000101333.19	16061	34897	16061	34897	12	1022	2
slim	ENSG00000169139.12	25979	25859	25979	25859	40	145	1
slim	ENSG00000117984.15	2650	13283	2650	13283	35	412	1
slim	ENSG00000150593.18	5541	17376	5541	17376	14	469	1
slim	ENSG00000080189.15	14606	27320	14606	27320	21	365	1
slim	ENSG00000148834.13	13924	13923	13924	13923	33	241	1
slim	ENSG00000177556.12	1371	1370	1371	1370	32	120	8
slim	ENSG00000173482.17	9613	18751	9613	18751	36	1022	4
slim	ENSG00000147130.14	8115	15158	8115	15158	12	1022	2
slim	ENSG00000114737.16	24442	11229	11229	24442	16	264	2
slim	ENSG00000122085.17	2788	17122	17122	2788	3	388	1
slim	ENSG00000108312.16	21268	26600	21268	26600	37	764	1
slim	ENSG00000100714.18	32662	35533	32662	35533	31	935	6
slim	ENSG00000075413.19	20797	27904	20797	27904	9	753	1
slim	ENSG00000217128.13	25272	7517	25272	7517	28	1022	2
slim	ENSG00000234899.12	586	587	586	587	27	114	5
slim	ENSG00000163875.16	6427	1244	6427	1244	13	189	2
slim	ENSG00000100280.17	12150	19100	12150	19100	10	949	2
slim	ENSG00000133110.15	16324	16325	16324	16325	31	850	2
slim	ENSG00000010256.12	1832	36288	1832	36288	14	480	1
slim	ENSG00000286322.3	32874	35145	35145	32874	3	113	1
slim	ENSG00000123143.13	10685	2824	2824	10685	10	948	3
slim	ENSG00000183621.15	21267	9579	21267	9579	11	828	2
slim	ENSG00000177728.17	8097	29026	8097	29026	16	1022	2
slim	ENSG00000070087.15	22387	2741	2741	22387	40	171	8
slim	ENSG00000198860.14	32036	26613	32036	26613	40	171	2
slim	ENSG00000132510.11	3377	22032	22032	3377	39	1022	0
slim	ENSG00000164615.6	6553	1358	6553	1358	22	296	1
slim	ENSG00000005889.16	16198	7204	7204	16198	39	844	1
slim	ENSG00000137449.17	26932	16805	26932	16805	36	1022	3
slim	ENSG00000185760.18	10664	14116	14116	10664	19	951	1
slim	ENSG00000166181.13	26480	22556	26480	22556	19	524	5
slim	ENSG00000144231.11	5230	19578	5230	19578	37	142	2
slim	ENSG00000176896.9	833	35441	35441	833	30	381	1
slim	ENSG00000177728.17	8097	29027	8097	29027	16	1022	2
slim	ENSG00000047249.18	12504	11672	12504	11672	18	483	1
slim	ENSG00000106771.13	15294	61	15294	61	39	879	1
slim	ENSG00000125170.11	28602	10430	10430	28602	39	365	1
slim	ENSG00000163635.20	33242	23542	33242	23542	5	892	1
slim	ENSG00000087111.22	7559	17911	7559	17911	10	555	1
slim	ENSG00000148700.15	11844	5450	11844	5450	32	706	1
slim	ENSG00000171566.12	24797	6998	24797	6998	9	514	1
slim	ENSG00000162222.14	26552	8284	8284	26552	40	211	1
slim	ENSG00000080815.20	8996	12178	8996	12178	4	467	1
slim	ENSG00000070214.17	15324	15325	15324	15325	7	657	1
slim	ENSG00000131730.16	21360	3315	3315	21360	27	446	4
slim	ENSG00000169592.15	28407	7202	28407	7202	39	244	1
slim	ENSG00000136273.14	3652	21004	3652	21004	21	280	1
slim	ENSG00000157911.11	5959	21984	21984	5959	20	346	1
slim	ENSG00000100150.20	32558	31805	32558	31805	32	1022	2
slim	ENSG00000113048.19	35361	3867	3867	35361	22	427	1
slim	ENSG00000160211.20	21463	17469	17469	21463	31	546	2
slim	ENSG00000182196.14	8209	21490	8209	21490	8	237	1
slim	ENSG00000112531.17	12990	12816	12990	12816	16	341	2
slim	ENSG00000174891.14	30403	23998	30403	23998	31	334	4
slim	ENSG00000163539.19	23244	34330	34330	23244	10	1022	4
slim	ENSG00000163938.17	20010	17769	20010	17769	32	569	1
slim	ENSG00000175287.19	14718	11448	14718	11448	21	291	1
slim	ENSG00000100714.18	32662	35534	32662	35534	31	935	6
slim	ENSG00000158571.11	15399	853	15399	853	37	479	3
slim	ENSG00000125967.17	2954	15443	2954	15443	34	396	1
slim	ENSG00000163328.14	17243	30581	17243	30581	28	870	1
slim	ENSG00000129071.10	20807	25092	20807	25092	38	574	5
slim	ENSG00000106603.20	2283	21900	2283	21900	3	190	1
slim	ENSG00000088682.14	4156	28610	4156	28610	39	318	2
slim	ENSG00000007255.10	1585	29279	29279	1585	14	179	1
slim	ENSG00000101557.15	3917	29154	3917	29154	35	494	1
slim	ENSG00000101811.15	19847	14832	14832	19847	20	605	1
slim	ENSG00000171421.13	25199	24983	24983	25199	26	148	2
slim	ENSG00000127445.14	29446	3010	3010	29446	28	172	6
slim	ENSG00000129353.15	29284	9923	9923	29284	22	711	7
slim	ENSG00000089157.16	17235	27811	17235	27811	39	317	1
slim	ENSG00000123240.17	16118	16122	16118	16122	6	577	1
slim	ENSG00000139793.21	33903	15701	33903	15701	18	391	1
slim	ENSG00000087191.14	7735	29016	7735	29016	8	406	1
slim	ENSG00000114062.22	32262	31606	32262	31606	20	872	1
slim	ENSG00000128607.14	9889	1492	9889	1492	29	442	1
slim	ENSG00000136682.16	3687	19904	3687	19904	19	395	1
slim	ENSG00000110958.16	4031	22044	4031	22044	21	160	1
slim	ENSG00000107864.15	4814	19658	4814	19658	33	698	2
slim	ENSG00000176623.12	19184	20895	19184	20895	30	314	1
slim	ENSG00000109171.15	1276	4512	4512	1276	27	607	1
slim	ENSG00000170846.17	31456	21764	31456	21764	5	165	1
slim	ENSG00000196628.20	11545	28688	11545	28688	29	671	3
slim	ENSG00000102081.16	2054	21516	2054	21516	25	611	1
slim	ENSG00000153071.15	8667	27431	8667	27431	21	770	1
slim	ENSG00000152430.19	8756	1114	8756	1114	24	295	1
slim	ENSG00000139746.16	21424	21423	21424	21423	24	1007	1
slim	ENSG00000124615.21	10508	1405	10508	1405	16	628	1
slim	ENSG00000086991.13	4314	20392	4314	20392	24	578	1
slim	ENSG00000119242.9	2692	27453	2692	27453	17	331	1
slim	ENSG00000168310.12	35503	17473	17473	35503	7	356	1
slim	ENSG00000162946.24	21487	13118	21487	13118	22	854	1
slim	ENSG00000169727.14	29015	8636	29015	8636	16	487	1
slim	ENSG00000129103.19	32532	21145	21145	32532	19	320	1
slim	ENSG00000134470.21	16366	26098	16366	26098	36	267	1
slim	ENSG00000167118.11	23369	14795	14795	23369	33	121	5
slim	ENSG00000132514.14	3378	19907	19907	3378	27	316	1
slim	ENSG00000092108.22	22766	33604	22766	33604	32	648	2
slim	ENSG00000130717.13	14603	14601	14603	14601	10	277	2
slim	ENSG00000172977.13	10577	15781	10577	15781	38	551	2
slim	ENSG00000109103.12	9926	6897	9926	6897	39	240	5
slim	ENSG00000161671.17	9846	15753	9846	15753	34	262	7
slim	ENSG00000127054.22	27093	21178	21178	27093	16	606	3
slim	ENSG00000124225.16	10636	11118	10636	11118	35	287	2
slim	ENSG00000104218.16	4089	33482	4089	33482	36	1022	3
slim	ENSG00000174547.13	7805	20879	7805	20879	26	192	1
slim	ENSG00000166816.15	6803	22207	22207	6803	28	522	2
slim	ENSG00000108465.15	26816	10247	10247	26816	26	531	1
slim	ENSG00000124831.20	1146	7573	7573	1146	21	659	1
slim	ENSG00000152430.19	8756	1113	8756	1113	24	295	1
slim	ENSG00000168958.21	1141	7207	7207	1141	25	316	1
slim	ENSG00000096746.18	4798	11592	4798	11592	15	346	1
slim	ENSG00000148358.21	14657	11113	11113	14657	19	571	1
slim	ENSG00000163629.13	25330	19637	19637	25330	6	1022	2
slim	ENSG00000106665.16	2287	12933	2287	12933	35	1022	2
slim	ENSG00000162065.15	32069	28608	32069	28608	6	559	1
slim	ENSG00000084234.18	4351	10221	10221	4351	12	763	1
slim	ENSG00000130414.13	3222	33810	3222	33810	34	355	1
slim	ENSG00000150347.17	5534	34170	5534	34170	8	1022	3
slim	ENSG00000107959.17	2301	33608	2301	33608	28	1022	4
slim	ENSG00000150527.18	5538	18089	5538	18089	29	804	1
slim	ENSG00000116580.20	30687	13573	13573	30687	33	1022	7
slim	ENSG00000124749.18	2896	14232	2896	14232	3	957	1
slim	ENSG00000163995.22	27400	21942	21942	27400	36	679	3
slim	ENSG00000108506.14	21799	3138	3138	21799	8	1022	2
slim	ENSG00000134283.18	12292	30498	12292	30498	26	367	3
slim	ENSG00000110031.13	17863	26336	17863	26336	35	414	3
slim	ENSG00000141380.14	19823	5028	19823	5028	31	418	1
slim	ENSG00000081248.13	13066	13328	13066	13328	19	1022	0
slim	ENSG00000096384.20	14428	30980	14428	30980	31	755	1
slim	ENSG00000136436.16	22035	3662	3662	22035	24	470	1
slim	ENSG00000170266.16	7453	18672	7453	18672	30	677	1
slim	ENSG00000156219.18	11785	11270	11785	11270	11	389	1
slim	ENSG00000122778.10	20271	21512	20271	21512	16	1022	0
slim	ENSG00000132153.15	21816	17992	21816	17992	39	1022	3
slim	ENSG00000253729.9	8092	10241	8092	10241	34	1022	2
slim	ENSG00000186522.15	18418	18419	18418	18419	23	454	1
slim	ENSG00000142186.18	5101	20115	5101	20115	17	808	1
slim	ENSG00000127511.10	16339	3012	3012	16339	36	1022	3
slim	ENSG00000108799.13	20758	29273	20758	29273	40	747	1
slim	ENSG00000155755.20	19563	19461	19563	19461	12	408	2
slim	ENSG00000219545.12	31552	34423	34423	31552	32	169	1
slim	ENSG00000101158.15	32653	22846	32653	22846	18	599	1
slim	ENSG00000165806.21	31084	13827	13827	31084	33	336	1
slim	ENSG00000171885.18	16880	33087	16880	33087	6	329	1
slim	ENSG00000234456.11	32991	30424	32991	30424	39	141	6
slim	ENSG00000180596.9	1401	8106	8106	1401	5	133	1
slim	ENSG00000159479.17	6054	14675	14675	6054	33	301	1
slim	ENSG00000006125.18	30297	31103	30297	31103	14	951	1
slim	ENSG00000136104.22	36259	10016	10016	36259	7	319	1
