cls	gene	long_idx	short_idx	canonical_idx	other_idx	size	len_long	len_short	edit_span_long	n_intervals	first_edit_start
slim	TUBA8	58828	58826	58828	58826	40	449	426	35	5	407
slim	PPP1R1B	43269	43268	43269	43268	36	204	168	36	1	0
slim	PSMB3	44199	44196	44199	44196	13	205	193	13	3	190
slim	PALB2	39685	39682	39682	39685	24	1188	1186	14	4	1
slim	ZNF385D	62735	62736	62735	62736	6	395	392	6	2	1
slim	ELAVL4	15753	15752	15752	15753	14	380	366	14	1	258
slim	PUS7L	44871	44872	44871	44872	12	713	701	12	1	0
slim	C4orf48	6465	6466	6465	6466	33	128	95	33	1	0
slim	ACVR1B	877	876	877	876	36	505	476	36	5	464
slim	CTNNB1	11854	11861	11861	11854	3	783	781	3	1	80
slim	ENSG00000291068	18824	18823	18823	18824	7	258	251	7	1	1
slim	GNL3	23417	23416	23417	23416	12	549	537	12	1	0
slim	ZNF615	63299	63297	63299	63297	11	742	731	11	1	79
slim	PMM2	42318	42319	42318	42319	33	246	228	30	3	213
slim	PPP6R3	43443	43444	43444	43443	6	879	873	6	2	816
slim	MAN1B1	32152	32146	32152	32146	13	699	686	13	1	632
slim	NDUFV1	36872	36877	36872	36877	9	464	455	9	1	15
slim	CEP97	9113	9115	9113	9115	34	865	831	34	1	113
slim	AFDN	1397	1391	1397	1391	15	1831	1816	15	1	392
slim	NMRAL1	37670	37672	37672	37670	36	335	299	36	1	0
slim	RPSA	47895	47898	47895	47898	35	295	274	28	4	264
slim	SLC25A44	50670	50671	50671	50670	8	322	314	8	1	208
slim	CD200	8146	8144	8144	8146	25	294	269	25	1	4
slim	SMAP2	51493	51492	51493	51492	31	429	399	31	2	1
slim	FBXW2	21066	21067	21067	21066	32	486	454	32	1	0
slim	IRF2	27353	27356	27356	27353	7	356	349	7	1	0
slim	MAPK10	32452	32475	32452	32475	38	464	426	38	1	0
slim	GOLGA3	23487	23486	23487	23486	40	1498	1458	40	1	96
slim	IPO5	27251	27252	27251	27252	18	1115	1097	18	1	0
slim	NR3C2	38169	38171	38171	38169	4	988	984	4	1	633
slim	HIPK3	25425	25426	25425	25426	21	1215	1194	21	1	769
slim	RHOBTB2	46666	46663	46663	46666	9	736	727	9	1	0
slim	GSTO1	24417	24416	24417	24416	33	241	208	33	1	123
slim	ALG8	1998	1994	1998	1994	32	526	503	29	3	1
slim	MUTYH	35476	35481	35481	35476	25	546	521	25	2	0
slim	AREL1	3187	3188	3187	3188	34	823	789	34	1	789
slim	WDR17	60700	60702	60702	60700	40	1322	1283	40	2	0
slim	PTGES3	44496	44493	44493	44496	4	164	160	4	1	1
slim	GRIA2	24123	24145	24145	24123	19	892	883	16	6	350
slim	CHMP2B	9559	9557	9557	9559	28	229	213	23	4	1
slim	FIP1L1	21442	21428	21442	21428	36	594	583	24	3	212
slim	PLEKHG5	42104	42101	42104	42101	23	1085	1062	23	2	1
slim	ZNF511	62983	62984	62984	62983	35	262	252	29	6	227
slim	AKAP8L	1763	1751	1763	1751	34	646	612	34	1	60
slim	GRIPAP1	24271	24255	24271	24255	26	841	815	26	1	533
slim	NDUFV1	36872	36878	36872	36878	7	464	457	7	1	17
slim	NAP1L3	36170	36172	36170	36172	30	506	476	30	1	188
slim	ZDHHC23	61728	61729	61728	61729	26	435	409	26	3	406
slim	CDCA7L	8406	8405	8406	8405	10	454	445	10	1	444
slim	CALM3	6868	6869	6868	6869	36	149	113	36	1	0
slim	HARS2	24785	24787	24785	24787	33	506	473	33	1	210
slim	AOAH	2816	2815	2816	2815	32	575	543	32	1	42
slim	GTF3C5	24520	24522	24522	24520	7	526	519	7	1	389
slim	MNDA	34372	34370	34372	34370	13	407	396	13	2	393
slim	HIPK3	25425	25424	25425	25424	21	1215	1194	21	1	769
slim	CAMK2A	6906	6909	6906	6909	22	489	467	22	2	171
slim	SMARCA1	51494	51495	51494	51495	12	1070	1058	12	1	542
slim	PRMT7	43838	43848	43848	43838	24	713	692	24	3	686
slim	ENSG00000287273	17990	17991	17990	17991	33	208	185	28	2	0
slim	PUF60	44827	44817	44827	44817	29	559	530	29	1	8
slim	PSMC5	44241	44242	44241	44242	24	406	387	24	3	1
slim	TNIK	57180	57177	57180	57177	8	1360	1352	8	1	794
slim	SIPA1L1	50166	50162	50162	50166	21	1804	1783	21	1	1215
slim	ARFGAP2	3214	3210	3214	3210	28	521	493	28	1	132
slim	KIF21A	28781	28786	28781	28786	13	1674	1661	13	1	557
slim	TMEM237	56767	56770	56767	56770	12	408	400	12	2	1
slim	HCFC1R1	24867	24866	24867	24866	19	138	119	19	2	31
slim	SUMF2	54196	54191	54191	54196	34	305	301	19	2	0
slim	CADM1	6780	6785	6780	6785	29	471	442	29	1	360
slim	SAMHD1	48440	48436	48440	48436	35	626	591	35	1	502
slim	PFKFB3	40975	40973	40975	40973	13	520	514	13	3	505
slim	ZNF827	63708	63710	63708	63710	5	1081	1077	5	1	1076
slim	AP1G1	2839	2840	2840	2839	3	825	822	3	1	213
slim	SUZ12	54294	54297	54294	54297	23	739	716	23	1	128
slim	GAPVD1	22483	22478	22483	22478	21	1460	1439	21	1	556
slim	ZRANB2	63862	63864	63862	63864	19	330	320	18	4	309
slim	SNX10	52265	52258	52265	52258	9	201	192	9	1	175
slim	ZNF426	62810	62808	62810	62808	38	554	516	38	1	1
slim	CTSA	11925	11920	11920	11925	35	481	480	18	2	0
slim	FIG4	21409	21413	21409	21413	29	907	878	29	1	820
slim	TRMT112	58114	58113	58114	58113	32	125	106	28	5	91
slim	EEF1A1	15218	15206	15218	15206	3	462	459	3	1	48
slim	EPS15	19378	19372	19372	19378	37	933	896	37	1	217
slim	SKP1	50281	50285	50281	50285	11	163	158	9	3	152
slim	RRAGB	47930	47929	47929	47930	28	374	346	28	1	76
slim	BAIAP3	5041	5044	5044	5041	17	1169	1152	17	1	73
slim	DECR1	13114	13108	13114	13108	17	335	322	17	2	317
slim	ZNF286A	62541	62538	62541	62538	10	521	511	10	1	1
slim	MS4A7	34991	34985	34991	34985	30	250	240	23	10	216
slim	ARFIP2	3240	3239	3239	3240	33	374	341	33	1	65
slim	CSDE1	11522	11537	11522	11537	38	798	760	38	2	103
slim	CSNK1G3	11627	11625	11627	11625	33	456	423	33	2	282
slim	STX2	54030	54031	54030	54031	18	288	287	13	8	263
slim	PTPN13	44619	44616	44616	44619	5	2490	2485	5	1	1383
slim	ZFAT	61849	61851	61849	61851	12	1243	1231	12	1	0
slim	TMEM94	57009	57013	57013	57009	16	1366	1356	13	5	1
slim	SIRT5	50197	50192	50192	50197	36	313	310	23	4	286
slim	SNX10	52260	52265	52265	52260	30	227	201	30	4	1
slim	PHTF2	41338	41337	41338	41337	38	785	747	38	2	15
slim	UBE2B	59212	59211	59212	59211	9	152	143	9	1	80
slim	FAM153CP	20301	20300	20301	20300	29	173	144	29	1	0
slim	FIP1L1	21442	21447	21442	21447	34	594	578	25	2	212
slim	PRRC1	43987	43986	43986	43987	29	462	445	25	4	433
slim	AVL9	4838	4837	4838	4837	18	648	630	18	1	563
slim	ENSG00000290796	18654	18653	18654	18653	30	252	224	30	3	219
slim	PDHA1	40650	40649	40650	40649	31	390	359	31	1	169
slim	FASTK	20814	20820	20814	20820	27	549	522	27	1	201
slim	PSMD12	44277	44278	44277	44278	20	456	436	20	1	36
slim	PTBP1	44410	44409	44409	44410	3	559	557	3	2	1
slim	FXYD1	22100	22101	22101	22100	18	110	92	18	1	0
slim	FAM76A	20583	20585	20583	20585	31	307	288	27	2	279
slim	NQO1	38096	38098	38096	38098	38	274	236	38	1	101
slim	LETR1	29826	29817	29826	29817	28	129	101	28	1	0
slim	COL4A5	10726	10727	10726	10727	6	1691	1685	6	1	1264
slim	MAP1S	32232	32233	32232	32233	32	1059	1033	32	5	2
slim	C7orf50	6524	6522	6524	6522	40	194	178	32	9	0
slim	AMDHD2	2131	2132	2131	2132	23	409	386	23	1	324
slim	DCP2	12722	12720	12722	12720	15	420	405	15	2	1
slim	TMEM94	57013	57018	57013	57018	4	1356	1352	4	1	1212
slim	FANCM	20757	20746	20757	20746	26	2048	2022	26	1	227
slim	ACKR1	597	596	596	597	7	338	336	6	3	1
slim	TNKS	57194	57196	57194	57196	35	1327	1316	25	4	1299
slim	JTB	27857	27854	27857	27854	33	146	117	32	5	1
slim	FSD1L	21976	21977	21976	21977	33	530	497	33	2	5
slim	XPNPEP1	61096	61098	61096	61098	24	666	642	24	1	440
slim	KDM5D	28495	28496	28496	28495	31	1570	1539	31	1	457
slim	TRMT11	58112	58110	58112	58110	5	463	458	5	1	415
slim	JTB	27857	27856	27857	27856	33	146	117	32	5	1
slim	RBCK1	45879	45886	45886	45879	17	527	510	17	1	7
slim	BAIAP2	5030	5033	5033	5030	24	552	534	22	2	528
slim	AGO2	1514	1515	1514	1515	34	859	825	34	1	723
slim	LARP7	29588	29594	29594	29588	13	595	582	13	1	332
slim	PPP4R3A	43413	43410	43413	43410	13	833	820	13	1	409
slim	GLRA3	23162	23163	23162	23163	15	464	449	15	1	357
slim	RAPGEF6	45668	45666	45666	45668	8	1609	1601	8	1	1067
slim	EEF1A1	15218	15212	15218	15212	40	462	433	37	3	422
slim	RAP1GAP	45619	45618	45618	45619	34	681	663	26	2	478
slim	GIGYF2	22972	22976	22972	22976	6	1299	1293	6	1	237
slim	C1orf159	6299	6305	6299	6305	38	198	165	38	3	157
slim	ENSG00000291147	18940	18941	18940	18941	13	109	96	13	1	96
slim	MBNL1	32844	32848	32844	32848	12	382	370	12	1	320
slim	CANX	7048	7047	7047	7048	36	626	592	35	2	0
slim	PI4KB	41380	41379	41380	41379	15	816	801	15	1	303
slim	JKAMP	27783	27781	27783	27781	6	311	305	6	1	1
slim	SRI	53175	53176	53175	53176	24	198	180	22	4	1
slim	NFKBIA	37274	37273	37274	37273	16	317	305	14	2	302
slim	MYO1B	35756	35759	35756	35759	29	1136	1107	29	1	799
slim	ELAVL2	15744	15748	15748	15744	30	389	359	30	2	0
slim	PARP3	39908	39907	39908	39907	7	540	533	7	1	0
slim	YY1AP1	61344	61351	61344	61351	20	750	730	20	1	243
slim	SNX21	52337	52336	52337	52336	9	373	364	9	1	0
slim	ERGIC3	19574	19576	19576	19574	5	388	383	5	1	230
slim	POLR1B	42678	42677	42677	42678	38	1173	1135	38	1	0
slim	TMEM254	56802	56805	56805	56802	28	127	123	19	8	1
slim	NDRG2	36631	36630	36631	36630	14	371	357	14	1	25
slim	NOL8	37758	37753	37758	37753	38	1167	1129	38	1	786
slim	AIMP1	1659	1662	1659	1662	9	321	312	9	1	0
slim	YY1AP1	61344	61349	61344	61349	11	750	739	11	1	0
slim	CUL4B	12108	12099	12099	12108	29	904	895	20	3	1
slim	FAS	20798	20801	20801	20798	25	350	335	22	3	1
slim	CHPT1	9619	9621	9619	9621	10	406	398	10	3	393
slim	NCS1	36570	36569	36570	36569	20	190	172	20	2	1
slim	ZNF44	62854	62855	62854	62855	26	615	589	26	1	589
slim	TGDS	55730	55731	55730	55731	32	350	318	32	1	0
slim	RSRC1	48034	48039	48034	48039	31	334	314	27	4	304
slim	PSMC5	44241	44247	44241	44247	32	406	383	28	3	0
slim	RSPO3	48024	48025	48025	48024	22	292	272	22	4	265
slim	TMEM132B	56472	56474	56472	56474	21	1083	1078	16	5	1
slim	GLB1	23067	23068	23067	23068	30	677	647	30	1	0
slim	TRIM2	57885	57899	57885	57899	32	797	765	32	2	1
slim	CSDE1	11522	11530	11522	11530	31	798	767	31	1	103
slim	CAMSAP2	6997	6996	6996	6997	11	1489	1478	11	1	215
slim	CDK11A	8502	8500	8502	8500	11	780	770	11	1	108
slim	C19orf47	6233	6232	6233	6232	30	385	355	30	1	0
slim	NAMPT	36144	36149	36144	36149	3	491	488	3	1	71
slim	VTI1A	60506	60501	60506	60501	36	217	203	27	3	187
slim	HSP90B1	26114	26112	26114	26112	8	803	796	8	2	794
slim	MIF	33851	33852	33851	33852	20	115	113	16	5	94
slim	PTGES3	44493	44494	44493	44494	30	160	130	30	1	95
slim	P4HB	39520	39517	39520	39517	22	508	486	22	1	432
slim	TCF7L2	55384	55389	55384	55389	17	596	579	17	1	416
slim	ACO2	613	615	613	615	5	780	775	5	1	313
slim	NELFE	37046	37044	37044	37046	7	387	380	7	1	0
slim	P4HB	39488	39520	39520	39488	34	542	508	34	1	117
slim	ATAT1	4093	4097	4093	4097	33	333	300	33	4	194
slim	DHCR7	13378	13386	13378	13386	32	475	443	32	2	32
slim	FAM104B	20137	20136	20136	20137	36	116	115	20	10	40
slim	CHCHD5	9374	9376	9376	9374	15	124	110	15	1	0
slim	B2M	4872	4875	4875	4872	23	124	119	18	6	0
slim	TMEM161A	56549	56546	56549	56546	25	479	454	25	1	95
slim	CAMK1G	6899	6896	6899	6896	33	476	460	26	4	447
slim	SYT1	54501	54513	54501	54513	3	422	419	3	1	117
slim	RPL17	47476	47474	47476	47474	15	184	169	15	1	169
slim	HNRNPK	25778	25760	25778	25760	6	464	463	4	3	458
slim	CCDC127	7500	7497	7497	7500	39	299	260	39	1	0
slim	CELF4	8755	8747	8755	8747	3	486	484	3	2	149
slim	LAMTOR3	29518	29520	29518	29520	7	124	117	7	1	34
slim	HNRNPU	25809	25813	25809	25813	19	825	806	19	1	211
slim	PDZD4	40787	40786	40787	40786	40	660	626	38	3	0
slim	NUP214	38740	38741	38740	38741	13	2090	2078	13	1	589
slim	MIA2	33735	33730	33735	33730	5	809	804	5	1	128
slim	ZNF416	62789	62788	62789	62788	20	594	574	20	1	0
slim	ARNT	3750	3749	3750	3749	15	789	774	15	1	74
slim	CERT1	9175	9177	9175	9177	26	624	598	26	1	370
slim	SLC25A14	50561	50562	50561	50562	35	325	290	35	1	0
slim	NAPB	36191	36189	36191	36189	39	298	259	39	1	59
slim	PTPN2	44627	44624	44627	44624	30	415	387	30	4	381
slim	RBPJ	46153	46142	46153	46142	8	487	485	5	2	1
slim	NTRK2	38557	38535	38557	38535	16	838	822	16	1	465
slim	RIC8B	46728	46729	46728	46729	37	560	536	33	3	524
slim	CALM3	6868	6866	6868	6866	36	149	113	36	1	0
slim	CCDC47	7700	7703	7700	7703	38	483	480	24	3	457
slim	ALDH5A1	1916	1917	1917	1916	13	548	535	13	1	242
slim	ACSL1	691	693	691	693	10	698	688	10	1	507
slim	GABPB1	22247	22246	22246	22247	12	395	383	12	1	194
slim	LSM7	31589	31586	31586	31589	35	137	103	35	2	0
slim	GOLGA4	23499	23495	23495	23499	29	2250	2230	26	4	54
slim	ARHGEF2	3439	3434	3434	3439	27	987	986	17	4	1
slim	FNBP1	21703	21702	21703	21702	21	617	606	17	3	329
slim	TRIM39	57956	57955	57955	57956	30	518	488	30	1	268
slim	FAM221A	20487	20486	20487	20486	36	298	262	36	1	212
slim	SSX2IP	53430	53432	53430	53432	27	614	587	27	1	0
slim	PMPCB	42359	42356	42356	42359	22	490	489	15	7	469
slim	ARNT2	3760	3763	3760	3763	11	717	706	11	1	0
slim	STX16	54003	54004	54003	54004	21	325	304	21	1	27
slim	MEF2C	33325	33318	33325	33318	32	473	471	23	15	86
slim	NIF3L1	37395	37397	37395	37397	27	377	350	27	1	0
slim	ASL	3987	3986	3987	3986	26	464	438	26	1	174
slim	MIGA1	33866	33860	33866	33860	33	633	600	33	2	0
slim	RAB2A	45134	45135	45134	45135	24	212	188	24	1	15
slim	DLG1	13730	13738	13730	13738	38	893	871	31	4	635
slim	PCCB	40112	40117	40117	40112	20	559	539	20	1	363
slim	KIAA0930	28619	28621	28621	28619	32	413	404	24	4	1
slim	AP2A1	2866	2865	2865	2866	22	977	955	22	1	705
slim	HARS1	24770	24777	24770	24777	36	509	473	36	1	174
slim	AKR1C2	1812	1810	1812	1810	26	323	297	26	1	123
slim	SUV39H2-DT	54292	54293	54292	54293	18	149	131	18	1	0
slim	SLC35F5	50905	50903	50905	50903	13	523	517	11	2	1
slim	VPS72	60428	60427	60427	60428	11	375	364	11	1	236
slim	NAV3	36264	36267	36264	36267	22	2385	2363	22	1	1766
slim	BAZ2A	5090	5092	5090	5092	32	1903	1875	30	2	0
slim	STUM	53997	53996	53997	53996	3	141	138	3	2	127
slim	NAXE	36284	36280	36284	36280	21	288	267	21	1	221
slim	CRAT	11264	11255	11264	11255	24	626	602	24	1	532
slim	CLYBL	10253	10255	10253	10255	34	340	306	34	1	146
slim	AIFM3	1647	1648	1647	1648	9	605	596	9	2	427
slim	SLA	50298	50297	50297	50298	40	316	276	40	1	0
slim	SOX5	52562	52566	52562	52566	35	763	728	35	1	55
slim	CTDSPL	11805	11806	11805	11806	11	276	265	11	1	78
slim	C1GALT1	6242	6241	6242	6241	8	371	363	8	1	0
