gene	insert_frac	ratio	ec_norm	pool_norm	size	len_long
HMGA1	0.102803738317757	0.05332289	70.95439	3.783493	11	107
PIP5K1C	0.037463976945244955	0.03132652	61.46475	1.9254768	26	694
PPARGC1B	0.033235581622678395	0.012362676	66.50828	0.82222027	34	1023
UBE2D3	0.19727891156462585	0.068121	69.93493	4.7640376	29	147
PROKR2	0.027848101265822784	0.019864574	72.02225	1.4306912	11	395
PTPA	0.0182370820668693	0.069989294	65.67475	4.5965295	6	329
HGS	0.007662835249042145	0.0050950483	72.650085	0.3701557	6	783
CAMK2A	0.022494887525562373	0.021537418	76.96849	1.6577026	11	489
POGZ	0.004940014114326041	0.008278639	68.62576	0.56812793	7	1417
APP	0.025974025974025976	0.0106880795	63.271847	0.6762545	20	770
SCRN1	0.04608294930875576	0.028402116	66.41165	1.8862314	20	434
CDK2AP1	0.3007518796992481	0.15289173	60.89228	9.309926	40	133
SLC1A2	0.006968641114982578	0.008844216	74.147026	0.6557723	4	574
CSTPP1	0.017804154302670624	0.024902645	58.65473	1.460658	6	337
RAD51C	0.0851063829787234	0.02708653	72.62743	1.9672252	32	376
HMBS	0.04709141274238227	0.02996529	76.88452	2.303867	17	361
EIF3H	0.03825136612021858	0.0142404735	68.53466	0.97596604	14	366
GLYR1	0.0108499095840868	0.008186658	79.79072	0.6532193	6	553
CPEB2	0.027079303675048357	0.015516468	62.07869	0.963242	28	1034
GALK2	0.05240174672489083	0.022520686	75.71713	1.7052017	24	458
G3BP2	0.06846473029045644	0.03493683	69.558464	2.4301522	33	482
CELF2	0.04030710172744722	0.025588272	66.82843	1.7100241	21	521
SNAP91	0.005512679162072767	0.006711756	75.157425	0.5044383	5	907
EP300	0.010770505385252692	0.016291365	68.66699	1.118679	26	2414
FANCL	0.050666666666666665	0.028990148	61.317158	1.7775935	19	375
TMEM87B	0.04504504504504504	0.016065028	66.95956	1.0757071	25	555
FIP1L1	0.04713804713804714	0.020606074	60.902744	1.2549665	28	594
KLHL4	0.03194444444444444	0.020823877	65.674355	1.3675947	23	720
ZNF106	0.017313746065057714	0.029870715	73.812584	2.2048347	33	1906
ITPR1	0.0036258158085569255	0.009097229	63.114	0.5741625	10	2758
YKT6	0.085	0.095492736	65.88451	6.2914915	17	200
NME4	0.18181818181818182	0.077167146	54.66216	4.218123	34	187
DOCK7	0.014485981308411215	0.019872986	69.170135	1.3746171	31	2140
MRS2	0.08126410835214447	0.030904867	66.56635	2.0572243	36	443
CYRIB	0.033950617283950615	0.024092315	57.649704	1.3889148	11	324
ILDR2	0.0297339593114241	0.018094998	68.80755	1.2450725	19	639
PCSK6	0.013415892672858616	0.006717559	62.834476	0.4220943	13	969
HSPA1B	0.0343213728549142	0.0133637665	61.49086	0.8217495	22	641
MRPL11	0.17708333333333334	0.10478449	64.312744	6.738978	34	192
LYPD6B	0.11594202898550725	0.05121164	60.19877	3.0828776	24	207
ICOSLG	0.07260726072607261	0.026121678	68.73225	1.7954016	22	303
SLC8A1	0.03597122302158273	0.03614927	51.690105	1.8685596	35	973
DDX25	0.037267080745341616	0.01067718	69.16855	0.7385251	18	483
NBN	0.02204928664072633	0.024314672	60.14547	1.4624174	17	771
INKA2	0.05387205387205387	0.057990205	69.03184	4.0031705	16	297
SNX9	0.048	0.027351437	67.49058	1.8459643	30	625
AIMP1	0.028037383177570093	0.022058576	65.9216	1.4541366	9	321
CTSH	0.11343283582089553	0.061419457	72.92079	4.4787555	38	335
ATP5PF	0.1559633027522936	0.08209177	60.434673	4.9611893	17	109
PEX5L	0.05591054313099041	0.019276114	62.731487	1.2092193	35	626
NCL	0.022535211267605635	0.011249755	68.880775	0.7748918	16	710
BRCC3	0.07911392405063292	0.026246807	68.6575	1.8020401	25	316
TRAF3IP2	0.0156794425087108	0.013439026	66.18396	0.8894479	9	574
MLF1	0.09328358208955224	0.108413845	63.67062	6.9027767	25	268
LSM14B	0.09198113207547169	0.04155561	69.50214	2.8882036	39	424
TAFA5	0.2878787878787879	0.08903683	63.99248	5.6976876	38	132
RDX	0.0347682119205298	0.021501351	65.543785	1.40928	21	604
SEPTIN7	0.04805491990846682	0.02447361	70.01308	1.7134727	21	437
IMPDH1	0.044142614601018676	0.027891427	56.47935	1.5752897	26	589
DNM1L	0.017356475300400534	0.011936801	71.23305	0.85029465	13	749
TENT5A	0.04121475054229935	0.03282523	63.143093	2.0726867	19	461
TSPAN3	0.09881422924901186	0.08473767	81.46178	6.902881	25	253
MDM1	0.013812154696132596	0.014830994	60.360287	0.89520305	10	724
CELF1	0.054474708171206226	0.020078482	69.81096	1.4016981	28	514
MTCH1	0.043701799485861184	0.022215275	66.61075	1.4797761	17	389
ZIM2	0.05555555555555555	0.025869964	62.073765	1.605846	31	558
PLEKHB2	0.034782608695652174	0.027750231	68.31913	1.8958716	8	230
MBNL2	0.04603580562659847	0.049823813	73.41617	3.6578734	18	391
SRRT	0.005707762557077625	0.005064342	72.96481	0.3695188	5	876
MRPL43	0.04878048780487805	0.08569471	53.17689	4.556978	8	164
BAZ1A	0.02056555269922879	0.022780964	59.813786	1.3626157	32	1556
OPTN	0.010398613518197574	0.029063521	65.79525	1.9122416	6	577
HNRNPA2B1	0.0339943342776204	0.017239813	71.597046	1.2343197	12	353
HLA-C	0.016129032258064516	0.0104300035	75.18429	0.7841724	6	372
ENSG00000288921	0.0392156862745098	0.018120006	59.462055	1.0774528	26	663
MYL6B	0.15865384615384615	0.067600004	65.06777	4.3985815	33	208
MARK2	0.031725888324873094	0.020599518	68.30301	1.407009	25	788
GULP1	0.07894736842105263	0.04314788	63.17217	2.7257452	24	304
MEF2C	0.06765327695560254	0.03497879	69.55628	2.4329944	32	473
MOBP	0.12135922330097088	0.05690397	64.360146	3.6623478	25	206
ZBTB16	0.04309063893016345	0.014314202	77.38454	1.1076978	29	673
CCDC92	0.0513595166163142	0.022215413	72.377365	1.607893	17	331
SCMH1	0.03283582089552239	0.018395519	57.82289	1.0636821	22	670
IFT20	0.16455696202531644	0.0923094	59.78103	5.518351	26	158
ATAT1	0.03003003003003003	0.023210352	70.98863	1.6476711	10	333
SSR3	0.10270270270270271	0.06449156	64.93645	4.187853	19	185
ITCH	0.037122969837587005	0.03219842	74.42405	2.3963368	32	862
SRPK2	0.032904148783977114	0.01623364	68.53779	1.1126177	23	699
ANAPC5	0.017218543046357615	0.0074655786	58.711266	0.43831357	13	755
DDX1	0.008108108108108109	0.0067541087	65.733376	0.44397035	6	740
RNPS1	0.07540983606557378	0.043350287	71.570015	3.1025808	23	305
KICS2	0.049145299145299144	0.046797346	55.266098	2.5863068	23	468
CCDC149	0.020370370370370372	0.020461041	61.53508	1.2590718	11	540
CAV1	0.17415730337078653	0.08180316	60.024445	4.910189	31	178
FBXO2	0.09797297297297297	0.047830556	79.66387	3.8103673	29	296
ING5	0.058333333333333334	0.04420461	78.36203	3.463963	14	240
BANP	0.04716981132075472	0.028021207	67.34843	1.8871843	25	530
KIAA0513	0.024330900243309004	0.024458159	62.758324	1.534953	10	411
RPS15	0.18620689655172415	0.07724501	63.588615	4.9119034	27	145
MRE11	0.03954802259887006	0.017546048	68.52948	1.2024215	28	708
HNRNPA3	0.0582010582010582	0.028617239	70.8611	2.027849	22	378
ADSL	0.030991735537190084	0.034959115	66.25693	2.3162835	15	484
TBK1	0.05486968449931413	0.02644249	61.772915	1.6334298	40	729
KCNQ5	0.007454739084132056	0.006449213	69.91895	0.4509222	7	939
TUBA8	0.08908685968819599	0.039384857	72.269745	2.8463335	40	449
PPP1R1B	0.17647058823529413	0.08653147	61.891098	5.3555274	36	204
PSMB3	0.06341463414634146	0.027929017	69.907875	1.9524583	13	205
PALB2	0.020202020202020204	0.01939865	58.69438	1.1385918	24	1188
ZNF385D	0.015189873417721518	0.012151933	65.357834	0.794224	6	395
ELAVL4	0.03684210526315789	0.024574533	65.99749	1.6218575	14	380
PUS7L	0.016830294530154277	0.009612347	62.591698	0.6016531	12	713
C4orf48	0.2578125	0.080678545	71.798096	5.792566	33	128
ACVR1B	0.07128712871287128	0.022812983	67.740326	1.5453589	36	505
CTNNB1	0.0038314176245210726	0.0058189933	63.008354	0.3666452	3	783
ENSG00000291068	0.027131782945736434	0.015440199	69.93813	1.0798587	7	258
GNL3	0.02185792349726776	0.0123529	69.11033	0.853713	12	549
ZNF615	0.014824797843665768	0.016671408	61.142143	1.0193256	11	742
PMM2	0.13414634146341464	0.044006668	73.92518	3.2532008	33	246
PPP6R3	0.006825938566552901	0.015583023	61.24418	0.9543695	6	879
MAN1B1	0.01859799713876967	0.0118143065	73.29914	0.86597854	13	699
NDUFV1	0.01939655172413793	0.013205048	72.17216	0.9530368	9	464
CEP97	0.03930635838150289	0.0158987	75.425735	1.1991712	34	865
AFDN	0.008192244675040962	0.019499732	61.782726	1.2047466	15	1831
NMRAL1	0.10746268656716418	0.037474286	68.90218	2.58206	36	335
RPSA	0.11864406779661017	0.058363106	74.770935	4.363864	35	295
SLC25A44	0.024844720496894408	0.024169272	66.65103	1.6109068	8	322
CD200	0.08503401360544217	0.049631737	62.967922	3.1252074	25	294
SMAP2	0.07226107226107226	0.06960378	72.99262	5.080562	31	429
FBXW2	0.06584362139917696	0.029210662	62.246693	1.8182671	32	486
IRF2	0.019662921348314606	0.009461685	73.67205	0.6970617	7	356
MAPK10	0.08189655172413793	0.03403909	58.49028	1.990956	38	464
GOLGA3	0.0267022696929239	0.023182968	65.96635	1.5292957	40	1498
IPO5	0.016143497757847534	0.011545275	64.57559	0.745543	18	1115
NR3C2	0.004048582995951417	0.008454552	66.67167	0.5636791	4	988
HIPK3	0.01728395061728395	0.018322099	58.568382	1.0730957	21	1215
RHOBTB2	0.012228260869565218	0.007999534	67.20408	0.5376013	9	736
GSTO1	0.13692946058091288	0.047550686	73.91135	3.5145352	33	241
ALG8	0.060836501901140684	0.03104224	68.961105	2.1407073	32	526
MUTYH	0.045787545787545784	0.018159755	71.111694	1.2913709	25	546
AREL1	0.041312272174969626	0.014596591	65.15132	0.95098716	34	823
WDR17	0.030257186081694403	0.018256908	64.066475	1.1696558	40	1322
PTGES3	0.024390243902439025	0.020222325	72.686905	1.4698982	4	164
GRIA2	0.021300448430493273	0.010426772	68.82251	0.7175966	19	892
CHMP2B	0.1222707423580786	0.08290312	62.870277	5.212142	28	229
FIP1L1	0.06060606060606061	0.031087186	57.42167	1.7850782	36	594
PLEKHG5	0.02119815668202765	0.010407387	69.76914	0.7261145	23	1085
ZNF511	0.13358778625954199	0.05624585	62.265003	3.502148	35	262
AKAP8L	0.05263157894736842	0.020471709	66.7247	1.3659687	34	646
GRIPAP1	0.030915576694411414	0.0120326895	72.42308	0.87144446	26	841
NDUFV1	0.015086206896551725	0.008413963	73.12909	0.6153055	7	464
NAP1L3	0.05928853754940711	0.031148603	77.04123	2.3997266	30	506
ZDHHC23	0.059770114942528735	0.02268392	62.354958	1.4144549	26	435
CDCA7L	0.022026431718061675	0.012013063	67.76846	0.8141068	10	454
CALM3	0.24161073825503357	0.06710777	75.435905	5.062335	36	149
HARS2	0.06521739130434782	0.017203035	71.1158	1.2234075	33	506
AOAH	0.05565217391304348	0.04773776	68.879074	3.2881327	32	575
GTF3C5	0.013307984790874524	0.020838423	59.50681	1.240028	7	526
MNDA	0.03194103194103194	0.017622244	61.471638	1.0832682	13	407
HIPK3	0.01728395061728395	0.018322099	58.568382	1.0730957	21	1215
CAMK2A	0.044989775051124746	0.04403694	77.27894	3.403128	22	489
SMARCA1	0.011214953271028037	0.008674572	71.90863	0.6237766	12	1070
PRMT7	0.033660589060308554	0.015965926	69.14049	1.1038918	24	713
ENSG00000287273	0.15865384615384615	0.065175824	69.954704	4.5593557	33	208
PUF60	0.0518783542039356	0.025404336	68.230125	1.733341	29	559
PSMC5	0.059113300492610835	0.028248476	66.95945	1.8915024	24	406
TNIK	0.0058823529411764705	0.009986203	65.071304	0.64981526	8	1360
ARFGAP2	0.053742802303262956	0.018416656	63.911694	1.1770397	28	521
KIF21A	0.007765830346475508	0.016459327	69.41233	1.1424803	13	1674
TMEM237	0.029411764705882353	0.017044902	64.79706	1.1044595	12	408
HCFC1R1	0.13768115942028986	0.15082002	66.013336	9.956133	19	138
SUMF2	0.11147540983606558	0.04009055	63.96428	2.564363	34	305
CADM1	0.06157112526539278	0.022888917	69.65699	1.5943731	29	471
SAMHD1	0.05591054313099041	0.02409319	67.993065	1.6381699	35	626
PFKFB3	0.025	0.015526261	69.529526	1.0795336	13	520
AP1G1	0.0036363636363636364	0.0040290467	76.64691	0.308814	3	825
SUZ12	0.03112313937753721	0.015106402	57.579914	0.86982536	23	739
GAPVD1	0.014383561643835616	0.013191162	64.84762	0.8554154	21	1460
ZRANB2	0.05757575757575758	0.03818184	78.277985	2.9887977	19	330
SNX10	0.04477611940298507	0.026197957	80.285255	2.1033096	9	201
ZNF426	0.06859205776173286	0.045497898	59.099945	2.6889234	38	554
CTSA	0.07276507276507277	0.027223084	76.115974	2.0721116	35	481
FIG4	0.03197353914002205	0.01688521	58.09151	0.98088735	29	907
TRMT112	0.256	0.28049096	70.71939	19.836151	32	125
EEF1A1	0.006493506493506494	0.0042604157	73.66457	0.3138417	3	462
EPS15	0.03965702036441586	0.017546708	60.682064	1.0647705	37	933
SKP1	0.06748466257668712	0.03089535	65.60773	2.0269737	11	163
RRAGB	0.0748663101604278	0.030295461	67.871994	2.0562134	28	374
BAIAP3	0.01454234388366125	0.041840713	63.719036	2.66605	17	1169
DECR1	0.050746268656716415	0.02663043	69.204346	1.8429414	17	335
ZNF286A	0.019193857965451054	0.015197964	67.67399	1.0285069	10	521
MS4A7	0.12	0.06829397	59.299248	4.049781	30	250
ARFIP2	0.08823529411764706	0.06877093	56.54762	3.8888323	33	374
CSDE1	0.047619047619047616	0.027303953	63.1543	1.724362	38	798
CSNK1G3	0.07236842105263158	0.038125906	69.560104	2.652042	33	456
STX2	0.0625	0.033489272	86.875435	2.9093952	18	288
ZFAT	0.009654062751407884	0.0066065015	70.115105	0.46321553	12	1243
TMEM94	0.01171303074670571	0.0067259455	63.64389	0.42806533	16	1366
SIRT5	0.11501597444089456	0.024324732	68.089676	1.6562631	36	313
SNX10	0.13215859030837004	0.043032	67.9106	2.922329	30	227
PHTF2	0.048407643312101914	0.030625837	53.815063	1.6481314	38	785
UBE2B	0.05921052631578947	0.042784177	63.92113	2.734813	9	152
FAM153CP	0.1676300578034682	0.16425492	70.08543	11.511876	29	173
FIP1L1	0.05723905723905724	0.037806686	57.04559	2.1567047	34	594
PRRC1	0.06277056277056277	0.026673244	62.825413	1.6757575	29	462
AVL9	0.027777777777777776	0.012188766	69.334915	0.8451071	18	648
ENSG00000290796	0.11904761904761904	0.059588443	65.98686	3.9320545	30	252
PDHA1	0.07948717948717948	0.147295	80.35561	11.835979	31	390
FASTK	0.04918032786885246	0.014503403	60.787724	0.8816288	27	549
PSMD12	0.043859649122807015	0.028757205	71.13003	2.0455008	20	456
PTBP1	0.005366726296958855	0.0064279693	72.40401	0.46541074	3	559
FXYD1	0.16363636363636364	0.072664075	69.32827	5.0376744	18	110
FAM76A	0.10097719869706841	0.032987613	70.93204	2.3398786	31	307
NQO1	0.1386861313868613	0.19710204	74.28055	14.640847	38	274
LETR1	0.21705426356589147	0.09840603	69.70392	6.859286	28	129
MAP1S	0.030217186024551465	0.01892448	64.22289	1.2153848	32	1059
C7orf50	0.20618556701030927	0.14082193	72.7073	10.238782	40	194
AMDHD2	0.05623471882640587	0.016185472	75.431816	1.2208996	23	409
DCP2	0.03571428571428571	0.01879723	67.25146	1.2641411	15	420
FANCM	0.0126953125	0.032254387	77.198135	2.4899786	26	2048
ACKR1	0.020710059171597635	0.017452195	72.38604	1.2632953	7	338
JTB	0.22602739726027396	0.09315057	76.230934	7.100955	33	146
FSD1L	0.062264150943396226	0.029999956	61.63769	1.849128	33	530
XPNPEP1	0.036036036036036036	0.15806492	78.87584	12.467503	24	666
KDM5D	0.019745222929936305	0.015924424	65.91416	1.0496451	31	1570
TRMT11	0.01079913606911447	0.007710471	68.75874	0.5301623	5	463
JTB	0.22602739726027396	0.09315057	76.230934	7.100955	33	146
RBCK1	0.03225806451612903	0.020448674	64.385796	1.3166041	17	527
BAIAP2	0.043478260869565216	0.01872737	65.870995	1.2335905	24	552
AGO2	0.03958090803259604	0.014218652	80.28267	1.1415113	34	859
LARP7	0.021848739495798318	0.018840725	64.32729	1.2119728	13	595
PPP4R3A	0.015606242496998799	0.0077843503	67.23392	0.52337235	13	833
GLRA3	0.032327586206896554	0.015278548	67.74265	1.0350094	15	464
EEF1A1	0.08658008658008658	0.032689467	64.21435	2.0991328	40	462
RAP1GAP	0.049926578560939794	0.023258379	69.24013	1.6104131	34	681
GIGYF2	0.004618937644341801	0.0061086677	66.75194	0.40776542	6	1299
C1orf159	0.1919191919191919	0.06963032	71.463905	4.9760547	38	198
ENSG00000291147	0.11926605504587157	0.06921321	58.839108	4.0724435	13	109
MBNL1	0.031413612565445025	0.022868527	70.149124	1.6042072	12	382
CANX	0.05750798722044728	0.028426994	72.92223	2.07296	36	626
PI4KB	0.01838235294117647	0.009501103	69.87741	0.6639125	15	816
JKAMP	0.01929260450160772	0.016390776	64.45786	1.0565144	6	311
SRI	0.12121212121212122	0.058974892	71.50022	4.2167177	24	198
NFKBIA	0.050473186119873815	0.024632065	64.878555	1.5980928	16	317
MYO1B	0.025528169014084508	0.029643148	77.239586	2.2896245	29	1136
ELAVL2	0.07712082262210797	0.044856586	61.20492	2.7454438	30	389
PARP3	0.012962962962962963	0.02108735	63.011356	1.3287425	7	540
YY1AP1	0.02666666666666667	0.0725247	66.93132	4.8541737	20	750
SNX21	0.024128686327077747	0.014232916	70.843735	1.008313	9	373
ERGIC3	0.01288659793814433	0.010540804	72.791954	0.7672857	5	388
POLR1B	0.03239556692242114	0.022014232	54.31266	1.1956515	38	1173
TMEM254	0.2204724409448819	0.07335224	61.479324	4.509646	28	127
NDRG2	0.03773584905660377	0.019715387	66.20023	1.3051633	14	371
NOL8	0.032562125107112254	0.022798972	65.24847	1.487598	38	1167
AIMP1	0.028037383177570093	0.022058576	65.9216	1.4541366	9	321
YY1AP1	0.014666666666666666	0.013462609	67.54581	0.90934277	11	750
CUL4B	0.032079646017699116	0.023032371	74.62242	1.7187313	29	904
FAS	0.07142857142857142	0.052557394	64.235916	3.3760724	25	350
CHPT1	0.024630541871921183	0.011362116	63.42312	0.7206208	10	406
NCS1	0.10526315789473684	0.039860807	68.88097	2.745651	20	190
ZNF44	0.04227642276422764	0.008838399	78.94941	0.6977864	26	615
TGDS	0.09142857142857143	0.06697265	71.98369	4.8209386	32	350
RSRC1	0.09281437125748503	0.05100936	66.65718	3.4001403	31	334
PSMC5	0.07881773399014778	0.022758134	68.31121	1.5546356	32	406
RSPO3	0.07534246575342465	0.027062576	65.95242	1.7848425	22	292
TMEM132B	0.019390581717451522	0.033532344	80.05222	2.6843386	21	1083
GLB1	0.04431314623338257	0.031903774	79.177124	2.526049	30	677
TRIM2	0.04015056461731493	0.021765817	66.29082	1.4428738	32	797
CSDE1	0.03884711779448621	0.015212429	63.180523	0.9611292	31	798
CAMSAP2	0.007387508394895903	0.012067599	59.294506	0.7155423	11	1489
CDK11A	0.014102564102564103	0.017858842	66.60217	1.1894377	11	780
C19orf47	0.07792207792207792	0.034356706	60.96775	2.094651	30	385
NAMPT	0.006109979633401222	0.0085510975	66.50194	0.56866455	3	491
VTI1A	0.16589861751152074	0.20470774	73.28339	15.001677	36	217
HSP90B1	0.009962640099626401	0.0054863025	73.42284	0.4028199	8	803
MIF	0.17391304347826086	0.13072754	60.783543	7.946083	20	115
PTGES3	0.1875	0.06686555	76.46324	5.1127567	30	160
P4HB	0.04330708661417323	0.01951643	74.72064	1.4582802	22	508
TCF7L2	0.028523489932885907	0.02199919	67.77861	1.4910744	17	596
ACO2	0.00641025641025641	0.0042240988	72.61642	0.3067389	5	780
NELFE	0.01808785529715762	0.009567664	67.79114	0.64860284	7	387
P4HB	0.06273062730627306	0.0256794	66.80835	1.7155983	34	542
ATAT1	0.0990990990990991	0.04813365	68.953094	3.318964	33	333
DHCR7	0.06736842105263158	0.0322218	63.388535	2.0424929	32	475
FAM104B	0.3103448275862069	0.09745982	58.656937	5.716695	36	116
CHCHD5	0.12096774193548387	0.071642056	65.702446	4.7070584	15	124
B2M	0.18548387096774194	0.10775175	67.407036	7.263226	23	124
TMEM161A	0.05219206680584551	0.033804167	55.623486	1.8803055	25	479
CAMK1G	0.06932773109243698	0.032178037	73.278145	2.3579469	33	476
SYT1	0.0071090047393364926	0.0049204165	74.35265	0.36584604	3	422
RPL17	0.08152173913043478	0.042087436	72.9201	3.06902	15	184
HNRNPK	0.01293103448275862	0.00714511	80.68728	0.5765195	6	464
CCDC127	0.13043478260869565	0.07307425	66.69716	4.873845	39	299
CELF4	0.006172839506172839	0.0074436106	76.92923	0.57263124	3	486
LAMTOR3	0.056451612903225805	0.061597943	60.16615	3.706111	7	124
HNRNPU	0.02303030303030303	0.01310332	73.09895	0.957839	19	825
PDZD4	0.06060606060606061	0.027659753	70.34041	1.9455984	40	660
NUP214	0.006220095693779904	0.008604511	66.081604	0.5685999	13	2090
MIA2	0.006180469715698393	0.0059761372	66.19903	0.39561448	5	809
ZNF416	0.03367003367003367	0.022908194	60.88813	1.3948371	20	594
ARNT	0.019011406844106463	0.012522303	71.40604	0.894168	15	789
CERT1	0.041666666666666664	0.025157712	65.504974	1.6479553	26	624
SLC25A14	0.1076923076923077	0.04470703	67.643524	3.024141	35	325
NAPB	0.13087248322147652	0.034333177	66.76214	2.2921562	39	298
PTPN2	0.07228915662650602	0.07220921	66.74146	4.8193483	30	415
RBPJ	0.01642710472279261	0.008441727	64.63411	0.5456235	8	487
NTRK2	0.01909307875894988	0.012334106	76.17554	0.93955714	16	838
RIC8B	0.06607142857142857	0.024696661	65.25446	1.6115674	37	560
CALM3	0.24161073825503357	0.06710777	75.435905	5.062335	36	149
CCDC47	0.07867494824016563	0.04980579	67.82446	3.378051	38	483
ALDH5A1	0.023722627737226276	0.013579187	80.25883	1.0898496	13	548
ACSL1	0.014326647564469915	0.008865338	75.23817	0.6670118	10	698
GABPB1	0.030379746835443037	0.020889739	64.54864	1.3484042	12	395
LSM7	0.25547445255474455	0.1136878	69.9585	7.9534283	35	137
GOLGA4	0.012888888888888889	0.0145812305	72.43823	1.0562385	29	2250
ARHGEF2	0.02735562310030395	0.015157676	65.37655	0.99095654	27	987
FNBP1	0.03403565640194489	0.022435041	66.838394	1.4995221	21	617
TRIM39	0.05791505791505792	0.025119828	64.693214	1.6250824	30	518
FAM221A	0.12080536912751678	0.055746347	64.95849	3.6211984	36	298
SSX2IP	0.043973941368078175	0.01626558	65.951935	1.0727465	27	614
PMPCB	0.044897959183673466	0.012197173	68.28507	0.83288485	22	490
ARNT2	0.015341701534170154	0.007251287	73.4903	0.53289926	11	717
STX16	0.06461538461538462	0.024519857	70.13319	1.7196558	21	325
MEF2C	0.06765327695560254	0.025586365	62.533424	1.600003	32	473
NIF3L1	0.07161803713527852	0.037005354	65.83621	2.4362924	27	377
ASL	0.05603448275862069	0.03999145	67.39208	2.695107	26	464
MIGA1	0.052132701421800945	0.028208388	66.5794	1.8780975	33	633
RAB2A	0.11320754716981132	0.07519986	71.32828	5.3638763	24	212
DLG1	0.0425531914893617	0.017677994	74.67718	1.3201427	38	893
PCCB	0.03577817531305903	0.030590208	70.08472	2.143906	20	559
KIAA0930	0.0774818401937046	0.027665257	58.80865	1.6269565	32	413
AP2A1	0.022517911975435005	0.019864872	66.986664	1.3306816	22	977
HARS1	0.07072691552062868	0.017452046	70.2752	1.226446	36	509
AKR1C2	0.0804953560371517	0.030685375	71.70255	2.2002196	26	323
SUV39H2-DT	0.12080536912751678	0.112192035	71.82443	8.058129	18	149
