gene	n_iso	n_type1	n_type2	canonical_dc	var_within	mean_gap	has_domain_variation
ENSG00000063978.17	2	0	0	1	9.233463970304001e-06	0.003226740751415491	0
ENSG00000178904.19	7	0	0	0	0.0005325538222678006	0.021999556571245193	0
ENSG00000087460.29	35	6	0	1	0.0029671774245798588	0.14019456505775452	1
ENSG00000119684.16	3	1	0	1	0.0012478787684813142	0.04837442934513092	1
ENSG00000184675.11	2	0	0	0	0.0	0.0	0
ENSG00000054523.20	10	4	4	3	0.0037310856860131025	0.08273761719465256	1
ENSG00000154330.13	4	2	0	1	0.0027864952571690083	0.05378694832324982	1
ENSG00000167302.11	2	0	0	0	0.00016291849897243083	0.0165873933583498	0
ENSG00000196968.11	2	0	0	0	0.0018440510611981153	0.06844386458396912	0
ENSG00000070476.15	5	3	0	1	0.0031329018529504538	0.07557933777570724	1
ENSG00000267364.5	4	0	0	0	0.0006159698241390288	0.03648122772574425	0
ENSG00000186132.15	2	0	0	0	0.0006042809109203517	0.0383409820497036	0
ENSG00000162959.14	2	0	0	0	0.0	0.0	0
ENSG00000141385.12	3	0	0	2	0.00028306012973189354	0.02008788287639618	0
ENSG00000176170.14	2	0	0	1	9.746732393978164e-05	0.010265825316309929	0
ENSG00000108950.12	5	0	0	0	0.0005407832213677466	0.022204099223017693	0
ENSG00000141337.13	4	0	0	0	0.0	0.0	0
ENSG00000126749.17	4	0	0	0	0.0015125226927921176	0.06947334855794907	0
ENSG00000063322.15	2	0	0	0	0.0	0.0	0
ENSG00000059758.8	4	0	0	0	5.321621756593231e-06	0.002858417574316263	0
ENSG00000133030.22	8	7	0	1	0.0005569783388637006	0.04751809313893318	1
ENSG00000185591.10	4	0	0	1	0.015910660848021507	0.14988340437412262	0
ENSG00000171135.15	3	0	0	0	3.9952530642040074e-05	0.005865801125764847	0
ENSG00000172594.13	3	1	0	1	0.00016754648822825402	0.01792529784142971	1
ENSG00000090615.16	7	0	0	0	0.0016962341032922268	0.054860714823007584	0
ENSG00000162946.24	4	0	0	0	3.2037951314123347e-06	0.002469607163220644	0
ENSG00000013441.17	5	2	0	1	0.00030626662191934884	0.025445327162742615	1
ENSG00000172977.13	5	0	0	0	0.0012256824411451817	0.06337949633598328	0
ENSG00000147403.18	5	0	0	0	0.0015165848890319467	0.057322438806295395	0
ENSG00000213995.12	4	0	0	0	6.0983962612226605e-05	0.01239814143627882	0
ENSG00000266265.4	2	0	0	1	0.0	0.0	0
ENSG00000198728.11	3	0	0	0	0.0071353306993842125	0.10876481235027313	0
ENSG00000121774.18	3	0	0	0	0.0019281766144558787	0.05270583927631378	0
ENSG00000106089.12	2	0	0	0	0.0	0.0	0
ENSG00000185420.19	2	0	0	1	0.0007430834230035543	0.03437623754143715	0
ENSG00000121022.14	3	0	0	1	0.000340247992426157	0.02746068872511387	0
ENSG00000180376.17	7	0	0	0	0.0014126957394182682	0.0500807948410511	0
ENSG00000198909.8	9	4	0	2	1.0772281711979304e-05	0.0049407291226089	1
ENSG00000290854.2	4	0	0	0	0.0	0.0	0
ENSG00000013375.17	3	0	0	1	3.551795998646412e-06	0.0019732376094907522	0
ENSG00000137486.17	4	0	0	1	8.504732250003144e-06	0.004750107415020466	0
ENSG00000214021.19	2	0	0	0	0.0	0.0	0
ENSG00000262879.8	3	0	0	0	0.0005063572898507118	0.035113006830215454	0
ENSG00000150990.9	2	0	0	0	0.0	0.0	0
ENSG00000215193.14	12	0	0	0	1.0695596756704617e-05	0.008559460751712322	0
ENSG00000176731.12	3	0	0	0	0.0005068181781098247	0.025885578244924545	0
ENSG00000125970.12	11	0	0	0	0.00012029867502860725	0.01319835800677538	0
ENSG00000013374.17	7	0	0	0	0.00030658458126708865	0.03316081687808037	0
ENSG00000239900.14	18	0	0	0	0.00015310746675822884	0.0242996234446764	0
ENSG00000172534.14	3	0	0	0	0.0010240748524665833	0.04329467564821243	0
ENSG00000159335.19	2	0	0	0	0.00020431693701539189	0.021903373301029205	0
ENSG00000136436.16	4	0	0	0	5.288064858177677e-05	0.010986250825226307	0
ENSG00000142494.13	4	0	0	0	0.002563169691711664	0.04936937615275383	0
ENSG00000196290.17	6	0	0	0	3.764427310670726e-05	0.010660053230822086	0
ENSG00000188783.6	3	0	0	1	5.767426658339217e-18	0.0	0
ENSG00000159873.10	3	0	0	0	0.00010128778376383707	0.017906006425619125	0
ENSG00000164040.18	6	0	0	1	6.658143684035167e-05	0.005987201351672411	0
ENSG00000103126.15	2	0	0	1	1.1364733836671803e-05	0.004119641147553921	0
ENSG00000112658.8	3	0	0	0	7.423611816695952e-17	0.0	0
ENSG00000120725.13	2	0	0	0	2.2527881810674444e-05	0.006309537682682276	0
ENSG00000048991.18	3	0	0	0	0.00023509176389779896	0.02165120653808117	0
ENSG00000148730.7	2	0	0	0	0.0	0.0	0
ENSG00000119965.13	3	0	0	0	8.776992035564035e-05	0.014347025193274021	0
ENSG00000029639.11	2	0	0	0	0.0	0.0	0
ENSG00000101096.20	2	0	0	2	2.162930513804895e-06	0.0018153657438233495	0
ENSG00000048544.7	3	0	0	1	0.00020085141295567155	0.01924286223948002	0
ENSG00000168612.5	2	0	0	0	0.0006504306220449507	0.020774750038981438	0
ENSG00000155906.20	2	0	0	0	5.518390753422864e-05	0.008062181062996387	0
ENSG00000185340.16	3	2	0	2	5.1830152837643776e-18	0.0	1
ENSG00000085719.13	2	1	0	1	0.0004780677263624966	0.02794986590743065	1
ENSG00000140263.15	2	0	0	2	0.0	0.0	0
ENSG00000101310.17	2	0	0	1	0.0	0.0	0
ENSG00000188033.10	2	0	0	0	0.0	0.0	0
ENSG00000169592.15	2	0	0	0	0.00018202436331193894	0.017445359379053116	0
ENSG00000168591.16	8	2	0	1	0.0004000220797024667	0.027543243020772934	1
ENSG00000127837.10	2	0	0	1	5.422220397122146e-07	0.001032000407576561	0
ENSG00000068654.17	2	0	0	0	0.0	0.0	0
ENSG00000076356.7	7	3	0	3	0.0026321671903133392	0.05345819145441055	1
ENSG00000038358.15	2	0	0	0	0.0003585261874832213	0.025401007384061813	0
ENSG00000110880.11	2	0	0	1	0.00015339659876190126	0.015449479222297668	0
ENSG00000162869.16	2	0	0	0	5.078627509647049e-05	0.006966171320527792	0
ENSG00000143952.20	2	0	0	0	1.0666330041431138e-07	0.00038860226050019264	0
ENSG00000157954.15	5	0	0	0	3.074291817029007e-05	0.009873420000076294	0
ENSG00000115211.17	2	0	0	0	0.00031942923669703305	0.019177408888936043	0
ENSG00000136986.10	5	0	0	0	0.0003749948227778077	0.0364946685731411	0
ENSG00000129347.21	2	0	0	0	6.9211540676406e-07	0.0008774386369623244	0
ENSG00000162493.17	3	0	0	0	6.671458777418593e-06	0.004350133240222931	0
ENSG00000093072.19	2	0	0	0	0.0005808850983157754	0.02047969587147236	0
ENSG00000168453.16	2	0	0	0	0.0	0.0	0
ENSG00000166200.15	2	0	0	1	1.9240574147261214e-06	0.001510679954662919	0
ENSG00000108840.17	4	0	0	1	0.0	0.0	0
ENSG00000159147.18	2	0	0	0	8.407965651713312e-05	0.013123919256031513	0
ENSG00000151917.18	2	0	0	0	0.0011806342517957091	0.036820847541093826	0
ENSG00000231721.9	7	0	0	0	0.0006434712558984756	0.041533712297677994	0
ENSG00000107815.10	3	0	0	0	0.0010017247404903173	0.0410141684114933	0
ENSG00000141076.18	3	0	0	1	8.730139234103262e-05	0.0139019675552845	0
ENSG00000067064.13	3	0	0	1	0.00015621479542460293	0.013593414798378944	0
ENSG00000124762.15	6	0	0	0	0.0006662025698460639	0.050141457468271255	0
ENSG00000100276.10	2	0	0	1	0.0	0.0	0
ENSG00000124532.15	3	0	0	0	7.854898285586387e-06	0.004090895876288414	0
ENSG00000149557.14	3	0	0	0	0.00029811973217874765	0.024226821959018707	0
ENSG00000134318.16	4	2	0	1	0.0067381588742136955	0.07404164224863052	1
ENSG00000142875.21	4	0	0	1	0.00010587471479084343	0.018877876922488213	0
ENSG00000103994.18	7	2	0	1	0.003615940222516656	0.10860733687877655	1
ENSG00000175455.16	4	0	0	0	6.059628140064888e-05	0.01390484906733036	0
ENSG00000186364.12	4	3	0	1	0.0015026512555778027	0.07431209087371826	1
ENSG00000151702.18	4	0	0	1	0.00017813034355640411	0.022726399824023247	0
ENSG00000143314.12	2	0	0	0	0.0	0.0	0
ENSG00000161664.7	3	0	1	3	0.00048430985771119595	0.027446694672107697	1
ENSG00000178685.14	3	2	0	1	0.0022403534967452288	0.054802875965833664	1
ENSG00000038532.17	3	0	0	0	9.003658487927169e-05	0.013352212496101856	0
ENSG00000139364.11	5	0	0	0	0.0	0.0	0
ENSG00000129968.17	2	0	0	0	0.0	0.0	0
ENSG00000003989.18	4	0	0	0	0.0	0.0	0
ENSG00000124813.23	2	0	0	0	0.0002919778344221413	0.022697551175951958	0
ENSG00000225470.10	5	0	0	0	0.000470968137960881	0.03236989676952362	0
ENSG00000113504.21	2	0	0	0	0.0	0.0	0
ENSG00000169021.6	2	0	0	0	0.0	0.0	0
ENSG00000048540.16	5	0	0	1	4.418450407683849e-05	0.010490243323147297	0
ENSG00000137936.18	3	0	1	2	0.00017892313189804554	0.01961369253695011	1
ENSG00000100483.14	3	0	0	1	0.00031654874328523874	0.020012227818369865	0
ENSG00000124120.11	4	0	0	0	0.0	0.0	0
ENSG00000135974.11	2	0	0	0	0.00010909478442044929	0.013076908886432648	0
ENSG00000144331.20	4	0	0	1	3.549823668436147e-05	0.006856392603367567	0
ENSG00000107771.17	3	0	0	0	0.0007204916910268366	0.04171684756875038	0
ENSG00000028137.19	2	0	0	1	3.97256990254391e-05	0.007448059041053057	0
ENSG00000124212.6	2	0	0	0	0.0	0.0	0
ENSG00000120438.12	2	0	0	1	0.0001262818113900721	0.008380148559808731	0
ENSG00000163738.19	3	0	0	0	3.948423909605481e-05	0.00934121385216713	0
ENSG00000161547.17	4	0	0	1	6.983649200265063e-06	0.003563652979210019	0
ENSG00000134684.13	3	0	0	0	0.0003900611191056669	0.02442837879061699	0
ENSG00000260236.3	2	0	0	0	0.0	0.0	0
ENSG00000082146.13	2	0	0	1	1.8704473404795863e-05	0.004155755043029785	0
ENSG00000170382.12	2	0	0	2	0.0	0.0	0
ENSG00000163939.19	6	0	0	3	4.718101627076976e-05	0.013680115342140198	0
ENSG00000205629.12	3	0	0	0	1.8836111848941073e-05	0.005282608792185783	0
ENSG00000163875.16	6	0	0	0	0.00018774421187117696	0.025969836860895157	0
ENSG00000107949.17	4	2	0	1	0.0017434137407690287	0.0659276694059372	1
ENSG00000161642.18	7	6	0	1	3.199963612132706e-05	0.010973112657666206	1
ENSG00000198939.8	3	0	0	1	2.5459337848587893e-05	0.00537178386002779	0
ENSG00000092847.14	6	0	0	0	1.4445175805382955e-17	0.0	0
ENSG00000173253.16	6	0	0	0	0.003627599449828267	0.07822376489639282	0
ENSG00000110074.12	3	0	0	0	0.00016613143088761717	0.015085140243172646	0
ENSG00000116731.23	10	8	0	2	0.004950507543981075	0.12740561366081238	1
ENSG00000214655.11	4	0	0	0	0.0016894616419449449	0.0441928394138813	0
ENSG00000157637.13	2	1	0	1	0.0010034089209511876	0.04823228344321251	1
ENSG00000183479.13	6	0	0	0	2.270433287776541e-05	0.006071020383387804	0
ENSG00000105612.10	2	0	0	0	8.626955968793482e-05	0.011225872673094273	0
ENSG00000172530.22	5	0	0	0	3.8529105950146914e-05	0.01010646391659975	0
ENSG00000165275.10	4	0	0	0	0.0009676579502411187	0.03093273751437664	0
ENSG00000084731.15	2	0	0	1	0.0	0.0	0
ENSG00000071889.17	5	0	0	0	0.001354858628474176	0.08618009835481644	0
ENSG00000025293.17	2	1	0	1	0.00047390713007189333	0.028067024424672127	1
ENSG00000160785.14	4	2	0	1	6.303338977886597e-06	0.002346003893762827	1
ENSG00000154240.18	4	0	0	0	0.00030071375658735633	0.02571253664791584	0
ENSG00000182149.21	11	0	0	0	0.0006025409675203264	0.04458920285105705	0
ENSG00000123094.16	3	0	0	0	1.220405070403996e-17	0.0	0
ENSG00000243244.7	2	0	0	0	0.0	0.0	0
ENSG00000286264.2	2	0	0	0	0.0	0.0	0
ENSG00000033122.21	5	4	0	1	0.0011855843476951122	0.04352758079767227	1
ENSG00000144451.20	2	0	0	0	0.0005630486411973834	0.027397284284234047	0
ENSG00000179295.19	8	0	1	2	0.002426216145977378	0.08973929286003113	1
ENSG00000141428.17	2	0	0	0	0.0007047724793665111	0.02911682240664959	0
ENSG00000166912.17	2	0	0	0	0.0	0.0	0
ENSG00000162191.14	2	0	0	1	7.891889254096895e-06	0.003262351267039776	0
ENSG00000184903.10	2	0	0	0	0.0	0.0	0
ENSG00000115902.11	2	0	0	0	0.00020765422959811985	0.012718306854367256	0
ENSG00000185829.19	3	0	0	1	0.00018998677842319012	0.01814548298716545	0
ENSG00000105053.11	5	0	0	1	6.232655141502619e-05	0.012870349921286106	0
ENSG00000135678.12	4	0	0	0	0.0	0.0	0
ENSG00000151893.15	2	0	0	0	0.0	0.0	0
ENSG00000175182.15	2	0	0	0	0.00022519618505612016	0.020776236429810524	0
ENSG00000233024.7	2	0	0	0	0.0	0.0	0
ENSG00000164330.18	2	0	0	1	3.276331699453294e-05	0.0068474034778773785	0
ENSG00000144504.16	2	0	0	0	0.0	0.0	0
ENSG00000068305.19	9	0	0	0	0.00017601287981960922	0.028810085728764534	0
ENSG00000151725.12	2	0	0	0	0.0006491075037047267	0.03296120464801788	0
ENSG00000129226.14	2	0	0	0	1.115123632189352e-05	0.004151257686316967	0
ENSG00000106615.10	4	0	0	0	4.206066660117358e-05	0.008681102655827999	0
ENSG00000144218.21	6	0	0	0	1.4332624648155315e-17	0.0	0
ENSG00000160075.12	2	0	0	0	2.1767466023447923e-05	0.0033459579572081566	0
ENSG00000175348.11	3	0	0	0	0.00034672216861508787	0.0309162400662899	0
ENSG00000219607.4	2	0	0	0	0.0	0.0	0
ENSG00000183891.6	2	0	1	3	8.285528019769117e-05	0.009346258826553822	1
ENSG00000110492.17	2	0	0	0	0.0001862334320321679	0.013246136717498302	0
ENSG00000085644.15	7	0	0	0	0.00051936658564955	0.022665908560156822	0
ENSG00000105443.17	4	0	1	2	6.51060399832204e-05	0.012024076655507088	1
ENSG00000196141.14	7	0	0	0	3.417574771447107e-05	0.012144932523369789	0
ENSG00000145901.17	8	0	0	0	2.7714442694559693e-05	0.012894947081804276	0
ENSG00000181026.15	2	0	0	0	0.004370375070720911	0.07340537011623383	0
ENSG00000179598.6	3	0	0	0	4.3585215192770447e-17	0.0	0
ENSG00000134470.21	4	0	0	0	7.683793955948204e-05	0.011925782077014446	0
ENSG00000160014.17	5	3	0	1	0.0070533365942537785	0.07344093918800354	1
ENSG00000164244.22	3	0	0	0	7.742277375655249e-06	0.00410312507301569	0
ENSG00000128694.12	2	0	0	0	0.0	0.0	0
ENSG00000138435.16	4	0	0	1	6.910376396263018e-05	0.01390171330422163	0
ENSG00000125898.13	2	0	0	0	0.0	0.0	0
ENSG00000176101.12	2	0	0	0	0.0015760335372760892	0.053350746631622314	0
ENSG00000101126.18	4	0	0	1	0.0	0.0	0
ENSG00000113638.14	4	0	0	0	0.0022696240339428186	0.06973426043987274	0
ENSG00000233276.9	2	0	0	0	7.650201041542459e-07	0.0009949244558811188	0
ENSG00000008441.19	8	4	1	3	0.00021921297593507916	0.03378407657146454	1
ENSG00000141873.11	3	0	0	0	0.0018044759053736925	0.06328561156988144	0
ENSG00000134283.18	12	0	0	0	0.002234808634966612	0.08974476903676987	0
ENSG00000006327.14	2	0	0	0	0.001989247975870967	0.053724903613328934	0
ENSG00000170542.7	2	0	0	1	0.0	0.0	0
ENSG00000026297.17	3	0	0	0	1.5075699190385176e-17	0.0	0
ENSG00000119681.12	3	0	0	0	4.880232024393936e-18	0.0	0
ENSG00000108179.14	2	0	0	1	0.00010619826934998855	0.011502588167786598	0
ENSG00000162817.7	2	0	0	0	0.0	0.0	0
ENSG00000105393.16	4	0	0	0	5.053545464761555e-05	0.009731763042509556	0
ENSG00000297176.1	2	0	0	0	0.0	0.0	0
ENSG00000291086.2	2	0	0	0	8.7504624389112e-05	0.009912311099469662	0
ENSG00000144381.18	4	0	0	1	5.847572174388915e-05	0.012082749046385288	0
ENSG00000169914.6	4	0	0	0	0.0001426358358003199	0.012410762719810009	0
ENSG00000137692.12	5	0	0	0	2.675462565093767e-05	0.006581238936632872	0
ENSG00000188229.6	3	0	2	2	0.0013052135473117232	0.043094340711832047	1
ENSG00000140403.13	3	0	0	1	8.430643356405199e-05	0.014099356718361378	0
ENSG00000116459.11	2	0	0	0	0.0006983506609685719	0.02613808773458004	0
ENSG00000249673.10	8	0	0	0	0.00036836101207882166	0.03756777197122574	0
ENSG00000158062.21	3	2	0	2	1.2430677998054307e-05	0.004348250571638346	1
ENSG00000134121.10	2	0	0	4	0.0	0.0	0
ENSG00000160746.13	2	0	0	0	1.9154203982907347e-05	0.004993857815861702	0
ENSG00000185477.6	8	0	0	0	3.7275398762154696e-17	0.0	0
ENSG00000099337.5	2	0	0	0	0.0	0.0	0
ENSG00000135924.17	6	3	0	1	9.88183674053289e-05	0.011830448172986507	1
ENSG00000165283.16	2	0	0	1	3.9626167563255876e-05	0.005008824169635773	0
ENSG00000124380.11	3	0	0	0	0.0007341462187469006	0.023132188245654106	0
ENSG00000130635.17	6	0	0	0	5.906125160165781e-17	0.0	0
ENSG00000178385.15	3	0	0	0	6.7174258074731996e-18	0.0	0
ENSG00000110367.14	4	0	0	2	0.0	0.0	0
ENSG00000198075.10	2	0	0	1	0.00012885140313301235	0.00766514427959919	0
ENSG00000105854.13	2	0	0	0	4.874118894804269e-05	0.0064196158200502396	0
ENSG00000154654.15	2	0	0	3	6.3360794229083695e-06	0.002813444472849369	0
ENSG00000185453.13	2	0	0	0	0.0	0.0	0
ENSG00000171490.13	2	0	0	0	0.00012140098988311365	0.012035817839205265	0
ENSG00000135316.20	17	6	1	2	0.0075552454218268394	0.07677158713340759	1
ENSG00000169905.13	5	0	0	0	0.0009631670545786619	0.050127867609262466	0
ENSG00000056998.21	3	0	0	1	4.023029396194033e-05	0.00986191164702177	0
ENSG00000106070.20	11	7	0	2	4.2437455704202875e-05	0.015745507553219795	1
ENSG00000131634.14	2	0	0	0	0.0	0.0	0
ENSG00000086015.23	2	0	0	2	5.7648900110507384e-05	0.00862149242311716	0
ENSG00000109906.15	19	13	1	3	0.0008485107100568712	0.05004281550645828	1
ENSG00000129636.13	3	0	0	0	0.000588280032388866	0.030360735952854156	0
ENSG00000136003.16	5	0	0	0	0.0001408947427989915	0.019940000027418137	0
ENSG00000163510.14	2	0	0	2	7.050939166219905e-05	0.0072465017437934875	0
ENSG00000211448.14	2	0	0	0	0.0	0.0	0
ENSG00000164967.10	2	0	0	0	1.4461316823144443e-05	0.003875523805618286	0
ENSG00000119431.10	2	0	0	1	8.980423444882035e-05	0.008694617077708244	0
ENSG00000087884.16	2	0	0	0	0.0	0.0	0
ENSG00000112624.14	4	0	0	0	0.0	0.0	0
ENSG00000117625.14	4	0	0	2	0.00039908356848172843	0.03446530923247337	0
ENSG00000137285.11	3	2	0	2	2.4188457246054895e-05	0.0057138013653457165	1
ENSG00000115415.21	5	0	0	5	5.00080750498455e-05	0.014768840745091438	0
ENSG00000119042.18	3	0	0	1	9.350581240141764e-05	0.01119721494615078	0
ENSG00000133243.10	6	2	3	3	0.00043068232480436563	0.03595193848013878	1
ENSG00000140264.22	7	0	0	0	0.0015740058152005076	0.06665544211864471	0
ENSG00000080298.16	2	0	0	0	0.0	0.0	0
ENSG00000174502.19	2	0	0	0	0.0	0.0	0
ENSG00000171649.12	3	0	1	2	6.827858669566922e-06	0.0029093485791236162	1
ENSG00000196811.13	2	0	0	1	1.142394194175722e-05	0.0040932088159024715	0
ENSG00000088899.16	3	0	0	0	2.5597749256331233e-18	0.0	0
ENSG00000198908.12	2	0	0	1	0.0	0.0	0
ENSG00000003393.16	3	0	0	0	0.0007116661290638149	0.03250604867935181	0
ENSG00000213047.13	3	1	0	3	0.0026209151837974787	0.05048853158950806	1
ENSG00000013573.17	2	0	0	0	0.0	0.0	0
ENSG00000075234.17	2	0	0	0	4.626495865522884e-06	0.002488888567313552	0
ENSG00000189157.14	4	0	0	0	0.00035454786848276854	0.0287910345941782	0
ENSG00000105656.13	2	0	0	0	0.0	0.0	0
ENSG00000178209.17	10	4	0	1	3.647603080025874e-05	0.011604877188801765	1
ENSG00000229847.10	2	0	0	0	0.0	0.0	0
ENSG00000205937.12	5	0	0	1	1.2402637366903946e-05	0.0049630142748355865	0
ENSG00000168488.19	3	0	0	1	2.834659426298458e-06	0.0028143073432147503	0
ENSG00000183087.15	5	4	0	4	0.0011910214088857174	0.03930741176009178	1
ENSG00000004897.12	4	0	0	3	0.0010440819896757603	0.03697027266025543	0
ENSG00000120837.8	3	0	0	0	5.377299657993717e-06	0.0027893949300050735	0
ENSG00000104763.20	8	0	0	0	0.0024633905850350857	0.07861464470624924	0
ENSG00000065243.20	2	1	0	2	0.01118504535406828	0.10574838519096375	1
ENSG00000060642.12	6	0	0	0	1.740837615216151e-05	0.006059611681848764	0
ENSG00000174791.11	4	0	0	0	0.0	0.0	0
ENSG00000198732.11	2	0	0	0	0.0	0.0	0
ENSG00000177106.17	2	0	0	1	0.0	0.0	0
ENSG00000290791.2	3	0	0	1	5.316904226637313e-17	0.0	0
ENSG00000155744.10	6	0	0	0	0.00019529105338733643	0.018860794603824615	0
ENSG00000197905.10	3	0	0	0	0.0009044622420333326	0.04614211991429329	0
ENSG00000180573.10	2	0	0	2	6.620924250455573e-05	0.008812389336526394	0
ENSG00000185920.19	6	0	0	0	0.0017711390974000096	0.06267834454774857	0
ENSG00000049618.25	10	8	0	1	0.0015977537259459496	0.05889437347650528	1
ENSG00000117643.16	2	0	0	0	0.0	0.0	0
ENSG00000066654.14	2	0	0	0	6.285611016210169e-05	0.009929550811648369	0
ENSG00000019144.20	4	0	3	2	0.00044378271559253335	0.032250724732875824	1
ENSG00000114857.19	6	1	0	1	0.001604202901944518	0.06460405886173248	1
ENSG00000073536.18	5	0	0	0	0.0007045587408356369	0.03715060278773308	0
ENSG00000091409.17	4	0	0	4	1.5772018741699867e-05	0.006069948896765709	0
ENSG00000125266.8	2	0	0	0	0.0	0.0	0
ENSG00000161298.19	2	0	0	2	0.0	0.0	0
ENSG00000185359.14	5	2	0	1	2.6243717456964077e-06	0.002223888412117958	1
ENSG00000072163.20	8	2	0	1	0.0011355566093698144	0.04841835796833038	1
ENSG00000000457.14	4	0	0	1	5.465808862936683e-05	0.006509815808385611	0
ENSG00000198843.14	3	0	0	0	1.0142186601580321e-18	0.0	0
ENSG00000154582.18	5	0	0	0	0.00032401116914115846	0.029475435614585876	0
ENSG00000011566.15	3	0	0	2	1.133171099354513e-05	0.005048881284892559	0
ENSG00000126778.12	3	2	0	1	0.0025606460403651	0.07984956353902817	1
