gene	n_isoforms	n_pos_go	mean_go_corr	fsi	top_consistency	specialization_ratio	has_domain_loss	scenario
ENSG00000172458.5	4	3	-0.3333	1.3333	0.6667	0.1229	False	S2
ENSG00000120690.17	3	7	1.0000	0.0000	1.0000	3.1181	True	S1
ENSG00000120658.14	4	3	1.0000	0.0000	1.0000	3.1633	True	S1
ENSG00000102572.15	6	6	0.3333	0.6667	0.8333	0.0044	True	Mixed
ENSG00000125246.16	9	2	0.8727	0.1273	1.0000	1.8923	False	S1
ENSG00000081177.19	5	4	-0.3333	1.3333	0.5000	0.0077	False	S2
ENSG00000080815.20	15	3	-0.0512	1.0512	0.3333	0.1553	False	S2
ENSG00000133961.22	10	2	1.0000	0.0000	1.0000	1.4536	True	S1
ENSG00000160679.14	6	2	1.0000	0.0000	1.0000	8.8103	False	S1
ENSG00000100722.20	7	3	-0.3818	1.3818	0.3333	0.8325	False	S2
ENSG00000053254.16	4	4	0.5556	0.4444	0.5000	6.5134	True	Mixed
ENSG00000066629.19	3	3	0.0000	1.0000	0.6667	0.0008	False	S2
ENSG00000100664.11	4	3	-0.3333	1.3333	0.6667	0.1209	True	S2
ENSG00000134152.11	3	2	1.0000	0.0000	1.0000	0.2099	False	S1
ENSG00000103710.11	4	4	1.0000	0.0000	1.0000	7.3867	True	S1
ENSG00000166938.13	3	3	-0.3333	1.3333	0.6667	0.0264	False	S2
ENSG00000143569.20	8	2	0.8049	0.1951	1.0000	3.8297	False	S1
ENSG00000075131.10	3	2	1.0000	0.0000	1.0000	0.3669	False	S1
ENSG00000138604.10	4	2	0.7778	0.2222	0.5000	48.1656	False	Mixed
ENSG00000067225.21	5	9	0.7018	0.2982	0.6667	7.5722	False	Mixed
ENSG00000167196.14	5	2	-0.6842	1.6842	0.5000	0.9244	False	S2
ENSG00000136371.11	3	2	1.0000	0.0000	1.0000	16.8758	False	S1
ENSG00000160714.11	3	2	1.0000	0.0000	1.0000	0.0414	False	S1
ENSG00000197562.10	14	5	0.5602	0.4398	0.6000	3.2326	True	Mixed
ENSG00000140983.15	6	6	0.3333	0.6667	0.6667	0.0659	True	Mixed
ENSG00000059145.19	11	2	-0.9698	1.9698	0.5000	1.0437	True	S2
ENSG00000140632.17	9	4	0.8736	0.1264	0.5000	4.8422	True	Mixed
ENSG00000103550.14	4	2	1.0000	0.0000	1.0000	9.4116	False	S1
ENSG00000103485.19	3	2	1.0000	0.0000	1.0000	1.5933	False	S1
ENSG00000102882.12	6	7	0.7922	0.2078	0.8571	0.0160	False	S1
ENSG00000140795.13	5	3	-0.3333	1.3333	0.6667	0.1553	True	S2
ENSG00000102935.12	5	4	0.0000	1.0000	0.5000	0.1326	True	S2
ENSG00000102871.16	3	4	-0.3333	1.3333	0.5000	0.1422	True	S2
ENSG00000102878.18	4	7	0.5619	0.4381	0.8571	0.0600	False	Mixed
ENSG00000103066.13	4	3	0.8667	0.1333	1.0000	1.6944	False	S1
ENSG00000182149.21	11	5	0.6774	0.3226	0.8000	0.3285	False	Mixed
ENSG00000103257.10	12	2	0.4000	0.6000	0.5000	2.8376	False	Mixed
ENSG00000129993.15	9	2	0.4595	0.5405	0.5000	1.5252	True	Mixed
ENSG00000185324.22	3	5	1.0000	0.0000	1.0000	0.0246	False	S1
ENSG00000174238.16	5	3	1.0000	0.0000	1.0000	0.0727	False	S1
ENSG00000074356.17	4	3	-0.3333	1.3333	0.6667	0.0050	False	S2
ENSG00000167840.14	10	3	0.7407	0.2593	0.6667	1.1841	True	Mixed
ENSG00000162729.14	4	2	-1.0000	2.0000	0.5000	0.0296	False	S2
ENSG00000141127.15	3	3	-0.3333	1.3333	0.6667	0.0582	False	S2
ENSG00000177469.13	4	3	1.0000	0.0000	1.0000	0.0096	False	S1
ENSG00000068120.15	3	3	-0.3333	1.3333	0.6667	0.6935	False	S2
ENSG00000108861.9	3	2	1.0000	0.0000	1.0000	0.0273	False	S1
ENSG00000161649.14	3	2	1.0000	0.0000	1.0000	4.9185	True	S1
ENSG00000167182.16	4	6	-0.0667	1.0667	0.6667	0.0016	False	S2
ENSG00000153944.12	7	5	0.7185	0.2815	0.6000	1.4197	True	Mixed
ENSG00000108387.16	5	7	0.0143	0.9857	0.2857	0.0122	False	S2
ENSG00000154229.12	4	9	-0.1111	1.1111	0.5556	0.0005	False	S2
ENSG00000108984.16	3	8	1.0000	0.0000	1.0000	0.0053	False	S1
ENSG00000141569.12	3	5	0.8000	0.2000	0.8000	2.9422	True	S1
ENSG00000181038.14	6	2	0.5152	0.4848	0.5000	1.6879	True	Mixed
ENSG00000108669.18	5	2	0.6842	0.3158	0.5000	0.4835	True	Mixed
ENSG00000173818.17	7	3	-0.3333	1.3333	0.6667	0.0645	False	S2
ENSG00000143164.16	6	2	0.9412	0.0588	1.0000	0.0306	False	S1
ENSG00000116688.18	5	4	1.0000	0.0000	1.0000	0.5251	True	S1
ENSG00000117475.14	3	3	1.0000	0.0000	1.0000	0.0137	False	S1
ENSG00000078043.16	4	7	0.0476	0.9524	0.4286	0.0415	False	S2
ENSG00000175387.16	10	12	0.1818	0.8182	0.7500	0.0054	True	S2
ENSG00000049759.20	8	4	0.3373	0.6627	0.5000	0.1992	True	Mixed
ENSG00000185761.11	3	2	1.0000	0.0000	1.0000	0.1278	False	S1
ENSG00000099785.11	4	4	-0.3333	1.3333	0.5000	0.1793	False	S2
ENSG00000197933.13	3	2	1.0000	0.0000	1.0000	0.0628	True	S1
ENSG00000171295.13	5	3	1.0000	0.0000	1.0000	0.1834	True	S1
ENSG00000188868.14	3	3	0.6667	0.3333	0.6667	0.1456	False	Mixed
ENSG00000180855.16	3	2	1.0000	0.0000	1.0000	0.0201	True	S1
ENSG00000160961.12	4	3	0.8519	0.1481	0.6667	2.1158	True	Mixed
ENSG00000099331.14	3	9	0.5556	0.4444	0.8889	0.3104	True	Mixed
ENSG00000130304.17	4	2	1.0000	0.0000	1.0000	0.2648	False	S1
ENSG00000130511.16	3	2	0.5000	0.5000	1.0000	1.1293	False	Mixed
ENSG00000105173.14	4	2	1.0000	0.0000	1.0000	0.0071	True	S1
ENSG00000105176.18	3	3	0.0000	1.0000	0.6667	0.0378	False	S2
ENSG00000105711.14	5	2	-1.0000	2.0000	0.5000	0.2138	False	S2
ENSG00000181666.19	3	4	0.7500	0.2500	0.7500	3.8104	True	Mixed
ENSG00000161243.10	3	2	1.0000	0.0000	1.0000	0.5616	False	S1
ENSG00000179134.16	4	3	1.0000	0.0000	1.0000	0.0015	False	S1
ENSG00000105221.18	6	5	0.1040	0.8960	0.8000	0.0539	True	S2
ENSG00000079435.11	3	2	-0.5000	1.5000	0.5000	1.1556	False	S2
ENSG00000105402.8	3	2	-1.0000	2.0000	0.5000	0.0024	False	S2
ENSG00000063176.16	3	3	1.0000	0.0000	1.0000	0.0054	False	S1
ENSG00000161551.15	5	3	1.0000	0.0000	1.0000	0.0189	False	S1
ENSG00000167766.22	7	3	1.0000	0.0000	1.0000	0.2059	True	S1
ENSG00000204604.13	6	2	1.0000	0.0000	1.0000	2.2932	True	S1
ENSG00000063244.14	3	4	0.2500	0.7500	0.7500	0.0008	False	S2
ENSG00000105136.22	4	3	-0.2000	1.2000	0.6667	0.2991	True	S2
ENSG00000251369.10	9	3	1.0000	0.0000	1.0000	0.7290	True	S1
ENSG00000179909.16	3	2	1.0000	0.0000	1.0000	27.2169	True	S1
ENSG00000130684.14	3	3	1.0000	0.0000	1.0000	0.0074	False	S1
ENSG00000101017.15	4	5	0.9111	0.0889	0.8000	2.8849	True	S1
ENSG00000124151.19	3	4	0.0000	1.0000	0.7500	0.8199	True	S2
ENSG00000130703.17	4	2	1.0000	0.0000	1.0000	2.2781	False	S1
ENSG00000205758.12	4	3	0.2000	0.8000	0.6667	0.0259	False	S2
ENSG00000185917.14	4	2	0.0000	1.0000	0.5000	0.1731	False	S2
ENSG00000159267.17	5	3	0.0877	0.9123	0.6667	0.0030	False	S2
ENSG00000160194.18	3	2	1.0000	0.0000	1.0000	0.9546	False	S1
ENSG00000213047.13	3	3	1.0000	0.0000	1.0000	1.7772	True	S1
ENSG00000215193.14	12	2	-1.0000	2.0000	0.5000	0.0060	False	S2
ENSG00000070010.19	4	2	-1.0000	2.0000	0.5000	0.0013	False	S2
ENSG00000099991.18	3	2	1.0000	0.0000	1.0000	0.0045	False	S1
ENSG00000100320.24	3	6	0.2000	0.8000	0.8333	0.1635	False	S2
ENSG00000100151.16	3	6	-0.1000	1.1000	0.3333	0.0653	True	S2
ENSG00000213923.13	6	6	-0.0667	1.0667	0.6667	0.1017	True	S2
ENSG00000239900.14	18	2	0.8984	0.1016	1.0000	0.2725	False	S1
ENSG00000196236.13	5	2	-0.8750	1.8750	0.5000	0.0224	True	S2
ENSG00000100266.19	4	6	-0.2000	1.2000	0.5000	0.0121	False	S2
ENSG00000100376.12	3	2	1.0000	0.0000	1.0000	0.0001	False	S1
ENSG00000143486.16	3	2	-0.5000	1.5000	0.5000	0.5135	False	S2
ENSG00000188130.14	4	6	-0.0267	1.0267	0.5000	0.0032	False	S2
ENSG00000047648.23	5	2	0.6842	0.3158	0.5000	0.0241	False	Mixed
ENSG00000130066.17	3	2	1.0000	0.0000	1.0000	0.0005	False	S1
ENSG00000101868.13	4	6	0.7778	0.2222	0.8333	0.3984	False	S1
ENSG00000069535.14	3	2	-1.0000	2.0000	0.5000	0.9707	False	S2
ENSG00000147121.16	3	3	0.0000	1.0000	0.6667	0.1242	False	S2
ENSG00000130988.13	4	2	-1.0000	2.0000	0.5000	0.3118	False	S2
ENSG00000158571.11	5	4	0.4211	0.5789	0.5000	0.2733	False	Mixed
ENSG00000001497.18	5	2	0.5789	0.4211	0.5000	0.0862	False	Mixed
ENSG00000067177.15	6	2	1.0000	0.0000	1.0000	0.0971	True	S1
ENSG00000166432.16	3	2	1.0000	0.0000	1.0000	8.4835	True	S1
ENSG00000089682.18	7	3	-0.3333	1.3333	0.6667	0.0068	True	S2
ENSG00000018610.15	3	2	1.0000	0.0000	1.0000	5.1430	False	S1
ENSG00000123728.10	3	5	0.2000	0.8000	0.8000	0.0184	False	S2
ENSG00000076770.16	3	3	1.0000	0.0000	1.0000	0.4282	True	S1
ENSG00000173275.13	3	4	1.0000	0.0000	1.0000	0.3428	True	S1
ENSG00000010404.18	3	2	-1.0000	2.0000	0.5000	0.0134	False	S2
ENSG00000143774.18	7	2	-0.7647	1.7647	0.5000	1.6128	True	S2
ENSG00000168118.12	4	4	-0.1111	1.1111	0.5000	0.0934	False	S2
ENSG00000203666.13	5	2	0.6000	0.4000	0.5000	3.2120	True	Mixed
ENSG00000035115.22	3	2	0.5000	0.5000	0.5000	7.7368	True	Mixed
ENSG00000115137.12	3	3	1.0000	0.0000	1.0000	3.6138	True	S1
ENSG00000119185.13	5	3	-0.3333	1.3333	0.3333	0.0085	False	S2
ENSG00000163071.11	3	2	0.5000	0.5000	0.5000	0.3095	False	Mixed
ENSG00000175414.7	4	2	1.0000	0.0000	1.0000	1.6524	False	S1
ENSG00000138028.17	3	2	1.0000	0.0000	1.0000	0.4370	False	S1
ENSG00000111196.11	3	2	1.0000	0.0000	1.0000	0.3700	False	S1
ENSG00000110921.14	5	4	0.7018	0.2982	0.5000	0.6696	False	Mixed
ENSG00000115825.11	3	5	1.0000	0.0000	1.0000	6.5631	True	S1
ENSG00000168961.17	6	3	-0.3333	1.3333	0.6667	0.0003	False	S2
ENSG00000176749.9	5	7	0.4286	0.5714	0.8571	0.5605	False	Mixed
ENSG00000156304.15	5	2	0.6667	0.3333	1.0000	0.1388	True	Mixed
ENSG00000028116.18	5	7	0.2169	0.7831	0.7143	0.0018	False	S2
ENSG00000133056.14	7	2	-1.0000	2.0000	0.5000	0.1658	False	S2
ENSG00000127483.19	5	2	0.6842	0.3158	1.0000	0.2658	False	Mixed
ENSG00000196975.16	5	3	1.0000	0.0000	1.0000	4.1131	True	S1
ENSG00000206503.15	5	3	0.7778	0.2222	0.6667	0.0588	False	Mixed
ENSG00000114993.17	5	2	0.5789	0.4211	1.0000	0.0009	True	Mixed
ENSG00000204946.10	6	4	0.9000	0.1000	0.7500	1.3889	True	Mixed
ENSG00000115364.14	3	2	-0.5000	1.5000	0.5000	0.1178	False	S2
ENSG00000205531.14	3	4	1.0000	0.0000	1.0000	2.3649	True	S1
ENSG00000042493.16	3	5	0.4000	0.6000	0.8000	0.0035	False	Mixed
ENSG00000068615.20	3	2	1.0000	0.0000	1.0000	13.1837	False	S1
ENSG00000115561.16	5	2	1.0000	0.0000	1.0000	0.0217	False	S1
ENSG00000147180.17	3	7	-0.1429	1.1429	0.5714	0.0119	False	S2
ENSG00000168763.16	5	2	-1.0000	2.0000	0.5000	0.5520	False	S2
ENSG00000150782.13	3	3	1.0000	0.0000	1.0000	0.8737	False	S1
ENSG00000179627.10	6	2	1.0000	0.0000	1.0000	1.9161	False	S1
ENSG00000162552.15	3	4	0.0000	1.0000	0.7500	0.0004	False	S2
ENSG00000115109.14	3	2	-1.0000	2.0000	0.5000	0.0007	False	S2
ENSG00000136536.15	6	4	0.6000	0.4000	0.7500	0.0149	True	Mixed
ENSG00000117308.15	3	2	1.0000	0.0000	1.0000	0.3291	False	S1
ENSG00000068650.19	12	4	0.0000	1.0000	0.7500	1.2537	True	S2
ENSG00000138399.18	4	2	1.0000	0.0000	1.0000	0.1668	False	S1
ENSG00000091436.17	5	7	0.0175	0.9825	0.4286	0.0616	True	S2
ENSG00000128656.15	3	2	-1.0000	2.0000	0.5000	0.2806	True	S2
ENSG00000079156.17	10	2	0.8675	0.1325	1.0000	2.0970	True	S1
ENSG00000144331.20	4	2	1.0000	0.0000	1.0000	0.2145	False	S1
ENSG00000115540.15	4	2	-0.8000	1.8000	0.5000	0.1918	False	S2
ENSG00000152430.19	4	4	-0.3333	1.3333	0.5000	0.0017	False	S2
ENSG00000196290.17	6	3	1.0000	0.0000	1.0000	0.0370	False	S1
ENSG00000169914.6	4	2	1.0000	0.0000	1.0000	0.1685	False	S1
ENSG00000138443.17	8	4	0.0000	1.0000	0.5000	0.0130	False	S2
ENSG00000168958.21	9	3	0.5819	0.4181	1.0000	0.2106	False	Mixed
ENSG00000067066.17	8	10	0.4249	0.5751	0.6000	0.5301	True	Mixed
ENSG00000124831.20	7	7	0.2308	0.7692	0.4286	0.2360	False	S2
ENSG00000132330.18	3	2	1.0000	0.0000	1.0000	0.0903	False	S1
ENSG00000168385.18	12	6	0.8667	0.1333	0.8333	6.4505	True	S1
ENSG00000168395.16	11	2	0.8947	0.1053	1.0000	0.3855	False	S1
ENSG00000180902.18	5	2	0.6667	0.3333	1.0000	1.2625	False	Mixed
ENSG00000170364.13	4	6	-0.0400	1.0400	0.5000	0.2050	True	S2
ENSG00000206562.12	4	2	0.7778	0.2222	0.5000	0.9539	False	Mixed
ENSG00000206559.8	3	2	1.0000	0.0000	1.0000	1.9850	False	S1
ENSG00000141076.18	3	2	0.5000	0.5000	0.5000	0.3828	False	Mixed
ENSG00000114739.14	3	4	1.0000	0.0000	1.0000	0.0036	False	S1
ENSG00000144791.10	4	2	1.0000	0.0000	1.0000	0.1800	False	S1
ENSG00000198218.12	11	2	-1.0000	2.0000	0.5000	0.2344	False	S2
ENSG00000114316.13	4	3	0.4667	0.5333	0.6667	1.1622	True	Mixed
ENSG00000180198.17	10	6	1.0000	0.0000	1.0000	5.5662	True	S1
ENSG00000163938.17	4	3	-0.3333	1.3333	0.6667	0.0446	False	S2
ENSG00000114904.13	3	4	1.0000	0.0000	1.0000	0.0040	True	S1
ENSG00000159023.23	6	3	1.0000	0.0000	1.0000	1.6360	True	S1
ENSG00000172765.19	9	2	0.7345	0.2655	1.0000	0.1131	False	S1
ENSG00000158186.13	9	4	0.7500	0.2500	0.7500	16.6046	True	Mixed
ENSG00000160094.15	6	2	1.0000	0.0000	1.0000	0.0020	False	S1
ENSG00000178053.21	10	3	-0.0782	1.0782	0.6667	0.0031	False	S2
ENSG00000075651.17	3	3	1.0000	0.0000	1.0000	0.1796	False	S1
ENSG00000163867.17	4	3	1.0000	0.0000	1.0000	2.0595	False	S1
ENSG00000114416.19	7	6	-0.0476	1.0476	0.3333	0.0589	False	S2
ENSG00000131127.14	3	2	1.0000	0.0000	1.0000	121.9742	False	S1
ENSG00000109685.19	19	3	-0.3333	1.3333	0.6667	0.0387	True	S2
ENSG00000087274.19	8	9	0.4133	0.5867	0.5556	0.0053	False	Mixed
ENSG00000168826.16	3	6	1.0000	0.0000	1.0000	0.1379	True	S1
ENSG00000132405.19	5	4	0.0500	0.9500	0.5000	0.0056	False	S2
ENSG00000178177.17	3	2	1.0000	0.0000	1.0000	1.1111	False	S1
ENSG00000078177.15	6	2	0.2000	0.8000	0.5000	0.7407	True	S2
ENSG00000064042.18	9	2	0.4667	0.5333	0.5000	6.6001	True	Mixed
ENSG00000197530.13	6	5	0.3806	0.6194	0.4000	9.2870	True	Mixed
ENSG00000138758.12	4	4	0.3704	0.6296	0.5000	0.0007	False	Mixed
ENSG00000065978.19	3	8	0.4107	0.5893	0.7500	0.0290	False	Mixed
ENSG00000168785.8	3	2	-0.5000	1.5000	0.5000	0.3992	False	S2
ENSG00000070190.13	3	2	1.0000	0.0000	1.0000	0.5643	True	S1
ENSG00000109332.20	13	3	-0.0316	1.0316	0.6667	0.0454	True	S2
ENSG00000164118.13	4	2	-1.0000	2.0000	0.5000	0.7743	False	S2
ENSG00000171421.13	3	2	-0.5000	1.5000	0.5000	1.2054	False	S2
ENSG00000124279.12	5	2	1.0000	0.0000	1.0000	7.3228	True	S1
ENSG00000132773.12	3	3	1.0000	0.0000	1.0000	0.1827	True	S1
ENSG00000151876.13	3	5	0.3500	0.6500	0.6000	0.0508	False	Mixed
ENSG00000062194.16	6	4	0.5556	0.4444	0.7500	2.6772	False	Mixed
ENSG00000079277.22	5	6	0.7895	0.2105	0.8333	0.1319	False	S1
ENSG00000164615.6	4	2	0.8000	0.2000	0.5000	0.0975	False	Mixed
ENSG00000171992.13	9	2	-0.8367	1.8367	0.5000	0.0966	False	S2
ENSG00000087206.17	4	3	-0.4667	1.4667	0.3333	0.1144	False	S2
ENSG00000196923.14	4	2	1.0000	0.0000	1.0000	0.8700	True	S1
ENSG00000198939.8	3	3	-0.3333	1.3333	0.6667	0.0240	False	S2
ENSG00000197226.13	5	3	-0.3333	1.3333	0.3333	0.3411	True	S2
ENSG00000124588.22	5	4	0.4167	0.5833	0.7500	0.5632	False	Mixed
ENSG00000058804.12	4	2	-1.0000	2.0000	0.5000	0.0666	False	S2
ENSG00000235109.8	6	4	0.5067	0.4933	0.7500	0.0336	True	Mixed
ENSG00000058799.15	3	2	-1.0000	2.0000	0.5000	0.0875	False	S2
ENSG00000124615.21	6	2	0.9394	0.0606	1.0000	0.5343	False	S1
ENSG00000153291.16	4	2	-1.0000	2.0000	0.5000	0.0157	True	S2
ENSG00000146281.6	3	3	1.0000	0.0000	1.0000	0.6922	False	S1
ENSG00000111877.18	4	7	0.4286	0.5714	0.4286	0.2201	False	Mixed
ENSG00000172594.13	3	4	-0.0833	1.0833	0.7500	0.0081	True	S2
ENSG00000106049.9	3	2	-1.0000	2.0000	0.5000	0.4536	False	S2
ENSG00000106086.21	5	2	1.0000	0.0000	1.0000	0.0022	False	S1
ENSG00000106070.20	11	3	-0.3333	1.3333	0.6667	0.0113	True	S2
ENSG00000154710.18	3	6	0.8333	0.1667	1.0000	0.1099	False	S1
ENSG00000091073.20	3	3	1.0000	0.0000	1.0000	0.0061	False	S1
ENSG00000135218.19	7	4	-0.1389	1.1389	0.7500	0.0319	False	S2
ENSG00000004864.14	4	3	0.1111	0.8889	0.6667	0.0051	False	S2
ENSG00000164713.10	4	2	1.0000	0.0000	1.0000	4.5640	False	S1
ENSG00000198556.14	3	3	-0.3333	1.3333	0.6667	0.6300	True	S2
ENSG00000197037.11	7	4	0.7000	0.3000	0.7500	5.5467	True	Mixed
ENSG00000166529.16	3	6	1.0000	0.0000	1.0000	0.2633	True	S1
ENSG00000135250.17	7	7	0.4424	0.5576	0.4286	0.0117	False	Mixed
ENSG00000128607.14	3	2	1.0000	0.0000	1.0000	0.0341	False	S1
ENSG00000198074.10	3	2	0.5000	0.5000	1.0000	0.0585	False	Mixed
ENSG00000162614.19	6	2	0.0286	0.9714	0.5000	1.4203	True	S2
ENSG00000122783.17	8	2	0.5890	0.4110	0.5000	0.2911	False	Mixed
ENSG00000197150.13	6	3	0.9596	0.0404	1.0000	5.5111	True	S1
ENSG00000164896.21	5	4	0.1833	0.8167	0.7500	1.0954	False	S2
ENSG00000147364.17	6	2	-0.0909	1.0909	0.5000	0.5592	False	S2
ENSG00000091879.14	4	3	-0.0667	1.0667	0.6667	1.3803	False	S2
ENSG00000158856.19	5	4	1.0000	0.0000	1.0000	1.9587	True	S1
ENSG00000147475.17	5	2	1.0000	0.0000	1.0000	3.0857	False	S1
ENSG00000104365.16	3	9	1.0000	0.0000	1.0000	1.5167	False	S1
ENSG00000070501.12	4	5	0.6000	0.4000	0.6000	0.4448	False	Mixed
ENSG00000168300.14	5	2	0.3000	0.7000	0.5000	1.5300	False	Mixed
ENSG00000147576.17	8	2	0.1852	0.8148	0.5000	1.4476	False	S2
ENSG00000040341.18	6	3	0.8235	0.1765	0.6667	0.8522	True	Mixed
ENSG00000175606.11	4	2	1.0000	0.0000	1.0000	0.8060	True	S1
ENSG00000170873.19	6	5	0.2000	0.8000	0.8000	0.0156	False	S2
ENSG00000004059.11	4	3	1.0000	0.0000	1.0000	7.6007	False	S1
ENSG00000173153.17	8	11	0.9596	0.0404	0.9091	2.4073	True	S1
ENSG00000048028.12	4	2	-0.4000	1.4000	0.5000	0.0491	False	S2
ENSG00000005801.18	7	3	0.2485	0.7515	0.6667	0.0855	True	S2
ENSG00000006210.7	5	3	1.0000	0.0000	1.0000	0.0092	False	S1
ENSG00000007376.8	8	2	0.6154	0.3846	0.5000	2.2354	False	Mixed
ENSG00000005882.12	4	4	1.0000	0.0000	1.0000	0.0131	False	S1
ENSG00000008405.12	3	6	1.0000	0.0000	1.0000	0.1492	False	S1
ENSG00000010270.14	3	2	1.0000	0.0000	1.0000	0.0190	False	S1
ENSG00000010278.15	7	2	-0.0435	1.0435	0.5000	0.5154	True	S2
ENSG00000008988.11	5	3	-0.3333	1.3333	0.6667	0.3544	False	S2
ENSG00000010219.14	3	6	0.7333	0.2667	0.6667	1.2886	True	Mixed
ENSG00000012983.12	6	5	0.8000	0.2000	0.8000	4.1745	True	S1
ENSG00000012061.17	5	2	1.0000	0.0000	1.0000	1.4649	False	S1
ENSG00000022277.13	4	2	1.0000	0.0000	1.0000	0.2367	False	S1
ENSG00000031823.14	6	2	0.5152	0.4848	0.5000	0.0153	True	Mixed
