go,go_name,type,cluster,rank,iso,gene,sb_score,peak_layer,is_go_pos,in_uniprot,in_bisect,in_target
GO:0006754,ATP biosynthesis,late,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0000398,mRNA splicing,flat,14,18,ENST00000470472.5,SFPQ,7.497,5,1,0,0,0
GO:0043161,Proteasome-UPS,late,3,1,ENST00000342272.3,JPH2,7.424,6,0,0,0,0
GO:0000398,mRNA splicing,flat,14,19,ENST00000323848.14,SRRM1,7.299,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,20,ENST00000705681.1,SRRM1,7.293,1,1,0,0,0
GO:0006508,Proteolysis,flat,1,1,ENST00000532234.5,PRSS23,7.209,12,1,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,1,ENST00000532234.5,PRSS23,7.209,12,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,1,ENST00000532234.5,PRSS23,7.209,12,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,1,ENST00000532234.5,PRSS23,7.209,12,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,1,ENST00000532234.5,PRSS23,7.209,12,0,0,0,0
GO:0035556,Intracellular signal,mid,4,2,ENST00000305560.11,AFG2B,7.100,23,0,0,0,0
GO:0000165,MAPK cascade,mid,4,2,ENST00000305560.11,AFG2B,7.100,23,0,0,0,0
GO:0007265,Ras signaling,late,4,2,ENST00000305560.11,AFG2B,7.100,23,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,2,ENST00000305560.11,AFG2B,7.100,23,0,0,0,0
GO:0007015,Actin filament org,flat,0,3,ENST00000651444.1,ENSG00000291202,7.078,26,0,0,0,0
GO:0030048,Actin-based movement,flat,0,3,ENST00000651444.1,ENSG00000291202,7.078,26,0,0,0,0
GO:0045214,Sarcomere organization,early,0,3,ENST00000651444.1,ENSG00000291202,7.078,26,0,0,0,0
GO:0006417,Regulation of translation,mid,15,2,ENST00000330386.7,EP400,6.985,12,0,0,0,0
GO:0032465,Cytokinesis,flat,15,2,ENST00000330386.7,EP400,6.985,12,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006096,Glycolysis,flat,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006099,TCA cycle,flat,8,3,ENST00000439747.7,MRPL22,6.929,17,0,0,0,0
GO:0006914,Autophagy,flat,11,1,ENST00000380325.4,MRPS26,6.914,15,0,0,0,0
GO:0006906,Vesicle fusion,mid,11,1,ENST00000380325.4,MRPS26,6.914,15,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0006096,Glycolysis,flat,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0006099,TCA cycle,flat,8,4,ENST00000264995.8,MRPL3,6.886,15,0,0,0,0
GO:0000226,MT cytoskeleton org,flat,12,1,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0000226,MT cytoskeleton org,flat,12,2,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0007059,Chromosome segregation,flat,12,1,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0007059,Chromosome segregation,flat,12,2,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0007018,MT-based movement,early,12,1,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0007018,MT-based movement,early,12,2,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0006888,ER-Golgi transport,flat,12,1,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0006888,ER-Golgi transport,flat,12,2,ENST00000469543.5,VIM,6.875,25,0,0,0,0
GO:0007015,Actin filament org,flat,0,4,ENST00000698216.1,NBPF8,6.864,2,0,0,0,0
GO:0030048,Actin-based movement,flat,0,4,ENST00000698216.1,NBPF8,6.864,2,0,0,0,0
GO:0045214,Sarcomere organization,early,0,4,ENST00000698216.1,NBPF8,6.864,2,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006096,Glycolysis,flat,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006099,TCA cycle,flat,8,5,ENST00000425847.6,MRPL3,6.817,15,0,0,0,0
GO:0006417,Regulation of translation,mid,15,3,ENST00000507943.2,BOD1L1,6.779,1,0,0,0,0
GO:0006417,Regulation of translation,mid,15,4,ENST00000040738.10,BOD1L1,6.779,1,0,0,0,0
GO:0032465,Cytokinesis,flat,15,3,ENST00000507943.2,BOD1L1,6.779,1,0,0,0,0
GO:0032465,Cytokinesis,flat,15,4,ENST00000040738.10,BOD1L1,6.779,1,0,0,0,0
GO:0007015,Actin filament org,flat,0,5,ENST00000644452.3,GIPC3,6.778,27,0,0,0,0
GO:0030048,Actin-based movement,flat,0,5,ENST00000644452.3,GIPC3,6.778,27,0,0,0,0
GO:0045214,Sarcomere organization,early,0,5,ENST00000644452.3,GIPC3,6.778,27,0,0,0,0
GO:0055074,Ca2+ homeostasis,early,9,1,ENST00000238738.9,RHOQ,6.746,26,0,0,0,0
GO:0007204,Ca2+ signaling,mid,9,1,ENST00000238738.9,RHOQ,6.746,26,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006096,Glycolysis,flat,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006099,TCA cycle,flat,8,6,ENST00000584123.5,SCRN2,6.706,19,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006096,Glycolysis,flat,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006099,TCA cycle,flat,8,7,ENST00000349379.5,SNX3,6.667,17,0,0,0,0
GO:0006508,Proteolysis,flat,1,2,ENST00000326505.4,B3GNT5,6.585,13,0,0,0,0
GO:0006508,Proteolysis,flat,1,3,ENST00000460419.1,B3GNT5,6.585,13,0,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,2,ENST00000326505.4,B3GNT5,6.585,13,1,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,3,ENST00000460419.1,B3GNT5,6.585,13,1,0,0,0
GO:0006816,Ca2+ transport,mid,1,2,ENST00000326505.4,B3GNT5,6.585,13,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,3,ENST00000460419.1,B3GNT5,6.585,13,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,2,ENST00000326505.4,B3GNT5,6.585,13,1,0,0,0
GO:0006486,Protein glycosylation,flat,1,3,ENST00000460419.1,B3GNT5,6.585,13,1,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,2,ENST00000326505.4,B3GNT5,6.585,13,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,3,ENST00000460419.1,B3GNT5,6.585,13,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,8,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,9,ENST00000698979.1,POLD2,6.519,14,0,0,0,0
GO:0006914,Autophagy,flat,11,2,ENST00000558169.6,ANXA2,6.421,21,0,0,0,0
GO:0006914,Autophagy,flat,11,3,ENST00000558169.6,ANXA2,6.421,21,0,0,0,0
GO:0006906,Vesicle fusion,mid,11,2,ENST00000558169.6,ANXA2,6.421,21,0,0,0,0
GO:0006906,Vesicle fusion,mid,11,3,ENST00000558169.6,ANXA2,6.421,21,0,0,0,0
GO:0035556,Intracellular signal,mid,4,3,ENST00000696791.1,IRAK4,6.373,23,1,0,0,0
GO:0000165,MAPK cascade,mid,4,3,ENST00000696791.1,IRAK4,6.373,23,0,0,0,0
GO:0007265,Ras signaling,late,4,3,ENST00000696791.1,IRAK4,6.373,23,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,3,ENST00000696791.1,IRAK4,6.373,23,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0006096,Glycolysis,flat,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0006099,TCA cycle,flat,8,10,ENST00000407215.7,SCRN2,6.328,13,0,0,0,0
GO:0035556,Intracellular signal,mid,4,4,ENST00000684818.1,KIT,6.326,19,0,1,0,0
GO:0000165,MAPK cascade,mid,4,4,ENST00000684818.1,KIT,6.326,19,1,1,0,0
GO:0007265,Ras signaling,late,4,4,ENST00000684818.1,KIT,6.326,19,0,1,0,0
GO:0006470,Dephosphorylation,mid,4,4,ENST00000684818.1,KIT,6.326,19,0,1,0,0
GO:0055074,Ca2+ homeostasis,early,9,2,ENST00000281961.3,TMEM178A,6.321,15,1,0,0,0
GO:0007204,Ca2+ signaling,mid,9,2,ENST00000281961.3,TMEM178A,6.321,15,0,0,0,0
GO:0006508,Proteolysis,flat,1,4,ENST00000421351.4,PERP,6.308,19,0,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,4,ENST00000421351.4,PERP,6.308,19,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,4,ENST00000421351.4,PERP,6.308,19,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,4,ENST00000421351.4,PERP,6.308,19,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,4,ENST00000421351.4,PERP,6.308,19,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006754,ATP biosynthesis,late,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006635,FA beta-oxidation,late,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006096,Glycolysis,flat,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,11,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,12,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,13,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,14,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,15,ENST00000402003.7,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,16,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,17,BambuTx264,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,18,ENST00000379519.7,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,19,ENST00000261353.9,YPEL5,6.261,14,0,0,0,0
GO:0006099,TCA cycle,flat,8,20,ENST00000379520.8,YPEL5,6.261,14,0,0,0,0
GO:0006417,Regulation of translation,mid,15,5,ENST00000265175.5,SEC24B,6.253,9,0,0,0,0
GO:0032465,Cytokinesis,flat,15,5,ENST00000265175.5,SEC24B,6.253,9,0,0,0,0
GO:0035556,Intracellular signal,mid,4,5,ENST00000540437.5,INTS11,6.192,13,0,0,0,0
GO:0000165,MAPK cascade,mid,4,5,ENST00000540437.5,INTS11,6.192,13,0,0,0,0
GO:0007265,Ras signaling,late,4,5,ENST00000540437.5,INTS11,6.192,13,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,5,ENST00000540437.5,INTS11,6.192,13,0,0,0,0
GO:0006417,Regulation of translation,mid,15,6,ENST00000334268.9,TRDN,6.187,1,0,0,0,0
GO:0032465,Cytokinesis,flat,15,6,ENST00000334268.9,TRDN,6.187,1,0,0,0,0
GO:0006417,Regulation of translation,mid,15,7,ENST00000696270.1,TNRC6C,6.182,18,1,0,0,0
GO:0006417,Regulation of translation,mid,15,8,ENST00000696270.1,TNRC6C,6.182,18,1,0,0,0
GO:0006417,Regulation of translation,mid,15,9,ENST00000696270.1,TNRC6C,6.182,18,1,0,0,0
GO:0032465,Cytokinesis,flat,15,7,ENST00000696270.1,TNRC6C,6.182,18,0,0,0,0
GO:0032465,Cytokinesis,flat,15,8,ENST00000696270.1,TNRC6C,6.182,18,0,0,0,0
GO:0032465,Cytokinesis,flat,15,9,ENST00000696270.1,TNRC6C,6.182,18,0,0,0,0
GO:0055074,Ca2+ homeostasis,early,9,3,ENST00000257879.11,ITGA7,6.165,12,0,0,0,0
GO:0007204,Ca2+ signaling,mid,9,3,ENST00000257879.11,ITGA7,6.165,12,0,0,0,0
GO:0035556,Intracellular signal,mid,4,6,ENST00000699311.1,JAK1,6.054,22,1,0,0,0
GO:0035556,Intracellular signal,mid,4,7,ENST00000699311.1,JAK1,6.054,22,1,0,0,0
GO:0000165,MAPK cascade,mid,4,6,ENST00000699311.1,JAK1,6.054,22,1,0,0,0
GO:0000165,MAPK cascade,mid,4,7,ENST00000699311.1,JAK1,6.054,22,1,0,0,0
GO:0007265,Ras signaling,late,4,6,ENST00000699311.1,JAK1,6.054,22,0,0,0,0
GO:0007265,Ras signaling,late,4,7,ENST00000699311.1,JAK1,6.054,22,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,6,ENST00000699311.1,JAK1,6.054,22,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,7,ENST00000699311.1,JAK1,6.054,22,0,0,0,0
GO:0006508,Proteolysis,flat,1,5,ENST00000675808.1,PMP22,6.041,19,0,0,0,0
GO:0006508,Proteolysis,flat,1,6,ENST00000312280.9,PMP22,6.041,19,0,0,0,0
GO:0006508,Proteolysis,flat,1,7,ENST00000675819.1,PMP22,6.041,19,0,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,5,ENST00000675808.1,PMP22,6.041,19,0,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,6,ENST00000312280.9,PMP22,6.041,19,0,0,0,0
GO:0005975,Carbohydrate metabolism,late,1,7,ENST00000675819.1,PMP22,6.041,19,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,5,ENST00000675808.1,PMP22,6.041,19,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,6,ENST00000312280.9,PMP22,6.041,19,0,0,0,0
GO:0006816,Ca2+ transport,mid,1,7,ENST00000675819.1,PMP22,6.041,19,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,5,ENST00000675808.1,PMP22,6.041,19,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,6,ENST00000312280.9,PMP22,6.041,19,0,0,0,0
GO:0006486,Protein glycosylation,flat,1,7,ENST00000675819.1,PMP22,6.041,19,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,5,ENST00000675808.1,PMP22,6.041,19,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,6,ENST00000312280.9,PMP22,6.041,19,0,0,0,0
GO:0006836,Neurotransmitter transp,flat,1,7,ENST00000675819.1,PMP22,6.041,19,0,0,0,0
GO:0006417,Regulation of translation,mid,15,10,ENST00000329421.8,MARCKSL1,6.037,5,0,0,0,0
GO:0032465,Cytokinesis,flat,15,10,ENST00000329421.8,MARCKSL1,6.037,5,0,0,0,0
GO:0000226,MT cytoskeleton org,flat,12,3,ENST00000687832.1,GCC2,6.024,1,1,0,0,0
GO:0007059,Chromosome segregation,flat,12,3,ENST00000687832.1,GCC2,6.024,1,0,0,0,0
GO:0007018,MT-based movement,early,12,3,ENST00000687832.1,GCC2,6.024,1,0,0,0,0
GO:0006888,ER-Golgi transport,flat,12,3,ENST00000687832.1,GCC2,6.024,1,0,0,0,0
GO:0006914,Autophagy,flat,11,4,ENST00000296511.10,ANXA5,6.009,21,0,0,0,0
GO:0006906,Vesicle fusion,mid,11,4,ENST00000296511.10,ANXA5,6.009,21,0,0,0,0
GO:0000226,MT cytoskeleton org,flat,12,4,ENST00000440779.5,SPAG16,5.962,2,1,0,0,0
